RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.00914960,0.85595050,0.36620300,-0.00914960,0.85595050,0.36620300,-0.00914960,0.85595050,0.36620300,0.00566617,0.87588980,0.36395250,0.01599006,0.89501460,0.35290290,0.03282335,0.92094950,0.34506910,0.04818874,0.95023260,0.34273560,0.01288587,0.94991270,0.37802230,0.02621201,0.98235520,0.39044390,0.04476945,0.99566660,0.39729160,0.00622658,0.94302840,0.39773820,0.02685471,0.97524730,0.41534160,0.04776022,0.98974040,0.42447150,0.00740287,0.92965340,0.41310040,0.02742561,0.95518780,0.43336400,0.04946208,0.96618560,0.44191040,0.00240877,0.87772070,0.39943360,0.01128553,0.91282370,0.42578910,0.02881801,0.93038620,0.44288990,0.04609612,0.93745990,0.44985210,0.05967918,0.96956350,0.33392020,0.06141812,1.00773000,0.40501960,0.06600394,1.00344400,0.43344600,0.07111204,0.97494180,0.44707520,0.06487288,0.94652180,0.45526710,10,7
-0.00976762,0.85659310,0.36644070,-0.00976762,0.85659310,0.36644070,-0.00976762,0.85659310,0.36644070,0.00468138,0.87678250,0.36404000,0.01472853,0.89599730,0.35289200,0.03111676,0.92218100,0.34494290,0.04591088,0.95173420,0.34233860,0.01049977,0.95104960,0.37745680,0.02336062,0.98363400,0.38999690,0.04195854,0.99688430,0.39685330,0.00392681,0.94422010,0.39722080,0.02404302,0.97673300,0.41487600,0.04510009,0.99109480,0.42386390,0.00531753,0.93100740,0.41270510,0.02485982,0.95688410,0.43300340,0.04696923,0.96791930,0.44131000,0.00131468,0.87887070,0.39949670,0.00948381,0.91436710,0.42555240,0.02701059,0.93225440,0.44231920,0.04429398,0.93954350,0.44904190,0.05705439,0.97120260,0.33338180,0.05866857,1.00886100,0.40458230,0.06362416,1.00454700,0.43264130,0.06881154,0.97645340,0.44601630,0.06309572,0.94876110,0.45409530,10,7
-0.01035525,0.85722700,0.36670060,-0.01035525,0.85722700,0.36670060,-0.01035525,0.85722700,0.36670060,0.00372503,0.87765720,0.36415040,0.01350586,0.89695890,0.35291620,0.02946021,0.92337920,0.34486760,0.04369669,0.95318260,0.34201800,0.00814748,0.95213380,0.37692280,0.02055276,0.98485230,0.38957250,0.03919721,0.99803760,0.39642780,0.00165890,0.94535850,0.39673320,0.02128900,0.97814600,0.41442750,0.04249881,0.99237660,0.42326400,0.00325923,0.93231020,0.41233620,0.02233837,0.95851670,0.43265210,0.04452695,0.96958240,0.44070290,0.00024447,0.87999460,0.39958050,0.00770336,0.91586290,0.42533810,0.02522014,0.93407050,0.44176720,0.04251280,0.94156300,0.44823780,0.05450838,0.97278150,0.33293990,0.05598265,1.00991600,0.40414550,0.06129856,1.00557900,0.43183300,0.06655250,0.97788980,0.44493720,0.06134255,0.95092080,0.45291520,10,7
-0.01091958,0.85785450,0.36697750,-0.01091958,0.85785450,0.36697750,-0.01091958,0.85785450,0.36697750,0.00278955,0.87851660,0.36427790,0.01221416,0.89789430,0.35287140,0.02748626,0.92465020,0.34461070,0.04100988,0.95477680,0.34168830,0.00581954,0.95316950,0.37641160,0.01736481,0.98609970,0.38932340,0.03579507,0.99950970,0.39632040,-0.00058638,0.94644790,0.39626720,0.01862373,0.97954790,0.41384030,0.03987397,0.99382080,0.42250970,0.00121918,0.93356660,0.41198610,0.01997127,0.96009870,0.43218360,0.04241344,0.97099710,0.43974480,-0.00080935,0.88109610,0.39967940,0.00593590,0.91731670,0.42513920,0.02342300,0.93581340,0.44127430,0.04084305,0.94336780,0.44731710,0.05139741,0.97463470,0.33267810,0.05244670,1.01150800,0.40414240,0.05870870,1.00706700,0.43093190,0.06474423,0.97881900,0.44324090,0.05986827,0.95264130,0.45132320,10,7
-0.01239967,0.85826880,0.36583260,-0.01239967,0.85826880,0.36583260,-0.01239967,0.85826880,0.36583260,0.00100302,0.87912860,0.36311520,0.01018512,0.89859720,0.35166550,0.02490176,0.92565410,0.34337710,0.03782047,0.95605430,0.34055360,0.00280525,0.95387430,0.37491720,0.01358768,0.98690060,0.38823670,0.03185204,1.00041200,0.39547070,-0.00361083,0.94714520,0.39476700,0.01520775,0.98042270,0.41242820,0.03652470,0.99461960,0.42105850,-0.00169710,0.93436560,0.41055600,0.01671433,0.96109000,0.43081310,0.03937625,0.97176090,0.43803600,-0.00284077,0.88181410,0.39848310,0.00319449,0.91825130,0.42381160,0.02064328,0.93692480,0.43978370,0.03816952,0.94447950,0.44551090,0.04788065,0.97616120,0.33172610,0.04841065,1.01241400,0.40348180,0.05543339,1.00778600,0.42944030,0.06196790,0.97905860,0.44093890,0.05736575,0.95361480,0.44898300,10,7
-0.01378589,0.85869640,0.36481990,-0.01378589,0.85869640,0.36481990,-0.01378589,0.85869640,0.36481990,-0.00069743,0.87975080,0.36207180,0.00824443,0.89930590,0.35057960,0.02241028,0.92664610,0.34226100,0.03472404,0.95730390,0.33952090,-0.00013272,0.95457210,0.37351410,0.00991632,0.98767790,0.38720430,0.02803763,1.00126900,0.39464530,-0.00655099,0.94783930,0.39336190,0.01187557,0.98129590,0.41109810,0.03327035,0.99540940,0.41967230,-0.00452345,0.93516830,0.40922390,0.01354030,0.96209390,0.42952750,0.03639912,0.97256490,0.43641470,-0.00477643,0.88254730,0.39740480,0.00054771,0.91919730,0.42258520,0.01795944,0.93805720,0.43837770,0.03557914,0.94562460,0.44379270,0.04445233,0.97764640,0.33086270,0.04452655,1.01325800,0.40281730,0.05227336,1.00847900,0.42799220,0.05921185,0.97936780,0.43873140,0.05492084,0.95463640,0.44674120,10,7
-0.01509924,0.85913490,0.36391080,-0.01509924,0.85913490,0.36391080,-0.01509924,0.85913490,0.36391080,-0.00233214,0.88038030,0.36112160,0.00621592,0.89999450,0.34943210,0.01982324,0.92753170,0.34083580,0.03165871,0.95838940,0.33823510,-0.00301385,0.95525820,0.37218080,0.00682347,0.98852690,0.38562770,0.02506429,1.00203900,0.39291900,-0.00942819,0.94852510,0.39202970,0.00925281,0.98202350,0.40941750,0.03104374,0.99574550,0.41762160,-0.00728288,0.93596850,0.40796710,0.01073625,0.96308700,0.42805250,0.03405163,0.97299890,0.43419630,-0.00663955,0.88329080,0.39641820,-0.00202896,0.92014810,0.42143650,0.01507853,0.93926230,0.43725560,0.03257451,0.94707580,0.44272210,0.04116357,0.97899370,0.32995590,0.04176906,1.01384600,0.40091660,0.05039362,1.00850000,0.42562530,0.05720566,0.97885380,0.43549170,0.05185525,0.95624850,0.44557200,10,7
-0.01625058,0.85958670,0.36351310,-0.01625058,0.85958670,0.36351310,-0.01625058,0.85958670,0.36351310,-0.00397163,0.88112020,0.36074100,0.00407928,0.90086950,0.34892670,0.01694382,0.92870850,0.34016050,0.02805975,0.95985020,0.33777820,-0.00651635,0.95599870,0.37152050,0.00276503,0.98946880,0.38486250,0.02097758,1.00304500,0.39210520,-0.01291752,0.94918410,0.39134590,0.00561133,0.98286970,0.40853330,0.02761604,0.99639950,0.41648210,-0.01059392,0.93673770,0.40734460,0.00706808,0.96416680,0.42732510,0.03066252,0.97376660,0.43286990,-0.00861173,0.88405030,0.39599370,-0.00506656,0.92109380,0.42091040,0.01159452,0.94055340,0.43678490,0.02891972,0.94870620,0.44229960,0.03718638,0.98078710,0.32991890,0.03775670,1.01480100,0.40002170,0.04715379,1.00900300,0.42426600,0.05401069,0.97893840,0.43329690,0.04808463,0.95814790,0.44505020,10,7
-0.01735872,0.86004150,0.36314460,-0.01735872,0.86004150,0.36314460,-0.01735872,0.86004150,0.36314460,-0.00555904,0.88184150,0.36037410,0.00201961,0.90170440,0.34843850,0.01416422,0.92981300,0.33950730,0.02457509,0.96121200,0.33732600,-0.00990187,0.95668150,0.37084240,-0.00117929,0.99033270,0.38410570,0.01700334,1.00396800,0.39131190,-0.01628491,0.94979570,0.39064900,0.00205949,0.98367460,0.40765350,0.02425890,0.99702420,0.41536210,-0.01378903,0.93746610,0.40671220,0.00351008,0.96519850,0.42659150,0.02734350,0.97451420,0.43156980,-0.01051499,0.88479630,0.39558180,-0.00799954,0.92200480,0.42037760,0.00826044,0.94178660,0.43626960,0.02543742,0.95024440,0.44178870,0.03331968,0.98245480,0.32986310,0.03385137,1.01567200,0.39915950,0.04397374,1.00947900,0.42293530,0.05082689,0.97903530,0.43117310,0.04450752,0.95991680,0.44439290,10,7
-0.01841348,0.86048920,0.36280400,-0.01841348,0.86048920,0.36280400,-0.01841348,0.86048920,0.36280400,-0.00707738,0.88253270,0.36002380,-0.00002112,0.90246920,0.34789230,0.01112707,0.93090610,0.33870480,0.02061050,0.96261390,0.33677600,-0.01313290,0.95729890,0.37016340,-0.00488479,0.99119260,0.38310900,0.01315199,1.00507000,0.39021930,-0.01949487,0.95035090,0.38995500,-0.00178805,0.98472930,0.40662970,0.02062633,0.99791040,0.41399850,-0.01683574,0.93814130,0.40608350,-0.00000793,0.96631800,0.42574150,0.02385933,0.97571440,0.43039540,-0.01233135,0.88551360,0.39518610,-0.01079909,0.92286400,0.41984850,0.00506510,0.94294050,0.43577090,0.02220881,0.95157410,0.44111850,0.02881639,0.98426620,0.32990110,0.02996531,1.01690000,0.39795110,0.04075179,1.00996800,0.42112110,0.04739974,0.97981940,0.42936270,0.04130928,0.96128730,0.44331710,10,7
