RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.05034534,0.89134010,0.39851390,-0.05034534,0.89134010,0.39851390,-0.05034534,0.89134010,0.39851390,-0.05675317,0.91332660,0.38863070,-0.06535434,0.92478640,0.36890440,-0.07116733,0.94715450,0.34692200,-0.07976872,0.97814450,0.33887960,-0.11279950,0.96332850,0.37924480,-0.13017710,0.99620640,0.38045250,-0.12997240,1.02004000,0.38105280,-0.11461080,0.95973760,0.40079210,-0.13291810,0.99736910,0.40550040,-0.13407160,1.02431500,0.40724020,-0.10593030,0.95760210,0.41913220,-0.11984130,0.99177970,0.42922710,-0.11385240,1.01714100,0.42997550,-0.06594568,0.92153170,0.42211270,-0.09248324,0.95498480,0.43561370,-0.09629767,0.98089740,0.45052190,-0.08818391,0.99904330,0.45191420,-0.08370711,1.00190000,0.33698880,-0.12544940,1.04147400,0.38265090,-0.12706220,1.04780800,0.40695110,-0.10150280,1.03721200,0.42589170,-0.08152980,1.01952200,0.45251040,10,6
-0.04765693,0.89452850,0.39709960,-0.04765693,0.89452850,0.39709960,-0.04765693,0.89452850,0.39709960,-0.05340262,0.91674720,0.38732900,-0.06159640,0.92856850,0.36764280,-0.06612012,0.95132770,0.34575890,-0.07337568,0.98262220,0.33757010,-0.10797930,0.96836640,0.37803850,-0.12424670,1.00179200,0.37961130,-0.12303050,1.02558900,0.38046120,-0.10997820,0.96469590,0.39955570,-0.12775260,1.00252000,0.40473820,-0.12827280,1.02946400,0.40678470,-0.10143570,0.96220420,0.41791560,-0.11448220,0.99653220,0.42863460,-0.10758520,1.02165200,0.42965500,-0.06249578,0.92500280,0.42082580,-0.08813460,0.95910760,0.43443240,-0.09084690,0.98508630,0.44946630,-0.08221282,1.00296600,0.45114480,-0.07636501,1.00650800,0.33557670,-0.11753000,1.04677500,0.38227390,-0.12075300,1.05280100,0.40677430,-0.09450907,1.04129000,0.42572610,-0.07505080,1.02325500,0.45216960,10,6
-0.04509285,0.89757350,0.39576180,-0.04509285,0.89757350,0.39576180,-0.04509285,0.89757350,0.39576180,-0.05018365,0.92000310,0.38611060,-0.05805049,0.93201000,0.36640330,-0.06192015,0.95485320,0.34448160,-0.06830722,0.98631190,0.33619900,-0.10326340,0.97318780,0.37697840,-0.11834970,1.00714700,0.37886510,-0.11616330,1.03086500,0.37993130,-0.10543010,0.96944530,0.39846700,-0.12179770,1.00783600,0.40410020,-0.12115000,1.03475600,0.40640750,-0.09701677,0.96660430,0.41683580,-0.10890250,1.00123900,0.42791200,-0.10094080,1.02603700,0.42904370,-0.05914397,0.92830860,0.41963090,-0.08385815,0.96303650,0.43337170,-0.08566491,0.98907090,0.44844520,-0.07646728,1.00666000,0.45020200,-0.07064196,1.01025900,0.33407550,-0.10980920,1.05179400,0.38193620,-0.11269020,1.05776800,0.40661640,-0.08706348,1.04512900,0.42517550,-0.06868818,1.02671400,0.45134660,10,6
-0.04319486,0.89977310,0.39592390,-0.04319486,0.89977310,0.39592390,-0.04319486,0.89977310,0.39592390,-0.04764426,0.92238070,0.38637150,-0.05501494,0.93455650,0.36657620,-0.05802786,0.95749490,0.34461930,-0.06356472,0.98908410,0.33622240,-0.09939392,0.97679650,0.37686600,-0.11351700,1.01115600,0.37894990,-0.11052590,1.03477200,0.38030020,-0.10196340,0.97294490,0.39829080,-0.11731870,1.01170300,0.40424760,-0.11577430,1.03855700,0.40687400,-0.09389016,0.96978250,0.41675950,-0.10500410,1.00457900,0.42812700,-0.09619655,1.02907500,0.42952330,-0.05691850,0.93063590,0.41981870,-0.08106197,0.96580180,0.43345990,-0.08229029,0.99183030,0.44860150,-0.07267193,1.00916800,0.45058970,-0.06531647,1.01307100,0.33398840,-0.10348050,1.05544700,0.38260720,-0.10659490,1.06128500,0.40744610,-0.08163835,1.04770800,0.42592490,-0.06442852,1.02901900,0.45199950,10,6
-0.04132573,0.90194600,0.39601170,-0.04132573,0.90194600,0.39601170,-0.04132573,0.90194600,0.39601170,-0.04513860,0.92471670,0.38657190,-0.05203737,0.93705860,0.36670950,-0.05417468,0.96008080,0.34473780,-0.05881811,0.99178840,0.33624610,-0.09551983,0.98035600,0.37680210,-0.10866130,1.01508800,0.37912060,-0.10486720,1.03857000,0.38075730,-0.09845750,0.97640930,0.39816220,-0.11283950,1.01548300,0.40447720,-0.11043920,1.04224000,0.40742910,-0.09070155,0.97293230,0.41671020,-0.10104710,1.00785700,0.42840370,-0.09142323,1.03202800,0.43006530,-0.05466444,0.93293840,0.41995660,-0.07818742,0.96854220,0.43354580,-0.07879647,0.99454630,0.44876690,-0.06876156,1.01161800,0.45098050,-0.05995102,1.01580300,0.33391450,-0.09713391,1.05896200,0.38335850,-0.10058490,1.06467200,0.40835490,-0.07622156,1.05018800,0.42672180,-0.06006004,1.03125200,0.45265590,10,6
-0.03947780,0.90409870,0.39604080,-0.03947780,0.90409870,0.39604080,-0.03947780,0.90409870,0.39604080,-0.04265704,0.92701730,0.38672520,-0.04910599,0.93951430,0.36680870,-0.05076783,0.96256840,0.34482930,-0.05479851,0.99440800,0.33652010,-0.09163342,0.98386680,0.37677930,-0.10406330,1.01884800,0.37926660,-0.09955040,1.04218400,0.38114540,-0.09491261,0.97983710,0.39807420,-0.10858930,1.01909400,0.40480510,-0.10524550,1.04571300,0.40807560,-0.08745779,0.97605140,0.41668500,-0.09707618,1.01113700,0.42851850,-0.08658354,1.03493300,0.43031750,-0.05238586,0.93521860,0.42005630,-0.07524703,0.97125590,0.43363240,-0.07552813,0.99747520,0.44848950,-0.06511204,1.01432400,0.45065240,-0.05548110,1.01845900,0.33439710,-0.09116493,1.06228300,0.38399650,-0.09461915,1.06777400,0.40931930,-0.07066315,1.05249300,0.42711650,-0.05590595,1.03374000,0.45215490,10,6
-0.03760068,0.90517200,0.39570050,-0.03760068,0.90517200,0.39570050,-0.03760068,0.90517200,0.39570050,-0.04006354,0.92821710,0.38648050,-0.04604184,0.94085450,0.36650590,-0.04709246,0.96390930,0.34448940,-0.05032382,0.99586980,0.33629610,-0.08737728,0.98642850,0.37636620,-0.09892099,1.02170200,0.37899730,-0.09359307,1.04484800,0.38107920,-0.09097730,0.98237790,0.39760520,-0.10376700,1.02186800,0.40470440,-0.09939070,1.04830200,0.40824660,-0.08381435,0.97829350,0.41626740,-0.09254307,1.01356900,0.42822400,-0.08111411,1.03692200,0.43012290,-0.04989889,0.93650500,0.41975880,-0.07190824,0.97307890,0.43330760,-0.07167839,0.99951360,0.44777890,-0.06081141,1.01608400,0.44987240,-0.05041725,1.01994300,0.33431970,-0.08447922,1.06459700,0.38413720,-0.08793436,1.06992700,0.40975460,-0.06445128,1.05379800,0.42702140,-0.05102793,1.03522900,0.45119940,10,6
-0.03584132,0.90624390,0.39537300,-0.03584132,0.90624390,0.39537300,-0.03584132,0.90624390,0.39537300,-0.03763489,0.92939040,0.38625320,-0.04318436,0.94214640,0.36623020,-0.04364296,0.96518890,0.34418070,-0.04609795,0.99724470,0.33609150,-0.08335967,0.98884010,0.37603330,-0.09405680,1.02436700,0.37882820,-0.08795731,1.04730300,0.38111160,-0.08724948,0.98477570,0.39721840,-0.09920866,1.02445600,0.40469560,-0.09386342,1.05067300,0.40850580,-0.08035830,0.98041590,0.41592070,-0.08824690,1.01583900,0.42802520,-0.07594813,1.03873700,0.43002290,-0.04755012,0.93775890,0.41948770,-0.06874008,0.97481360,0.43303630,-0.06798892,1.00143900,0.44713480,-0.05670110,1.01773400,0.44916370,-0.04562118,1.02132300,0.33424520,-0.07815922,1.06668800,0.38436870,-0.08164294,1.07185600,0.41026490,-0.05861375,1.05493900,0.42700930,-0.04637957,1.03660500,0.45033330,10,6
-0.03407449,0.90739550,0.39503440,-0.03407449,0.90739550,0.39503440,-0.03407449,0.90739550,0.39503440,-0.03519742,0.93062760,0.38602590,-0.04011792,0.94385390,0.36614410,-0.04018679,0.96725400,0.34446970,-0.04222462,0.99933660,0.33637050,-0.07929477,0.99128550,0.37575410,-0.08919183,1.02704800,0.37849490,-0.08241381,1.04978200,0.38087960,-0.08346397,0.98721220,0.39688430,-0.09507306,1.02698300,0.40443400,-0.08938503,1.05310000,0.40842990,-0.07684299,0.98257930,0.41561840,-0.08429434,1.01801800,0.42795020,-0.07176185,1.04075300,0.43032800,-0.04517116,0.93907500,0.41922290,-0.06551537,0.97659110,0.43279810,-0.06476160,1.00320800,0.44691330,-0.05355651,1.01948600,0.44946570,-0.04144177,1.02335900,0.33397640,-0.07211408,1.06888200,0.38427190,-0.07696853,1.07414500,0.41045430,-0.05424162,1.05682300,0.42770790,-0.04333197,1.03836600,0.45119910,10,6
-0.03399502,0.90823710,0.39291330,-0.03399502,0.90823710,0.39291330,-0.03399502,0.90823710,0.39291330,-0.03408214,0.93162030,0.38423180,-0.03847635,0.94552760,0.36469450,-0.03797611,0.96940530,0.34355320,-0.03894489,1.00160400,0.33571970,-0.07525341,0.99451460,0.37536140,-0.08341779,1.03067200,0.37858200,-0.07537764,1.05297400,0.38111790,-0.07935064,0.99035610,0.39648910,-0.08944134,1.03040500,0.40471820,-0.08265440,1.05621300,0.40900060,-0.07272980,0.98514070,0.41506960,-0.07859848,1.02063600,0.42807510,-0.06518704,1.04283400,0.43072170,-0.04320435,0.94008280,0.41766900,-0.06149517,0.97836170,0.43201480,-0.05971483,1.00483600,0.44630450,-0.04810272,1.02076800,0.44919920,-0.03730861,1.02554500,0.33297260,-0.06405587,1.07147300,0.38458510,-0.06945908,1.07676100,0.41119610,-0.04711986,1.05830600,0.42822230,-0.03743117,1.03935600,0.45134800,10,6
