RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.02684954,0.93379750,0.42979970,-0.02684954,0.93379750,0.42979970,-0.02684954,0.93379750,0.42979970,-0.01104776,0.94751180,0.44337800,0.01042325,0.95668210,0.45040160,0.03144753,0.96177510,0.47384070,0.04303656,0.97659550,0.50113710,0.01837114,1.01648200,0.45372650,0.03506910,1.04919600,0.45967240,0.04586738,1.06840300,0.46878170,-0.00289874,1.02165900,0.45260730,0.00544161,1.06226100,0.46004910,0.01128485,1.08678600,0.46978540,-0.02226268,1.01802500,0.45790870,-0.02452065,1.05560500,0.46470280,-0.02515136,1.08028400,0.47308020,-0.03978738,0.96768350,0.44970340,-0.04065650,1.00972100,0.46512140,-0.05323498,1.03574400,0.47365690,-0.06241258,1.05178200,0.48111380,0.05179403,0.98502960,0.52200800,0.05427508,1.08782400,0.47465840,0.01554401,1.11023500,0.47554310,-0.02515913,1.10353000,0.47870870,-0.07014515,1.07018000,0.48921960,10,0
-0.02635545,0.93369630,0.42994790,-0.02635545,0.93369630,0.42994790,-0.02635545,0.93369630,0.42994790,-0.01044555,0.94752160,0.44328530,0.01075869,0.95697960,0.45072550,0.03072936,0.96158590,0.47516530,0.04167808,0.97575490,0.50306520,0.01894442,1.01660700,0.45292360,0.03566439,1.04927200,0.45907760,0.04649699,1.06824300,0.46862750,-0.00234526,1.02173800,0.45198450,0.00602444,1.06226800,0.45977510,0.01202405,1.08634300,0.47049240,-0.02164872,1.01810100,0.45750000,-0.02375023,1.05559100,0.46482110,-0.02396381,1.07983900,0.47439320,-0.03915898,0.96767880,0.44977400,-0.03995432,1.00980700,0.46494530,-0.05210513,1.03588400,0.47392480,-0.06087369,1.05189500,0.48191170,0.04954498,0.98390060,0.52440020,0.05497513,1.08742100,0.47516410,0.01649689,1.10941100,0.47749350,-0.02354532,1.10271500,0.48136250,-0.06807775,1.07019200,0.49070670,10,0
-0.02588858,0.93361230,0.43004830,-0.02588858,0.93361230,0.43004830,-0.02588858,0.93361230,0.43004830,-0.00987710,0.94753890,0.44315690,0.01146080,0.95702200,0.45017080,0.03238955,0.96282580,0.47353000,0.04454513,0.97800000,0.50038190,0.01948118,1.01672700,0.45213170,0.03604748,1.04942000,0.45854740,0.04680110,1.06818200,0.46858640,-0.00182548,1.02181600,0.45136680,0.00640691,1.06226800,0.45969320,0.01244230,1.08587400,0.47138960,-0.02106922,1.01817700,0.45708570,-0.02302073,1.05553300,0.46510290,-0.02274449,1.07915400,0.47612750,-0.03856310,0.96768260,0.44980640,-0.03928860,1.00989400,0.46475060,-0.05128903,1.03593700,0.47402500,-0.05986211,1.05187900,0.48235590,0.05324863,0.98698330,0.52104520,0.05523138,1.08715700,0.47574840,0.01699453,1.10855000,0.47952570,-0.02180985,1.10145500,0.48472210,-0.06683239,1.07008200,0.49152380,10,0
-0.02544708,0.93338350,0.43018940,-0.02544708,0.93338350,0.43018940,-0.02544708,0.93338350,0.43018940,-0.00930131,0.94741310,0.44302030,0.01208682,0.95697920,0.44976340,0.03346041,0.96348260,0.47252800,0.04631737,0.97920790,0.49872830,0.02007170,1.01669300,0.45120760,0.03653027,1.04940400,0.45780450,0.04724804,1.06795500,0.46826530,-0.00124890,1.02175100,0.45065910,0.00690701,1.06212500,0.45942840,0.01303524,1.08524600,0.47201040,-0.02041988,1.01812600,0.45662580,-0.02217162,1.05535400,0.46525980,-0.02136322,1.07832100,0.47756620,-0.03793330,0.96756490,0.44987540,-0.03853792,1.00987000,0.46455610,-0.05032319,1.03589600,0.47415050,-0.05864666,1.05177700,0.48284270,0.05539541,0.98871370,0.51899280,0.05566390,1.08671400,0.47599160,0.01771418,1.10749200,0.48119760,-0.01987165,1.09998000,0.48760350,-0.06531896,1.06989100,0.49240070,10,0
-0.02502235,0.93317880,0.43029410,-0.02502235,0.93317880,0.43029410,-0.02502235,0.93317880,0.43029410,-0.00875133,0.94730400,0.44285920,0.01263084,0.95698330,0.44945800,0.03416971,0.96393470,0.47193250,0.04743773,0.97997480,0.49773400,0.02062616,1.01666600,0.45030210,0.03698701,1.04938500,0.45709750,0.04767381,1.06771100,0.46797960,-0.00070546,1.02169600,0.44996200,0.00738690,1.06198300,0.45917750,0.01362000,1.08458400,0.47262400,-0.01980400,1.01808400,0.45616450,-0.02134195,1.05517600,0.46540280,-0.01998805,1.07743500,0.47890480,-0.03732961,0.96746310,0.44991360,-0.03782202,1.00985500,0.46434650,-0.04936992,1.03586000,0.47427810,-0.05742295,1.05167400,0.48334030,0.05662473,0.98984000,0.51777640,0.05607946,1.08623200,0.47626950,0.01843933,1.10634400,0.48284250,-0.01792124,1.09837000,0.49028650,-0.06377077,1.06968700,0.49330120,10,0
-0.02461086,0.93299320,0.43037020,-0.02461086,0.93299320,0.43037020,-0.02461086,0.93299320,0.43037020,-0.00822191,0.94720790,0.44267850,0.01323394,0.95693770,0.44895600,0.03530174,0.96465600,0.47065370,0.04915799,0.98138610,0.49569660,0.02115113,1.01664400,0.44941050,0.03741256,1.04941300,0.45620410,0.04808685,1.06753400,0.46743550,-0.00018892,1.02164800,0.44927270,0.00771297,1.06183300,0.45907980,0.01404416,1.08350600,0.47393350,-0.01921497,1.01805000,0.45570180,-0.02068719,1.05504400,0.46533410,-0.01879714,1.07648200,0.48004570,-0.03674642,0.96737420,0.44992730,-0.03713361,1.00984700,0.46412460,-0.04818665,1.03566800,0.47504940,-0.05554934,1.05110700,0.48527010,0.05877543,0.99180640,0.51525020,0.05649199,1.08584700,0.47617720,0.01905314,1.10432800,0.48587120,-0.01604182,1.09637000,0.49304450,-0.06094426,1.06854000,0.49671570,10,0
-0.02505635,0.93326260,0.43070800,-0.02505635,0.93326260,0.43070800,-0.02505635,0.93326260,0.43070800,-0.00853122,0.94749480,0.44281230,0.01296467,0.95728430,0.44885580,0.03542503,0.96547140,0.46997090,0.04974926,0.98255630,0.49450600,0.02075252,1.01699400,0.44927460,0.03690151,1.04977200,0.45629310,0.04758398,1.06760200,0.46797270,-0.00060038,1.02194200,0.44945120,0.00711474,1.06194900,0.46010010,0.01357941,1.08257900,0.47631920,-0.01952350,1.01828000,0.45614250,-0.02092373,1.05508800,0.46647190,-0.01846605,1.07556000,0.48242410,-0.03700244,0.96757010,0.45050940,-0.03729888,1.01001100,0.46480180,-0.04785298,1.03555200,0.47682470,-0.05451025,1.05051500,0.48817490,0.05965920,0.99329380,0.51373920,0.05600052,1.08563000,0.47727800,0.01879365,1.10231700,0.48989690,-0.01500157,1.09422400,0.49697430,-0.05893018,1.06723700,0.50101490,10,0
-0.02543679,0.93350590,0.43100340,-0.02543679,0.93350590,0.43100340,-0.02543679,0.93350590,0.43100340,-0.00878318,0.94775960,0.44290450,0.01272814,0.95762360,0.44876930,0.03546204,0.96620400,0.46943070,0.05014778,0.98357040,0.49355090,0.02041415,1.01732100,0.44908120,0.03646370,1.05009600,0.45633490,0.04716109,1.06762500,0.46845050,-0.00094651,1.02221600,0.44955730,0.00661252,1.06203000,0.46100830,0.01323033,1.08159300,0.47844190,-0.01976741,1.01849500,0.45650030,-0.02106825,1.05511000,0.46750980,-0.01802675,1.07457500,0.48458160,-0.03719621,0.96775140,0.45102260,-0.03740242,1.01016900,0.46538770,-0.04744563,1.03543100,0.47839620,-0.05338982,1.04990700,0.49073160,0.06023831,0.99458150,0.51253400,0.05559732,1.08534700,0.47830740,0.01866412,1.10018400,0.49347560,-0.01384279,1.09193900,0.50048920,-0.05682344,1.06588800,0.50476110,10,0
-0.02576235,0.93372430,0.43126130,-0.02576235,0.93372430,0.43126130,-0.02576235,0.93372430,0.43126130,-0.00898983,0.94800190,0.44296520,0.01260052,0.95788680,0.44849480,0.03576338,0.96680950,0.46852510,0.05101411,0.98442730,0.49210630,0.02012445,1.01762300,0.44885410,0.03589698,1.05050900,0.45621370,0.04651615,1.06797800,0.46848260,-0.00123953,1.02246700,0.44961110,0.00606409,1.06234400,0.46101100,0.01274577,1.08165100,0.47870450,-0.01996092,1.01869500,0.45679090,-0.02125194,1.05520400,0.46814830,-0.01802479,1.07445100,0.48543170,-0.03734198,0.96791770,0.45147350,-0.03746093,1.01031700,0.46589380,-0.04717121,1.03529800,0.47967390,-0.05244049,1.04922600,0.49291380,0.06159815,0.99561170,0.51071570,0.05487017,1.08558100,0.47861970,0.01833911,1.09966900,0.49436440,-0.01359862,1.09148200,0.50163160,-0.05491973,1.06438800,0.50801310,10,0
-0.02634112,0.93376990,0.43081250,-0.02634112,0.93376990,0.43081250,-0.02634112,0.93376990,0.43081250,-0.00952166,0.94799980,0.44250720,0.01209899,0.95785020,0.44797950,0.03544264,0.96698550,0.46770190,0.05099811,0.98473590,0.49098260,0.01964795,1.01758600,0.44853050,0.03519068,1.05049900,0.45624900,0.04567841,1.06781100,0.46884900,-0.00171085,1.02243900,0.44937650,0.00537284,1.06228700,0.46101130,0.01203688,1.08113300,0.47920180,-0.02040968,1.01865200,0.45660710,-0.02166779,1.05501300,0.46843120,-0.01827437,1.07382700,0.48615470,-0.03783459,0.96790110,0.45117860,-0.03788294,1.01025100,0.46574130,-0.04728699,1.03494000,0.48024340,-0.05195253,1.04828700,0.49428410,0.06182418,0.99602400,0.50938900,0.05391987,1.08521100,0.47942040,0.01771930,1.09839700,0.49565830,-0.01361709,1.09028400,0.50287380,-0.05356292,1.06257000,0.51032750,10,0
