RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.04945669,1.02045400,0.56796830,0.04945669,1.02045400,0.56796830,0.04945669,1.02045400,0.56796830,0.04110792,1.04294800,0.56489410,0.02523957,1.05974800,0.56989330,0.00871107,1.08578900,0.57222570,0.01219485,1.11679200,0.56446290,0.04610162,1.11270700,0.58718740,0.04778899,1.14116100,0.56506280,0.03824979,1.12514200,0.55138810,0.06672905,1.10828700,0.58457550,0.06489751,1.13703800,0.55562900,0.05242345,1.11721500,0.54386350,0.08131813,1.10036300,0.57381150,0.07796536,1.12504600,0.54631760,0.06181857,1.10799500,0.53695340,0.07433592,1.05065900,0.55910460,0.09284618,1.08993700,0.56001420,0.08761545,1.10870300,0.53822700,0.07182752,1.09811000,0.53477130,0.01994598,1.13652000,0.55449130,0.03387753,1.10487400,0.55626600,0.04716086,1.09761300,0.55624960,0.05769287,1.09019500,0.55124100,0.06490810,1.08402100,0.54855500,11,5
0.04967215,1.01709500,0.56926770,0.04967215,1.01709500,0.56926770,0.04967215,1.01709500,0.56926770,0.04125911,1.03956400,0.56619330,0.02533844,1.05630300,0.57123160,0.00889226,1.08235600,0.57397530,0.01215214,1.11348300,0.56661870,0.04608151,1.10934500,0.58845900,0.04806470,1.13812600,0.56678630,0.03841485,1.12266600,0.55255610,0.06671865,1.10498000,0.58583030,0.06516491,1.13412200,0.55726160,0.05257648,1.11469700,0.54496810,0.08131984,1.09709300,0.57505600,0.07831432,1.12216100,0.54787260,0.06205608,1.10547900,0.53804890,0.07446074,1.04736500,0.56037190,0.09286422,1.08669400,0.56125200,0.08813958,1.10582500,0.53966810,0.07223317,1.09556800,0.53577230,0.01950975,1.13349200,0.55691400,0.03372884,1.10231600,0.55675230,0.04695541,1.09479200,0.55669650,0.05746635,1.08738100,0.55181130,0.06480942,1.08134900,0.54915480,11,5
0.04947316,1.01413000,0.56858590,0.04947316,1.01413000,0.56858590,0.04947316,1.01413000,0.56858590,0.04109918,1.03661300,0.56550480,0.02519903,1.05336300,0.57057000,0.00892701,1.07948800,0.57365100,0.01211720,1.11070300,0.56664720,0.04605059,1.10639400,0.58774230,0.04847135,1.13548400,0.56653170,0.03867158,1.12062900,0.55176990,0.06667933,1.10199100,0.58511030,0.06554680,1.13151700,0.55691810,0.05278032,1.11254500,0.54411030,0.08126390,1.09407400,0.57433550,0.07874084,1.11953400,0.54746930,0.06231470,1.10329900,0.53718720,0.07431316,1.04435300,0.55967240,0.09278647,1.08364900,0.56053270,0.08862960,1.10313000,0.53914550,0.07258455,1.09326800,0.53482130,0.01920080,1.13092900,0.55719180,0.03359015,1.10024500,0.55528530,0.04671819,1.09239700,0.55518480,0.05717256,1.08494800,0.55040880,0.06460713,1.07897300,0.54779780,11,5
0.04929559,1.01114000,0.56803540,0.04929559,1.01114000,0.56803540,0.04929559,1.01114000,0.56803540,0.04095275,1.03363400,0.56495290,0.02498466,1.05023100,0.57030030,0.00881653,1.07630400,0.57424580,0.01028205,1.10797800,0.56893410,0.04601905,1.10341300,0.58716800,0.04852093,1.13265200,0.56617270,0.03873386,1.11845400,0.55077040,0.06663981,1.09898000,0.58452530,0.06567002,1.12879400,0.55663160,0.05282580,1.11052900,0.54290630,0.08120658,1.09103900,0.57374440,0.07897535,1.11676500,0.54710620,0.06242998,1.10102200,0.53626440,0.07417464,1.04132300,0.55909910,0.09270594,1.08059300,0.55993790,0.08900684,1.10033600,0.53870790,0.07282861,1.09094900,0.53385450,0.01534651,1.12933300,0.56074850,0.03335538,1.09800800,0.55336440,0.04624860,1.08999500,0.55292930,0.05671154,1.08238900,0.54883930,0.06418799,1.07658100,0.54631540,11,5
0.04814195,1.00906800,0.56884060,0.04814195,1.00906800,0.56884060,0.04814195,1.00906800,0.56884060,0.04007876,1.03165500,0.56569030,0.02419666,1.04827300,0.57122690,0.00840912,1.07445400,0.57592550,0.00849643,1.10641300,0.57242850,0.04589344,1.10140700,0.58780930,0.04890421,1.13076700,0.56705180,0.03906610,1.11735200,0.55099340,0.06646955,1.09672400,0.58525010,0.06611293,1.12681000,0.55763540,0.05308969,1.10941500,0.54298090,0.08098027,1.08859200,0.57453610,0.07945354,1.11458600,0.54810930,0.06269081,1.09952200,0.53665320,0.07341108,1.03893900,0.55994670,0.09240515,1.07798700,0.56078930,0.08946534,1.09798900,0.53968330,0.07310948,1.08924700,0.53425510,0.01178211,1.12861500,0.56572290,0.03316778,1.09695200,0.55264030,0.04574649,1.08863900,0.55191460,0.05613737,1.08071600,0.54854400,0.06361838,1.07494900,0.54616610,11,5
0.04708196,1.00690800,0.56962650,0.04708196,1.00690800,0.56962650,0.04708196,1.00690800,0.56962650,0.03927262,1.02957600,0.56641850,0.02346564,1.04620000,0.57214680,0.00804248,1.07245800,0.57757440,0.00689595,1.10454100,0.57586500,0.04577114,1.09929400,0.58845400,0.04926573,1.12879200,0.56796940,0.03941175,1.11616400,0.55129480,0.06630333,1.09438600,0.58596530,0.06652138,1.12474700,0.55865240,0.05337636,1.10822000,0.54312690,0.08075846,1.08608100,0.57530820,0.07991057,1.11234400,0.54911720,0.06297157,1.09795700,0.53706550,0.07269913,1.03649200,0.56076750,0.09211060,1.07533300,0.56161230,0.08989526,1.09557200,0.54064350,0.07340753,1.08745800,0.53466680,0.00854043,1.12732900,0.57069780,0.03303901,1.09585200,0.55200370,0.04532768,1.08726800,0.55097510,0.05561921,1.07901500,0.54825210,0.06311736,1.07326100,0.54602170,11,5
0.04609608,1.00468000,0.57039690,0.04609608,1.00468000,0.57039690,0.04609608,1.00468000,0.57039690,0.03852029,1.02742000,0.56713880,0.02273679,1.04394800,0.57319920,0.00796000,1.07022400,0.58012750,0.00459855,1.10214000,0.58203480,0.04565186,1.09709900,0.58910040,0.04919858,1.12657900,0.56859920,0.03954404,1.11495500,0.55109780,0.06614084,1.09198400,0.58667220,0.06679959,1.12254100,0.55958550,0.05361504,1.10746600,0.54267730,0.08054081,1.08352300,0.57606410,0.08059722,1.11032500,0.55041240,0.06354174,1.09714700,0.53719940,0.07202840,1.03399600,0.56156680,0.09182170,1.07264500,0.56241210,0.09059203,1.09325400,0.54172580,0.07400916,1.08602900,0.53492810,0.00349556,1.12544700,0.57996290,0.03280187,1.09476300,0.55038980,0.04459261,1.08629500,0.54865500,0.05497338,1.07793900,0.54697870,0.06266074,1.07196700,0.54540990,11,5
0.04529938,1.00239200,0.57127470,0.04529938,1.00239200,0.57127470,0.04529938,1.00239200,0.57127470,0.03796781,1.02520700,0.56798450,0.02223113,1.04165100,0.57438480,0.00816993,1.06789800,0.58276180,0.00309605,1.09917700,0.58819200,0.04579166,1.09482600,0.58989980,0.04943785,1.12432900,0.56944860,0.03997810,1.11373600,0.55120270,0.06623002,1.08949500,0.58751100,0.06733482,1.12026400,0.56067980,0.05417481,1.10666300,0.54254690,0.08055860,1.08087400,0.57693460,0.08148147,1.10816200,0.55181680,0.06437002,1.09619700,0.53756360,0.07155243,1.03142700,0.56246440,0.09174810,1.06986700,0.56331120,0.09146227,1.09079900,0.54291600,0.07484142,1.08445500,0.53537260,-0.00028802,1.12233000,0.58926540,0.03289370,1.09375700,0.54912130,0.04426712,1.08545200,0.54670390,0.05467415,1.07687000,0.54595860,0.06251787,1.07060500,0.54500040,11,5
0.04453748,1.00006100,0.57213320,0.04453748,1.00006100,0.57213320,0.04453748,1.00006100,0.57213320,0.03743554,1.02294400,0.56881450,0.02174656,1.03930500,0.57553820,0.00839891,1.06546900,0.58523700,0.00206969,1.09578300,0.59387550,0.04591160,1.09250000,0.59068720,0.04965556,1.12205000,0.57032160,0.04041070,1.11244900,0.55142810,0.06630002,1.08696700,0.58833270,0.06783359,1.11794700,0.56176740,0.05477315,1.10576500,0.54258500,0.08055863,1.07819700,0.57778410,0.08229853,1.10591400,0.55318490,0.06520329,1.09511900,0.53800790,0.07108779,1.02882900,0.56333920,0.09165934,1.06706900,0.56418590,0.09226500,1.08827100,0.54407860,0.07566610,1.08277200,0.53585460,-0.00312301,1.11826800,0.59789220,0.03305150,1.09274600,0.54806150,0.04410173,1.08465800,0.54503090,0.05449041,1.07579500,0.54506730,0.06245836,1.06918900,0.54465410,11,5
0.04380307,0.99769660,0.57297640,0.04380307,0.99769660,0.57297640,0.04380307,0.99769660,0.57297640,0.03691934,1.02064300,0.56963180,0.02139557,1.03720200,0.57625320,0.00819546,1.06354500,0.58566640,0.00253061,1.09419200,0.59355770,0.04601612,1.09013300,0.59146480,0.04986737,1.11989900,0.57143690,0.04095948,1.11162900,0.55176810,0.06635502,1.08440800,0.58914080,0.06853346,1.11588000,0.56320600,0.05573131,1.10562500,0.54276340,0.08054474,1.07549800,0.57861710,0.08354851,1.10404900,0.55511810,0.06667456,1.09504500,0.53858530,0.07063209,1.02621000,0.56419580,0.09155862,1.06425700,0.56504130,0.09319528,1.08565600,0.54520280,0.07672047,1.08136200,0.53606270,-0.00208754,1.11690100,0.59697120,0.03335450,1.09239800,0.54666720,0.04418978,1.08483700,0.54287590,0.05472663,1.07582200,0.54366020,0.06224120,1.06831500,0.54358010,11,5
