RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.00945673,0.90845160,0.47680520,-0.00945673,0.90845160,0.47680520,-0.00945673,0.90845160,0.47680520,0.00343351,0.92891220,0.47736260,0.01976932,0.94585780,0.47512080,0.03799651,0.97020660,0.48074930,0.04730272,1.00009200,0.48808910,0.00856052,0.99767130,0.45217880,0.00928698,1.03231900,0.46222910,0.01955060,1.03554700,0.48269490,-0.01187581,0.99750300,0.45802520,-0.00781704,1.03478300,0.47419880,0.00610981,1.03293500,0.49632530,-0.02587412,0.99291570,0.47123470,-0.01852427,1.02460300,0.48907460,-0.00198552,1.01930200,0.50744580,-0.02639069,0.94321420,0.48751430,-0.03691842,0.98534770,0.48713170,-0.02708105,1.00855300,0.50192840,-0.01216612,1.00300600,0.51289110,0.04555586,1.02118600,0.49812220,0.02838634,1.02325100,0.49767540,0.01802265,1.01556000,0.50734910,0.00994774,1.00039600,0.51362310,-0.00008510,0.98596750,0.51324620,11,6
-0.00946480,0.90751790,0.47691260,-0.00946480,0.90751790,0.47691260,-0.00946480,0.90751790,0.47691260,0.00349430,0.92791980,0.47787670,0.01984639,0.94488860,0.47595080,0.03820495,0.96898700,0.48219620,0.04778662,0.99858470,0.49030610,0.00859054,0.99729810,0.45444560,0.00943603,1.03173900,0.46517410,0.01977705,1.03515400,0.48557050,-0.01178816,0.99703600,0.46048660,-0.00795509,1.03430000,0.47675220,0.00605116,1.03324300,0.49888060,-0.02567112,0.99214570,0.47370900,-0.01876660,1.02391100,0.49158870,-0.00204504,1.01925600,0.50996970,-0.02618438,0.94203760,0.48869110,-0.03658330,0.98419690,0.48951120,-0.02688010,1.00721800,0.50467900,-0.01182454,1.00208300,0.51565020,0.04639947,1.01942200,0.50091590,0.02891723,1.02352900,0.50090040,0.01849761,1.01676100,0.51066200,0.01063415,1.00102800,0.51667630,0.00082142,0.98546210,0.51609270,11,6
-0.00946039,0.90656190,0.47707000,-0.00946039,0.90656190,0.47707000,-0.00946039,0.90656190,0.47707000,0.00357853,0.92688990,0.47843510,0.01991311,0.94391820,0.47693350,0.03829101,0.96782200,0.48383550,0.04791400,0.99716510,0.49277900,0.00869342,0.99683310,0.45675280,0.00976976,1.03106000,0.46812480,0.02031859,1.03394400,0.48849690,-0.01162751,0.99648120,0.46298090,-0.00752699,1.03339800,0.47995830,0.00668101,1.03166800,0.50191500,-0.02540070,0.99129630,0.47620600,-0.01818352,1.02261600,0.49473570,-0.00131563,1.01722800,0.51277950,-0.02594612,0.94082000,0.48989510,-0.03618935,0.98297760,0.49190220,-0.02635288,1.00571700,0.50740560,-0.01122277,1.00043400,0.51820240,0.04680626,1.01772700,0.50394520,0.02956327,1.02215700,0.50363950,0.01916967,1.01496800,0.51333980,0.01133491,0.99879690,0.51896410,0.00147360,0.98384580,0.51833880,11,6
-0.00942864,0.90515550,0.47717540,-0.00942864,0.90515550,0.47717540,-0.00942864,0.90515550,0.47717540,0.00374413,0.92537050,0.47888980,0.02013745,0.94237490,0.47782050,0.03855407,0.96605930,0.48534740,0.04825227,0.99516970,0.49494630,0.00933848,0.99563290,0.45839060,0.01057885,1.02976800,0.47002060,0.02108683,1.03255300,0.49042740,-0.01098859,0.99531160,0.46460030,-0.00680069,1.03210800,0.48181450,0.00734453,1.03021400,0.50379810,-0.02480498,0.98999670,0.47772830,-0.01750177,1.02112600,0.49654370,-0.00069516,1.01542200,0.51454760,-0.02569515,0.93930200,0.49056570,-0.03565941,0.98148710,0.49327610,-0.02583003,1.00408200,0.50899420,-0.01074687,0.99881230,0.51986320,0.04738811,1.01554600,0.50646810,0.03030219,1.02099900,0.50576610,0.01980979,1.01361800,0.51539790,0.01193975,0.99697890,0.52072970,0.00202864,0.98228580,0.52005710,11,6
-0.00939067,0.90377340,0.47731920,-0.00939067,0.90377340,0.47731920,-0.00939067,0.90377340,0.47731920,0.00391518,0.92386820,0.47938270,0.02036661,0.94083800,0.47873840,0.03882978,0.96427970,0.48688550,0.04862338,0.99313340,0.49714000,0.00997072,0.99443870,0.46010910,0.01134501,1.02848900,0.47196840,0.02180310,1.03131700,0.49239510,-0.01035751,0.99414320,0.46631620,-0.00614041,1.03086300,0.48368730,0.00794243,1.02898600,0.50571240,-0.02420752,0.98869160,0.47935240,-0.01688265,1.01968400,0.49838420,-0.00012299,1.01382300,0.51638140,-0.02543066,0.93778800,0.49130540,-0.03511648,0.97998420,0.49475190,-0.02531743,1.00244300,0.51068170,-0.01027022,0.99724780,0.52163580,0.04801637,1.01330700,0.50902860,0.03103029,1.02014700,0.50800910,0.02044939,1.01263300,0.51760840,0.01257906,0.99546240,0.52266960,0.00263391,0.98082270,0.52191960,11,6
-0.00934775,0.90240900,0.47749350,-0.00934775,0.90240900,0.47749350,-0.00934775,0.90240900,0.47749350,0.00409085,0.92237630,0.47990550,0.02059886,0.93930180,0.47968400,0.03910065,0.96250340,0.48841030,0.04891616,0.99110630,0.49932510,0.01059532,0.99323930,0.46189280,0.01181426,1.02715400,0.47415160,0.02228645,1.02968700,0.49460970,-0.00973015,0.99296560,0.46810990,-0.00553449,1.02943300,0.48600910,0.00854038,1.02737500,0.50802310,-0.02360664,0.98737220,0.48105760,-0.01612540,1.01791000,0.50075160,0.00063147,1.01172000,0.51864080,-0.02515500,0.93627200,0.49209880,-0.03456185,0.97846220,0.49630760,-0.02437911,1.00033600,0.51280150,-0.00936830,0.99465190,0.52356130,0.04834629,1.01103500,0.51162210,0.03156734,1.01837000,0.51008520,0.02113610,1.01111300,0.51994990,0.01340077,0.99334500,0.52474870,0.00336153,0.97808950,0.52342760,11,6
-0.00961031,0.90093360,0.47854790,-0.00961031,0.90093360,0.47854790,-0.00961031,0.90093360,0.47854790,0.00391732,0.92079470,0.48131340,0.02044250,0.93770380,0.48150980,0.03894548,0.96067720,0.49081770,0.04875013,0.98901640,0.50240950,0.01067598,0.99196570,0.46465980,0.01168435,1.02573500,0.47733080,0.02217024,1.02810600,0.49780140,-0.00963584,0.99165580,0.47091980,-0.00556478,1.02790300,0.48928890,0.00852527,1.02579000,0.51128800,-0.02350523,0.98587010,0.48379040,-0.01598877,1.01602000,0.50405990,0.00080551,1.00963300,0.52184440,-0.02524150,0.93457250,0.49384420,-0.03446186,0.97671190,0.49889150,-0.02402686,0.99808220,0.51588000,-0.00901965,0.99207560,0.52646800,0.04822332,1.00867500,0.51513450,0.03157229,1.01682600,0.51323060,0.02128913,1.00973100,0.52331040,0.01374156,0.99133590,0.52783380,0.00366274,0.97548320,0.52599060,11,6
-0.00984222,0.89948960,0.47954170,-0.00984222,0.89948960,0.47954170,-0.00984222,0.89948960,0.47954170,0.00377842,0.91923510,0.48265610,0.02032524,0.93611320,0.48326450,0.03883902,0.95883660,0.49314690,0.04865317,0.98689050,0.50540530,0.01080246,0.99068640,0.46736880,0.01161640,1.02431200,0.48043250,0.02210327,1.02658900,0.50091310,-0.00949431,0.99034200,0.47367560,-0.00556257,1.02639200,0.49245850,0.00853417,1.02429000,0.51445440,-0.02335544,0.98436700,0.48646840,-0.01583903,1.01416900,0.50724720,0.00099227,1.00764600,0.52494750,-0.02528805,0.93289180,0.49552940,-0.03431270,0.97496430,0.50141810,-0.02367527,0.99587210,0.51885060,-0.00866813,0.98962100,0.52929620,0.04819805,1.00627300,0.51855020,0.03162903,1.01544400,0.51636390,0.02147195,1.00848800,0.52663020,0.01411666,0.98946400,0.53087800,0.00401312,0.97303810,0.52853950,11,6
-0.01004765,0.89809830,0.48047210,-0.01004765,0.89809830,0.48047210,-0.01004765,0.89809830,0.48047210,0.00366692,0.91772240,0.48392370,0.02030142,0.93450350,0.48477490,0.03898816,0.95690170,0.49506580,0.04897120,0.98464010,0.50789250,0.01096004,0.98942090,0.46997880,0.01204913,1.02292300,0.48333630,0.02254241,1.02516700,0.50381720,-0.00932103,0.98904360,0.47633400,-0.00499626,1.02461300,0.49593000,0.00912979,1.02213700,0.51786810,-0.02317355,0.98288580,0.48904910,-0.01579586,1.01264100,0.50994350,0.00103896,1.00637100,0.52773140,-0.02530529,0.93125620,0.49713490,-0.03413133,0.97324730,0.50384750,-0.02349499,0.99394590,0.52152870,-0.00848589,0.98800870,0.53215320,0.04877447,1.00376500,0.52141670,0.03206509,1.01431500,0.51947720,0.02204512,1.00618600,0.52987390,0.01439029,0.98843590,0.53390250,0.00461122,0.97173910,0.53177430,11,6
-0.01064944,0.89757360,0.48234440,-0.01064944,0.89757360,0.48234440,-0.01064944,0.89757360,0.48234440,0.00315120,0.91709630,0.48602010,0.01987141,0.93378140,0.48706000,0.03867085,0.95593940,0.49766100,0.04875774,0.98346970,0.51084970,0.01083209,0.98888790,0.47277990,0.01209152,1.02239600,0.48610700,0.02247980,1.02481700,0.50662120,-0.00946788,0.98854950,0.47907670,-0.00493937,1.02388800,0.49903980,0.00908420,1.02135500,0.52103690,-0.02338499,0.98233870,0.49169520,-0.01621785,1.01220900,0.51249840,0.00051687,1.00630600,0.53050500,-0.02579067,0.93064550,0.49928200,-0.03443009,0.97261350,0.50637140,-0.02386453,0.99324240,0.52417600,-0.00892401,0.98764980,0.53508040,0.04874611,1.00245600,0.52456900,0.03192187,1.01441800,0.52263370,0.02193862,1.00547000,0.53319480,0.01403671,0.98866430,0.53713690,0.00451947,0.97166150,0.53523810,11,6
