RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.02053112,0.89317010,0.37020500,-0.02053112,0.89317010,0.37020500,-0.02053112,0.89317010,0.37020500,-0.03071530,0.91312970,0.37912510,-0.04364222,0.92718710,0.39294670,-0.05760266,0.95075290,0.40712130,-0.06228206,0.98145660,0.41505370,-0.02015881,0.97290430,0.42001810,-0.03460112,1.00228600,0.40510270,-0.04709412,0.98547210,0.39547490,-0.00310007,0.97407520,0.40749500,-0.02527227,1.00241500,0.38843400,-0.03740112,0.97995570,0.38283080,0.00502313,0.97294320,0.38955290,-0.01814899,0.99684360,0.37342430,-0.02996660,0.97468730,0.37122660,-0.00492955,0.92926700,0.36285430,0.00918617,0.96965830,0.36952020,-0.00992709,0.98921790,0.35945650,-0.02074437,0.97359510,0.36263900,-0.05781259,1.00365100,0.40931680,-0.04342924,0.96503310,0.39992930,-0.02889277,0.96153300,0.39508850,-0.01896771,0.95773670,0.38247580,-0.01312100,0.95781050,0.37388830,7,1
-0.02078892,0.89340350,0.37017570,-0.02078892,0.89340350,0.37017570,-0.02078892,0.89340350,0.37017570,-0.03098158,0.91343510,0.37892310,-0.04403444,0.92757710,0.39253850,-0.05819470,0.95123500,0.40635710,-0.06296095,0.98196220,0.41414530,-0.02068358,0.97316020,0.41995420,-0.03471902,1.00259100,0.40475000,-0.04714087,0.98580590,0.39498090,-0.00341919,0.97421100,0.40770530,-0.02505179,1.00277300,0.38835800,-0.03726260,0.98043680,0.38244920,0.00498239,0.97301550,0.38989600,-0.01784377,0.99699680,0.37339850,-0.02966122,0.97486310,0.37098460,-0.00483199,0.92939220,0.36306020,0.00944355,0.96969220,0.36993390,-0.00961959,0.98915160,0.35958490,-0.02044672,0.97349710,0.36257150,-0.05832145,1.00413300,0.40845540,-0.04364374,0.96536410,0.39955570,-0.02903540,0.96198300,0.39485120,-0.01893652,0.95783960,0.38238760,-0.01304403,0.95767760,0.37391870,7,1
-0.02105492,0.89362790,0.37012620,-0.02105492,0.89362790,0.37012620,-0.02105492,0.89362790,0.37012620,-0.03124975,0.91373140,0.37870440,-0.04441856,0.92795830,0.39211830,-0.05876096,0.95170880,0.40558560,-0.06360334,0.98246150,0.41322510,-0.02119475,0.97341390,0.41985760,-0.03482680,1.00289100,0.40437840,-0.04718201,0.98613480,0.39447590,-0.00373680,0.97434380,0.40787620,-0.02484133,1.00311600,0.38825860,-0.03712865,0.98090240,0.38205250,0.00493070,0.97308180,0.39019940,-0.01755732,0.99713160,0.37334090,-0.02937333,0.97501930,0.37073120,-0.00475425,0.92950660,0.36323860,0.00967759,0.96971670,0.37031030,-0.00933751,0.98906850,0.35967530,-0.02017027,0.97338520,0.36248490,-0.05879268,1.00460600,0.40757330,-0.04385367,0.96569090,0.39916590,-0.02917881,0.96241950,0.39459130,-0.01891546,0.95793180,0.38228530,-0.01298553,0.95753650,0.37393110,7,1
-0.02132734,0.89384500,0.37006090,-0.02132734,0.89384500,0.37006090,-0.02132734,0.89384500,0.37006090,-0.03151892,0.91402040,0.37847270,-0.04479651,0.92831330,0.39170800,-0.05939819,0.95213720,0.40476070,-0.06442732,0.98290430,0.41221900,-0.02169482,0.97366600,0.41973510,-0.03497447,1.00315200,0.40396970,-0.04723611,0.98640220,0.39394130,-0.00405355,0.97447410,0.40801620,-0.02477310,1.00326900,0.38802600,-0.03704548,0.98109370,0.38165760,0.00486961,0.97314330,0.39047210,-0.01728378,0.99723140,0.37322980,-0.02914301,0.97515910,0.37048140,-0.00469271,0.92961240,0.36339630,0.00989219,0.96973320,0.37065860,-0.00915366,0.98889610,0.35974020,-0.01993571,0.97314980,0.36238830,-0.05953715,1.00504600,0.40662450,-0.04405912,0.96595910,0.39873860,-0.02943032,0.96252270,0.39427380,-0.01902040,0.95796650,0.38217730,-0.01290845,0.95730130,0.37393210,7,1
-0.02099093,0.89403590,0.37027510,-0.02099093,0.89403590,0.37027510,-0.02099093,0.89403590,0.37027510,-0.03119956,0.91424990,0.37857260,-0.04455907,0.92856780,0.39169810,-0.05941130,0.95241880,0.40441420,-0.06467548,0.98318600,0.41170820,-0.02158128,0.97390430,0.41987080,-0.03469049,1.00335200,0.40389250,-0.04685982,0.98656610,0.39381220,-0.00382869,0.97464800,0.40831690,-0.02436211,1.00339900,0.38807290,-0.03658433,0.98122350,0.38160940,0.00525426,0.97327380,0.39085840,-0.01674099,0.99731720,0.37335320,-0.02858005,0.97524230,0.37053940,-0.00418618,0.92974660,0.36373390,0.01045175,0.96982990,0.37109590,-0.00873502,0.98874250,0.35998950,-0.01940377,0.97290400,0.36254480,-0.05980364,1.00533600,0.40613140,-0.04374100,0.96613590,0.39870180,-0.02916227,0.96260330,0.39426810,-0.01866332,0.95798960,0.38232280,-0.01242595,0.95707990,0.37415200,7,1
-0.02071529,0.89421450,0.37045150,-0.02071529,0.89421450,0.37045150,-0.02071529,0.89421450,0.37045150,-0.03093616,0.91446710,0.37863900,-0.04437149,0.92881080,0.39165840,-0.05945757,0.95268870,0.40404450,-0.06494354,0.98345570,0.41117440,-0.02150702,0.97412940,0.41996930,-0.03444548,1.00354100,0.40378700,-0.04652866,0.98672150,0.39365950,-0.00364902,0.97480830,0.40857500,-0.02399441,1.00352300,0.38809140,-0.03617345,0.98135240,0.38153140,0.00558636,0.97339040,0.39120010,-0.01625448,0.99738880,0.37344170,-0.02807356,0.97531100,0.37056730,-0.00374303,0.92986760,0.36403020,0.01095084,0.96991260,0.37148830,-0.00836992,0.98857770,0.36019690,-0.01892736,0.97265100,0.36266490,-0.06008515,1.00561200,0.40560960,-0.04346965,0.96630390,0.39863880,-0.02893628,0.96268770,0.39423160,-0.01835585,0.95800190,0.38243360,-0.01200149,0.95684890,0.37433290,7,1
-0.02048379,0.89439290,0.37060080,-0.02048379,0.89439290,0.37060080,-0.02048379,0.89439290,0.37060080,-0.03071280,0.91468710,0.37867440,-0.04421256,0.92917030,0.39147080,-0.05942842,0.95319320,0.40340970,-0.06481186,0.98408520,0.41006090,-0.02146946,0.97435690,0.42003570,-0.03420651,1.00374800,0.40365730,-0.04622640,0.98692390,0.39346200,-0.00350421,0.97496580,0.40880720,-0.02380669,1.00344600,0.38795700,-0.03588700,0.98122920,0.38137010,0.00588742,0.97350070,0.39152030,-0.01601443,0.99716340,0.37339040,-0.02769847,0.97501590,0.37050030,-0.00333399,0.92998340,0.36430480,0.01142321,0.96998640,0.37186240,-0.00787099,0.98856480,0.36038420,-0.01847972,0.97264960,0.36270140,-0.05960821,1.00609500,0.40423490,-0.04325974,0.96651010,0.39851210,-0.02880476,0.96255680,0.39414590,-0.01809678,0.95773200,0.38249710,-0.01171899,0.95680940,0.37441450,7,1
-0.01977982,0.89449020,0.37087230,-0.01977982,0.89449020,0.37087230,-0.01977982,0.89449020,0.37087230,-0.02999419,0.91480510,0.37891250,-0.04351427,0.92938740,0.39157420,-0.05882206,0.95351480,0.40318000,-0.06409769,0.98450320,0.40945910,-0.02080701,0.97439970,0.42039460,-0.03341362,1.00379900,0.40392950,-0.04540030,0.98698500,0.39367790,-0.00277764,0.97496870,0.40926730,-0.02310906,1.00326400,0.38819470,-0.03511193,0.98101550,0.38157350,0.00670602,0.97349600,0.39203130,-0.01530737,0.99687480,0.37366970,-0.02687013,0.97466670,0.37075710,-0.00249085,0.93003740,0.36471380,0.01234115,0.96998820,0.37240050,-0.00699354,0.98847440,0.36084190,-0.01761921,0.97255130,0.36302360,-0.05859625,1.00638400,0.40342550,-0.04249831,0.96656640,0.39874630,-0.02812897,0.96231300,0.39436010,-0.01734198,0.95737960,0.38280770,-0.01096221,0.95665930,0.37472600,7,1
-0.01914616,0.89459440,0.37111490,-0.01914616,0.89459440,0.37111490,-0.01914616,0.89459440,0.37111490,-0.02934552,0.91493380,0.37911190,-0.04288791,0.92961610,0.39163350,-0.05828474,0.95384870,0.40289750,-0.06345332,0.98492670,0.40881180,-0.02022469,0.97446010,0.42070660,-0.03268491,1.00386600,0.40414240,-0.04463578,0.98706200,0.39383300,-0.00212588,0.97498270,0.40969030,-0.02245423,1.00310700,0.38838660,-0.03438644,0.98083260,0.38172390,0.00745836,0.97349630,0.39251120,-0.01463016,0.99661240,0.37390880,-0.02608512,0.97435220,0.37096800,-0.00170801,0.93009260,0.36509630,0.01320239,0.96998920,0.37291180,-0.00617237,0.98837140,0.36125480,-0.01680694,0.97243680,0.36330550,-0.05765809,1.00667900,0.40258900,-0.04180492,0.96663960,0.39892630,-0.02751502,0.96210060,0.39452770,-0.01664791,0.95705600,0.38307700,-0.01025561,0.95649960,0.37500600,7,1
-0.01856781,0.89470390,0.37133460,-0.01856781,0.89470390,0.37133460,-0.01856781,0.89470390,0.37133460,-0.02889744,0.91536240,0.37939480,-0.04264029,0.93046950,0.39183230,-0.05797085,0.95527920,0.40314760,-0.06228665,0.98705050,0.40854420,-0.01972165,0.97567710,0.42169240,-0.03218799,1.00552400,0.40479820,-0.04426399,0.98848210,0.39428400,-0.00128949,0.97615480,0.41063890,-0.02191285,1.00446900,0.38875610,-0.03395917,0.98185660,0.38196110,0.00854052,0.97462830,0.39327650,-0.01386196,0.99790280,0.37419290,-0.02542329,0.97530650,0.37111930,-0.00072118,0.93065600,0.36537410,0.01448471,0.97106700,0.37343230,-0.00525847,0.98951830,0.36145680,-0.01600653,0.97332600,0.36350610,-0.05540205,1.00864900,0.40166740,-0.04145690,0.96776810,0.39948830,-0.02707498,0.96287270,0.39501750,-0.01593646,0.95775890,0.38346230,-0.00934732,0.95722000,0.37544670,7,1
