RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.00232369,0.83079520,0.33062270,-0.00232369,0.83079520,0.33062270,-0.00232369,0.83079520,0.33062270,-0.01467136,0.85190190,0.32992820,-0.02866323,0.87114520,0.32753960,-0.04067211,0.89993730,0.32521860,-0.03811700,0.93209240,0.32930300,-0.03809816,0.91019420,0.36948010,-0.03590184,0.94386120,0.35557490,-0.03422996,0.92954460,0.33716190,-0.01750702,0.90966840,0.37563480,-0.01570164,0.94343100,0.35191340,-0.01674017,0.92352240,0.33444410,0.00189788,0.90793510,0.37106810,0.00161489,0.93663760,0.34690520,-0.00346109,0.91876760,0.32933830,0.01507710,0.86553790,0.34231620,0.02046436,0.90451970,0.36182520,0.01646282,0.92773520,0.34397330,0.00915833,0.91662430,0.32965180,-0.02289992,0.94974700,0.33353930,-0.03490090,0.90835580,0.34098500,-0.02086888,0.90113910,0.34220240,-0.00668784,0.89805010,0.33985700,0.00479553,0.89711000,0.33646980,7,4
-0.00192752,0.83131310,0.33064210,-0.00192752,0.83131310,0.33064210,-0.00192752,0.83131310,0.33064210,-0.01428802,0.85241400,0.32999830,-0.02826780,0.87167200,0.32765940,-0.04025081,0.90047720,0.32536650,-0.03766940,0.93263500,0.32941280,-0.03753541,0.91072090,0.36963410,-0.03541987,0.94444840,0.35586330,-0.03385775,0.93022480,0.33736880,-0.01691240,0.91020830,0.37568240,-0.01520784,0.94397750,0.35196290,-0.01638141,0.92406050,0.33451150,0.00246933,0.90848060,0.37101620,0.00202273,0.93720560,0.34688250,-0.00308187,0.91936610,0.32929270,0.01551819,0.86607090,0.34222320,0.02098916,0.90506760,0.36167930,0.01690044,0.92830400,0.34387460,0.00952215,0.91724620,0.32954980,-0.02242960,0.95028840,0.33357180,-0.03450830,0.90901980,0.34110530,-0.02049140,0.90168560,0.34230390,-0.00622346,0.89861760,0.33977620,0.00516533,0.89770650,0.33629850,7,4
-0.00153421,0.83185040,0.33067160,-0.00153421,0.83185040,0.33067160,-0.00153421,0.83185040,0.33067160,-0.01390589,0.85294590,0.33006670,-0.02787223,0.87221830,0.32776530,-0.03982916,0.90103560,0.32549030,-0.03722571,0.93319680,0.32949550,-0.03699457,0.91127710,0.36975960,-0.03494736,0.94505880,0.35611220,-0.03348559,0.93092010,0.33754440,-0.01634388,0.91077760,0.37571380,-0.01472518,0.94454920,0.35199170,-0.01602220,0.92462130,0.33456160,0.00301697,0.90905360,0.37096040,0.00242443,0.93779550,0.34685000,-0.00270241,0.91998260,0.32923970,0.01595059,0.86662480,0.34214350,0.02149518,0.90563990,0.36154160,0.01733214,0.92889430,0.34377750,0.00988739,0.91788720,0.32944800,-0.02196683,0.95085050,0.33358270,-0.03412059,0.90970110,0.34120280,-0.02011803,0.90225630,0.34238930,-0.00576774,0.89920690,0.33969150,0.00553065,0.89832460,0.33612980,7,4
-0.00114330,0.83240280,0.33070880,-0.00114330,0.83240280,0.33070880,-0.00114330,0.83240280,0.33070880,-0.01352492,0.85349320,0.33013370,-0.02750828,0.87275790,0.32787080,-0.03947718,0.90156950,0.32558700,-0.03692460,0.93374410,0.32951750,-0.03647124,0.91185590,0.36986300,-0.03450219,0.94560780,0.35613050,-0.03309980,0.93141630,0.33759850,-0.01579608,0.91136970,0.37573270,-0.01432235,0.94514060,0.35200020,-0.01563426,0.92516090,0.33463050,0.00354569,0.90964770,0.37090150,0.00282713,0.93840810,0.34681660,-0.00232554,0.92058580,0.32922360,0.01637602,0.86719480,0.34207410,0.02198628,0.90623130,0.36141030,0.01781489,0.92958510,0.34377910,0.01027801,0.91864090,0.32944970,-0.02169922,0.95144800,0.33351110,-0.03370615,0.91020870,0.34132710,-0.01965632,0.90280660,0.34252690,-0.00531287,0.89981880,0.33971560,0.00593359,0.89908180,0.33615000,7,4
-0.00059095,0.83291410,0.33070870,-0.00059095,0.83291410,0.33070870,-0.00059095,0.83291410,0.33070870,-0.01289962,0.85404770,0.33015120,-0.02681785,0.87336170,0.32790790,-0.03868015,0.90221670,0.32561480,-0.03606152,0.93439000,0.32951180,-0.03558265,0.91249160,0.36991220,-0.03352446,0.94622500,0.35614740,-0.03219020,0.93200240,0.33763410,-0.01490060,0.91193330,0.37575120,-0.01337441,0.94572090,0.35204570,-0.01473967,0.92571430,0.33471130,0.00442782,0.91014360,0.37089130,0.00375726,0.93894780,0.34685730,-0.00144389,0.92115490,0.32924880,0.01706676,0.86764510,0.34204650,0.02284219,0.90666240,0.36137270,0.01879702,0.93014230,0.34388010,0.01116566,0.91930500,0.32951940,-0.02080940,0.95207860,0.33347090,-0.03286050,0.91080350,0.34140080,-0.01879914,0.90337880,0.34264220,-0.00446156,0.90039630,0.33974850,0.00673883,0.89975800,0.33620110,7,4
-0.00005061,0.83344380,0.33071760,-0.00005061,0.83344380,0.33071760,-0.00005061,0.83344380,0.33071760,-0.01229282,0.85461620,0.33017220,-0.02615045,0.87397540,0.32794320,-0.03791390,0.90286980,0.32563590,-0.03523710,0.93504280,0.32949530,-0.03473354,0.91314150,0.36995110,-0.03259488,0.94685790,0.35615690,-0.03132495,0.93260730,0.33766070,-0.01404511,0.91251890,0.37576090,-0.01247191,0.94631890,0.35207620,-0.01388787,0.92628350,0.33477910,0.00527061,0.91066660,0.37087400,0.00464093,0.93950880,0.34688450,-0.00060198,0.92174160,0.32926240,0.01773348,0.86812110,0.34202180,0.02366031,0.90712460,0.36133020,0.01973416,0.93071980,0.34396620,0.01201488,0.91998460,0.32957580,-0.01996216,0.95271970,0.33341870,-0.03205360,0.91141660,0.34146310,-0.01798121,0.90396750,0.34274720,-0.00364486,0.90099110,0.33977090,0.00751032,0.90044900,0.33623870,7,4
0.00048027,0.83398780,0.33073350,0.00048027,0.83398780,0.33073350,0.00048027,0.83398780,0.33073350,-0.01170054,0.85519590,0.33019630,-0.02551036,0.87459070,0.32798030,-0.03720199,0.90351490,0.32568230,-0.03448120,0.93568660,0.32952250,-0.03391527,0.91380270,0.36998190,-0.03170387,0.94748690,0.35612080,-0.03049202,0.93318030,0.33766410,-0.01322085,0.91312170,0.37576380,-0.01161639,0.94693770,0.35210410,-0.01306247,0.92690400,0.33480760,0.00608268,0.91121080,0.37085140,0.00549105,0.94009090,0.34690660,0.00020784,0.92239170,0.32922810,0.01838137,0.86861750,0.34199940,0.02444888,0.90761110,0.36128390,0.02062245,0.93130430,0.34403150,0.01283267,0.92066010,0.32961160,-0.01917756,0.95334550,0.33341470,-0.03127184,0.91200070,0.34151740,-0.01717229,0.90457030,0.34271730,-0.00286886,0.90162320,0.33969120,0.00828101,0.90114050,0.33628910,7,4
0.00121096,0.83470110,0.33073190,0.00121096,0.83470110,0.33073190,0.00121096,0.83470110,0.33073190,-0.01087280,0.85596700,0.33030440,-0.02461215,0.87542550,0.32821180,-0.03619161,0.90440360,0.32602800,-0.03334114,0.93656470,0.32986250,-0.03249075,0.91465360,0.37030080,-0.03023693,0.94831880,0.35640020,-0.02923241,0.93397860,0.33795690,-0.01175435,0.91387070,0.37591700,-0.01021057,0.94772350,0.35230590,-0.01184132,0.92771070,0.33500160,0.00750008,0.91187130,0.37084950,0.00684131,0.94081410,0.34698240,0.00136893,0.92320820,0.32926840,0.01936572,0.86923820,0.34187520,0.02577208,0.90819040,0.36113380,0.02197648,0.93200370,0.34404080,0.01400191,0.92148060,0.32963300,-0.01795128,0.95417360,0.33364010,-0.03007675,0.91280700,0.34184050,-0.01595899,0.90536150,0.34286360,-0.00171003,0.90241830,0.33968810,0.00940958,0.90197770,0.33633150,7,4
0.00191822,0.83540990,0.33073670,0.00191822,0.83540990,0.33073670,0.00191822,0.83540990,0.33073670,-0.01007424,0.85672920,0.33040640,-0.02374618,0.87624660,0.32842370,-0.03521910,0.90527430,0.32633910,-0.03225084,0.93742610,0.33016230,-0.03113844,0.91549350,0.37058350,-0.02884485,0.94913970,0.35664330,-0.02803195,0.93476730,0.33821570,-0.01036503,0.91461670,0.37604700,-0.00887593,0.94850210,0.35247910,-0.01067596,0.92850570,0.33517250,0.00884266,0.91253440,0.37083750,0.00812337,0.94153480,0.34704210,0.00247885,0.92401560,0.32929600,0.02030675,0.86986170,0.34176000,0.02702640,0.90877700,0.36098640,0.02326741,0.93270340,0.34404380,0.01512133,0.92229680,0.32964740,-0.01678383,0.95499030,0.33383130,-0.02893617,0.91360390,0.34213050,-0.01480143,0.90614340,0.34299280,-0.00060242,0.90320650,0.33967650,0.01048909,0.90280990,0.33636530,7,4
0.00260693,0.83611500,0.33074640,0.00260693,0.83611500,0.33074640,0.00260693,0.83611500,0.33074640,-0.00929878,0.85748410,0.33050330,-0.02288802,0.87706830,0.32861370,-0.03423087,0.90615240,0.32660390,-0.03110342,0.93829130,0.33040860,-0.02984292,0.91632460,0.37083790,-0.02753071,0.94990860,0.35675150,-0.02687333,0.93544100,0.33839230,-0.00903644,0.91536000,0.37615870,-0.00758639,0.94923010,0.35256650,-0.00956513,0.92919950,0.33531910,0.01012631,0.91319930,0.37081750,0.00934328,0.94224140,0.34707490,0.00355073,0.92475590,0.32934330,0.02121357,0.87048720,0.34165180,0.02822642,0.90936900,0.36084120,0.02444726,0.93336950,0.34400820,0.01619289,0.92303380,0.32962240,-0.01553175,0.95578250,0.33398180,-0.02781862,0.91429870,0.34240960,-0.01371222,0.90686940,0.34321950,0.00048384,0.90395300,0.33974050,0.01156312,0.90354720,0.33634250,7,4
