RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.02026041,0.80773910,0.45637290,0.02026041,0.80773910,0.45637290,0.02026041,0.80773910,0.45637290,0.01030387,0.82889140,0.44839130,-0.00182521,0.84796870,0.43990540,-0.01114021,0.87616350,0.42912650,0.01263117,0.89760150,0.42182090,0.00158949,0.90201720,0.46241380,-0.00190236,0.93857680,0.46543780,-0.00394031,0.96209860,0.46503030,0.02301641,0.90023610,0.46541240,0.02854139,0.94104280,0.47203390,0.03232775,0.96718500,0.47636180,0.04100184,0.89326720,0.45938970,0.05006803,0.92953360,0.46556270,0.05625463,0.95434560,0.46912590,0.04354627,0.84079520,0.44972810,0.05704295,0.88304540,0.44996990,0.07134223,0.90881220,0.45471410,0.08231276,0.92493440,0.45774330,0.03628007,0.89413140,0.42279880,-0.00432409,0.98384420,0.46544870,0.03674523,0.98977950,0.48408460,0.06105645,0.97711600,0.47355160,0.09268699,0.94260590,0.46367890,3,4
0.02003154,0.80894590,0.45700350,0.02003154,0.80894590,0.45700350,0.02003154,0.80894590,0.45700350,0.01012107,0.83008280,0.44892450,-0.00205543,0.84911330,0.44040150,-0.01143715,0.87724290,0.42951050,0.01228261,0.89873490,0.42219600,0.00131854,0.90323320,0.46276250,-0.00204800,0.93981780,0.46562160,-0.00398973,0.96334650,0.46514260,0.02272741,0.90145930,0.46589140,0.02833282,0.94230320,0.47220900,0.03217026,0.96846930,0.47634340,0.04074875,0.89448090,0.45998810,0.04991883,0.93066640,0.46647480,0.05619274,0.95541690,0.47030330,0.04335411,0.84199170,0.45043700,0.05684619,0.88424330,0.45068230,0.07116131,0.91002270,0.45530880,0.08214159,0.92615060,0.45827180,0.03592699,0.89526510,0.42327890,-0.00428958,0.98509450,0.46549950,0.03661724,0.99110090,0.48393930,0.06106101,0.97813000,0.47494540,0.09251830,0.94384520,0.46413390,3,4
0.01982122,0.81008270,0.45761480,0.01982122,0.81008270,0.45761480,0.01982122,0.81008270,0.45761480,0.00995363,0.83120380,0.44944260,-0.00226829,0.85018840,0.44088230,-0.01171366,0.87825380,0.42988140,0.01195655,0.89979780,0.42255910,0.00106081,0.90437670,0.46310230,-0.00218145,0.94098500,0.46579870,-0.00402879,0.96451950,0.46524480,0.02245177,0.90261190,0.46635630,0.02813710,0.94349060,0.47237030,0.03202534,0.96967900,0.47631140,0.04050757,0.89562620,0.46056810,0.04977404,0.93173080,0.46736130,0.05612865,0.95641950,0.47144790,0.04317565,0.84312090,0.45112370,0.05665942,0.88537510,0.45137210,0.07099533,0.91116370,0.45588150,0.08198841,0.92729500,0.45877810,0.03560037,0.89635430,0.42373420,-0.00424636,0.98626960,0.46553520,0.03650285,0.99234540,0.48378480,0.06105818,0.97907510,0.47630100,0.09237135,0.94501020,0.46456620,3,4
0.01962543,0.81116490,0.45821120,0.01962543,0.81116490,0.45821120,0.01962543,0.81116490,0.45821120,0.00979830,0.83226980,0.44994880,-0.00241550,0.85122590,0.44131400,-0.01186448,0.87929730,0.43033150,0.01180032,0.90088000,0.42310660,0.00081361,0.90546370,0.46343520,-0.00246707,0.94206600,0.46616490,-0.00432019,0.96560400,0.46581580,0.02218669,0.90370940,0.46681020,0.02787615,0.94458020,0.47287360,0.03176652,0.97076330,0.47684770,0.04027575,0.89671820,0.46113360,0.04948960,0.93277000,0.46827040,0.05582143,0.95741660,0.47263600,0.04300782,0.84419760,0.45179300,0.05648044,0.88645540,0.45204430,0.07081556,0.91225180,0.45651130,0.08180781,0.92838660,0.45939050,0.03544109,0.89743960,0.42435010,-0.00453888,0.98734790,0.46640830,0.03621489,0.99344330,0.48429730,0.06072203,0.98002300,0.47774150,0.09218481,0.94610420,0.46518230,3,4
0.01933589,0.81254420,0.45858290,0.01933589,0.81254420,0.45858290,0.01933589,0.81254420,0.45858290,0.00953955,0.83364500,0.45027360,-0.00267978,0.85258600,0.44161360,-0.01214664,0.88067250,0.43068500,0.01150528,0.90228220,0.42349870,0.00055055,0.90685620,0.46366310,-0.00272219,0.94345560,0.46644070,-0.00455893,0.96699710,0.46629410,0.02191391,0.90509620,0.46709610,0.02765645,0.94595630,0.47318120,0.03158059,0.97213230,0.47716980,0.04001489,0.89809170,0.46147420,0.04922867,0.93407670,0.46894040,0.05557133,0.95867150,0.47357430,0.04274917,0.84556060,0.45219340,0.05623908,0.88781290,0.45243780,0.07060835,0.91360240,0.45683460,0.08162187,0.92973010,0.45967270,0.03514382,0.89882730,0.42474470,-0.00475714,0.98873150,0.46717150,0.03604145,0.99481960,0.48458900,0.06047690,0.98122040,0.47892350,0.09202427,0.94743900,0.46544520,3,4
0.01906320,0.81386710,0.45896640,0.01906320,0.81386710,0.45896640,0.01906320,0.81386710,0.45896640,0.00929686,0.83496240,0.45060790,-0.00292953,0.85388630,0.44192060,-0.01241622,0.88198350,0.43103690,0.01122120,0.90362170,0.42388870,0.00029372,0.90819020,0.46389630,-0.00296572,0.94478830,0.46670700,-0.00478327,0.96833170,0.46674460,0.02164684,0.90642700,0.46739090,0.02744060,0.94728060,0.47347160,0.03139731,0.97345190,0.47745810,0.03976123,0.89941100,0.46182690,0.04897517,0.93532790,0.46961360,0.05532832,0.95986940,0.47450890,0.04250477,0.84686950,0.45260820,0.05600738,0.88911770,0.45284660,0.07041082,0.91490030,0.45717140,0.08144556,0.93102080,0.45996760,0.03485923,0.90016500,0.42513920,-0.00495941,0.99005400,0.46788510,0.03587064,0.99614870,0.48484100,0.06023822,0.98235990,0.48009460,0.09187269,0.94872220,0.46571830,3,4
0.01880283,0.81514870,0.45935940,0.01880283,0.81514870,0.45935940,0.01880283,0.81514870,0.45935940,0.00906600,0.83623740,0.45094990,-0.00307040,0.85517390,0.44216450,-0.01244378,0.88330570,0.43127210,0.01127515,0.90489790,0.42425590,0.00004163,0.90948140,0.46413400,-0.00342260,0.94606600,0.46687500,-0.00536279,0.96959940,0.46696880,0.02138401,0.90771700,0.46769290,0.02697275,0.94857030,0.47396370,0.03079774,0.97474220,0.47807310,0.03951291,0.90069070,0.46218930,0.04857121,0.93658790,0.47024480,0.05482342,0.96111420,0.47534210,0.04227077,0.84813870,0.45303450,0.05578274,0.89038400,0.45326750,0.07006992,0.91623100,0.45759390,0.08103174,0.93240000,0.46039620,0.03494719,0.90167330,0.42548270,-0.00565115,0.99131410,0.46822710,0.03514181,0.99742720,0.48556850,0.05963521,0.98358070,0.48110680,0.09137784,0.95013890,0.46617790,3,4
0.01820548,0.81709520,0.45937260,0.01820548,0.81709520,0.45937260,0.01820548,0.81709520,0.45937260,0.00851158,0.83823310,0.45103750,-0.00354327,0.85724480,0.44230230,-0.01279642,0.88546630,0.43153980,0.01102012,0.90693950,0.42448930,-0.00013140,0.91150120,0.46434300,-0.00360352,0.94808210,0.46712160,-0.00555360,0.97161390,0.46733810,0.02122259,0.90964330,0.46778270,0.02684953,0.95046160,0.47424480,0.03069941,0.97661050,0.47847550,0.03929119,0.90254630,0.46217260,0.04842135,0.93836460,0.47049440,0.05472495,0.96283490,0.47579300,0.04177717,0.84999250,0.45295130,0.05546818,0.89218020,0.45315140,0.06979530,0.91801740,0.45740320,0.08078265,0.93417930,0.46014640,0.03471603,0.90381570,0.42549700,-0.00584019,0.99331840,0.46876180,0.03508377,0.99925370,0.48607340,0.05958740,0.98524190,0.48174380,0.09117866,0.95189800,0.46590050,3,4
0.01764575,0.81895490,0.45942430,0.01764575,0.81895490,0.45942430,0.01764575,0.81895490,0.45942430,0.00799356,0.84013610,0.45115080,-0.00398648,0.85921350,0.44245600,-0.01312971,0.88751480,0.43180960,0.01077446,0.90888150,0.42473250,-0.00030926,0.91342590,0.46455340,-0.00379045,0.95000370,0.46736190,-0.00574894,0.97353350,0.46769570,0.02105328,0.91148420,0.46789230,0.02671383,0.95227140,0.47452000,0.03058560,0.97839980,0.47885580,0.03906855,0.90432330,0.46219280,0.04826059,0.94006300,0.47077960,0.05460921,0.96447740,0.47627880,0.04131211,0.85176770,0.45291900,0.05516398,0.89390310,0.45308840,0.06952728,0.91973220,0.45726670,0.08053771,0.93588790,0.45995330,0.03449094,0.90585840,0.42554390,-0.00603284,0.99522690,0.46927990,0.03500462,1.00100600,0.48654280,0.05951556,0.98682520,0.48241380,0.09097736,0.95359220,0.46567240,3,4
0.01711612,0.82074510,0.45950630,0.01711612,0.82074510,0.45950630,0.01711612,0.82074510,0.45950630,0.00750460,0.84196480,0.45128440,-0.00439993,0.86110230,0.44261810,-0.01342794,0.88945510,0.43201050,0.01056499,0.91070960,0.42489560,-0.00049051,0.91527440,0.46476530,-0.00409042,0.95183060,0.46770280,-0.00612755,0.97535100,0.46819220,0.02087828,0.91325670,0.46801790,0.02647727,0.95403560,0.47474700,0.03030990,0.98015920,0.47914700,0.03884577,0.90603690,0.46224220,0.04818106,0.94177440,0.47068250,0.05462767,0.96618340,0.47609060,0.04087007,0.85347970,0.45292710,0.05486858,0.89556670,0.45306730,0.06920411,0.92146020,0.45693090,0.08019769,0.93766150,0.45940300,0.03431594,0.90791810,0.42550260,-0.00647359,0.99702810,0.46997390,0.03469978,1.00277400,0.48682570,0.05963197,0.98852690,0.48216190,0.09064594,0.95542670,0.46491390,3,4
0.01703488,0.82272650,0.45960720,0.01703488,0.82272650,0.45960720,0.01703488,0.82272650,0.45960720,0.00748544,0.84397730,0.45139330,-0.00432434,0.86316560,0.44270970,-0.01321456,0.89156070,0.43209890,0.01088127,0.91270010,0.42498900,-0.00023865,0.91731720,0.46486740,-0.00395141,0.95385560,0.46788390,-0.00605923,0.97736680,0.46849980,0.02112746,0.91522660,0.46809160,0.02665987,0.95600180,0.47489780,0.03044992,0.98212320,0.47934710,0.03906211,0.90794350,0.46229330,0.04851619,0.94367390,0.47063090,0.05504542,0.96807410,0.47597930,0.04089259,0.85537740,0.45298810,0.05503629,0.89741600,0.45309920,0.06934099,0.92336670,0.45668290,0.08031556,0.93960830,0.45896810,0.03466041,0.91013050,0.42545660,-0.00646321,0.99902800,0.47045580,0.03479823,1.00475000,0.48701440,0.06013004,0.99041010,0.48201120,0.09076107,0.95743200,0.46429220,3,4
0.01693621,0.82463380,0.45972610,0.01693621,0.82463380,0.45972610,0.01693621,0.82463380,0.45972610,0.00744566,0.84591300,0.45151740,-0.00427386,0.86514810,0.44281490,-0.01303359,0.89358290,0.43220200,0.01115903,0.91461440,0.42510070,-0.00002748,0.91928090,0.46498060,-0.00385027,0.95580210,0.46806820,-0.00602640,0.97930340,0.46880690,0.02133548,0.91712250,0.46818100,0.02680123,0.95789430,0.47506150,0.03054865,0.98401370,0.47955830,0.03924000,0.90978040,0.46236410,0.04880156,0.94549830,0.47063210,0.05540515,0.96988740,0.47594020,0.04089105,0.85720630,0.45307090,0.05516976,0.89919920,0.45315460,0.06944206,0.92520240,0.45647720,0.08039658,0.94148110,0.45858840,0.03496246,0.91225820,0.42543730,-0.00648625,1.00094700,0.47093330,0.03485511,1.00665100,0.48721730,0.06056196,0.99221300,0.48194900,0.09083627,0.95935990,0.46373580,3,4
