RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.05427015,0.88331330,0.42880080,-0.05427015,0.88331330,0.42880080,-0.05427015,0.88331330,0.42880080,-0.03439619,0.89917470,0.42943840,-0.01414274,0.91246490,0.42384290,0.01416692,0.92831890,0.42611140,0.03027597,0.94955220,0.44690860,-0.01221302,0.97310440,0.42888330,0.01170671,0.99606970,0.44732440,0.02580934,0.97877060,0.45696770,-0.02814426,0.97405990,0.44453280,-0.01532537,1.01193900,0.46018630,-0.00671730,1.03590800,0.47072010,-0.03722312,0.96614510,0.46149770,-0.03320594,1.00176800,0.47688440,-0.03026650,1.02590900,0.48762210,-0.05118053,0.91302720,0.45859390,-0.04381177,0.95362960,0.47815860,-0.04945665,0.97703470,0.49725910,-0.05425169,0.99140540,0.51080060,0.03250088,0.96103040,0.46858790,0.02772295,0.95649560,0.45831690,-0.00394325,1.05961200,0.47817430,-0.02890485,1.04889600,0.49566150,-0.06053067,1.00866800,0.52284650,9,0
-0.05414334,0.88321290,0.42891410,-0.05414334,0.88321290,0.42891410,-0.05414334,0.88321290,0.42891410,-0.03423914,0.89903740,0.42952510,-0.01396974,0.91228930,0.42389670,0.01439559,0.92804620,0.42614550,0.03048659,0.94919400,0.44704370,-0.01191942,0.97292570,0.42893930,0.01203999,0.99582150,0.44741510,0.02613204,0.97849240,0.45701980,-0.02782823,0.97391110,0.44460970,-0.01478439,1.01170800,0.46027760,-0.00604782,1.03563000,0.47081090,-0.03689939,0.96601340,0.46158670,-0.03289060,1.00162900,0.47699410,-0.02996102,1.02576500,0.48774400,-0.05095926,0.91292150,0.45870240,-0.04348932,0.95351050,0.47825660,-0.04894978,0.97699840,0.49730900,-0.05361224,0.99143010,0.51083190,0.03266606,0.96060930,0.46876080,0.02804834,0.95621620,0.45834610,-0.00315326,1.05931700,0.47827570,-0.02851862,1.04872800,0.49583700,-0.05975378,1.00875600,0.52285670,9,0
-0.05443564,0.88277670,0.42930270,-0.05443564,0.88277670,0.42930270,-0.05443564,0.88277670,0.42930270,-0.03452134,0.89859180,0.42982340,-0.01426473,0.91182300,0.42410100,0.01413861,0.92752550,0.42624860,0.03022749,0.94864590,0.44717600,-0.01216516,0.97246730,0.42904200,0.01183658,0.99535980,0.44746690,0.02595821,0.97803410,0.45703450,-0.02802312,0.97348730,0.44476180,-0.01478332,1.01124500,0.46035810,-0.00593495,1.03515100,0.47083610,-0.03704391,0.96562290,0.46178090,-0.03305484,1.00126100,0.47714070,-0.03014091,1.02541400,0.48785650,-0.05114059,0.91253360,0.45903080,-0.04358685,0.95315140,0.47849280,-0.04887160,0.97673720,0.49747370,-0.05340516,0.99123950,0.51096490,0.03239222,0.96004020,0.46890560,0.02790549,0.95576120,0.45836860,-0.00294144,1.05883500,0.47826780,-0.02862925,1.04836900,0.49596060,-0.05941941,1.00863500,0.52295420,9,0
-0.05469333,0.88236870,0.42967000,-0.05469333,0.88236870,0.42967000,-0.05469333,0.88236870,0.42967000,-0.03476847,0.89817290,0.43010750,-0.01452310,0.91138320,0.42429750,0.01391785,0.92703000,0.42635130,0.03000470,0.94812040,0.44731070,-0.01237222,0.97203420,0.42914820,0.01166797,0.99492130,0.44752960,0.02581531,0.97759600,0.45705960,-0.02818261,0.97308710,0.44491360,-0.01475422,1.01080400,0.46044830,-0.00579856,1.03469100,0.47087760,-0.03715711,0.96525350,0.46197140,-0.03318417,1.00091100,0.47728930,-0.03028260,1.02507900,0.48797550,-0.05129247,0.91216830,0.45934330,-0.04365733,0.95281090,0.47872150,-0.04877827,0.97648580,0.49763640,-0.05319188,0.99105230,0.51109810,0.03215427,0.95949180,0.46905370,0.02778932,0.95532550,0.45839660,-0.00270948,1.05837200,0.47828120,-0.02869961,1.04802500,0.49609340,-0.05908703,1.00851100,0.52305480,9,0
-0.05492374,0.88198300,0.43002060,-0.05492374,0.88198300,0.43002060,-0.05492374,0.88198300,0.43002060,-0.03536465,0.89747700,0.43037370,-0.01551266,0.91041640,0.42458800,0.01241178,0.92574370,0.42649250,0.02821339,0.94643410,0.44704290,-0.01334950,0.96992770,0.42927140,0.01027491,0.99240150,0.44723100,0.02418664,0.97541990,0.45656360,-0.02881700,0.97099140,0.44478100,-0.01569119,1.00803300,0.45997330,-0.00695310,1.03150500,0.47016370,-0.03757961,0.96333430,0.46155170,-0.03366502,0.99829190,0.47663750,-0.03080401,1.02198400,0.48716120,-0.05148728,0.91125730,0.45908360,-0.04391836,0.95115330,0.47801990,-0.04887780,0.97439740,0.49657400,-0.05319509,0.98870460,0.50976840,0.03036200,0.95759700,0.46836790,0.02614962,0.95357410,0.45790080,-0.00397537,1.05475500,0.47739530,-0.02920583,1.04447300,0.49518130,-0.05897021,1.00584600,0.52148410,9,0
-0.05491546,0.88211790,0.43047520,-0.05491546,0.88211790,0.43047520,-0.05491546,0.88211790,0.43047520,-0.03535495,0.89761070,0.43080400,-0.01550956,0.91054450,0.42498330,0.01242427,0.92585970,0.42684670,0.02819188,0.94653840,0.44743490,-0.01333543,0.97005910,0.42964540,0.01027840,0.99254910,0.44759860,0.02421161,0.97558180,0.45692530,-0.02879010,0.97113220,0.44516710,-0.01574819,1.00819900,0.46036980,-0.00708134,1.03169900,0.47055680,-0.03753949,0.96348450,0.46194900,-0.03365705,0.99840780,0.47712240,-0.03081472,1.02207500,0.48770690,-0.05145298,0.91140740,0.45951990,-0.04386559,0.95131280,0.47842880,-0.04880711,0.97455760,0.49698670,-0.05314158,0.98886890,0.51017100,0.03032900,0.95768920,0.46876740,0.02620884,0.95373970,0.45827050,-0.00417372,1.05496000,0.47778380,-0.02919533,1.04453500,0.49580190,-0.05893637,1.00601300,0.52187420,9,0
-0.05490818,0.88222510,0.43090960,-0.05490818,0.88222510,0.43090960,-0.05490818,0.88222510,0.43090960,-0.03534506,0.89771510,0.43121330,-0.01550563,0.91064180,0.42535690,0.01243943,0.92594160,0.42717870,0.02817568,0.94660610,0.44780510,-0.01331569,0.97015960,0.42999830,0.01028968,0.99266310,0.44794590,0.02424292,0.97570780,0.45726430,-0.02875656,0.97124300,0.44553310,-0.01578426,1.00833000,0.46074660,-0.00717918,1.03185400,0.47093080,-0.03749236,0.96360520,0.46232660,-0.03363797,0.99849560,0.47758240,-0.03081103,1.02213900,0.48822430,-0.05141579,0.91152890,0.45993630,-0.04380581,0.95144280,0.47881810,-0.04872467,0.97469050,0.49737860,-0.05307157,0.98900710,0.51055300,0.03030172,0.95774340,0.46914580,0.02627186,0.95386890,0.45861520,-0.00433258,1.05512300,0.47815440,-0.02916519,1.04457100,0.49639230,-0.05888087,1.00615400,0.52224410,9,0
-0.05490168,0.88231060,0.43132830,-0.05490168,0.88231060,0.43132830,-0.05490168,0.88231060,0.43132830,-0.03533503,0.89779660,0.43160620,-0.01549536,0.91071740,0.42573740,0.01247696,0.92596590,0.42757010,0.02822556,0.94659800,0.44821960,-0.01329152,0.97023580,0.43033480,0.01034710,0.99270630,0.44828000,0.02428952,0.97572990,0.45757630,-0.02871782,0.97133020,0.44588330,-0.01562015,1.00841400,0.46099600,-0.00694056,1.03194000,0.47111210,-0.03743974,0.96370260,0.46268860,-0.03341467,0.99858080,0.47792830,-0.03047550,1.02221700,0.48855690,-0.05137635,0.91162810,0.46033710,-0.04374054,0.95154980,0.47919200,-0.04865180,0.97474860,0.49781550,-0.05293903,0.98902430,0.51105370,0.03037610,0.95773400,0.46955840,0.02631054,0.95388980,0.45892090,-0.00399449,1.05520900,0.47829580,-0.02870297,1.04463900,0.49672580,-0.05863906,1.00613700,0.52284880,9,0
-0.05405037,0.88296760,0.43129620,-0.05405037,0.88296760,0.43129620,-0.05405037,0.88296760,0.43129620,-0.03452955,0.89851050,0.43161960,-0.01470572,0.91148250,0.42581060,0.01323779,0.92676970,0.42775740,0.02884336,0.94743310,0.44848400,-0.01269133,0.97101160,0.43033320,0.01083153,0.99353810,0.44836000,0.02477878,0.97659250,0.45770500,-0.02817170,0.97207990,0.44582960,-0.01513801,1.00921200,0.46088030,-0.00650705,1.03277400,0.47095400,-0.03692670,0.96444730,0.46261550,-0.03291779,0.99933460,0.47783850,-0.02999305,1.02297800,0.48845510,-0.05070504,0.91232990,0.46028110,-0.04324654,0.95229610,0.47911280,-0.04829826,0.97544840,0.49775660,-0.05262957,0.98968290,0.51102480,0.03088982,0.95858740,0.46982350,0.02685680,0.95475890,0.45906740,-0.00357185,1.05605600,0.47809850,-0.02820288,1.04539900,0.49662290,-0.05832921,1.00675400,0.52287970,9,0
-0.05327078,0.88356160,0.43129140,-0.05327078,0.88356160,0.43129140,-0.05327078,0.88356160,0.43129140,-0.03379095,0.89915490,0.43165330,-0.01398184,0.91217220,0.42589550,0.01393740,0.92749050,0.42794320,0.02941167,0.94817890,0.44874320,-0.01213540,0.97171040,0.43034740,0.01128337,0.99428640,0.44844790,0.02523523,0.97736780,0.45783490,-0.02766296,0.97275640,0.44579810,-0.01468228,1.00993000,0.46079050,-0.00609334,1.03352500,0.47082390,-0.03644656,0.96512030,0.46256730,-0.03244711,1.00001300,0.47777930,-0.02953129,1.02366100,0.48838770,-0.05008422,0.91296490,0.46025250,-0.04278257,0.95297130,0.47906020,-0.04795793,0.97608040,0.49772370,-0.05232570,0.99027690,0.51102050,0.03136335,0.95934780,0.47008400,0.02736568,0.95554020,0.45921260,-0.00316373,1.05681900,0.47793280,-0.02771699,1.04607900,0.49655940,-0.05801855,1.00731000,0.52293320,9,0
