RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.08524896,1.12921800,0.56771840,0.08524896,1.12921800,0.56771840,0.08524896,1.12921800,0.56771840,0.09867770,1.14729400,0.55713060,0.11182060,1.16274800,0.54371230,0.13272570,1.18442000,0.53342400,0.14853620,1.21038200,0.54645510,0.10142920,1.22089200,0.54045520,0.10788420,1.25739200,0.53847180,0.11324950,1.28055000,0.53763300,0.09564421,1.22208900,0.56150940,0.13584180,1.23343100,0.56604330,0.13781690,1.20699200,0.56113360,0.09798347,1.21602000,0.58079680,0.13604640,1.21874900,0.58139400,0.13546360,1.19445700,0.57212500,0.09604604,1.16288300,0.58901940,0.10318220,1.20587100,0.59888240,0.13271340,1.20643200,0.59326540,0.13179120,1.18843600,0.58487300,0.15292280,1.22176000,0.56723830,0.11403700,1.30244100,0.53812820,0.11631580,1.19736800,0.55454720,0.11540270,1.18319400,0.56579430,0.11584030,1.17596200,0.57767640,0,5
0.08495605,1.12725300,0.56848490,0.08495605,1.12725300,0.56848490,0.08495605,1.12725300,0.56848490,0.09837656,1.14537200,0.55795840,0.11147410,1.16086900,0.54454590,0.13233740,1.18257800,0.53425090,0.14827780,1.20854600,0.54711010,0.10114650,1.21904800,0.54163430,0.10752390,1.25555900,0.53961670,0.11288040,1.27871800,0.53875530,0.09540375,1.22014600,0.56270540,0.13561680,1.23146700,0.56715420,0.13763750,1.20503700,0.56222020,0.09777665,1.21398300,0.58195850,0.13584110,1.21670500,0.58248010,0.13526520,1.19243400,0.57315430,0.09581837,1.16080800,0.58992740,0.10300380,1.20374200,0.59998440,0.13252190,1.20432200,0.59430100,0.13162410,1.18633900,0.58587650,0.15285260,1.21995300,0.56783730,0.11366530,1.30061000,0.53924150,0.11614370,1.19537300,0.55566730,0.11520550,1.18116600,0.56683160,0.11570710,1.17382800,0.57867020,0,5
0.08468787,1.12535800,0.56919690,0.08468787,1.12535800,0.56919690,0.08468787,1.12535800,0.56919690,0.09809912,1.14351600,0.55872670,0.11115260,1.15905500,0.54532000,0.13196970,1.18080400,0.53501650,0.14803150,1.20678300,0.54770230,0.10088640,1.21726500,0.54273810,0.10718970,1.25378700,0.54067830,0.11253530,1.27694700,0.53978830,0.09518808,1.21826900,0.56382600,0.13541830,1.22956300,0.56818680,0.13747760,1.20314100,0.56322520,0.09759657,1.21201500,0.58304540,0.13566290,1.21472500,0.58348650,0.13508890,1.19047600,0.57410400,0.09561787,1.15880500,0.59077200,0.10285390,1.20168800,0.60101280,0.13235800,1.20227600,0.59525760,0.13147700,1.18430600,0.58680310,0.15279110,1.21822000,0.56837110,0.11331570,1.29884000,0.54026040,0.11598840,1.19344400,0.55670740,0.11502830,1.17920300,0.56779120,0.11558930,1.17176100,0.57959100,0,5
0.08443920,1.12351700,0.56986600,0.08443920,1.12351700,0.56986600,0.08443920,1.12351700,0.56986600,0.09784043,1.14171200,0.55944800,0.11085790,1.15729500,0.54605700,0.13173860,1.17900300,0.53579520,0.14795780,1.20490800,0.54843120,0.10064430,1.21553000,0.54378280,0.10687390,1.25205400,0.54155080,0.11222970,1.27520800,0.54055030,0.09499212,1.21644400,0.56488730,0.13524280,1.22771700,0.56911120,0.13742310,1.20129500,0.56420100,0.09743769,1.21010300,0.58407330,0.13550540,1.21280800,0.58441160,0.13501500,1.18855400,0.57503790,0.09543882,1.15686000,0.59156660,0.10272660,1.19969100,0.60198310,0.13221940,1.20038500,0.59618210,0.13142830,1.18242200,0.58770480,0.15286540,1.21632800,0.56907510,0.11302240,1.29710200,0.54093290,0.11596980,1.19147900,0.55774320,0.11498330,1.17721200,0.56875750,0.11561470,1.16979100,0.58048120,0,5
0.08419726,1.12206000,0.57173710,0.08419726,1.12206000,0.57173710,0.08419726,1.12206000,0.57173710,0.09762482,1.14021200,0.56127770,0.11063610,1.15574500,0.54782300,0.13161120,1.17732500,0.53748530,0.14804190,1.20319000,0.54992990,0.10060410,1.21401500,0.54557700,0.10684120,1.25051600,0.54300400,0.11225510,1.27364500,0.54178490,0.09500868,1.21495400,0.56669550,0.13530660,1.22613200,0.57071530,0.13753810,1.19968400,0.56597540,0.09748489,1.20861300,0.58587770,0.13555990,1.21122700,0.58608540,0.13508720,1.18692600,0.57683200,0.09534976,1.15537900,0.59339650,0.10278930,1.19819300,0.60377780,0.13226920,1.19888400,0.59791150,0.13151360,1.18089000,0.58949750,0.15313260,1.21468400,0.57048800,0.11310630,1.29554000,0.54197750,0.11609320,1.18977500,0.55963270,0.11505400,1.17553600,0.57064550,0.11573650,1.16818000,0.58233110,0,5
0.08396824,1.12060900,0.57347760,0.08396824,1.12060900,0.57347760,0.08396824,1.12060900,0.57347760,0.09741806,1.13872300,0.56298240,0.11041970,1.15421400,0.54946910,0.13147540,1.17568100,0.53905960,0.14810620,1.20150800,0.55131450,0.10055740,1.21251700,0.54726920,0.10679470,1.24899400,0.54437750,0.11225970,1.27210000,0.54295360,0.09501914,1.21347300,0.56840200,0.13536150,1.22456000,0.57222410,0.13764240,1.19808800,0.56763820,0.09752760,1.20712600,0.58757810,0.13560900,1.20965400,0.58765630,0.13515260,1.18531200,0.57851020,0.09526717,1.15389900,0.59510600,0.10284980,1.19669200,0.60546520,0.13231600,1.19738000,0.59953000,0.13159230,1.17935800,0.59117230,0.15337880,1.21307100,0.57178770,0.11316310,1.29399300,0.54296890,0.11620510,1.18809200,0.56140720,0.11511780,1.17387600,0.57241300,0.11584980,1.16657600,0.58406010,0,5
0.08374936,1.11916200,0.57511530,0.08374936,1.11916200,0.57511530,0.08374936,1.11916200,0.57511530,0.09721825,1.13724400,0.56458860,0.11022530,1.15270400,0.55104570,0.13129760,1.17412900,0.54058370,0.14803240,1.19993200,0.55274900,0.10050590,1.21103300,0.54888090,0.10681170,1.24749400,0.54594480,0.11237630,1.27057400,0.54449190,0.09502491,1.21199800,0.57002820,0.13540950,1.22300400,0.57363190,0.13768940,1.19650200,0.56922540,0.09756688,1.20564100,0.58919650,0.13565090,1.20813000,0.58916910,0.13517530,1.18376500,0.58008620,0.09518965,1.15241900,0.59672050,0.10290880,1.19519100,0.60706780,0.13236070,1.19584000,0.60105790,0.13164280,1.17780500,0.59272730,0.15340240,1.21149900,0.57319470,0.11338750,1.29246300,0.54449100,0.11623840,1.18645300,0.56312910,0.11511970,1.17232400,0.57406690,0.11587730,1.16501900,0.58567360,0,5
0.08363889,1.11690200,0.57544410,0.08363889,1.11690200,0.57544410,0.08363889,1.11690200,0.57544410,0.09710001,1.13499400,0.56492410,0.11009240,1.15046900,0.55138390,0.13114920,1.17190700,0.54091730,0.14793100,1.19770300,0.55303230,0.10040200,1.20880600,0.54933090,0.10670020,1.24526800,0.54638420,0.11231410,1.26833600,0.54492440,0.09495730,1.20974000,0.57048900,0.13535810,1.22073900,0.57393100,0.13769570,1.19422000,0.56966040,0.09752811,1.20335100,0.58964260,0.13560990,1.20587200,0.58954610,0.13517280,1.18149600,0.58049110,0.09513407,1.15011700,0.59708400,0.10289440,1.19286800,0.60748790,0.13233590,1.19354600,0.60143020,0.13166660,1.17550800,0.59310160,0.15336520,1.20926200,0.57346530,0.11338340,1.29022200,0.54492500,0.11625760,1.18408400,0.56366240,0.11512570,1.17001700,0.57451490,0.11591410,1.16269200,0.58607270,0,5
0.08351863,1.11459700,0.57584670,0.08351863,1.11459700,0.57584670,0.08351863,1.11459700,0.57584670,0.09697204,1.13269800,0.56533310,0.10994780,1.14818800,0.55179380,0.13099070,1.16963600,0.54131980,0.14782980,1.19542200,0.55337560,0.10029500,1.20653600,0.54986520,0.10658570,1.24299700,0.54689560,0.11224800,1.26605200,0.54542050,0.09489144,1.20743600,0.57103530,0.13531020,1.21842000,0.57431010,0.13770270,1.19188500,0.57016690,0.09749452,1.20101100,0.59017250,0.13557440,1.20355500,0.58999710,0.13517080,1.17916900,0.58096690,0.09507808,1.14776600,0.59752360,0.10288770,1.19049300,0.60798880,0.13231730,1.19119500,0.60187630,0.13169200,1.17315600,0.59354780,0.15334000,1.20697500,0.57379190,0.11337450,1.28793500,0.54541580,0.11627560,1.18166800,0.56426910,0.11513010,1.16765600,0.57503650,0.11595190,1.16031000,0.58654480,0,5
0.08340056,1.11241200,0.57626470,0.08340056,1.11241200,0.57626470,0.08340056,1.11241200,0.57626470,0.09684680,1.13052300,0.56575720,0.10978510,1.14601800,0.55218880,0.13084890,1.16742800,0.54167800,0.14776650,1.19315400,0.55375240,0.10019310,1.20438500,0.55041200,0.10658900,1.24086000,0.54787080,0.11237190,1.26390100,0.54666920,0.09483074,1.20525200,0.57159390,0.13525140,1.21628400,0.57467540,0.13760740,1.18972000,0.57070590,0.09746584,1.19879100,0.59071490,0.13554940,1.20127000,0.59042220,0.13508970,1.17685900,0.58146180,0.09502529,1.14553500,0.59797750,0.10288560,1.18823800,0.60850240,0.13229650,1.18879600,0.60228590,0.13160590,1.17075900,0.59395830,0.15326690,1.20459100,0.57423620,0.11361470,1.28577600,0.54692380,0.11618780,1.17940800,0.56494590,0.11501300,1.16536300,0.57562150,0.11577740,1.15798900,0.58701690,0,5
