RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.01987531,0.86481300,0.55476340,0.01987531,0.86481300,0.55476340,0.01987531,0.86481300,0.55476340,0.03165191,0.88412020,0.54450230,0.04284548,0.90095030,0.53105900,0.06453428,0.92189120,0.52107950,0.08182447,0.94553030,0.53630250,0.03020205,0.95860600,0.53312340,0.03495466,0.99530110,0.53493020,0.03825962,1.01876100,0.53642310,0.02616283,0.95807260,0.55456380,0.06536931,0.97287090,0.55594840,0.07134244,0.94717220,0.55065680,0.03032601,0.95079330,0.57306610,0.06805556,0.95538340,0.57056990,0.07064444,0.93166420,0.56035250,0.03110336,0.89728360,0.57749090,0.03738568,0.93966360,0.58984750,0.06631584,0.94170090,0.58214860,0.06879383,0.92536430,0.57116820,0.08860940,0.95599700,0.55686380,0.03807244,1.04042800,0.53938020,0.05136290,0.93416740,0.54540060,0.05021599,0.92036710,0.55564570,0.05096556,0.91499110,0.56529220,0,0
0.02039324,0.86496950,0.55584610,0.02039324,0.86496950,0.55584610,0.02039324,0.86496950,0.55584610,0.03204564,0.88425620,0.54540620,0.04310742,0.90105110,0.53181080,0.06471482,0.92196550,0.52160160,0.08202907,0.94565820,0.53671350,0.03031650,0.95868010,0.53366720,0.03504372,0.99539200,0.53517440,0.03832139,1.01886700,0.53647400,0.02642972,0.95824320,0.55513790,0.06560376,0.97314860,0.55626800,0.07166061,0.94747840,0.55093330,0.03074245,0.95106740,0.57364640,0.06843150,0.95580910,0.57084050,0.07122914,0.93202630,0.56082790,0.03169406,0.89758280,0.57833180,0.03794980,0.94004030,0.59043280,0.06682372,0.94227220,0.58257820,0.06950840,0.92590430,0.57169340,0.08889166,0.95619490,0.55721320,0.03812582,1.04055500,0.53927590,0.05170806,0.93438420,0.54579790,0.05090132,0.92046920,0.55632110,0.05183215,0.91523040,0.56589730,0,0
0.02054852,0.86512850,0.55640800,0.02054852,0.86512850,0.55640800,0.02054852,0.86512850,0.55640800,0.03216089,0.88440960,0.54591340,0.04317510,0.90119330,0.53226560,0.06480730,0.92204950,0.52199030,0.08209862,0.94565120,0.53727000,0.03034462,0.95881530,0.53407310,0.03515090,0.99552480,0.53537620,0.03844605,1.01900500,0.53654580,0.02650873,0.95840590,0.55555340,0.06567723,0.97332180,0.55673500,0.07185304,0.94772320,0.55119690,0.03087074,0.95125970,0.57406190,0.06853493,0.95610690,0.57110660,0.07171363,0.93227760,0.56132100,0.03187614,0.89778260,0.57882090,0.03812638,0.94026230,0.59084690,0.06698389,0.94279330,0.58302280,0.07013629,0.92645530,0.57221890,0.08891738,0.95611010,0.55782410,0.03826431,1.04070600,0.53923640,0.05195949,0.93457390,0.54597400,0.05157832,0.92036190,0.55688410,0.05280983,0.91530050,0.56627390,0,0
0.02076823,0.86541380,0.55767830,0.02076823,0.86541380,0.55767830,0.02076823,0.86541380,0.55767830,0.03229943,0.88468690,0.54708000,0.04322127,0.90145220,0.53333570,0.06478399,0.92230500,0.52290860,0.08208999,0.94595040,0.53810400,0.03029624,0.95905650,0.53504400,0.03506531,0.99577590,0.53619350,0.03832953,1.01926500,0.53726420,0.02655544,0.95869900,0.55654200,0.06570324,0.97368200,0.55754850,0.07192763,0.94809720,0.55200110,0.03101163,0.95161180,0.57505060,0.06865048,0.95653370,0.57190260,0.07191774,0.93267630,0.56221530,0.03213490,0.89814970,0.57995160,0.03836083,0.94067350,0.59183360,0.06717933,0.94330190,0.58389860,0.07042839,0.92695220,0.57314110,0.08895972,0.95645050,0.55862000,0.03812358,1.04097500,0.53987800,0.05204975,0.93488990,0.54686590,0.05183062,0.92063460,0.55790200,0.05318418,0.91564060,0.56725360,0,0
0.02081142,0.86547460,0.55796560,0.02081142,0.86547460,0.55796560,0.02081142,0.86547460,0.55796560,0.03232468,0.88474610,0.54734480,0.04322014,0.90150550,0.53357230,0.06478588,0.92233590,0.52310660,0.08207896,0.94594410,0.53837420,0.03027964,0.95910760,0.53526620,0.03507631,0.99582590,0.53633410,0.03834268,1.01931700,0.53735290,0.02655937,0.95876160,0.55676800,0.06570607,0.97374590,0.55779580,0.07198576,0.94819300,0.55216430,0.03103599,0.95168720,0.57527660,0.06866483,0.95664280,0.57206240,0.07208997,0.93276850,0.56247170,0.03218580,0.89822860,0.58020850,0.03840557,0.94076190,0.59205920,0.06721521,0.94351750,0.58413510,0.07067379,0.92718730,0.57341330,0.08892550,0.95640670,0.55891720,0.03813242,1.04103300,0.53992250,0.05213588,0.93495850,0.54699080,0.05208736,0.92057580,0.55818990,0.05359690,0.91566060,0.56745580,0,0
0.02086997,0.86557140,0.55846550,0.02086997,0.86557140,0.55846550,0.02086997,0.86557140,0.55846550,0.03235314,0.88484060,0.54780810,0.04323981,0.90160250,0.53403170,0.06480230,0.92243490,0.52356340,0.08208047,0.94604340,0.53884750,0.03023648,0.95918880,0.53565960,0.03493898,0.99592010,0.53669630,0.03813801,1.01942100,0.53769530,0.02654950,0.95886120,0.55716740,0.06571490,0.97380210,0.55811260,0.07195213,0.94823720,0.55248780,0.03105960,0.95180820,0.57567600,0.06868370,0.95673110,0.57235760,0.07222064,0.93283950,0.56285110,0.03225514,0.89835520,0.58065870,0.03846277,0.94090470,0.59245800,0.06725453,0.94369890,0.58448270,0.07092845,0.92738400,0.57380930,0.08901921,0.95659140,0.55931570,0.03790483,1.04113900,0.54024920,0.05207606,0.93502400,0.54736080,0.05227920,0.92053040,0.55861720,0.05404609,0.91561100,0.56777940,0,0
0.02055720,0.86566590,0.55761090,0.02055720,0.86566590,0.55761090,0.02055720,0.86566590,0.55761090,0.03205168,0.88493420,0.54696390,0.04296261,0.90170710,0.53322020,0.06456421,0.92252020,0.52279440,0.08187182,0.94605550,0.53815790,0.03001735,0.95930130,0.53491780,0.03470834,0.99603260,0.53600530,0.03789178,1.01953400,0.53703680,0.02635862,0.95894970,0.55643000,0.06557183,0.97376670,0.55734210,0.07172415,0.94819460,0.55165720,0.03088405,0.95186600,0.57492320,0.06851339,0.95668950,0.57151970,0.07212354,0.93279640,0.56204440,0.03201538,0.89840490,0.57983270,0.03829512,0.94093020,0.59168060,0.06707634,0.94373040,0.58366940,0.07094305,0.92745270,0.57300730,0.08890816,0.95661410,0.55858730,0.03767849,1.04124800,0.53962290,0.05180079,0.93505080,0.54653540,0.05222442,0.92041410,0.55782480,0.05424247,0.91547710,0.56687130,0,0
0.02026289,0.86575250,0.55686140,0.02026289,0.86575250,0.55686140,0.02026289,0.86575250,0.55686140,0.03176630,0.88502010,0.54622300,0.04269719,0.90180270,0.53250700,0.06433379,0.92259750,0.52211710,0.08166503,0.94606260,0.53756110,0.02980275,0.95940380,0.53426760,0.03448140,0.99613540,0.53539760,0.03765138,1.01963800,0.53645630,0.02617045,0.95903090,0.55578400,0.06542803,0.97373170,0.55666820,0.07150592,0.94815550,0.55092190,0.03071077,0.95191990,0.57426310,0.06834422,0.95665160,0.57077690,0.07203986,0.93275700,0.56133840,0.03178654,0.89845180,0.57910780,0.03813011,0.94095580,0.59099830,0.06690098,0.94377090,0.58295520,0.07097602,0.92753460,0.57230760,0.08878732,0.95662710,0.55795760,0.03745659,1.04134800,0.53906970,0.05154122,0.93507410,0.54580120,0.05219017,0.92029110,0.55713220,0.05447229,0.91534540,0.56606060,0,0
0.01998319,0.86583290,0.55619500,0.01998319,0.86583290,0.55619500,0.01998319,0.86583290,0.55619500,0.03149368,0.88510010,0.54556360,0.04241396,0.90188240,0.53183880,0.06407639,0.92264070,0.52142960,0.08148585,0.94607470,0.53683270,0.02959188,0.95949850,0.53369000,0.03426162,0.99622950,0.53487510,0.03742213,1.01973200,0.53596900,0.02598460,0.95910630,0.55521030,0.06530937,0.97363040,0.55602570,0.07129781,0.94803750,0.55025980,0.03053945,0.95197100,0.57367640,0.06818143,0.95656470,0.57009860,0.07181031,0.93264470,0.56069840,0.03156641,0.89849670,0.57846270,0.03796735,0.94098140,0.59039110,0.06672411,0.94364880,0.58224780,0.07081322,0.92740150,0.57162240,0.08868971,0.95664450,0.55719780,0.03721238,1.04143800,0.53861890,0.05128399,0.93502090,0.54516580,0.05191586,0.92022890,0.55655620,0.05434974,0.91515940,0.56537240,0,0
0.01958269,0.86587570,0.55616800,0.01958269,0.86587570,0.55616800,0.01958269,0.86587570,0.55616800,0.03108985,0.88513280,0.54551450,0.04199352,0.90189910,0.53175700,0.06366970,0.92262060,0.52130340,0.08112521,0.94606210,0.53664290,0.02919459,0.95952270,0.53358660,0.03382641,0.99625890,0.53475940,0.03696001,1.01976500,0.53584560,0.02560150,0.95914720,0.55510950,0.06497827,0.97353350,0.55585630,0.07090588,0.94792120,0.55011360,0.03016723,0.95202480,0.57357790,0.06781481,0.95650850,0.56992070,0.07141507,0.93255100,0.56060550,0.03118701,0.89855390,0.57840350,0.03760408,0.94104640,0.59029590,0.06634851,0.94359280,0.58207080,0.07049055,0.92732420,0.57149860,0.08838861,0.95667660,0.55696360,0.03671952,1.04147100,0.53849050,0.05085893,0.93494200,0.54505460,0.05149695,0.92014920,0.55653540,0.05409697,0.91498840,0.56524930,0,0
