RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.01541514,0.81144080,0.37820570,-0.01541514,0.81144080,0.37820570,-0.01541514,0.81144080,0.37820570,-0.00344608,0.83231100,0.37582920,0.01013966,0.85147940,0.37329370,0.02959467,0.87415340,0.38123910,0.04198419,0.90077600,0.39428600,-0.00979029,0.90441300,0.36384950,0.01206918,0.92369780,0.38508200,0.03022250,0.92655460,0.39909380,-0.02453715,0.90197220,0.37894700,0.00482509,0.92087220,0.40008220,0.01329993,0.89608650,0.39984740,-0.03014900,0.89439350,0.39632890,-0.00075413,0.90632340,0.41552560,0.01133851,0.88520440,0.40872860,-0.02376892,0.84279630,0.40176810,-0.03194067,0.88363270,0.41400630,-0.00573048,0.89181410,0.42397370,0.00493576,0.87705980,0.41752880,0.05061243,0.91884580,0.40641540,0.04705470,0.92328070,0.41170950,0.00146778,0.88069860,0.38613760,0.00087443,0.87099420,0.39369550,-0.00338555,0.86390320,0.40361600,13,4
-0.01514741,0.81211510,0.37816950,-0.01514741,0.81211510,0.37816950,-0.01514741,0.81211510,0.37816950,-0.00322262,0.83299360,0.37564790,0.01031639,0.85218650,0.37304900,0.02970424,0.87495420,0.38088990,0.04190011,0.90165040,0.39396870,-0.00973402,0.90502760,0.36335270,0.01248146,0.92391800,0.38457030,0.03085790,0.92608330,0.39841410,-0.02441793,0.90263370,0.37851890,0.00490451,0.92184410,0.39942840,0.01347579,0.89709070,0.39930850,-0.02994945,0.89512800,0.39595820,-0.00067345,0.90748890,0.41506360,0.01163764,0.88645530,0.40839530,-0.02346193,0.84356770,0.40161600,-0.03165434,0.88444790,0.41369300,-0.00549373,0.89288810,0.42357450,0.00531659,0.87818690,0.41724920,0.05039657,0.91977130,0.40611490,0.04774816,0.92212700,0.41075370,0.00162808,0.88161120,0.38571580,0.00132198,0.87203640,0.39345870,-0.00293219,0.86487420,0.40344220,13,4
-0.01529619,0.81181290,0.37824360,-0.01529619,0.81181290,0.37824360,-0.01529619,0.81181290,0.37824360,-0.00338536,0.83268680,0.37562020,0.01013587,0.85188740,0.37298540,0.02950345,0.87469390,0.38076340,0.04155932,0.90141160,0.39392780,-0.00995823,0.90468600,0.36315540,0.01264030,0.92309980,0.38438750,0.03122000,0.92452620,0.39805470,-0.02458384,0.90233030,0.37838380,0.00472978,0.92175600,0.39910580,0.01336811,0.89702570,0.39906120,-0.03004742,0.89487060,0.39586420,-0.00086022,0.90755020,0.41489650,0.01162135,0.88659230,0.40830760,-0.02352786,0.84332710,0.40163650,-0.03168261,0.88423820,0.41363420,-0.00554900,0.89285160,0.42343740,0.00537246,0.87819590,0.41719810,0.04995579,0.91954060,0.40613120,0.04813805,0.91986330,0.41010610,0.00149199,0.88148800,0.38556010,0.00142912,0.87201620,0.39343890,-0.00282116,0.86476800,0.40347000,13,4
-0.01541484,0.81162300,0.37832100,-0.01541484,0.81162300,0.37832100,-0.01541484,0.81162300,0.37832100,-0.00351687,0.83249140,0.37559760,0.00998763,0.85169980,0.37293400,0.02929546,0.87458930,0.38061600,0.04127905,0.90137940,0.39369910,-0.01014588,0.90445480,0.36295630,0.01251483,0.92303540,0.38397570,0.03118480,0.92430410,0.39753500,-0.02471714,0.90213890,0.37824290,0.00462393,0.92170400,0.39879420,0.01332060,0.89699420,0.39882440,-0.03011760,0.89472700,0.39576310,-0.00096473,0.90767660,0.41466570,0.01154352,0.88669670,0.40819840,-0.02356901,0.84320070,0.40165540,-0.03168814,0.88414370,0.41356820,-0.00558097,0.89292100,0.42329610,0.00532206,0.87824960,0.41706140,0.04968197,0.91956960,0.40580670,0.04812597,0.91950010,0.40949820,0.00141615,0.88140160,0.38541170,0.00135876,0.87198910,0.39345460,-0.00300192,0.86481790,0.40341580,13,4
-0.01628593,0.81068020,0.37826380,-0.01628593,0.81068020,0.37826380,-0.01628593,0.81068020,0.37826380,-0.00440921,0.83158690,0.37574990,0.00907197,0.85084660,0.37335140,0.02825756,0.87374350,0.38131280,0.04006462,0.90046070,0.39470180,-0.01110397,0.90364930,0.36372210,0.01151568,0.92211400,0.38488730,0.03020019,0.92304020,0.39845430,-0.02570689,0.90118130,0.37895450,0.00352050,0.92068050,0.39972920,0.01230691,0.89600270,0.39960580,-0.03113743,0.89360960,0.39639700,-0.00213815,0.90663130,0.41548550,0.01045429,0.88571760,0.40896710,-0.02453459,0.84204240,0.40185420,-0.03273455,0.88286920,0.41410540,-0.00671680,0.89171740,0.42400720,0.00422508,0.87711610,0.41767660,0.04837917,0.91857580,0.40698170,0.04709418,0.91793600,0.41035980,0.00047395,0.88049150,0.38603630,0.00038032,0.87103830,0.39411930,-0.00412311,0.86382170,0.40391180,13,4
-0.01707580,0.80987480,0.37821970,-0.01707580,0.80987480,0.37821970,-0.01707580,0.80987480,0.37821970,-0.00521904,0.83081420,0.37588990,0.00823970,0.85011770,0.37372960,0.02731297,0.87302020,0.38194090,0.03895144,0.89966930,0.39561020,-0.01197589,0.90295900,0.36440330,0.01063598,0.92128590,0.38569620,0.02933998,0.92185460,0.39925610,-0.02660563,0.90035690,0.37958750,0.00251768,0.91980560,0.40055480,0.01139277,0.89516060,0.40030470,-0.03206127,0.89264500,0.39696060,-0.00320320,0.90574250,0.41621050,0.00946446,0.88488550,0.40965610,-0.02540785,0.84104500,0.40203430,-0.03368027,0.88176690,0.41458270,-0.00774499,0.89068310,0.42463860,0.00323336,0.87614480,0.41822690,0.04718078,0.91771580,0.40804760,0.04618528,0.91644030,0.41109330,-0.00037220,0.87971560,0.38660120,-0.00050583,0.87022260,0.39472260,-0.00513825,0.86297090,0.40436070,13,4
-0.01780175,0.80917760,0.37818590,-0.01780175,0.80917760,0.37818590,-0.01780175,0.80917760,0.37818590,-0.00596387,0.83014540,0.37602040,0.00747665,0.84947960,0.37402800,0.02651589,0.87233090,0.38245770,0.03818193,0.89889510,0.39626810,-0.01277977,0.90236010,0.36501840,0.00983552,0.92065480,0.38633530,0.02850737,0.92119460,0.39994070,-0.02743258,0.89963780,0.38015920,0.00160872,0.91897930,0.40133830,0.01060215,0.89437930,0.40093290,-0.03290949,0.89180080,0.39746950,-0.00408648,0.90482930,0.41681850,0.00872248,0.88403870,0.41032860,-0.02620846,0.84017440,0.40219980,-0.03454672,0.88080000,0.41501370,-0.00860413,0.88961570,0.42513910,0.00236724,0.87509960,0.41866530,0.04644918,0.91686890,0.40878540,0.04530688,0.91573480,0.41182200,-0.00105717,0.87897320,0.38709600,-0.00110309,0.86933520,0.39533900,-0.00598737,0.86200030,0.40471860,13,4
-0.01814569,0.80962670,0.37832720,-0.01814569,0.80962670,0.37832720,-0.01814569,0.80962670,0.37832720,-0.00633692,0.83062210,0.37627410,0.00707590,0.84998710,0.37439680,0.02609140,0.87280310,0.38297440,0.03779527,0.89930230,0.39687740,-0.01325429,0.90288760,0.36567600,0.00941655,0.92115800,0.38695480,0.02808969,0.92165550,0.40056000,-0.02789808,0.90006140,0.38080660,0.00109997,0.91933260,0.40210860,0.01021510,0.89478000,0.40156650,-0.03335829,0.89212080,0.39807490,-0.00453593,0.90511530,0.41744770,0.00840286,0.88438610,0.41101900,-0.02658584,0.84047810,0.40251590,-0.03497448,0.88102050,0.41555820,-0.00900887,0.88976100,0.42568980,0.00194875,0.87526380,0.41915090,0.04611221,0.91722030,0.40944170,0.04486754,0.91614100,0.41244660,-0.00136446,0.87939240,0.38764240,-0.00130487,0.86962220,0.39601210,-0.00641256,0.86221830,0.40515770,13,4
-0.01847743,0.81005510,0.37846110,-0.01847743,0.81005510,0.37846110,-0.01847743,0.81005510,0.37846110,-0.00669588,0.83107570,0.37651170,0.00669098,0.85046860,0.37474130,0.02568423,0.87325110,0.38345640,0.03742108,0.89968960,0.39744690,-0.01370808,0.90338560,0.36628610,0.00902637,0.92162200,0.38752610,0.02770408,0.92205860,0.40112710,-0.02834317,0.90046350,0.38140680,0.00061341,0.91967210,0.40282160,0.00984608,0.89516650,0.40215650,-0.03378750,0.89242770,0.39863600,-0.00496627,0.90539510,0.41802870,0.00809732,0.88472390,0.41166590,-0.02694834,0.84077150,0.40281020,-0.03538376,0.88123600,0.41606280,-0.00939627,0.88990680,0.42619820,0.00154809,0.87542610,0.41960060,0.04578331,0.91755550,0.41005510,0.04445879,0.91647480,0.41301400,-0.00165615,0.87979300,0.38815290,-0.00149430,0.86989650,0.39664700,-0.00682003,0.86242910,0.40556650,13,4
-0.01879966,0.81046730,0.37858910,-0.01879966,0.81046730,0.37858910,-0.01879966,0.81046730,0.37858910,-0.00704387,0.83151100,0.37673650,0.00632082,0.85092520,0.37503190,0.02528836,0.87370630,0.38380630,0.03706663,0.90012260,0.39780380,-0.01414578,0.90386070,0.36685890,0.00857754,0.92237480,0.38786940,0.02720400,0.92314840,0.40152550,-0.02877241,0.90084870,0.38197020,0.00018000,0.91989800,0.40353240,0.00944518,0.89541210,0.40263490,-0.03420150,0.89272420,0.39916260,-0.00539116,0.90563920,0.41860640,0.00770041,0.88501460,0.41215060,-0.02729927,0.84105680,0.40308760,-0.03577867,0.88144740,0.41653620,-0.00977688,0.89005400,0.42668960,0.00118017,0.87561850,0.42001450,0.04545413,0.91796700,0.41042580,0.04393952,0.91787790,0.41358130,-0.00203433,0.88013270,0.38851030,-0.00182592,0.87020720,0.39707040,-0.00711261,0.86265040,0.40590920,13,4
