RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.11954720,0.88482290,0.41271410,-0.11954720,0.88482290,0.41271410,-0.11954720,0.88482290,0.41271410,-0.12765070,0.90657390,0.40497360,-0.14288530,0.92275120,0.39612960,-0.15816480,0.94864220,0.38745890,-0.15555320,0.98105450,0.38793070,-0.15456610,0.97257730,0.42577090,-0.13964040,0.99624580,0.40233540,-0.13463330,0.97633240,0.39113680,-0.13771060,0.97118100,0.43904810,-0.12257560,0.99732360,0.41086890,-0.12119560,0.97297940,0.40045920,-0.11840200,0.96691950,0.44214520,-0.10685060,0.99440110,0.41934900,-0.10808130,0.97352000,0.40463720,-0.10240620,0.91927380,0.42562070,-0.09849007,0.96030380,0.44082580,-0.09678179,0.98971150,0.44333320,-0.09391736,1.00903200,0.44411090,-0.14011210,0.99840560,0.39261350,-0.13770200,0.95537750,0.39509920,-0.12918720,0.95143060,0.40754900,-0.11684050,0.95328240,0.41265020,-0.09331663,1.02996500,0.44692530,6,3
-0.11766140,0.88492270,0.41296510,-0.11766140,0.88492270,0.41296510,-0.11766140,0.88492270,0.41296510,-0.12563120,0.90676120,0.40533300,-0.14080250,0.92308090,0.39664320,-0.15592400,0.94911260,0.38811800,-0.15308470,0.98150560,0.38859560,-0.15180740,0.97295200,0.42647530,-0.13685930,0.99655530,0.40298830,-0.13210690,0.97662410,0.39171050,-0.13486550,0.97137800,0.43962210,-0.11966120,0.99735650,0.41132860,-0.11861710,0.97304550,0.40080320,-0.11557250,0.96694020,0.44256430,-0.10395910,0.99429690,0.41964970,-0.10545710,0.97344700,0.40491840,-0.10012130,0.91919270,0.42581670,-0.09572999,0.96015290,0.44108060,-0.09380825,0.98955240,0.44352790,-0.09080177,1.00885600,0.44415190,-0.13752400,0.99878220,0.39315690,-0.13529400,0.95567330,0.39560030,-0.12672170,0.95149750,0.40776620,-0.11429840,0.95320820,0.41283780,-0.09003098,1.02980400,0.44681980,6,3
-0.11580460,0.88502240,0.41323470,-0.11580460,0.88502240,0.41323470,-0.11580460,0.88502240,0.41323470,-0.12363650,0.90694370,0.40569770,-0.13873690,0.92340090,0.39714480,-0.15369770,0.94956800,0.38875170,-0.15063430,0.98194060,0.38923440,-0.14909790,0.97331630,0.42714080,-0.13411170,0.99684950,0.40360790,-0.12960460,0.97690010,0.39226200,-0.13208250,0.97157070,0.44017040,-0.11679800,0.99738410,0.41176920,-0.11607390,0.97310530,0.40114300,-0.11280910,0.96696090,0.44297440,-0.10112330,0.99419350,0.41994910,-0.10287290,0.97337400,0.40520250,-0.09788348,0.91911480,0.42603300,-0.09303642,0.96000560,0.44134460,-0.09090367,0.98939570,0.44372970,-0.08775796,1.00868200,0.44420510,-0.13495600,0.99913920,0.39368610,-0.13291450,0.95595620,0.39608600,-0.12429580,0.95156340,0.40798650,-0.11180140,0.95313720,0.41302870,-0.08682138,1.02964000,0.44672980,6,3
-0.11400610,0.88512000,0.41351170,-0.11400610,0.88512000,0.41351170,-0.11400610,0.88512000,0.41351170,-0.12170000,0.90711870,0.40605840,-0.13671360,0.92371580,0.39762380,-0.15147260,0.95001680,0.38929230,-0.14803710,0.98235200,0.38977550,-0.14647830,0.97366410,0.42776450,-0.13143900,0.99712350,0.40419180,-0.12716610,0.97716400,0.39277310,-0.12940020,0.97175460,0.44068880,-0.11406630,0.99749980,0.41225230,-0.11359620,0.97326140,0.40152010,-0.11014950,0.96697970,0.44336930,-0.09835226,0.99413220,0.42030630,-0.10037160,0.97339280,0.40548160,-0.09572502,0.91904010,0.42625880,-0.09044559,0.95986280,0.44160910,-0.08815363,0.98923700,0.44404270,-0.08490677,1.00850600,0.44451140,-0.13217220,0.99939780,0.39415310,-0.13057390,0.95621500,0.39648060,-0.12190950,0.95171700,0.40824430,-0.10942100,0.95316310,0.41318630,-0.08384983,1.02945800,0.44704140,6,3
-0.11194840,0.88514550,0.41328440,-0.11194840,0.88514550,0.41328440,-0.11194840,0.88514550,0.41328440,-0.11948690,0.90725240,0.40599430,-0.13439800,0.92402740,0.39773140,-0.14893990,0.95049940,0.38956130,-0.14513300,0.98279070,0.39017510,-0.14356480,0.97388980,0.42820080,-0.12844330,0.99735970,0.40469120,-0.12440640,0.97743450,0.39312770,-0.12643720,0.97175780,0.44102430,-0.11101780,0.99753060,0.41265920,-0.11080810,0.97337550,0.40173270,-0.10721560,0.96679910,0.44357710,-0.09528059,0.99395370,0.42058750,-0.09756327,0.97335310,0.40560830,-0.09330316,0.91883160,0.42612420,-0.08758456,0.95951950,0.44167380,-0.08511510,0.98886590,0.44426380,-0.08175435,1.00811400,0.44479340,-0.12908400,0.99966280,0.39455510,-0.12793030,0.95647100,0.39664070,-0.11923180,0.95181050,0.40824990,-0.10674750,0.95310620,0.41310530,-0.08056445,1.02905000,0.44740080,6,3
-0.10992810,0.88517780,0.41311400,-0.10992810,0.88517780,0.41311400,-0.10992810,0.88517780,0.41311400,-0.11730960,0.90738590,0.40597260,-0.13208790,0.92435040,0.39785940,-0.14635120,0.95100060,0.38977800,-0.14212870,0.98323840,0.39048220,-0.14069990,0.97411550,0.42863250,-0.12549610,0.99760770,0.40519840,-0.12171850,0.97768780,0.39353840,-0.12352940,0.97177000,0.44136110,-0.10800390,0.99758010,0.41308790,-0.10809470,0.97350030,0.40199470,-0.10433950,0.96663210,0.44379460,-0.09227403,0.99380280,0.42089220,-0.09480880,0.97331730,0.40579610,-0.09092893,0.91863540,0.42603210,-0.08478185,0.95919260,0.44175860,-0.08209966,0.98850880,0.44447680,-0.07860199,1.00773200,0.44504090,-0.12593650,0.99997660,0.39484850,-0.12541640,0.95673980,0.39696390,-0.11669830,0.95197500,0.40840740,-0.10413580,0.95310590,0.41321240,-0.07725346,1.02865100,0.44769760,6,3
-0.10775720,0.88540080,0.41263330,-0.10775720,0.88540080,0.41263330,-0.10775720,0.88540080,0.41263330,-0.11500340,0.90768670,0.40559610,-0.12966720,0.92480670,0.39760270,-0.14368500,0.95160090,0.38956820,-0.13909000,0.98378710,0.39029600,-0.13775840,0.97452680,0.42857490,-0.12250050,0.99800380,0.40516080,-0.11896650,0.97807200,0.39344500,-0.12054090,0.97201040,0.44120700,-0.10494170,0.99780660,0.41296170,-0.10531290,0.97378110,0.40175730,-0.10137900,0.96671710,0.44352540,-0.08921682,0.99386440,0.42064650,-0.09198744,0.97346110,0.40548070,-0.08843280,0.91867170,0.42555140,-0.08189039,0.95913280,0.44136560,-0.07901834,0.98842500,0.44414630,-0.07539966,1.00762600,0.44470130,-0.12277130,1.00041700,0.39460710,-0.12281720,0.95714470,0.39682810,-0.11407120,0.95230090,0.40811150,-0.10143390,0.95329020,0.41285600,-0.07390891,1.02853500,0.44736050,6,3
-0.10562500,0.88561340,0.41221590,-0.10562500,0.88561340,0.41221590,-0.10562500,0.88561340,0.41221590,-0.11273310,0.90797420,0.40527640,-0.12727930,0.92524610,0.39739570,-0.14105060,0.95217970,0.38940050,-0.13608900,0.98431100,0.39014560,-0.13485730,0.97492310,0.42855250,-0.11953880,0.99837980,0.40515750,-0.11624530,0.97843640,0.39339160,-0.11759800,0.97223850,0.44109240,-0.10191700,0.99801150,0.41287120,-0.10256570,0.97404060,0.40156270,-0.09846639,0.96679090,0.44330150,-0.08620258,0.99390850,0.42044170,-0.08920325,0.97358590,0.40521160,-0.08598065,0.91869770,0.42513060,-0.07904786,0.95906250,0.44102450,-0.07598600,0.98833030,0.44385950,-0.07224642,1.00750800,0.44439880,-0.11964680,1.00083300,0.39440120,-0.12024910,0.95753160,0.39673550,-0.11147850,0.95260660,0.40785770,-0.09876960,0.95345530,0.41254230,-0.07061386,1.02840800,0.44705290,6,3
-0.10352540,0.88581770,0.41184880,-0.10352540,0.88581770,0.41184880,-0.10352540,0.88581770,0.41184880,-0.11049340,0.90825100,0.40500160,-0.12493110,0.92566340,0.39723140,-0.13845790,0.95272180,0.38924070,-0.13303610,0.98477850,0.38999420,-0.13199060,0.97530620,0.42855740,-0.11663040,0.99884190,0.40526940,-0.11356750,0.97892070,0.39340370,-0.11469360,0.97245540,0.44100850,-0.09892975,0.99822500,0.41283040,-0.09987487,0.97428670,0.40147400,-0.09559447,0.96685470,0.44311290,-0.08322506,0.99401690,0.42036310,-0.08646642,0.97376880,0.40508310,-0.08356581,0.91871520,0.42475710,-0.07624707,0.95898300,0.44072380,-0.07296324,0.98822220,0.44360480,-0.06908213,1.00737300,0.44411460,-0.11640100,1.00111600,0.39421110,-0.11774610,0.95804480,0.39671420,-0.10898740,0.95295580,0.40783310,-0.09616933,0.95373670,0.41250360,-0.06728444,1.02826200,0.44674930,6,3
-0.10113050,0.88612230,0.41154270,-0.10113050,0.88612230,0.41154270,-0.10113050,0.88612230,0.41154270,-0.10804810,0.90861850,0.40485250,-0.12246130,0.92614810,0.39730360,-0.13584690,0.95330860,0.38942190,-0.13001710,0.98529390,0.39016660,-0.12889230,0.97571180,0.42888200,-0.11369210,0.99938080,0.40562420,-0.11090160,0.97950000,0.39362440,-0.11147100,0.97271960,0.44112480,-0.09586266,0.99854040,0.41290690,-0.09713505,0.97464570,0.40149090,-0.09238128,0.96700360,0.44299160,-0.08011178,0.99425490,0.42029440,-0.08365394,0.97409070,0.40497020,-0.08083762,0.91886100,0.42433470,-0.07310762,0.95903070,0.44035460,-0.06964444,0.98824500,0.44327920,-0.06565976,1.00737500,0.44374200,-0.11319660,1.00147600,0.39424360,-0.11519050,0.95864280,0.39691190,-0.10635900,0.95339410,0.40795440,-0.09339913,0.95412800,0.41252120,-0.06372405,1.02825500,0.44635450,6,3
