RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.02249363,0.91929820,0.36722800,-0.02249363,0.91929820,0.36722800,-0.02249363,0.91929820,0.36722800,-0.04028782,0.93315900,0.35785660,-0.05860467,0.94479150,0.34789770,-0.07732898,0.96391060,0.33179180,-0.07497686,0.99054370,0.31337940,-0.07123360,1.00051100,0.35750360,-0.08819035,1.02748900,0.33983690,-0.09747683,1.03308500,0.31915940,-0.05061488,1.00598100,0.35512610,-0.07002811,1.03889600,0.33962320,-0.08003254,1.03785400,0.31514360,-0.03288024,1.00318600,0.34636070,-0.04904912,1.02985700,0.32560910,-0.06032475,1.02532400,0.30315960,-0.01397727,0.95389800,0.34794640,-0.01636890,0.99592100,0.33563570,-0.03005053,1.01213600,0.31512190,-0.04029578,1.01081800,0.29856830,-0.08085386,1.00761900,0.29810420,-0.10390710,1.03516100,0.29874060,-0.08795628,1.03378200,0.29284810,-0.06988326,1.01468000,0.28461470,-0.05318110,1.01079300,0.28186800,8,7
-0.02098452,0.91855720,0.36871130,-0.02098452,0.91855720,0.36871130,-0.02098452,0.91855720,0.36871130,-0.03877258,0.93247820,0.35941770,-0.05769951,0.94386480,0.35035590,-0.07744262,0.96287100,0.33537210,-0.07588035,0.98962310,0.31704840,-0.06964549,0.99986400,0.35938900,-0.08617447,1.02665500,0.34104320,-0.09532990,1.03257200,0.32039700,-0.04902313,1.00532300,0.35701570,-0.06909215,1.03825100,0.34240330,-0.07975100,1.03877100,0.31818460,-0.03129991,1.00254700,0.34822110,-0.04690983,1.02978400,0.32777910,-0.05827941,1.02575700,0.30528060,-0.01244899,0.95323180,0.34957310,-0.01480671,0.99531080,0.33744860,-0.02805410,1.01237300,0.31734050,-0.03828353,1.01186000,0.30073260,-0.08240303,1.00679000,0.30214180,-0.10172040,1.03503500,0.30000880,-0.08841160,1.03658100,0.29589910,-0.06782492,1.01484500,0.28688580,-0.05108756,1.01296100,0.28400590,8,7
-0.02076593,0.91836460,0.37330740,-0.02076593,0.91836460,0.37330740,-0.02076593,0.91836460,0.37330740,-0.03845489,0.93234540,0.36391500,-0.05785354,0.94351430,0.35561150,-0.07839441,0.96230290,0.34144810,-0.07735376,0.98883900,0.32277660,-0.06871896,1.00000400,0.36324890,-0.08464712,1.02643800,0.34388400,-0.09365679,1.03242500,0.32319370,-0.04805525,1.00525000,0.36075860,-0.06826527,1.03823000,0.34646000,-0.07954568,1.03998100,0.32258290,-0.03038361,1.00222000,0.35194420,-0.04543967,1.02978000,0.33152040,-0.05696416,1.02591700,0.30907210,-0.01197421,0.95275320,0.35377320,-0.01398796,0.99471930,0.34120350,-0.02675102,1.01238300,0.32130280,-0.03699023,1.01244500,0.30469320,-0.08429967,1.00590200,0.30794230,-0.10001390,1.03500300,0.30280910,-0.08891685,1.03925200,0.30049000,-0.06657952,1.01448900,0.29103020,-0.04972302,1.01439100,0.28798930,8,7
-0.02044415,0.91816880,0.37758320,-0.02044415,0.91816880,0.37758320,-0.02044415,0.91816880,0.37758320,-0.03804114,0.93220990,0.36810840,-0.05772073,0.94326860,0.36033540,-0.07874715,0.96193220,0.34673040,-0.07757208,0.98822180,0.32772110,-0.06774649,1.00010800,0.36690290,-0.08362053,1.02630100,0.34716810,-0.09273571,1.03253700,0.32659830,-0.04704662,1.00516000,0.36431320,-0.06718850,1.03807600,0.34977430,-0.07867092,1.04009500,0.32601490,-0.02942347,1.00190300,0.35548240,-0.04408658,1.02915800,0.33437380,-0.05571691,1.02561200,0.31192750,-0.01141895,0.95230470,0.35771500,-0.01311818,0.99417020,0.34476930,-0.02592150,1.01195000,0.32499800,-0.03621647,1.01238100,0.30842840,-0.08432201,1.00527100,0.31278120,-0.09923302,1.03534400,0.30628830,-0.08827974,1.03971100,0.30401560,-0.06554004,1.01418200,0.29399980,-0.04896308,1.01485400,0.29180470,8,7
-0.01968751,0.91884060,0.38147940,-0.01968751,0.91884060,0.38147940,-0.01968751,0.91884060,0.38147940,-0.03720452,0.93299830,0.37202980,-0.05716830,0.94400240,0.36493360,-0.07869971,0.96260370,0.35205220,-0.07747221,0.98869180,0.33277060,-0.06626841,1.00117000,0.37062730,-0.08207229,1.02719400,0.35061590,-0.09131090,1.03371500,0.33018980,-0.04553670,1.00601000,0.36789160,-0.06562891,1.03894600,0.35332860,-0.07738138,1.04132600,0.32973530,-0.02799676,1.00253800,0.35897760,-0.04237863,1.02959800,0.33743010,-0.05417536,1.02638300,0.31502090,-0.01045276,0.95278180,0.36137530,-0.01182811,0.99459170,0.34821320,-0.02471377,1.01257500,0.32868100,-0.03511748,1.01341700,0.31219530,-0.08407496,1.00576300,0.31778950,-0.09797424,1.03678200,0.30997140,-0.08728430,1.04134800,0.30786350,-0.06423844,1.01495200,0.29722700,-0.04792901,1.01644200,0.29571350,8,7
-0.01889508,0.91944250,0.38518370,-0.01889508,0.91944250,0.38518370,-0.01889508,0.91944250,0.38518370,-0.03633495,0.93371290,0.37576110,-0.05656768,0.94465950,0.36937290,-0.07859430,0.96318950,0.35724840,-0.07735933,0.98907580,0.33769710,-0.06479760,1.00213400,0.37419780,-0.08051148,1.02798300,0.35389060,-0.08983934,1.03476300,0.33358960,-0.04403833,1.00677600,0.37133140,-0.06408212,1.03974300,0.35677200,-0.07608300,1.04249600,0.33334500,-0.02657730,1.00310700,0.36234170,-0.04073286,1.02999300,0.34042880,-0.05267266,1.02707100,0.31805530,-0.00946468,0.95320810,0.36487590,-0.01053710,0.99496840,0.35152930,-0.02350444,1.01316300,0.33224830,-0.03400612,1.01441200,0.31585080,-0.08383188,1.00615400,0.32266770,-0.09663521,1.03806800,0.31345300,-0.08625396,1.04291900,0.31160050,-0.06293757,1.01560400,0.30040040,-0.04687199,1.01797200,0.29951890,8,7
-0.01807316,0.91998980,0.38874120,-0.01807316,0.91998980,0.38874120,-0.01807316,0.91998980,0.38874120,-0.03543790,0.93437020,0.37934700,-0.05548460,0.94553890,0.37275990,-0.07718316,0.96433160,0.36044960,-0.07553174,0.99015800,0.34084980,-0.06332965,1.00302300,0.37765120,-0.07887311,1.02923100,0.35767510,-0.08824165,1.03595900,0.33737580,-0.04254623,1.00747800,0.37466570,-0.06218025,1.04044200,0.35955040,-0.07411413,1.04292500,0.33605920,-0.02516093,1.00362600,0.36560600,-0.03910207,1.02996500,0.34290560,-0.05111613,1.02724100,0.32054700,-0.00845767,0.95359470,0.36825440,-0.00924302,0.99531000,0.35474800,-0.02254234,1.01330300,0.33550460,-0.03318276,1.01455200,0.31919670,-0.08162291,1.00729600,0.32572950,-0.09508191,1.03904700,0.31721980,-0.08426675,1.04318300,0.31430360,-0.06170327,1.01620600,0.30280700,-0.04618572,1.01815300,0.30298290,8,7
-0.01599168,0.92033860,0.38996590,-0.01599168,0.92033860,0.38996590,-0.01599168,0.92033860,0.38996590,-0.03334538,0.93488760,0.38081410,-0.05333069,0.94628320,0.37443210,-0.07493676,0.96534610,0.36237730,-0.07315390,0.99112960,0.34273280,-0.06052756,1.00383100,0.37942170,-0.07603616,1.03039600,0.35989520,-0.08563732,1.03714300,0.33971130,-0.03974649,1.00805900,0.37610770,-0.05911510,1.04108400,0.36078520,-0.07126580,1.04344200,0.33739230,-0.02254521,1.00400700,0.36678790,-0.03652085,1.02984000,0.34353460,-0.04884706,1.02738800,0.32131470,-0.00633659,0.95380440,0.36927100,-0.00688635,0.99550280,0.35570110,-0.02064877,1.01341200,0.33670630,-0.03159072,1.01475200,0.32060650,-0.07907984,1.00835200,0.32764230,-0.09272732,1.04009200,0.31962090,-0.08166192,1.04365800,0.31575150,-0.05992439,1.01678300,0.30361200,-0.04488455,1.01849200,0.30466210,8,7
-0.01399033,0.92066600,0.39127640,-0.01399033,0.92066600,0.39127640,-0.01399033,0.92066600,0.39127640,-0.03132452,0.93537720,0.38234980,-0.05128505,0.94696430,0.37624110,-0.07286674,0.96625590,0.36451050,-0.07100870,0.99198970,0.34480790,-0.05782332,1.00459100,0.38123490,-0.07327116,1.03146500,0.36208580,-0.08307934,1.03823700,0.34201020,-0.03704988,1.00860300,0.37761800,-0.05619579,1.04166400,0.36209450,-0.06855772,1.04392400,0.33880280,-0.02002539,1.00436300,0.36806040,-0.03407691,1.02966500,0.34427560,-0.04668150,1.02748400,0.32218410,-0.00429288,0.95400170,0.37039240,-0.00461349,0.99568380,0.35676500,-0.01880239,1.01353600,0.33803280,-0.03002093,1.01498900,0.32213440,-0.07680406,1.00928400,0.32974900,-0.09039743,1.04106100,0.32198370,-0.07918623,1.04411700,0.31727500,-0.05819288,1.01726800,0.30452920,-0.04358026,1.01888100,0.30645220,8,7
-0.01205480,0.92097600,0.39265260,-0.01205480,0.92097600,0.39265260,-0.01205480,0.92097600,0.39265260,-0.02936259,0.93584420,0.38393730,-0.04921740,0.94766040,0.37792350,-0.07067495,0.96695630,0.36597430,-0.06818864,0.99237840,0.34593920,-0.05519901,1.00531200,0.38307870,-0.07058735,1.03256500,0.36442510,-0.08061944,1.03949900,0.34451570,-0.03443763,1.00911600,0.37917940,-0.05302409,1.04244900,0.36355740,-0.06550623,1.04455400,0.34031540,-0.01758430,1.00469800,0.36940160,-0.03169123,1.03005600,0.34570870,-0.04461093,1.02827800,0.32376350,-0.00231296,0.95418900,0.37159430,-0.00240974,0.99585490,0.35791390,-0.01674556,1.01368900,0.33927640,-0.02815120,1.01525400,0.32352240,-0.07319636,1.00958800,0.33050520,-0.08819744,1.04239300,0.32459620,-0.07627013,1.04453400,0.31885420,-0.05645608,1.01813700,0.30628780,-0.04186570,1.01930300,0.30801600,8,7
