RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.35193830,0.88886920,0.34546980,0.35193830,0.88886920,0.34546980,0.35193830,0.88886920,0.34546980,0.36558860,0.90874020,0.34154640,0.37362620,0.93112140,0.34366240,0.39026450,0.95755450,0.34363540,0.41873830,0.96371730,0.32931300,0.43016840,0.94210060,0.35605590,0.46004750,0.95775740,0.34228580,0.47614230,0.96858280,0.32929100,0.43730190,0.92260030,0.35061830,0.47065560,0.93763170,0.33158810,0.49061050,0.94784190,0.31751750,0.43684290,0.90680500,0.33839290,0.46614450,0.91835440,0.31810980,0.48285320,0.92820780,0.30151470,0.38916030,0.88580140,0.32976730,0.43211600,0.89239270,0.32388850,0.45082700,0.90194920,0.30316380,0.45737720,0.91082380,0.28706850,0.43706640,0.95991240,0.31485440,0.49069110,0.97745980,0.31617150,0.50442910,0.95877380,0.30120830,0.48885880,0.94164240,0.28329380,0.46710250,0.92092010,0.27130720,8,2
0.35022580,0.88825390,0.34557100,0.35022580,0.88825390,0.34557100,0.35022580,0.88825390,0.34557100,0.36388960,0.90814110,0.34177880,0.37191970,0.93050730,0.34407430,0.38849450,0.95698010,0.34416320,0.41694750,0.96339240,0.32990900,0.42847820,0.94137590,0.35653530,0.45841020,0.95710270,0.34296140,0.47455900,0.96800270,0.33009660,0.43560450,0.92190550,0.35098260,0.46905990,0.93696760,0.33215620,0.48908170,0.94721620,0.31820920,0.43514480,0.90618590,0.33866000,0.46456160,0.91774690,0.31855090,0.48144240,0.92759340,0.30212680,0.38745640,0.88526210,0.32987420,0.43041950,0.89186570,0.32406400,0.44909110,0.90159550,0.30338450,0.45564260,0.91057340,0.28734710,0.43530600,0.95978050,0.31543960,0.48914570,0.97696040,0.31707450,0.50297570,0.95821690,0.30201070,0.48768790,0.94108500,0.28402900,0.46537600,0.92076710,0.27165360,8,2
0.34853280,0.88767460,0.34567730,0.34853280,0.88767460,0.34567730,0.34853280,0.88767460,0.34567730,0.36220890,0.90757630,0.34200800,0.37027670,0.92992090,0.34438090,0.38691820,0.95635100,0.34460270,0.41540940,0.96285500,0.33046690,0.42680430,0.94069380,0.35699650,0.45675040,0.95648470,0.34352850,0.47294530,0.96744240,0.33077100,0.43392460,0.92125200,0.35133700,0.46743030,0.93638970,0.33266120,0.48744350,0.94672100,0.31876290,0.43346510,0.90560350,0.33892420,0.46294070,0.91722490,0.31893640,0.47996990,0.92707620,0.30266900,0.38577210,0.88475420,0.32998770,0.42874230,0.89136950,0.32424340,0.44754910,0.90113910,0.30370570,0.45428200,0.91012650,0.28774890,0.43385320,0.95948080,0.31604870,0.48757770,0.97646030,0.31784210,0.50127520,0.95783480,0.30258850,0.48645150,0.94061700,0.28469150,0.46420380,0.92031000,0.27216710,8,2
0.34631040,0.88789990,0.34602930,0.34631040,0.88789990,0.34602930,0.34631040,0.88789990,0.34602930,0.36001950,0.90777980,0.34236430,0.36815210,0.93010520,0.34469610,0.38488450,0.95647800,0.34489380,0.41340200,0.96297400,0.33080740,0.42467960,0.94077650,0.35734020,0.45464700,0.95652320,0.34386780,0.47088810,0.96745160,0.33114410,0.43176330,0.92132530,0.35166680,0.46531960,0.93639560,0.33302740,0.48532490,0.94670980,0.31910490,0.43127070,0.90568440,0.33924580,0.46079860,0.91722310,0.31928730,0.47796760,0.92697240,0.30310570,0.38353720,0.88492310,0.33032060,0.42651620,0.89146660,0.32455960,0.44542980,0.90115580,0.30408200,0.45231880,0.91006860,0.28815000,0.43190340,0.95972700,0.31643380,0.48556230,0.97644470,0.31824520,0.49909780,0.95783230,0.30288640,0.48467730,0.94045950,0.28517160,0.46240500,0.92015700,0.27261210,8,2
0.34413320,0.88808010,0.34636550,0.34413320,0.88808010,0.34636550,0.34413320,0.88808010,0.34636550,0.35787270,0.90794070,0.34271010,0.36606450,0.93024780,0.34501050,0.38287780,0.95656920,0.34519010,0.41141940,0.96306950,0.33115450,0.42259100,0.94082290,0.35768660,0.45258070,0.95653180,0.34421990,0.46886790,0.96743610,0.33153430,0.42964150,0.92136460,0.35199620,0.46324960,0.93637380,0.33340080,0.48324920,0.94667440,0.31946020,0.42911930,0.90573370,0.33956370,0.45870050,0.91719660,0.31964060,0.47600670,0.92684940,0.30354750,0.38134940,0.88505540,0.33064080,0.42433660,0.89153440,0.32486870,0.44334670,0.90115680,0.30444890,0.45037980,0.91000360,0.28854320,0.42997560,0.95994780,0.31682390,0.48358320,0.97640920,0.31866840,0.49696830,0.95780900,0.30320440,0.48293970,0.94028650,0.28566070,0.46061780,0.92000710,0.27304960,8,2
0.34198960,0.88822480,0.34668960,0.34198960,0.88822480,0.34668960,0.34198960,0.88822480,0.34668960,0.35575750,0.90806830,0.34304820,0.36396840,0.93036340,0.34539590,0.38080710,0.95666810,0.34563570,0.40935400,0.96321590,0.33163310,0.42052910,0.94084060,0.35803550,0.45049950,0.95660580,0.34459150,0.46675660,0.96755060,0.33190230,0.42754890,0.92137710,0.35232540,0.46116890,0.93643040,0.33378740,0.48113930,0.94677970,0.31984090,0.42699990,0.90575820,0.33987900,0.45653870,0.91721550,0.31988990,0.47392770,0.92679860,0.30384440,0.37919660,0.88515910,0.33095140,0.42219180,0.89157940,0.32517260,0.44135410,0.90118460,0.30488750,0.44851740,0.91002130,0.28903420,0.42791860,0.96014890,0.31730170,0.48141610,0.97656900,0.31900440,0.49479860,0.95796450,0.30356920,0.48112240,0.94016950,0.28601150,0.45888660,0.92000810,0.27361740,8,2
0.33957880,0.88815810,0.34710850,0.33957880,0.88815810,0.34710850,0.33957880,0.88815810,0.34710850,0.35337710,0.90799000,0.34351940,0.36160540,0.93027000,0.34594780,0.37846880,0.95655780,0.34629130,0.40703240,0.96317340,0.33235500,0.41818720,0.94063570,0.35861580,0.44815280,0.95647000,0.34524250,0.46439610,0.96746890,0.33258250,0.42518230,0.92117500,0.35286580,0.45883310,0.93629030,0.33443420,0.47878870,0.94670250,0.32051350,0.42461780,0.90558510,0.34038390,0.45413980,0.91705890,0.32037930,0.47162750,0.92659280,0.30441210,0.37679000,0.88507450,0.33138370,0.41979750,0.89144630,0.32564290,0.43912030,0.90106170,0.30551550,0.44642540,0.90990670,0.28973170,0.42561980,0.96018490,0.31803650,0.47901770,0.97654620,0.31968290,0.49240440,0.95795660,0.30425290,0.47909160,0.93992130,0.28665850,0.45693720,0.91989420,0.27441220,8,2
0.33721490,0.88808480,0.34751100,0.33721490,0.88808480,0.34751100,0.33721490,0.88808480,0.34751100,0.35104200,0.90790590,0.34397350,0.35928750,0.93017090,0.34647980,0.37617400,0.95644240,0.34692220,0.40475370,0.96312770,0.33305210,0.41588840,0.94042960,0.35917710,0.44585050,0.95633040,0.34587480,0.46208310,0.96738140,0.33324650,0.42286020,0.92097230,0.35338700,0.45654290,0.93614570,0.33506190,0.47648470,0.94661890,0.32116710,0.42228110,0.90541110,0.34087000,0.45179120,0.91689910,0.32085610,0.46937950,0.92638250,0.30496940,0.37443020,0.88498590,0.33179880,0.41744940,0.89131200,0.32609480,0.43692640,0.90093730,0.30612150,0.44437210,0.90978850,0.29040700,0.42336530,0.96022140,0.31874800,0.47667070,0.97651570,0.32034870,0.49005750,0.95794050,0.30491760,0.47710900,0.93966720,0.28729670,0.45502460,0.91977450,0.27518400,8,2
0.33477500,0.88800140,0.34791790,0.33477500,0.88800140,0.34791790,0.33477500,0.88800140,0.34791790,0.34863090,0.90781200,0.34443440,0.35686590,0.93006530,0.34707580,0.37388440,0.95624090,0.34794010,0.40255460,0.96292300,0.33425670,0.41351340,0.94021150,0.35974860,0.44351890,0.95600320,0.34641450,0.45973220,0.96701480,0.33372710,0.42046180,0.92075850,0.35391660,0.45404820,0.93607020,0.33553000,0.47391530,0.94663360,0.32159660,0.41986810,0.90522750,0.34136270,0.44929870,0.91684650,0.32130720,0.46693570,0.92634840,0.30548580,0.37199440,0.88488870,0.33221830,0.41502510,0.89116970,0.32655190,0.43465210,0.90091960,0.30678680,0.44214900,0.90988270,0.29116050,0.42116490,0.95996840,0.31996080,0.47427310,0.97612050,0.32075630,0.48739120,0.95803430,0.30532180,0.47489940,0.93961350,0.28790260,0.45284490,0.91999420,0.27605120,8,2
0.33263350,0.88789980,0.34890340,0.33263350,0.88789980,0.34890340,0.33263350,0.88789980,0.34890340,0.34657960,0.90765400,0.34546070,0.35485530,0.92988120,0.34819390,0.37206000,0.95591960,0.34943270,0.40087370,0.96249010,0.33599880,0.41153230,0.93980680,0.36099620,0.44165970,0.95538750,0.34768890,0.45792360,0.96628900,0.33497110,0.41842560,0.92032370,0.35519940,0.45202670,0.93562400,0.33683010,0.47189670,0.94618210,0.32289680,0.41781690,0.90478870,0.34265120,0.44726990,0.91639330,0.32262030,0.46503470,0.92581670,0.30689510,0.36989760,0.88463310,0.33334160,0.41297310,0.89074240,0.32782970,0.43283130,0.90050050,0.30830110,0.44045990,0.90950010,0.29275970,0.41952120,0.95941200,0.32177770,0.47248420,0.97529830,0.32195540,0.48536250,0.95757830,0.30661040,0.47331940,0.93898860,0.28939030,0.45128100,0.91965290,0.27776770,8,2
