RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.02029285,0.94331100,0.44910830,-0.02029285,0.94331100,0.44910830,-0.02029285,0.94331100,0.44910830,-0.01065034,0.92224260,0.45643120,-0.00593223,0.90031730,0.46425350,-0.00509949,0.87322260,0.47944400,-0.01067909,0.85553340,0.50588370,0.03040585,0.88904370,0.50790980,0.04245716,0.86012330,0.52613910,0.04919198,0.84107080,0.53759220,0.01694551,0.89987310,0.52046150,0.01970137,0.86809200,0.54625980,0.01725384,0.84487530,0.55843600,-0.00153014,0.90573380,0.52486430,-0.00950091,0.87145940,0.53714280,-0.01799119,0.86964710,0.51327570,-0.02821420,0.92852460,0.48575920,-0.02192392,0.91020890,0.52485530,-0.02557369,0.88140940,0.52924840,-0.02938910,0.88227000,0.51023430,-0.02085236,0.85127110,0.52666970,0.05632585,0.82543320,0.55033700,0.01540162,0.82437190,0.57054940,-0.01415318,0.88740030,0.49867970,-0.02592983,0.89695480,0.49564740,1,7
-0.02199063,0.94343360,0.44916510,-0.02199063,0.94343360,0.44916510,-0.02199063,0.94343360,0.44916510,-0.01164679,0.92274120,0.45660230,-0.00620193,0.90102360,0.46453130,-0.00447747,0.87403910,0.47984240,-0.00944399,0.85619310,0.50629900,0.03037317,0.89118930,0.50833850,0.04339898,0.86268310,0.52654980,0.05080326,0.84388420,0.53800880,0.01650615,0.90159500,0.52080560,0.01996673,0.87004130,0.54679730,0.01784033,0.84666320,0.55872250,-0.00217529,0.90682900,0.52512900,-0.00896758,0.87230880,0.53742740,-0.01734630,0.87022880,0.51354280,-0.02951003,0.92852620,0.48585160,-0.02271179,0.91059430,0.52504050,-0.02536472,0.88169560,0.52949710,-0.02918314,0.88232690,0.51047470,-0.01944100,0.85147730,0.52707270,0.05849694,0.82852180,0.55076280,0.01616999,0.82594970,0.57050020,-0.01406433,0.88814400,0.49900940,-0.02620996,0.89709480,0.49586460,1,7
-0.02358044,0.94356830,0.44919040,-0.02358044,0.94356830,0.44919040,-0.02358044,0.94356830,0.44919040,-0.01258305,0.92325610,0.45673710,-0.00645788,0.90176030,0.46477350,-0.00389404,0.87491350,0.48020870,-0.00827431,0.85696050,0.50669650,0.03031925,0.89330700,0.50870120,0.04424849,0.86522950,0.52691030,0.05227523,0.84669820,0.53838580,0.01608810,0.90330320,0.52109280,0.02021758,0.87198660,0.54727290,0.01840740,0.84845740,0.55895060,-0.00276536,0.90793990,0.52535080,-0.00843375,0.87322850,0.53768040,-0.01671262,0.87089440,0.51378440,-0.03069853,0.92857110,0.48592040,-0.02341387,0.91103020,0.52519870,-0.02512139,0.88207170,0.52972910,-0.02894282,0.88247760,0.51070110,-0.01807907,0.85183990,0.52746590,0.06048931,0.83162310,0.55115810,0.01692457,0.82754280,0.57039330,-0.01396859,0.88894260,0.49930410,-0.02643607,0.89730750,0.49606630,1,7
-0.02508555,0.94371260,0.44919090,-0.02508555,0.94371260,0.44919090,-0.02508555,0.94371260,0.44919090,-0.01347352,0.92378540,0.45684260,-0.00666537,0.90252720,0.46496110,-0.00319026,0.87585690,0.48052340,-0.00700967,0.85791950,0.50710830,0.03024198,0.89540670,0.50900990,0.04506804,0.86797880,0.52749870,0.05367588,0.84981920,0.53914610,0.01568113,0.90500420,0.52133360,0.02081782,0.87418780,0.54792580,0.01960849,0.85064230,0.55964810,-0.00331632,0.90906690,0.52553760,-0.00802426,0.87422410,0.53790100,-0.01612523,0.87158310,0.51397600,-0.03180336,0.92865190,0.48597020,-0.02405098,0.91150950,0.52533490,-0.02492722,0.88252540,0.52993800,-0.02868042,0.88269890,0.51089290,-0.01657881,0.85239100,0.52788310,0.06229679,0.83506820,0.55202810,0.01850943,0.82959670,0.57089220,-0.01380504,0.88973130,0.49954670,-0.02655807,0.89752380,0.49619240,1,7
-0.02635336,0.94397710,0.44994490,-0.02635336,0.94397710,0.44994490,-0.02635336,0.94397710,0.44994490,-0.01404591,0.92445090,0.45754340,-0.00646810,0.90343460,0.46560970,-0.00194613,0.87691180,0.48115490,-0.00501897,0.85887930,0.50777240,0.03079564,0.89754560,0.50953540,0.04665705,0.87073990,0.52807740,0.05594008,0.85293650,0.53975610,0.01596377,0.90663990,0.52191730,0.02227946,0.87622540,0.54871750,0.02177207,0.85260840,0.56034730,-0.00314469,0.91005580,0.52619290,-0.00671990,0.87504290,0.53845440,-0.01476806,0.87219370,0.51453550,-0.03242290,0.92868240,0.48674040,-0.02395071,0.91179560,0.52606720,-0.02388924,0.88278970,0.53061530,-0.02767735,0.88281150,0.51157640,-0.01420874,0.85284910,0.52857880,0.06507099,0.83848710,0.55262860,0.02116797,0.83137960,0.57127990,-0.01301310,0.89050060,0.50022740,-0.02606269,0.89769800,0.49687360,1,7
-0.02757612,0.94423610,0.45061420,-0.02757612,0.94423610,0.45061420,-0.02757612,0.94423610,0.45061420,-0.01461657,0.92511910,0.45816870,-0.00631311,0.90436270,0.46619350,-0.00080037,0.87802370,0.48173170,-0.00316137,0.85993810,0.50838570,0.03125284,0.89968220,0.51000290,0.04807678,0.87350890,0.52860000,0.05799116,0.85607200,0.54031250,0.01617736,0.90829210,0.52243690,0.02358377,0.87830440,0.54943800,0.02373013,0.85463160,0.56096390,-0.00301673,0.91108760,0.52677900,-0.00550130,0.87594940,0.53895130,-0.01349516,0.87289790,0.51503910,-0.03301948,0.92875470,0.48742960,-0.02386849,0.91215290,0.52672560,-0.02290806,0.88315610,0.53123100,-0.02672446,0.88302340,0.51219810,-0.01196812,0.85345570,0.52922180,0.06760050,0.84193220,0.55318050,0.02359154,0.83323610,0.57158310,-0.01228867,0.89133690,0.50084430,-0.02559711,0.89795150,0.49749210,1,7
-0.02874067,0.94448580,0.45120930,-0.02874067,0.94448580,0.45120930,-0.02874067,0.94448580,0.45120930,-0.01517681,0.92577770,0.45872660,-0.00609566,0.90531060,0.46665140,0.00045424,0.87915460,0.48209580,-0.00135517,0.86111590,0.50882460,0.03161895,0.90177770,0.51041780,0.04960196,0.87618490,0.52873600,0.06024889,0.85905470,0.54025660,0.01632719,0.90992610,0.52289860,0.02567605,0.88090720,0.55035180,0.02748006,0.85777060,0.56279010,-0.00292934,0.91213380,0.52730250,-0.00432196,0.87708300,0.53989360,-0.01215585,0.87339140,0.51601880,-0.03358725,0.92885840,0.48804640,-0.02380402,0.91255940,0.52731690,-0.02196471,0.88362030,0.53191900,-0.02577950,0.88331680,0.51288780,-0.00994202,0.85439610,0.52967730,0.07042910,0.84511330,0.55290010,0.02887719,0.83688600,0.57429810,-0.01150530,0.89167770,0.50159190,-0.02510886,0.89821900,0.49812780,1,7
-0.02894267,0.94430610,0.45152020,-0.02894267,0.94430610,0.45152020,-0.02894267,0.94430610,0.45152020,-0.01507403,0.92591870,0.45926900,-0.00555039,0.90572870,0.46738300,0.00160190,0.87989090,0.48309360,0.00002671,0.86228170,0.51012190,0.03216103,0.90336330,0.51121060,0.05084781,0.87835590,0.52963250,0.06193040,0.86154810,0.54121700,0.01675722,0.91143560,0.52360270,0.02743809,0.88367500,0.55185960,0.03038262,0.86124470,0.56533090,-0.00252648,0.91339660,0.52800450,-0.00338969,0.87863170,0.54140930,-0.01105613,0.87416050,0.51761350,-0.03349479,0.92910190,0.48857130,-0.02340526,0.91349110,0.52804340,-0.02112713,0.88466100,0.53311000,-0.02490553,0.88399610,0.51408060,-0.00846483,0.85571430,0.53106200,0.07243707,0.84784330,0.55385220,0.03282943,0.84101970,0.57780160,-0.01064746,0.89210680,0.50275700,-0.02444137,0.89866660,0.49908240,1,7
-0.02921041,0.94416350,0.45181170,-0.02921041,0.94416350,0.45181170,-0.02921041,0.94416350,0.45181170,-0.01502812,0.92610650,0.45976690,-0.00505767,0.90620180,0.46804760,0.00270404,0.88068800,0.48399630,0.00137711,0.86347970,0.51129500,0.03264426,0.90498580,0.51191180,0.05202574,0.88057210,0.53041230,0.06354224,0.86409350,0.54204640,0.01712515,0.91295520,0.52422640,0.02905824,0.88646250,0.55319050,0.03305572,0.86474980,0.56753790,-0.00218254,0.91465080,0.52863320,-0.00250370,0.88016870,0.54277230,-0.00999211,0.87497680,0.51906630,-0.03345997,0.92934830,0.48905580,-0.02305993,0.91439960,0.52870320,-0.02032456,0.88568690,0.53419270,-0.02406414,0.88468020,0.51517080,-0.00700462,0.85702730,0.53231490,0.07437649,0.85063150,0.55466590,0.03646138,0.84518370,0.58080910,-0.00982889,0.89260520,0.50382950,-0.02381552,0.89913360,0.49995820,1,7
-0.02950514,0.94405030,0.45207730,-0.02950514,0.94405030,0.45207730,-0.02950514,0.94405030,0.45207730,-0.01502147,0.92631540,0.46021230,-0.00469804,0.90667360,0.46868580,0.00346021,0.88142470,0.48485680,0.00216373,0.86463580,0.51241670,0.03305687,0.90655480,0.51251730,0.05282922,0.88257430,0.53117010,0.06462687,0.86638290,0.54292510,0.01742723,0.91440950,0.52476570,0.03087126,0.88945560,0.55442620,0.03624397,0.86881540,0.56986590,-0.00189945,0.91584160,0.52918270,-0.00166723,0.88168780,0.54409910,-0.00896174,0.87573240,0.52051250,-0.03346406,0.92958650,0.48949120,-0.02276993,0.91525330,0.52928730,-0.01966590,0.88662890,0.53503570,-0.02333536,0.88528200,0.51602110,-0.00619731,0.85833730,0.53349150,0.07565547,0.85313850,0.55560640,0.04097518,0.85034510,0.58425390,-0.00906670,0.89296740,0.50483160,-0.02326810,0.89946270,0.50055210,1,7
