RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.01751748,0.88452210,0.49859170,-0.01751748,0.88452210,0.49859170,-0.01751748,0.88452210,0.49859170,-0.02115594,0.90738700,0.49121340,-0.02246659,0.92863640,0.48068170,-0.02230523,0.95930450,0.47568070,-0.03457123,0.98042910,0.49680870,-0.07175943,0.95793990,0.47328250,-0.09266184,0.98755440,0.47321120,-0.10476520,1.00736200,0.47405050,-0.08002891,0.95092510,0.49167850,-0.09962816,0.98688010,0.49418600,-0.11234490,1.00986500,0.49598690,-0.07767709,0.94565550,0.51069900,-0.06317902,0.97858330,0.52042500,-0.04016016,0.96865910,0.51634480,-0.04039966,0.90982900,0.52005430,-0.07033188,0.94014880,0.52945160,-0.05303077,0.96377480,0.53157760,-0.03623541,0.95625080,0.52540180,-0.04370644,0.98538290,0.51792110,-0.11908880,1.02322700,0.47504070,-0.12836570,1.02756300,0.49681580,-0.04174723,0.94721580,0.50736640,-0.03161865,0.93840050,0.51538000,1,6
-0.01592186,0.88473820,0.49832680,-0.01592186,0.88473820,0.49832680,-0.01592186,0.88473820,0.49832680,-0.01918346,0.90763400,0.49086850,-0.02017732,0.92888030,0.48029600,-0.01942925,0.95953080,0.47524080,-0.03114605,0.98061260,0.49672030,-0.06895899,0.95907830,0.47315680,-0.08907937,0.98922960,0.47322640,-0.10052360,1.00941900,0.47418840,-0.07719024,0.95231500,0.49166380,-0.09584802,0.98877920,0.49399430,-0.10796160,1.01209600,0.49568320,-0.07476284,0.94709210,0.51068770,-0.05973308,0.97985670,0.52015450,-0.03685163,0.96967930,0.51592760,-0.03810401,0.91059010,0.51987460,-0.06735032,0.94153340,0.52939840,-0.04968383,0.96490650,0.53130330,-0.03307241,0.95712540,0.52495130,-0.03997381,0.98570070,0.51793130,-0.11429840,1.02575300,0.47533770,-0.12349680,1.03022300,0.49647000,-0.03871413,0.94821890,0.50704320,-0.02876355,0.93921790,0.51489430,1,6
-0.01478018,0.88487790,0.49895520,-0.01478018,0.88487790,0.49895520,-0.01478018,0.88487790,0.49895520,-0.01787194,0.90788330,0.49176660,-0.01877076,0.92926290,0.48145750,-0.01766455,0.95996060,0.47676820,-0.02877483,0.98062830,0.49896070,-0.06727239,0.96013400,0.47541800,-0.08679982,0.99066170,0.47623940,-0.09772032,1.01111000,0.47770420,-0.07526292,0.95330430,0.49400590,-0.09318992,0.99009560,0.49686970,-0.10483320,1.01362400,0.49890240,-0.07256795,0.94787160,0.51293480,-0.05712827,0.98042260,0.52247830,-0.03436561,0.97019310,0.51776380,-0.03623544,0.91081170,0.52113140,-0.06489907,0.94204130,0.53145860,-0.04699685,0.96523770,0.53332130,-0.03058188,0.95739600,0.52654710,-0.03714908,0.98549720,0.52040570,-0.11104850,1.02776800,0.47935870,-0.11998710,1.03205100,0.50005710,-0.03646135,0.94883630,0.50868420,-0.02656067,0.93960490,0.51616960,1,6
-0.01365231,0.88501790,0.49952500,-0.01365231,0.88501790,0.49952500,-0.01365231,0.88501790,0.49952500,-0.01655746,0.90811990,0.49257250,-0.01733967,0.92961500,0.48249670,-0.01585393,0.96034410,0.47812910,-0.02637102,0.98061960,0.50096320,-0.06552500,0.96114540,0.47746290,-0.08444379,0.99202750,0.47898270,-0.09484269,1.01270800,0.48090770,-0.07329781,0.95426880,0.49612570,-0.09048449,0.99137090,0.49947680,-0.10165130,1.01510000,0.50182380,-0.07036344,0.94864610,0.51496330,-0.05451650,0.98098530,0.52455930,-0.03187837,0.97069630,0.51939630,-0.03439428,0.91104780,0.52226020,-0.06246818,0.94256430,0.53331020,-0.04432705,0.96557860,0.53512070,-0.02811007,0.95767050,0.52795800,-0.03431784,0.98529510,0.52261290,-0.10772280,1.02966300,0.48302860,-0.11641550,1.03381700,0.50331970,-0.03421265,0.94943800,0.51014520,-0.02437409,0.93998820,0.51729180,1,6
-0.01256137,0.88515470,0.50003990,-0.01256137,0.88515470,0.50003990,-0.01256137,0.88515470,0.50003990,-0.01527248,0.90834120,0.49329330,-0.01592035,0.92996000,0.48347570,-0.01416523,0.96071650,0.47941140,-0.02416862,0.98068170,0.50274430,-0.06377327,0.96209790,0.47930340,-0.08196040,0.99338390,0.48138790,-0.09189916,1.01425700,0.48364020,-0.07134964,0.95518860,0.49803480,-0.08820729,0.99242060,0.50161020,-0.09916148,1.01623400,0.50410240,-0.06820203,0.94939450,0.51678590,-0.05171739,0.98140630,0.52640530,-0.02928434,0.97092690,0.52075320,-0.03261607,0.91128600,0.52327010,-0.06010796,0.94308090,0.53496710,-0.04158667,0.96580040,0.53664560,-0.02552135,0.95785400,0.52918950,-0.03174290,0.98516520,0.52456750,-0.10438110,1.03146100,0.48610170,-0.11366400,1.03513800,0.50579760,-0.03200088,0.94978960,0.51133050,-0.02191680,0.94028970,0.51828590,1,6
-0.01063328,0.88528170,0.50084660,-0.01063328,0.88528170,0.50084660,-0.01063328,0.88528170,0.50084660,-0.01321476,0.90853580,0.49428460,-0.01376409,0.93026750,0.48471330,-0.01183888,0.96105300,0.48095740,-0.02155676,0.98066000,0.50471100,-0.06139699,0.96278150,0.48110500,-0.07901961,0.99435570,0.48364480,-0.08860938,1.01536000,0.48616720,-0.06886085,0.95580400,0.49985620,-0.08553416,0.99310450,0.50357820,-0.09636947,1.01696200,0.50616510,-0.06559221,0.94985410,0.51853770,-0.04870676,0.98162180,0.52827050,-0.02639415,0.97107400,0.52227890,-0.03026305,0.91141300,0.52443680,-0.05738684,0.94334850,0.53660090,-0.03862011,0.96586720,0.53825960,-0.02262836,0.95795850,0.53060790,-0.02891512,0.98492330,0.52665190,-0.10078640,1.03274200,0.48889710,-0.11068780,1.03599400,0.50798400,-0.02932576,0.95004670,0.51267670,-0.01901927,0.94053010,0.51948980,1,6
-0.00878968,0.88540980,0.50159450,-0.00878968,0.88540980,0.50159450,-0.00878968,0.88540980,0.50159450,-0.01122716,0.90872640,0.49520110,-0.01166275,0.93055980,0.48585840,-0.00953742,0.96136590,0.48238930,-0.01895356,0.98063210,0.50653980,-0.05905112,0.96346940,0.48279510,-0.07609659,0.99532070,0.48577480,-0.08532497,1.01645400,0.48855820,-0.06640701,0.95643850,0.50156920,-0.08284312,0.99382970,0.50543420,-0.09352565,1.01774600,0.50811330,-0.06302291,0.95034270,0.52018280,-0.04573675,0.98186680,0.53000380,-0.02354895,0.97124640,0.52368620,-0.02797861,0.91156080,0.52552330,-0.05471288,0.94365250,0.53813050,-0.03569958,0.96596590,0.53975530,-0.01978925,0.95808140,0.53191130,-0.02609464,0.98469730,0.52858980,-0.09718531,1.03401100,0.49155010,-0.10763630,1.03692000,0.51005430,-0.02670085,0.95032590,0.51392160,-0.01619588,0.94078130,0.52058950,1,6
-0.00708707,0.88553240,0.50227030,-0.00708707,0.88553240,0.50227030,-0.00708707,0.88553240,0.50227030,-0.00937859,0.90890440,0.49602700,-0.00971774,0.93075430,0.48671910,-0.00743440,0.96154760,0.48323640,-0.01649915,0.98067800,0.50762810,-0.05683467,0.96412220,0.48433350,-0.07351650,0.99617400,0.48722040,-0.08248448,1.01742700,0.48994430,-0.06409071,0.95704940,0.50313050,-0.07986588,0.99471200,0.50711200,-0.09012458,1.01880400,0.50986650,-0.06060090,0.95082070,0.52168070,-0.04277518,0.98203820,0.53151660,-0.02086244,0.97107020,0.52484270,-0.02584663,0.91171170,0.52650670,-0.05219626,0.94395930,0.53951930,-0.03286859,0.96600660,0.54106560,-0.01717564,0.95793330,0.53297940,-0.02337610,0.98464780,0.52977930,-0.09415202,1.03512100,0.49288640,-0.10392450,1.03819500,0.51189020,-0.02452593,0.95027570,0.51498780,-0.01397062,0.94065460,0.52150950,1,6
-0.00509022,0.88579870,0.50338020,-0.00509022,0.88579870,0.50338020,-0.00509022,0.88579870,0.50338020,-0.00711501,0.90921660,0.49721710,-0.00725969,0.93105940,0.48788740,-0.00463548,0.96181400,0.48430580,-0.01313314,0.98092030,0.50891960,-0.05389476,0.96515410,0.48624090,-0.06997432,0.99751800,0.48906200,-0.07852143,1.01895000,0.49173270,-0.06101822,0.95814440,0.50511210,-0.07591005,0.99615930,0.50914740,-0.08560171,1.02048100,0.51193790,-0.05738848,0.95182120,0.52360340,-0.03882234,0.98265600,0.53327520,-0.01727330,0.97122650,0.52620360,-0.02315674,0.91219380,0.52790730,-0.04886306,0.94479480,0.54132000,-0.02909753,0.96646560,0.54263590,-0.01369966,0.95810620,0.53427770,-0.01963585,0.98490180,0.53118140,-0.08985516,1.03686300,0.49465310,-0.09896569,1.04016700,0.51403780,-0.02157792,0.95055630,0.51634630,-0.01100351,0.94080910,0.52270500,1,6
-0.00316146,0.88605270,0.50441920,-0.00316146,0.88605270,0.50441920,-0.00316146,0.88605270,0.50441920,-0.00492255,0.90951170,0.49833220,-0.00486576,0.93137450,0.48904830,-0.00206445,0.96210600,0.48540240,-0.01011296,0.98104320,0.51029620,-0.05101939,0.96614340,0.48804830,-0.06678833,0.99867210,0.49072410,-0.07508786,1.02021300,0.49329720,-0.05801354,0.95919280,0.50698970,-0.07239291,0.99742310,0.51084390,-0.08175555,1.02188600,0.51351940,-0.05425110,0.95277450,0.52542150,-0.03469960,0.98306540,0.53486760,-0.01368289,0.97096510,0.52732540,-0.02054553,0.91264780,0.52922180,-0.04561345,0.94558430,0.54301760,-0.02548584,0.96693000,0.54414560,-0.01039774,0.95831520,0.53548730,-0.01628852,0.98481040,0.53268800,-0.08625304,1.03824300,0.49614830,-0.09490768,1.04172200,0.51554570,-0.01889538,0.95048790,0.51750390,-0.00833607,0.94100070,0.52381070,1,6
