RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.02909394,0.79887430,0.34919830,0.02909394,0.79887430,0.34919830,0.02909394,0.79887430,0.34919830,0.03434301,0.82277300,0.34840200,0.04174910,0.84551430,0.34761580,0.05191328,0.87297910,0.35868010,0.05190883,0.90150250,0.37433760,0.00831855,0.89048450,0.33236250,0.02047077,0.91623770,0.35522590,0.03283701,0.92654220,0.37221150,-0.00787109,0.88314540,0.34448180,0.00869710,0.90925940,0.37190400,0.02632870,0.88946130,0.37281200,-0.01431800,0.87366740,0.36090170,0.00572610,0.89386280,0.38540150,0.02437284,0.87692800,0.38090800,0.00667388,0.82586530,0.36964010,-0.01623464,0.86231610,0.37850690,0.00191448,0.87958930,0.39422990,0.01676249,0.86851870,0.38794790,0.05466989,0.92173160,0.38638700,0.04437439,0.93371520,0.38894950,0.02226722,0.87314150,0.35559920,0.02044012,0.86103590,0.36408350,0.01615022,0.85452250,0.37211370,12,6
0.02798329,0.79989290,0.34887920,0.02798329,0.79989290,0.34887920,0.02798329,0.79989290,0.34887920,0.03346406,0.82374440,0.34824440,0.04111835,0.84640430,0.34748730,0.05177505,0.87366840,0.35858460,0.05233133,0.90207400,0.37444510,0.00793280,0.89186360,0.33316760,0.02072218,0.91735460,0.35597730,0.03334902,0.92752090,0.37285410,-0.00818106,0.88457120,0.34541540,0.00894742,0.91035860,0.37280240,0.02633686,0.89033600,0.37340750,-0.01452257,0.87500140,0.36182300,0.00590346,0.89487970,0.38626670,0.02441324,0.87786590,0.38151310,0.00608921,0.82690990,0.36984990,-0.01633886,0.86350170,0.37934240,0.00225329,0.88039180,0.39496360,0.01696107,0.86924120,0.38849580,0.05552204,0.92218490,0.38658600,0.04502452,0.93471560,0.38948680,0.02189179,0.87417020,0.35614430,0.02024612,0.86210070,0.36462560,0.01619152,0.85533820,0.37258660,12,6
0.02693820,0.80087080,0.34855440,0.02693820,0.80087080,0.34855440,0.02693820,0.80087080,0.34855440,0.03264661,0.82467260,0.34807870,0.04054045,0.84725120,0.34735280,0.05167755,0.87430800,0.35848560,0.05278776,0.90258500,0.37454560,0.00761090,0.89317940,0.33395750,0.02101509,0.91840340,0.35671080,0.03389826,0.92842780,0.37347840,-0.00842580,0.88592800,0.34633020,0.00924662,0.91139040,0.37367560,0.02639267,0.89115230,0.37398080,-0.01466380,0.87626390,0.36272230,0.00613328,0.89582600,0.38710810,0.02450222,0.87873570,0.38209000,0.00556633,0.82789860,0.37004350,-0.01638285,0.86461530,0.38015290,0.00261483,0.88114300,0.39567340,0.01718659,0.86992170,0.38902290,0.05640095,0.92256990,0.38677570,0.04571638,0.93563450,0.39000480,0.02156984,0.87514490,0.35667140,0.02009673,0.86310420,0.36513890,0.01626343,0.85611320,0.37303960,12,6
0.02596129,0.80179970,0.34823230,0.02596129,0.80179970,0.34823230,0.02596129,0.80179970,0.34823230,0.03188995,0.82555010,0.34791000,0.04003837,0.84803570,0.34711370,0.05179178,0.87482390,0.35826250,0.05362425,0.90295680,0.37450820,0.00734439,0.89441850,0.33471800,0.02152749,0.91931940,0.35735480,0.03470268,0.92917450,0.37399540,-0.00861543,0.88720270,0.34721030,0.00954193,0.91234710,0.37453230,0.02670617,0.89212370,0.37478590,-0.01475384,0.87744460,0.36358430,0.00640553,0.89669950,0.38790290,0.02473561,0.87960460,0.38275990,0.00509913,0.82882480,0.37021980,-0.01638058,0.86565000,0.38092540,0.00305756,0.88178590,0.39631210,0.01749808,0.87047980,0.38952030,0.05781498,0.92279860,0.38678690,0.04664701,0.93644640,0.39040200,0.02182885,0.87609470,0.35751190,0.02030919,0.86400150,0.36578820,0.01642728,0.85674090,0.37348650,12,6
0.02396536,0.80267420,0.34837040,0.02396536,0.80267420,0.34837040,0.02396536,0.80267420,0.34837040,0.03009880,0.82637410,0.34818730,0.03848529,0.84877020,0.34734170,0.05070224,0.87532970,0.35853910,0.05305372,0.90335990,0.37489520,0.00613042,0.89553330,0.33546350,0.02081779,0.92018440,0.35805200,0.03410576,0.92993000,0.37466740,-0.00987261,0.88837770,0.34793510,0.00847220,0.91330170,0.37533360,0.02563126,0.89307630,0.37573490,-0.01607083,0.87857070,0.36425730,0.00518499,0.89760890,0.38866220,0.02352483,0.88049670,0.38361220,0.00337057,0.82974050,0.37055840,-0.01777374,0.86668240,0.38152680,0.00191126,0.88250100,0.39692910,0.01630101,0.87110670,0.39017710,0.05766545,0.92309200,0.38719970,0.04601518,0.93731860,0.39104720,0.02084139,0.87699580,0.35848420,0.01922991,0.86488180,0.36661760,0.01526037,0.85738780,0.37412410,12,6
0.02209868,0.80353260,0.34846230,0.02209868,0.80353260,0.34846230,0.02209868,0.80353260,0.34846230,0.02843568,0.82717950,0.34841950,0.03705383,0.84948590,0.34753260,0.04972788,0.87581040,0.35877670,0.05259749,0.90372440,0.37524860,0.00503373,0.89662450,0.33620830,0.02022353,0.92101140,0.35875130,0.03363821,0.93064020,0.37533300,-0.01100041,0.88952490,0.34867200,0.00755739,0.91421970,0.37613470,0.02469103,0.89397510,0.37664190,-0.01724372,0.87966460,0.36494480,0.00412920,0.89847770,0.38942190,0.02246436,0.88134330,0.38443060,0.00179121,0.83062850,0.37087790,-0.01900757,0.86767790,0.38214010,0.00092255,0.88318170,0.39754740,0.01525939,0.87170700,0.39081910,0.05762667,0.92333640,0.38758160,0.04553928,0.93813030,0.39167280,0.01994670,0.87786230,0.35940890,0.01826608,0.86573040,0.36740990,0.01423977,0.85801240,0.37474400,12,6
0.02040135,0.80433940,0.34852190,0.02040135,0.80433940,0.34852190,0.02040135,0.80433940,0.34852190,0.02693106,0.82793370,0.34861260,0.03577095,0.85015050,0.34766330,0.04884904,0.87629620,0.35886220,0.05203174,0.90407620,0.37550210,0.00406245,0.89764430,0.33691480,0.01952524,0.92191190,0.35940090,0.03306503,0.93139910,0.37596240,-0.01199380,0.89059540,0.34937890,0.00680963,0.91504560,0.37689330,0.02372542,0.89461580,0.37726600,-0.01827138,0.88068160,0.36560590,0.00326857,0.89923060,0.39013810,0.02141706,0.88194570,0.38498600,0.00037926,0.83145490,0.37116930,-0.02008441,0.86859920,0.38272890,-0.00002914,0.88388060,0.39819590,0.01425175,0.87237640,0.39139930,0.05744659,0.92359140,0.38782520,0.04505734,0.93878320,0.39228370,0.01876720,0.87863310,0.35997210,0.01706328,0.86644870,0.36789870,0.01320772,0.85876960,0.37525140,12,6
0.01888841,0.80541150,0.34835360,0.01888841,0.80541150,0.34835360,0.01888841,0.80541150,0.34835360,0.02582418,0.82888840,0.34860610,0.03507186,0.85093610,0.34760000,0.04888284,0.87672880,0.35873750,0.05278596,0.90427300,0.37561420,0.00402585,0.89909680,0.33788320,0.02019267,0.92300670,0.36025710,0.03408313,0.93217650,0.37670670,-0.01200407,0.89219550,0.35046320,0.00750006,0.91612600,0.37794680,0.02402280,0.89537360,0.37797620,-0.01826318,0.88222380,0.36666180,0.00381461,0.90022480,0.39112400,0.02158513,0.88266320,0.38560340,-0.00040009,0.83263060,0.37150770,-0.02008569,0.86999830,0.38368200,0.00037118,0.88481010,0.39907960,0.01443169,0.87317280,0.39205410,0.05886666,0.92358300,0.38795020,0.04636290,0.93931440,0.39292340,0.01857162,0.87962550,0.36061560,0.01680467,0.86738190,0.36843590,0.01310426,0.85972020,0.37579810,12,6
0.01742405,0.80645230,0.34818140,0.01742405,0.80645230,0.34818140,0.01742405,0.80645230,0.34818140,0.02474464,0.82980990,0.34858840,0.03437350,0.85169090,0.34752010,0.04894215,0.87706270,0.35865870,0.05356939,0.90429510,0.37585560,0.00397681,0.90046760,0.33881270,0.02090523,0.92394210,0.36108420,0.03519877,0.93265330,0.37743740,-0.01202166,0.89370010,0.35150500,0.00829288,0.91695710,0.37897960,0.02433169,0.89583280,0.37854960,-0.01826081,0.88366760,0.36767380,0.00436666,0.90108990,0.39205250,0.02170394,0.88323520,0.38611060,-0.00115671,0.83374470,0.37182280,-0.02009183,0.87130150,0.38459110,0.00060106,0.88579680,0.39997470,0.01436192,0.87399670,0.39263440,0.06028068,0.92333250,0.38828780,0.04784276,0.93933770,0.39356730,0.01835239,0.88036100,0.36111450,0.01639225,0.86823370,0.36885290,0.01254047,0.86075440,0.37625400,12,6
0.01562740,0.80701450,0.34860050,0.01562740,0.80701450,0.34860050,0.01562740,0.80701450,0.34860050,0.02327708,0.83025820,0.34934160,0.03324448,0.85199370,0.34841800,0.04837377,0.87691590,0.35982110,0.05347403,0.90375890,0.37748990,0.00350545,0.90133600,0.34060020,0.02089285,0.92429610,0.36305340,0.03537497,0.93251540,0.37949510,-0.01258284,0.89461180,0.35320160,0.00816605,0.91711860,0.38097480,0.02377747,0.89568690,0.38018140,-0.01895775,0.88443540,0.36922680,0.00390248,0.90121770,0.39383640,0.02091524,0.88315450,0.38759390,-0.00255864,0.83422130,0.37264410,-0.02095765,0.87185280,0.38596450,-0.00021561,0.88599060,0.40161220,0.01335112,0.87409800,0.39406280,0.06062489,0.92247250,0.39016640,0.04816983,0.93872540,0.39569550,0.01751107,0.88055670,0.36254860,0.01531375,0.86849980,0.37013100,0.01125951,0.86113850,0.37748970,12,6
0.01388989,0.80759420,0.34896950,0.01388989,0.80759420,0.34896950,0.01388989,0.80759420,0.34896950,0.02185807,0.83071830,0.35002620,0.03215098,0.85230660,0.34922760,0.04782959,0.87677760,0.36086360,0.05340167,0.90322860,0.37897540,0.00305337,0.90217540,0.34230280,0.02090355,0.92462780,0.36490580,0.03557111,0.93237240,0.38141350,-0.01311279,0.89549640,0.35482830,0.00806239,0.91727210,0.38286150,0.02325613,0.89555830,0.38171080,-0.01961034,0.88518500,0.37071740,0.00347960,0.90134820,0.39552610,0.02017529,0.88309560,0.38898570,-0.00389735,0.83470830,0.37341290,-0.02176555,0.87239800,0.38728000,-0.00096726,0.88618580,0.40316360,0.01240297,0.87420700,0.39540300,0.06098795,0.92161630,0.39187380,0.04851050,0.93813560,0.39766410,0.01671017,0.88075800,0.36390020,0.01429367,0.86877880,0.37133570,0.01004215,0.86152620,0.37865140,12,6
0.01220027,0.80818720,0.34929870,0.01220027,0.80818720,0.34929870,0.01220027,0.80818720,0.34929870,0.02047846,0.83118650,0.35065560,0.03109869,0.85261670,0.34988710,0.04737359,0.87663730,0.36164210,0.05343242,0.90269890,0.38015770,0.00261866,0.90298650,0.34393620,0.02076937,0.92509020,0.36664350,0.03554193,0.93255720,0.38318530,-0.01361595,0.89635410,0.35639780,0.00810082,0.91724210,0.38469080,0.02279789,0.89522020,0.38305030,-0.02022617,0.88591500,0.37215650,0.00312837,0.90143330,0.39712870,0.01952162,0.88301070,0.39030630,-0.00518514,0.83520110,0.37413890,-0.02252650,0.87293380,0.38854760,-0.00157132,0.88628690,0.40459550,0.01159277,0.87420840,0.39663930,0.06148412,0.92076460,0.39322790,0.04855759,0.93807440,0.39946040,0.01579558,0.88092990,0.36499850,0.01334152,0.86904030,0.37248150,0.00897814,0.86178710,0.37973160,12,6
