RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.27458540,0.87084660,0.31632170,0.27458540,0.87084660,0.31632170,0.27458540,0.87084660,0.31632170,0.27869540,0.89397140,0.30941610,0.28471230,0.91579530,0.30166050,0.29639900,0.94482860,0.30093280,0.30064920,0.97558900,0.31065290,0.24777900,0.96036370,0.29694200,0.26504290,0.98965630,0.31026660,0.28423140,1.00050800,0.31811890,0.23926560,0.95595100,0.31620060,0.26966750,0.98183990,0.32687360,0.28448080,0.96000890,0.32410980,0.24138400,0.94936200,0.33499160,0.27231200,0.96944560,0.34206070,0.28607520,0.94916430,0.33471770,0.26430010,0.90194400,0.34032580,0.24806710,0.94077790,0.35299490,0.27337580,0.95608850,0.35312870,0.28376840,0.94169400,0.34492650,0.30658860,0.99765370,0.31696920,0.30299090,1.00763700,0.32599230,0.27227380,0.94160530,0.31454920,0.27621960,0.92988770,0.32564190,0.27424070,0.92501900,0.33608570,12,7
0.27154830,0.86906810,0.31599670,0.27154830,0.86906810,0.31599670,0.27154830,0.86906810,0.31599670,0.27569140,0.89224030,0.30927190,0.28173360,0.91410980,0.30166600,0.29328480,0.94319950,0.30102770,0.29751780,0.97398540,0.31067370,0.24488730,0.95879780,0.29741560,0.26171640,0.98819400,0.31106420,0.28059320,0.99946460,0.31908030,0.23640890,0.95424480,0.31665690,0.26708110,0.97973850,0.32750640,0.28173860,0.95785000,0.32438900,0.23855650,0.94749700,0.33538820,0.26969750,0.96722080,0.34253510,0.28320760,0.94691120,0.33481010,0.26138420,0.89998880,0.34027940,0.24526290,0.93875120,0.35330480,0.27062680,0.95396930,0.35350830,0.28087440,0.93959590,0.34508950,0.30338040,0.99605970,0.31702890,0.29910140,1.00706900,0.32710220,0.26946660,0.93957510,0.31466600,0.27318500,0.92782250,0.32552250,0.27121900,0.92307170,0.33610510,12,7
0.26840270,0.86740080,0.31568030,0.26840270,0.86740080,0.31568030,0.26840270,0.86740080,0.31568030,0.27259510,0.89061250,0.30912500,0.27868240,0.91252440,0.30167860,0.29011400,0.94166350,0.30115030,0.29433160,0.97247270,0.31072880,0.24194420,0.95733690,0.29782180,0.25834260,0.98679690,0.31185190,0.27690890,0.99844120,0.32005670,0.23348360,0.95265970,0.31704120,0.26442180,0.97775450,0.32806410,0.27890840,0.95580140,0.32462050,0.23564270,0.94576440,0.33571740,0.26699170,0.96512590,0.34294490,0.28024660,0.94478460,0.33486910,0.25835550,0.89816210,0.34021260,0.24235400,0.93686570,0.35355680,0.26777890,0.95198040,0.35383780,0.27788010,0.93761970,0.34522270,0.30012300,0.99455320,0.31712720,0.29515990,1.00647600,0.32824580,0.26656200,0.93766120,0.31474080,0.27005590,0.92588390,0.32538230,0.26809420,0.92124690,0.33610370,12,7
0.26516990,0.86582110,0.31537040,0.26516990,0.86582110,0.31537040,0.26516990,0.86582110,0.31537040,0.26942410,0.88906650,0.30897610,0.27556260,0.91100500,0.30165100,0.28698400,0.94014980,0.30123120,0.29137630,0.97102800,0.31050420,0.23895760,0.95595850,0.29817620,0.25563980,0.98552670,0.31163230,0.27414490,0.99730660,0.31978160,0.23050150,0.95116960,0.31737000,0.26164170,0.97593810,0.32856070,0.27597170,0.95392690,0.32484300,0.23265780,0.94413570,0.33599480,0.26416760,0.96320960,0.34328740,0.27742760,0.94292450,0.33507950,0.25523570,0.89643660,0.34013010,0.23935990,0.93509100,0.35376400,0.26473380,0.95028770,0.35419260,0.27515920,0.93618610,0.34553570,0.29728250,0.99314180,0.31667830,0.29221160,1.00566100,0.32805930,0.26353290,0.93593010,0.31481780,0.26734770,0.92404150,0.32544000,0.26597800,0.91963990,0.33610600,12,7
0.26136150,0.86559790,0.31508170,0.26136150,0.86559790,0.31508170,0.26136150,0.86559790,0.31508170,0.26551570,0.88892320,0.30891670,0.27155560,0.91095440,0.30179070,0.28275350,0.94018810,0.30157920,0.28707750,0.97112820,0.31067630,0.23476950,0.95579640,0.29881600,0.25143020,0.98550730,0.31198130,0.26976570,0.99754060,0.32014390,0.22635120,0.95078130,0.31796870,0.25752220,0.97540340,0.32939460,0.27184440,0.95344710,0.32533760,0.22855390,0.94356990,0.33652000,0.26009100,0.96255230,0.34393230,0.27347240,0.94243060,0.33552180,0.25132780,0.89592340,0.34015620,0.23530940,0.93437480,0.35419150,0.26053390,0.94981190,0.35481010,0.27133470,0.93605070,0.34606620,0.29292180,0.99329270,0.31672660,0.28757990,1.00632000,0.32852880,0.25943660,0.93553950,0.31511640,0.26360720,0.92354150,0.32567430,0.26281670,0.91934690,0.33629780,12,7
0.25756900,0.86532070,0.31479760,0.25756900,0.86532070,0.31479760,0.25756900,0.86532070,0.31479760,0.26164640,0.88871570,0.30884910,0.26761160,0.91082980,0.30191960,0.27860460,0.94014190,0.30191200,0.28286420,0.97113970,0.31084130,0.23068440,0.95558330,0.29939160,0.24728390,0.98541410,0.31236150,0.26543910,0.99769720,0.32055510,0.22229270,0.95036260,0.31850080,0.25351340,0.97481470,0.33015350,0.26780700,0.95290120,0.32577710,0.22452840,0.94298480,0.33698260,0.25610700,0.96185120,0.34451320,0.26957990,0.94187180,0.33591190,0.24745410,0.89537830,0.34016030,0.23132280,0.93364580,0.35456360,0.25641550,0.94928740,0.35537210,0.26755570,0.93584690,0.34655550,0.28864790,0.99335030,0.31677990,0.28299420,1.00688900,0.32904360,0.25541650,0.93508990,0.31536820,0.25989980,0.92299230,0.32586440,0.25965990,0.91902760,0.33646810,12,7
0.25386800,0.86501150,0.31452310,0.25386800,0.86501150,0.31452310,0.25386800,0.86501150,0.31452310,0.25788630,0.88846730,0.30877740,0.26379430,0.91065420,0.30203430,0.27513410,0.93983060,0.30247250,0.27978350,0.97068340,0.31170460,0.22675760,0.95533840,0.29990960,0.24381330,0.98488330,0.31294180,0.26204900,0.99701570,0.32118090,0.21838390,0.94993100,0.31897480,0.24949880,0.97438850,0.33089610,0.26389140,0.95260430,0.32620970,0.22064270,0.94239820,0.33739110,0.25222830,0.96119700,0.34506070,0.26589910,0.94142410,0.33629620,0.24368610,0.89482240,0.34014890,0.22746470,0.93292350,0.35488860,0.25253980,0.94858710,0.35581370,0.26377230,0.93529540,0.34688930,0.28594540,0.99278380,0.31767370,0.27957880,1.00619000,0.32974050,0.25169560,0.93477740,0.31559960,0.25646220,0.92253550,0.32603680,0.25617830,0.91847730,0.33657070,12,7
0.25012820,0.86536590,0.31544690,0.25012820,0.86536590,0.31544690,0.25012820,0.86536590,0.31544690,0.25394360,0.88884690,0.30966590,0.25965300,0.91107240,0.30287870,0.27111880,0.94019810,0.30340300,0.27597940,0.97103710,0.31257170,0.22227490,0.95547850,0.30090760,0.23959190,0.98499640,0.31365340,0.25783960,0.99720740,0.32174860,0.21403570,0.95002230,0.32001750,0.24499610,0.97472850,0.33182800,0.25955610,0.95309370,0.32696970,0.21644120,0.94251930,0.33842740,0.24797970,0.96147230,0.34590920,0.26188760,0.94188590,0.33709900,0.23985130,0.89511810,0.34110280,0.22341970,0.93310770,0.35589720,0.24839620,0.94893550,0.35667990,0.25975140,0.93577220,0.34772060,0.28237650,0.99313080,0.31831410,0.27530240,1.00659000,0.33021890,0.24757550,0.93510760,0.31638300,0.25272860,0.92285580,0.32684920,0.25249870,0.91882790,0.33736300,12,7
0.24639460,0.86562910,0.31626250,0.24639460,0.86562910,0.31626250,0.24639460,0.86562910,0.31626250,0.25003310,0.88913370,0.31046330,0.25557010,0.91139540,0.30365220,0.26713970,0.94047830,0.30426540,0.27219060,0.97131050,0.31335410,0.21789680,0.95555780,0.30183430,0.23542850,0.98506280,0.31431390,0.25366410,0.99737140,0.32228740,0.20977460,0.95005070,0.32097970,0.24060710,0.97495360,0.33271120,0.25530340,0.95345150,0.32767740,0.21230720,0.94256550,0.33937980,0.24381370,0.96163280,0.34670370,0.25793300,0.94222190,0.33784140,0.23603470,0.89531710,0.34195950,0.21942080,0.93320130,0.35682050,0.24430790,0.94917450,0.35749000,0.25578250,0.93613950,0.34849520,0.27880100,0.99339950,0.31886830,0.27103740,1.00698100,0.33068730,0.24351630,0.93533540,0.31709530,0.24903380,0.92307320,0.32758350,0.24886680,0.91908880,0.33808190,12,7
0.24284680,0.86582400,0.31697270,0.24284680,0.86582400,0.31697270,0.24284680,0.86582400,0.31697270,0.24633330,0.88934990,0.31116640,0.25166210,0.91157100,0.30406280,0.26355650,0.94052620,0.30447150,0.26896320,0.97130150,0.31354840,0.21379660,0.95559630,0.30267220,0.23143910,0.98515980,0.31485340,0.24982740,0.99733570,0.32267860,0.20577510,0.95003940,0.32184560,0.23618040,0.97546040,0.33358090,0.25125450,0.95423820,0.32847640,0.20841640,0.94256400,0.34023440,0.23957620,0.96218660,0.34757490,0.25405280,0.94303360,0.33872810,0.23241580,0.89544770,0.34271510,0.21564570,0.93323530,0.35764660,0.24022670,0.94967280,0.35838280,0.25194920,0.93686570,0.34938030,0.27581100,0.99331870,0.31906020,0.26733420,1.00681200,0.33095190,0.23988760,0.93586360,0.31788040,0.24546040,0.92374330,0.32847400,0.24545850,0.91969120,0.33889710,12,7
