RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.00608361,0.88517890,0.31610160,0.00608361,0.88517890,0.31610160,0.00608361,0.88517890,0.31610160,0.02927787,0.89258820,0.31975160,0.05262943,0.89792090,0.32208680,0.08095847,0.89380200,0.33519250,0.10725700,0.89477500,0.35464250,0.07321228,0.95043490,0.33724640,0.10401570,0.94145730,0.35511970,0.12016340,0.92828460,0.36605650,0.05839942,0.95222560,0.35291520,0.09012185,0.93431650,0.37293830,0.07957579,0.91212070,0.36255350,0.04695321,0.94372460,0.36713890,0.07574046,0.92496550,0.38280370,0.06946078,0.90429310,0.36882540,0.01731673,0.90239980,0.35138850,0.03631847,0.93048270,0.37975190,0.06160851,0.91873470,0.39011390,0.05854223,0.90546350,0.37592460,0.12968670,0.89112200,0.36185510,0.13570590,0.91882070,0.37784250,0.06193032,0.91663960,0.34661760,0.05207754,0.91018810,0.35397730,0.04428838,0.90861730,0.36046540,13,7
0.00539558,0.88322370,0.31581160,0.00539558,0.88322370,0.31581160,0.00539558,0.88322370,0.31581160,0.02842302,0.89138280,0.31887090,0.05164313,0.89743390,0.32071400,0.08032070,0.89448640,0.33336980,0.10687660,0.89668230,0.35236510,0.07092692,0.95080110,0.33453650,0.10223130,0.94268560,0.35194550,0.11887860,0.93003450,0.36274830,0.05637928,0.95241040,0.35047120,0.08904021,0.93587050,0.37016050,0.07909108,0.91311540,0.36041720,0.04547847,0.94381050,0.36505910,0.07514212,0.92620930,0.38043000,0.06926955,0.90505260,0.36701070,0.01679851,0.90136070,0.35058120,0.03549999,0.93046960,0.37809710,0.06131024,0.91961280,0.38814360,0.05859809,0.90593160,0.37427540,0.12948780,0.89394210,0.35941360,0.13484270,0.92107130,0.37436090,0.06099487,0.91666390,0.34474330,0.05140886,0.90998850,0.35238100,0.04405660,0.90821240,0.35893100,13,7
0.00496195,0.87904860,0.31765420,0.00496195,0.87904860,0.31765420,0.00496195,0.87904860,0.31765420,0.02765699,0.88814570,0.32054770,0.05062190,0.89512770,0.32229420,0.07946318,0.89347080,0.33481200,0.10593930,0.89687850,0.35373980,0.06780174,0.94926490,0.33588940,0.09945148,0.94211340,0.35309540,0.11658150,0.93000820,0.36376840,0.05331291,0.95028820,0.35192570,0.08677888,0.93517270,0.37140710,0.07781335,0.91195080,0.36181130,0.04287625,0.94125910,0.36659370,0.07336076,0.92492240,0.38175280,0.06832324,0.90346200,0.36847720,0.01585713,0.89766100,0.35233540,0.03354432,0.92753000,0.37970700,0.05982838,0.91771150,0.38959230,0.05781468,0.90384290,0.37579130,0.12863210,0.89518570,0.36085520,0.13289950,0.92154280,0.37526190,0.05947080,0.91457900,0.34624270,0.05016365,0.90746700,0.35393120,0.04319584,0.90533310,0.36042330,13,7
0.00450447,0.87513990,0.31926800,0.00450447,0.87513990,0.31926800,0.00450447,0.87513990,0.31926800,0.02684086,0.88513760,0.32197460,0.04952276,0.89302440,0.32356040,0.07849541,0.89264630,0.33587720,0.10504470,0.89724050,0.35444830,0.06463787,0.94784030,0.33688410,0.09657758,0.94184590,0.35399620,0.11423040,0.93045310,0.36460120,0.05023628,0.94832850,0.35302400,0.08446016,0.93473780,0.37231110,0.07649454,0.91105470,0.36296370,0.04027269,0.93892970,0.36778830,0.07153795,0.92399180,0.38279960,0.06741526,0.90218840,0.36976930,0.01490298,0.89425780,0.35382650,0.03158825,0.92487430,0.38100050,0.05830127,0.91604750,0.39066870,0.05696984,0.90196960,0.37699750,0.12790940,0.89650670,0.36116610,0.13089330,0.92258810,0.37602640,0.05793753,0.91269480,0.34751430,0.04899734,0.90522310,0.35531360,0.04231162,0.90259580,0.36160760,13,7
0.00426212,0.87296580,0.31993860,0.00426212,0.87296580,0.31993860,0.00426212,0.87296580,0.31993860,0.02638185,0.88340040,0.32277240,0.04889631,0.89171980,0.32452540,0.07776411,0.89205460,0.33708710,0.10413580,0.89733870,0.35572760,0.06285870,0.94688640,0.33765540,0.09468110,0.94144420,0.35516590,0.11243520,0.93042960,0.36599880,0.04831923,0.94718310,0.35367580,0.08267426,0.93446510,0.37332160,0.07536352,0.91050000,0.36415960,0.03841575,0.93767210,0.36840870,0.06987713,0.92353900,0.38378520,0.06642163,0.90148190,0.37099020,0.01401349,0.89245470,0.35447850,0.02989222,0.92352180,0.38162430,0.05667971,0.91518150,0.39151590,0.05594500,0.90092000,0.37799060,0.12701470,0.89711490,0.36243310,0.12909110,0.92285190,0.37762650,0.05689763,0.91150400,0.34854750,0.04806443,0.90389230,0.35634100,0.04152363,0.90096300,0.36236600,13,7
0.00398619,0.87083440,0.32052860,0.00398619,0.87083440,0.32052860,0.00398619,0.87083440,0.32052860,0.02587422,0.88172550,0.32344240,0.04820627,0.89049700,0.32532050,0.07696747,0.89158640,0.33808240,0.10315330,0.89760560,0.35676210,0.06097889,0.94601720,0.33816560,0.09270342,0.94116930,0.35602490,0.11057180,0.93055460,0.36706730,0.04632908,0.94612250,0.35408770,0.08083232,0.93432780,0.37404730,0.07418548,0.91008460,0.36511420,0.03651818,0.93650670,0.36881450,0.06818926,0.92322930,0.38451950,0.06540623,0.90092240,0.37199640,0.01311526,0.89072650,0.35500860,0.02818948,0.92227100,0.38206250,0.05506366,0.91445980,0.39214890,0.05492467,0.90001970,0.37879510,0.12604050,0.89792260,0.36343530,0.12723660,0.92328300,0.37887620,0.05580486,0.91042190,0.34937330,0.04710501,0.90267530,0.35718460,0.04073944,0.89945500,0.36296580,13,7
0.00368383,0.86873640,0.32105510,0.00368383,0.86873640,0.32105510,0.00368383,0.86873640,0.32105510,0.02532586,0.88009770,0.32401080,0.04746135,0.88936060,0.32585620,0.07617438,0.89119170,0.33864170,0.10227050,0.89793360,0.35719970,0.05901375,0.94520270,0.33846780,0.09063894,0.94091920,0.35664470,0.10861330,0.93069170,0.36787880,0.04427595,0.94511650,0.35430850,0.07889912,0.93421660,0.37456690,0.07283023,0.90978210,0.36574440,0.03458317,0.93540330,0.36904960,0.06644722,0.92285350,0.38496120,0.06422397,0.90033170,0.37271390,0.01220735,0.88905370,0.35544210,0.02647586,0.92109150,0.38235280,0.05346442,0.91366010,0.39242090,0.05362396,0.89907870,0.37922180,0.12517120,0.89880040,0.36377740,0.12529550,0.92374320,0.37985650,0.05455101,0.90953700,0.34988410,0.04598282,0.90134770,0.35775980,0.03952400,0.89804320,0.36334020,13,7
0.00350878,0.86741640,0.32267500,0.00350878,0.86741640,0.32267500,0.00350878,0.86741640,0.32267500,0.02497801,0.87911130,0.32558970,0.04698178,0.88869220,0.32738590,0.07551319,0.89133570,0.34043310,0.10137180,0.89904270,0.35894780,0.05773283,0.94503550,0.33838230,0.08900508,0.94148520,0.35731220,0.10685130,0.93177010,0.36918710,0.04274192,0.94531440,0.35398140,0.07714339,0.93552880,0.37516520,0.07151103,0.91074440,0.36705790,0.03291530,0.93599180,0.36888520,0.06466640,0.92430140,0.38565420,0.06291859,0.90128270,0.37428500,0.01125718,0.88896600,0.35649040,0.02474605,0.92204310,0.38253190,0.05166219,0.91498320,0.39305100,0.05213410,0.89991860,0.38041400,0.12421660,0.90041420,0.36563310,0.12334220,0.92529370,0.38168310,0.05351226,0.90965700,0.35091490,0.04492734,0.90131800,0.35899750,0.03829899,0.89811140,0.36436940,13,7
0.00330523,0.86605590,0.32416050,0.00330523,0.86605590,0.32416050,0.00330523,0.86605590,0.32416050,0.02458805,0.87810380,0.32700370,0.04644836,0.88802110,0.32872410,0.07480042,0.89149560,0.34196600,0.10042290,0.90016100,0.36038500,0.05636040,0.94480310,0.33815090,0.08730225,0.94202470,0.35774120,0.10504110,0.93284560,0.37018960,0.04114276,0.94538910,0.35352030,0.07534624,0.93675190,0.37550880,0.07016382,0.91165060,0.36810720,0.03121381,0.93642160,0.36857330,0.06287488,0.92563160,0.38609900,0.06160586,0.90217580,0.37559250,0.01030360,0.88876060,0.35737830,0.02301570,0.92281140,0.38254070,0.04987659,0.91615410,0.39345620,0.05066346,0.90065440,0.38137300,0.12321180,0.90205260,0.36713380,0.12136120,0.92685750,0.38314500,0.05243322,0.90971910,0.35174770,0.04385792,0.90123520,0.36005150,0.03708353,0.89808400,0.36521490,13,7
0.00307934,0.86466390,0.32554030,0.00307934,0.86466390,0.32554030,0.00307934,0.86466390,0.32554030,0.02416392,0.87707760,0.32828540,0.04587074,0.88734500,0.32989150,0.07405075,0.89170120,0.34323960,0.09928182,0.90137740,0.36169560,0.05491378,0.94450530,0.33779720,0.08553113,0.94235660,0.35796800,0.10315260,0.93367200,0.37092740,0.03948943,0.94535230,0.35294680,0.07343899,0.93757130,0.37563730,0.06879611,0.91219310,0.36884750,0.02948175,0.93671250,0.36813880,0.06103968,0.92669740,0.38629900,0.06017233,0.90289960,0.37654790,0.00934423,0.88845720,0.35813690,0.02127946,0.92342290,0.38240920,0.04811824,0.91716130,0.39360940,0.04900733,0.90126810,0.38205630,0.12190110,0.90391810,0.36879280,0.11930800,0.92815150,0.38429040,0.05137307,0.90946440,0.35227260,0.04269705,0.90095660,0.36079240,0.03553884,0.89805750,0.36591940,13,7
