RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.05915248,0.82090870,0.32778380,-0.05915248,0.82090870,0.32778380,-0.05915248,0.82090870,0.32778380,-0.05408295,0.84014380,0.34229260,-0.05334082,0.85974330,0.35623880,-0.04442380,0.88864550,0.36497990,-0.02900390,0.91495280,0.37685460,-0.02683049,0.86163160,0.40845990,-0.00027794,0.88526070,0.41770820,0.01537337,0.90280900,0.41869660,-0.01124103,0.84792230,0.40236390,0.00692762,0.88413880,0.39307720,-0.00972969,0.88198420,0.37235020,0.00126481,0.84092050,0.38821560,0.01236391,0.87526990,0.37712830,-0.00504693,0.87311010,0.35830360,-0.02139286,0.82704620,0.34208250,0.01141018,0.83627170,0.37024350,0.01575327,0.86506220,0.36414320,0.00109239,0.86386970,0.35108570,-0.02602670,0.93756170,0.38381420,0.03039858,0.91843280,0.41826690,-0.02568459,0.86384550,0.37382110,-0.01770077,0.85338350,0.36115690,-0.01032943,0.84600690,0.35268810,13,7
-0.05524743,0.82116810,0.32945000,-0.05524743,0.82116810,0.32945000,-0.05524743,0.82116810,0.32945000,-0.05007662,0.84038360,0.34394900,-0.04929981,0.85995000,0.35793970,-0.04041770,0.88874850,0.36705110,-0.02452391,0.91469910,0.37908470,-0.02237676,0.86178140,0.40995950,0.00431855,0.88533690,0.41898170,0.01998889,0.90287770,0.41978380,-0.00683148,0.84807660,0.40374180,0.01123742,0.88430020,0.39429020,-0.00563398,0.88204070,0.37374840,0.00557776,0.84109020,0.38950110,0.01644241,0.87544430,0.37819830,-0.00109748,0.87305470,0.35952170,-0.01739152,0.82727950,0.34350320,0.01560149,0.83646220,0.37145560,0.01957962,0.86522420,0.36498310,0.00478061,0.86376110,0.35211030,-0.02104110,0.93715830,0.38628960,0.03503542,0.91847650,0.41921580,-0.02148112,0.86383840,0.37556050,-0.01352061,0.85323460,0.36271940,-0.00643951,0.84580390,0.35404690,13,7
-0.05019508,0.82097820,0.33034270,-0.05019508,0.82097820,0.33034270,-0.05019508,0.82097820,0.33034270,-0.04504840,0.84030700,0.34469890,-0.04436025,0.85992040,0.35862830,-0.03576902,0.88876810,0.36786180,-0.01963257,0.91462920,0.37976470,-0.01669592,0.86227320,0.41024400,0.00990031,0.88615130,0.41869270,0.02536388,0.90388850,0.41908140,-0.00108004,0.84872440,0.40386330,0.01638605,0.88511640,0.39393680,-0.00080398,0.88245930,0.37370920,0.01121283,0.84182700,0.38947910,0.02136179,0.87624820,0.37772450,0.00359585,0.87334440,0.35933670,-0.01222333,0.82757790,0.34385190,0.02104121,0.83724580,0.37131460,0.02428630,0.86598210,0.36433830,0.00929093,0.86403190,0.35176070,-0.01586875,0.93702140,0.38703670,0.04022178,0.91965060,0.41816310,-0.01631320,0.86402700,0.37604350,-0.00835052,0.85331960,0.36303680,-0.00150739,0.84587460,0.35417280,13,7
-0.04526958,0.82084260,0.33124000,-0.04526958,0.82084260,0.33124000,-0.04526958,0.82084260,0.33124000,-0.04013982,0.84026960,0.34546930,-0.03952467,0.85992100,0.35934840,-0.03118323,0.88879790,0.36871870,-0.01478891,0.91455230,0.38050000,-0.01118354,0.86273740,0.41057900,0.01530821,0.88692050,0.41846960,0.03056403,0.90484090,0.41845420,0.00448846,0.84932860,0.40404190,0.02139410,0.88586400,0.39368140,0.00391678,0.88284610,0.37375280,0.01666770,0.84251090,0.38952360,0.02615211,0.87697960,0.37736010,0.00818618,0.87360320,0.35924950,-0.00719900,0.82787470,0.34424350,0.02631089,0.83797180,0.37124960,0.02887192,0.86666440,0.36382350,0.01370810,0.86426730,0.35152820,-0.01072803,0.93687210,0.38783450,0.04523426,0.92075450,0.41719400,-0.01127037,0.86421380,0.37656750,-0.00331168,0.85340630,0.36340660,0.00330968,0.84594010,0.35437300,13,7
-0.04056783,0.82074800,0.33211600,-0.04056783,0.82074800,0.33211600,-0.04056783,0.82074800,0.33211600,-0.03544968,0.84026000,0.34623270,-0.03513817,0.85987170,0.36017780,-0.02734244,0.88877480,0.36993000,-0.01070562,0.91436630,0.38172600,-0.00594065,0.86316990,0.41093880,0.02036537,0.88753270,0.41889790,0.03549827,0.90555700,0.41896340,0.00977565,0.84988640,0.40425420,0.02639567,0.88650880,0.39374000,0.00867391,0.88348700,0.37402910,0.02184609,0.84313980,0.38961240,0.03096684,0.87767620,0.37736330,0.01283484,0.87415570,0.35944660,-0.00241364,0.82816210,0.34465390,0.03131605,0.83863810,0.37123880,0.03349854,0.86731390,0.36362870,0.01812673,0.86479680,0.35161900,-0.00655488,0.93660510,0.38925370,0.05007470,0.92156400,0.41780220,-0.00634660,0.86476620,0.37713590,0.00156630,0.85386630,0.36377800,0.00791297,0.84640790,0.35472340,13,7
-0.03825966,0.81905420,0.33571790,-0.03825966,0.81905420,0.33571790,-0.03825966,0.81905420,0.33571790,-0.03293718,0.83866370,0.34962240,-0.03269356,0.85826430,0.36358470,-0.02519793,0.88716950,0.37356260,-0.00812139,0.91257950,0.38512040,-0.00215077,0.86205260,0.41355750,0.02413570,0.88654480,0.42117670,0.03919384,0.90463130,0.42106070,0.01348507,0.84881420,0.40659990,0.02983357,0.88543240,0.39565420,0.01166360,0.88240140,0.37635710,0.02526985,0.84205370,0.39173360,0.03401738,0.87658580,0.37920320,0.01552914,0.87292710,0.36168270,0.00011869,0.82672440,0.34738760,0.03436237,0.83750590,0.37318150,0.03618182,0.86613170,0.36529310,0.02048869,0.86350670,0.35373040,-0.00371165,0.93474080,0.39272900,0.05370494,0.92068620,0.41975200,-0.00321393,0.86365510,0.37995900,0.00447039,0.85260000,0.36636370,0.01043856,0.84510110,0.35724260,13,7
-0.03579598,0.81752530,0.33909670,-0.03579598,0.81752530,0.33909670,-0.03579598,0.81752530,0.33909670,-0.03028757,0.83722370,0.35280160,-0.03011243,0.85680400,0.36679330,-0.02289414,0.88569300,0.37701980,-0.00539930,0.91092160,0.38834710,0.00167655,0.86105320,0.41599170,0.02793036,0.88568490,0.42326600,0.04290225,0.90384070,0.42295680,0.01723199,0.84785760,0.40877750,0.03331187,0.88447100,0.39742550,0.01472696,0.88142680,0.37852980,0.02874523,0.84108480,0.39370540,0.03712642,0.87561110,0.38091150,0.01831179,0.87181220,0.36377240,0.00277368,0.82543180,0.34994930,0.03748121,0.83649490,0.37499310,0.03893700,0.86506860,0.36684430,0.02295238,0.86233400,0.35571440,-0.00072565,0.93300130,0.39603470,0.05733857,0.91994920,0.42149050,0.00000214,0.86265620,0.38260210,0.00746742,0.85144880,0.36878510,0.01307534,0.84391250,0.35961320,13,7
-0.03304431,0.81608270,0.34242900,-0.03304431,0.81608270,0.34242900,-0.03304431,0.81608270,0.34242900,-0.02735745,0.83586660,0.35593640,-0.02709097,0.85547520,0.36988710,-0.01992151,0.88435160,0.38018320,-0.00201393,0.90944170,0.39116790,0.00575233,0.86012290,0.41836970,0.03185381,0.88516680,0.42472700,0.04643119,0.90360740,0.42357470,0.02122359,0.84697000,0.41090090,0.03688538,0.88363370,0.39913400,0.01805140,0.88051520,0.38049880,0.03246475,0.84018640,0.39562960,0.04054223,0.87472070,0.38266280,0.02142997,0.87083720,0.36587560,0.00569661,0.82421960,0.35247100,0.04084566,0.83555670,0.37676530,0.04226871,0.86415530,0.36869890,0.02607841,0.86147000,0.35785800,0.00278661,0.93149770,0.39884560,0.06044508,0.91998850,0.42126930,0.00347230,0.86169110,0.38483950,0.01079043,0.85043930,0.37117880,0.01630048,0.84303730,0.36194860,13,7
-0.02791246,0.81848530,0.34087810,-0.02791246,0.81848530,0.34087810,-0.02791246,0.81848530,0.34087810,-0.02215804,0.83825730,0.35437420,-0.02191687,0.85779270,0.36842760,-0.01487271,0.88657680,0.37906320,0.00336351,0.91144280,0.39001690,0.01155886,0.86248980,0.41649100,0.03745905,0.88785360,0.42238670,0.05166724,0.90654140,0.42071990,0.02700109,0.84942610,0.40880890,0.04236055,0.88621090,0.39702200,0.02342527,0.88315250,0.37847970,0.03809603,0.84273390,0.39339100,0.04598014,0.87736000,0.38055090,0.02671475,0.87350370,0.36393330,0.01090497,0.82676630,0.35049800,0.04628023,0.83819270,0.37441920,0.04770610,0.86686000,0.36660070,0.03140064,0.86427450,0.35590920,0.00826186,0.93341400,0.39787370,0.06529445,0.92316420,0.41788700,0.00895511,0.86425100,0.38284810,0.01623740,0.85303820,0.36929830,0.02170137,0.84580130,0.36000440,13,7
-0.02294794,0.82063600,0.33962360,-0.02294794,0.82063600,0.33962360,-0.02294794,0.82063600,0.33962360,-0.01712412,0.84040090,0.35310060,-0.01690784,0.85986550,0.36725220,-0.00998214,0.88855360,0.37821980,0.00858823,0.91319560,0.38911780,0.01719473,0.86463170,0.41488750,0.04289736,0.89029150,0.42035080,0.05674711,0.90919910,0.41821230,0.03260376,0.85165190,0.40699910,0.04767044,0.88854730,0.39517980,0.02862601,0.88554220,0.37674090,0.04355071,0.84504320,0.39144000,0.05124035,0.87975180,0.37870510,0.03182257,0.87590990,0.36226250,0.01594103,0.82906010,0.34882110,0.05153758,0.84058140,0.37236560,0.05294508,0.86930540,0.36475490,0.03652311,0.86679840,0.35422420,0.01360460,0.93508040,0.39713980,0.06999917,0.92603470,0.41489740,0.01426550,0.86656770,0.38115500,0.02150968,0.85538020,0.36770050,0.02691131,0.84828550,0.35834620,13,7
