RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.05096945,0.82803030,0.35368110,0.05096945,0.82803030,0.35368110,0.05096945,0.82803030,0.35368110,0.05476793,0.85184520,0.34871950,0.06136679,0.87407500,0.34227920,0.07218269,0.90309570,0.34794300,0.07462090,0.93456980,0.35656220,0.02472391,0.91428020,0.32075930,0.03025065,0.94666740,0.33717330,0.03853448,0.96390600,0.35088800,0.00872069,0.90811260,0.33395010,0.02822575,0.93660560,0.35709480,0.04426783,0.91595240,0.36236880,0.00255378,0.90120980,0.35183640,0.02518608,0.92342970,0.37233160,0.04301748,0.90487800,0.37254750,0.02643772,0.85684780,0.36903220,0.00102936,0.89295420,0.37125430,0.02172207,0.91098130,0.38273520,0.03578453,0.89737840,0.38071770,0.08130825,0.95681980,0.36191730,0.04451261,0.97997340,0.36415990,0.04110833,0.89549930,0.34982190,0.03876267,0.88566650,0.35950100,0.03284459,0.87989500,0.36897920,13,4
0.05090751,0.83318340,0.35479540,0.05090751,0.83318340,0.35479540,0.05090751,0.83318340,0.35479540,0.05484915,0.85686700,0.34934140,0.06161228,0.87888740,0.34237380,0.07272346,0.90789670,0.34749860,0.07490609,0.93941340,0.35603060,0.02523356,0.91884730,0.31994930,0.03133801,0.95122200,0.33618230,0.04012010,0.96822800,0.34987740,0.00915192,0.91304580,0.33321060,0.02865346,0.94199220,0.35578860,0.04459190,0.92138990,0.36155280,0.00288608,0.90655820,0.35121740,0.02547911,0.92917510,0.37131790,0.04331985,0.91064350,0.37199480,0.02647488,0.86244900,0.36944050,0.00125010,0.89872650,0.37080120,0.02197979,0.91690350,0.38197480,0.03601169,0.90322350,0.38029450,0.08138043,0.96172150,0.36140550,0.04656290,0.98412280,0.36313970,0.04139450,0.90068370,0.34943800,0.03921376,0.89111570,0.35937730,0.03322791,0.88546290,0.36894010,13,4
0.05062196,0.83771850,0.35547600,0.05062196,0.83771850,0.35547600,0.05062196,0.83771850,0.35547600,0.05465111,0.86134370,0.34983610,0.06151922,0.88326220,0.34265310,0.07283481,0.91221560,0.34764490,0.07468332,0.94366770,0.35648850,0.02531973,0.92315640,0.31981280,0.03189989,0.95532800,0.33626230,0.04111005,0.97195390,0.35014180,0.00917362,0.91751300,0.33306400,0.02861032,0.94665610,0.35544400,0.04448948,0.92607240,0.36143350,0.00282403,0.91119600,0.35110210,0.02532204,0.93400340,0.37109350,0.04321745,0.91553420,0.37199490,0.02622032,0.86717620,0.36978370,0.00109472,0.90353520,0.37074530,0.02180725,0.92177670,0.38184540,0.03584809,0.90808680,0.38032860,0.08088826,0.96597740,0.36216610,0.04795483,0.98752490,0.36358560,0.04130014,0.90526710,0.34948750,0.03930819,0.89584830,0.35956200,0.03326862,0.89019340,0.36913570,13,4
0.05035630,0.84223660,0.35621250,0.05035630,0.84223660,0.35621250,0.05035630,0.84223660,0.35621250,0.05447343,0.86579700,0.35036860,0.06144166,0.88761130,0.34296790,0.07295072,0.91651210,0.34781960,0.07447512,0.94790460,0.35693270,0.02542273,0.92741530,0.31968010,0.03246623,0.95940000,0.33630140,0.04208514,0.97566290,0.35033280,0.00921665,0.92194140,0.33292920,0.02860484,0.95128990,0.35508190,0.04442199,0.93072800,0.36130600,0.00278933,0.91580960,0.35100360,0.02520072,0.93882070,0.37085850,0.04314968,0.92041640,0.37199230,0.02599457,0.87189600,0.37016740,0.00097302,0.90833530,0.37071080,0.02166720,0.92665510,0.38171580,0.03571965,0.91295930,0.38036850,0.08041658,0.97021560,0.36288090,0.04931588,0.99092440,0.36392860,0.04123205,0.90981700,0.34954630,0.03943093,0.90056630,0.35976360,0.03334033,0.89492780,0.36935430,13,4
0.05010625,0.84674120,0.35699330,0.05010625,0.84674120,0.35699330,0.05010625,0.84674120,0.35699330,0.05431181,0.87023080,0.35093140,0.06139444,0.89191210,0.34325400,0.07311200,0.92077130,0.34784820,0.07485443,0.95223930,0.35665660,0.02553928,0.93163130,0.31955220,0.03278117,0.96366970,0.33598370,0.04259350,0.97984210,0.34998580,0.00927692,0.92633590,0.33280490,0.02851576,0.95600960,0.35465240,0.04430803,0.93551010,0.36114020,0.00277667,0.92040070,0.35091890,0.02501714,0.94373790,0.37058440,0.04288767,0.92526950,0.37190040,0.02579181,0.87660840,0.37058250,0.00087841,0.91312560,0.37069260,0.02145986,0.93164270,0.38157810,0.03547581,0.91789660,0.38037030,0.08096009,0.97456120,0.36239360,0.05005533,0.99499550,0.36357760,0.04110343,0.91450110,0.34956040,0.03909821,0.90533390,0.35983360,0.03310128,0.89976770,0.36951630,13,4
0.04992729,0.84953010,0.36037390,0.04992729,0.84953010,0.36037390,0.04992729,0.84953010,0.36037390,0.05414321,0.87296710,0.35411850,0.06127368,0.89455120,0.34621470,0.07304142,0.92341810,0.35062830,0.07474332,0.95494740,0.35922270,0.02551358,0.93402050,0.32194160,0.03278233,0.96610770,0.33826570,0.04267915,0.98219470,0.35230650,0.00916153,0.92882720,0.33512410,0.02803555,0.95889150,0.35675470,0.04386053,0.93852290,0.36356660,0.00253636,0.92305560,0.35324570,0.02442404,0.94680060,0.37281860,0.04229784,0.92835530,0.37438910,0.02546958,0.87948860,0.37349690,0.00050275,0.91596700,0.37307370,0.02084713,0.93476200,0.38392860,0.03489562,0.92103310,0.38291880,0.08082880,0.97730460,0.36484260,0.05026346,0.99724080,0.36594970,0.04078396,0.91740570,0.35215030,0.03859184,0.90831810,0.36246540,0.03266522,0.90279820,0.37221290,13,4
0.04976156,0.85226920,0.36342360,0.04976156,0.85226920,0.36342360,0.04976156,0.85226920,0.36342360,0.05399398,0.87565130,0.35697710,0.06117439,0.89713770,0.34885550,0.07300311,0.92600550,0.35309720,0.07463721,0.95758260,0.36152790,0.02551202,0.93637020,0.32404490,0.03285955,0.96847950,0.34029010,0.04287212,0.98445260,0.35437880,0.00907957,0.93128230,0.33716850,0.02762913,0.96171140,0.35856830,0.04347803,0.94146540,0.36568350,0.00234208,0.92567290,0.35529950,0.02390901,0.94980110,0.37475960,0.04178324,0.93137780,0.37656560,0.02518757,0.88232210,0.37610620,0.00018626,0.91876760,0.37517920,0.02031452,0.93782170,0.38598500,0.03439020,0.92410840,0.38515900,0.08068046,0.97997120,0.36706740,0.05060523,0.99936750,0.36808240,0.04050858,0.92024550,0.35443040,0.03815188,0.91124160,0.36478670,0.03229497,0.90577080,0.37460210,13,4
0.04959759,0.85515930,0.36634930,0.04959759,0.85515930,0.36634930,0.04959759,0.85515930,0.36634930,0.05385405,0.87848010,0.35969970,0.06106757,0.89989450,0.35141890,0.07288706,0.92878540,0.35552750,0.07420728,0.96037540,0.36396460,0.02553463,0.93885240,0.32599910,0.03280051,0.97101760,0.34217040,0.04283460,0.98696220,0.35627610,0.00902529,0.93388170,0.33907090,0.02738689,0.96454220,0.36030210,0.04320399,0.94433940,0.36760860,0.00218034,0.92844560,0.35721460,0.02349701,0.95289150,0.37655350,0.04136386,0.93448230,0.37856610,0.02492634,0.88531740,0.37858540,-0.00009291,0.92173400,0.37714750,0.01975984,0.94111490,0.38788170,0.03385329,0.92741230,0.38719430,0.07998726,0.98281230,0.36958940,0.05061671,1.00182500,0.37000900,0.04022736,0.92308060,0.35643090,0.03776289,0.91426620,0.36691540,0.03177948,0.90900630,0.37675270,13,4
0.04959984,0.85802410,0.36804680,0.04959984,0.85802410,0.36804680,0.04959984,0.85802410,0.36804680,0.05384409,0.88127030,0.36113360,0.06101546,0.90258750,0.35256990,0.07302858,0.93144480,0.35633820,0.07434279,0.96303430,0.36477830,0.02527350,0.94144110,0.32728480,0.03294298,0.97359920,0.34328260,0.04336236,0.98943610,0.35722940,0.00892620,0.93664320,0.34062220,0.02763319,0.96744440,0.36134210,0.04348101,0.94721920,0.36851860,0.00230952,0.93139140,0.35890420,0.02385042,0.95604780,0.37772030,0.04167601,0.93758230,0.37957570,0.02519806,0.88837470,0.38034730,0.00028406,0.92486390,0.37892480,0.02015816,0.94446420,0.38921180,0.03419799,0.93071470,0.38837750,0.08007279,0.98548770,0.37038810,0.05154427,1.00418000,0.37085760,0.04019948,0.92593960,0.35746660,0.03780460,0.91730930,0.36811210,0.03187786,0.91225620,0.37808170,13,4
0.04958926,0.86099430,0.36976260,0.04958926,0.86099430,0.36976260,0.04958926,0.86099430,0.36976260,0.05382523,0.88416140,0.36258370,0.06096161,0.90537490,0.35373820,0.07315903,0.93419700,0.35716920,0.07445996,0.96578940,0.36560010,0.02504413,0.94411220,0.32852380,0.03311189,0.97625830,0.34434920,0.04390611,0.99197640,0.35814450,0.00884320,0.93949260,0.34210050,0.02784962,0.97044560,0.36231550,0.04371956,0.95020540,0.36940050,0.00243022,0.93443200,0.36050870,0.02415534,0.95930610,0.37881980,0.04193907,0.94078870,0.38055670,0.02543587,0.89153880,0.38207340,0.00062490,0.92809660,0.38061180,0.02050256,0.94791100,0.39047280,0.03448938,0.93411520,0.38952250,0.08013719,0.98826050,0.37119280,0.05247772,1.00659100,0.37167140,0.04015888,0.92889820,0.35848900,0.03782596,0.92045300,0.36929010,0.03195083,0.91559860,0.37938350,13,4
