RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.36783110,1.04795700,0.53667370,0.36783110,1.04795700,0.53667370,0.36783110,1.04795700,0.53667370,0.35498850,1.06913000,0.53229360,0.34882550,1.08758900,0.51727430,0.33109140,1.11032600,0.50303670,0.31171950,1.13756100,0.50344680,0.35531570,1.14516300,0.53886130,0.34914250,1.18216600,0.53893940,0.34013200,1.20444400,0.53954650,0.36136050,1.13961800,0.55938230,0.35467230,1.17934800,0.57278110,0.34385710,1.20291400,0.58116260,0.35887150,1.12794700,0.57613850,0.35115950,1.15973800,0.59657390,0.33889390,1.17955800,0.60872230,0.35855820,1.07422600,0.56772270,0.35330790,1.11283300,0.59054370,0.34365450,1.13382900,0.61027390,0.33527950,1.14623200,0.62367610,0.29656370,1.15552700,0.49707230,0.33471810,1.22582600,0.54152210,0.33644110,1.22497100,0.58950450,0.32795140,1.19844200,0.61897860,0.32567840,1.16121900,0.63612200,10,5
0.36747260,1.04483100,0.53587290,0.36747260,1.04483100,0.53587290,0.36747260,1.04483100,0.53587290,0.35470560,1.06607900,0.53162930,0.34847900,1.08459100,0.51670300,0.33068650,1.10741800,0.50268490,0.31138130,1.13468600,0.50368330,0.35550690,1.14210300,0.53825810,0.34945980,1.17911800,0.53903990,0.34024120,1.20129200,0.54014380,0.36171030,1.13650600,0.55871780,0.35542580,1.17630100,0.57212230,0.34431840,1.19972500,0.58051470,0.35931240,1.12483400,0.57548640,0.35183330,1.15669800,0.59589420,0.33916640,1.17636500,0.60787760,0.35862930,1.07112300,0.56702830,0.35379960,1.10973700,0.58992950,0.34487240,1.13171000,0.60892370,0.33704100,1.14483100,0.62196740,0.29610500,1.15278700,0.49801900,0.33450760,1.22254400,0.54256270,0.33637480,1.22161100,0.58882130,0.32763540,1.19502400,0.61789860,0.32801500,1.16052000,0.63396950,10,5
0.36714830,1.04173700,0.53504710,0.36714830,1.04173700,0.53504710,0.36714830,1.04173700,0.53504710,0.35445650,1.06305300,0.53092800,0.34817280,1.08161700,0.51609000,0.33033550,1.10453600,0.50227950,0.31110910,1.13183300,0.50384550,0.35570970,1.13906700,0.53760670,0.34980380,1.17608500,0.53906720,0.34039400,1.19814900,0.54064920,0.36205750,1.13342200,0.55800880,0.35615010,1.17327300,0.57141800,0.34475340,1.19655300,0.57982340,0.35974140,1.12175000,0.57478830,0.35247350,1.15368500,0.59516050,0.33941720,1.17319700,0.60697850,0.35870700,1.06805000,0.56629620,0.35427300,1.10667000,0.58926650,0.34605410,1.12953300,0.60751560,0.33875150,1.14331200,0.62018170,0.29573940,1.15005800,0.49887640,0.33435790,1.21926400,0.54349860,0.33629370,1.21825700,0.58809900,0.32732140,1.19162200,0.61676370,0.33028370,1.15964300,0.63172520,10,5
0.36684010,1.03849700,0.53414990,0.36684010,1.03849700,0.53414990,0.36684010,1.03849700,0.53414990,0.35422720,1.05988400,0.53015090,0.34788610,1.07850100,0.51540440,0.33015740,1.10163100,0.50180720,0.31120030,1.12910100,0.50360950,0.35593630,1.13588500,0.53687160,0.35019800,1.17288700,0.53915240,0.34088130,1.19494400,0.54128580,0.36242290,1.13019100,0.55721650,0.35675530,1.17000800,0.57082930,0.34531960,1.19321000,0.57939690,0.36018430,1.11851900,0.57400660,0.35314300,1.15057800,0.59426370,0.33967240,1.16994400,0.60585410,0.35879660,1.06483100,0.56548610,0.35475660,1.10345800,0.58851900,0.34704720,1.12732000,0.60567830,0.33996060,1.14180500,0.61766090,0.29595130,1.14749800,0.49891060,0.33486480,1.21599100,0.54463370,0.33667630,1.21479700,0.58778860,0.32693620,1.18810400,0.61531740,0.33163060,1.15877600,0.62835120,10,5
0.36741950,1.03533300,0.53427520,0.36741950,1.03533300,0.53427520,0.36741950,1.03533300,0.53427520,0.35469250,1.05668200,0.53044280,0.34803090,1.07526300,0.51579210,0.33011820,1.09842400,0.50249250,0.31123130,1.12591700,0.50465450,0.35633950,1.13270100,0.53697440,0.35053230,1.16964100,0.53998060,0.34114620,1.19160900,0.54265890,0.36317840,1.12706600,0.55721990,0.35757750,1.16684900,0.57095660,0.34596880,1.18989700,0.57970850,0.36124760,1.11542400,0.57406950,0.35435740,1.14760600,0.59418450,0.34045120,1.16675100,0.60562650,0.35984060,1.06171600,0.56568610,0.35609780,1.10038200,0.58870230,0.34885250,1.12510100,0.60481970,0.34198090,1.14018400,0.61617250,0.29591480,1.14435600,0.50035640,0.33500100,1.21253900,0.54647670,0.33701530,1.21130800,0.58822240,0.32706210,1.18456300,0.61484740,0.33376110,1.15767100,0.62608870,10,5
0.36793820,1.03222000,0.53430500,0.36793820,1.03222000,0.53430500,0.36793820,1.03222000,0.53430500,0.35511650,1.05354000,0.53062900,0.34816580,1.07209100,0.51607500,0.33009880,1.09529200,0.50305590,0.31129360,1.12280900,0.50558360,0.35673200,1.12957400,0.53699060,0.35089820,1.16644700,0.54069490,0.34145050,1.18831800,0.54389480,0.36389190,1.12398900,0.55713890,0.35837180,1.16374400,0.57099090,0.34657580,1.18663000,0.57991540,0.36224130,1.11237700,0.57403830,0.35548780,1.14467500,0.59401200,0.34115910,1.16359200,0.60531170,0.36079870,1.05865000,0.56577920,0.35734390,1.09735400,0.58877720,0.35052980,1.12283300,0.60386720,0.34385950,1.13845100,0.61459890,0.29592530,1.14129800,0.50170500,0.33517910,1.20912300,0.54816650,0.33729540,1.20785400,0.58854630,0.32714740,1.18103900,0.61430090,0.33574090,1.15638900,0.62376580,10,5
0.36839530,1.02929100,0.53427720,0.36839530,1.02929100,0.53427720,0.36839530,1.02929100,0.53427720,0.35549580,1.05058800,0.53074350,0.34815400,1.06915400,0.51640340,0.32949020,1.09214800,0.50386850,0.31047020,1.11951500,0.50642570,0.35709920,1.12663400,0.53695500,0.35122980,1.16349900,0.54067590,0.34134820,1.18515900,0.54400420,0.36454500,1.12109300,0.55701140,0.35854430,1.16084100,0.57068160,0.34609480,1.18339900,0.57955060,0.36314410,1.10950700,0.57395140,0.35559780,1.14181400,0.59362430,0.33987190,1.15993300,0.60436020,0.36165790,1.05576400,0.56580310,0.35847120,1.09450200,0.58878190,0.35044080,1.11907100,0.60475610,0.34250630,1.13386000,0.61579980,0.29488380,1.13778200,0.50236960,0.33437070,1.20571400,0.54838480,0.33596740,1.20427100,0.58808970,0.32422590,1.17631800,0.61262200,0.33279690,1.15085600,0.62520920,10,5
0.37080860,1.02737300,0.54327240,0.37080860,1.02737300,0.54327240,0.37080860,1.02737300,0.54327240,0.35793410,1.04868900,0.53976670,0.35036500,1.06726400,0.52555580,0.33131300,1.09011700,0.51335000,0.31219100,1.11741700,0.51585740,0.35978870,1.12475600,0.54566140,0.35401890,1.16163800,0.54936250,0.34382010,1.18313800,0.55277190,0.36739490,1.11927400,0.56567410,0.36105050,1.15905900,0.57907770,0.34804190,1.18135500,0.58780870,0.36611180,1.10775900,0.58267160,0.35788910,1.14013500,0.60195700,0.34098080,1.15753300,0.61206840,0.36441510,1.05398900,0.57475020,0.36152950,1.09282500,0.59760180,0.35243890,1.11681200,0.61389030,0.34339130,1.13099600,0.62486960,0.29647910,1.13553500,0.51162370,0.33626970,1.20347300,0.55723120,0.33716830,1.20191300,0.59618770,0.32397250,1.17290700,0.61954500,0.33230990,1.14724600,0.63408050,10,5
0.37300710,1.02537600,0.55137060,0.37300710,1.02537600,0.55137060,0.37300710,1.02537600,0.55137060,0.36015640,1.04671300,0.54789770,0.35237670,1.06529700,0.53381340,0.33297600,1.08802500,0.52192940,0.31376310,1.11526000,0.52444490,0.36225210,1.12279500,0.55349920,0.35658530,1.15969000,0.55723110,0.34611140,1.18103900,0.56075300,0.37001590,1.11736600,0.57346570,0.36337410,1.15717900,0.58664370,0.34986280,1.17921400,0.59526930,0.36884990,1.10591600,0.59051550,0.36003620,1.13834400,0.60945000,0.34212270,1.15503600,0.61900570,0.36695070,1.05212200,0.58280490,0.36435850,1.09104900,0.60553870,0.35433450,1.11460200,0.62191100,0.34431490,1.12828100,0.63268600,0.29792680,1.13324800,0.52011730,0.33805700,1.20115500,0.56532200,0.33831470,1.19945500,0.60351940,0.32397700,1.16940600,0.62577150,0.33204810,1.14386600,0.64153670,10,5
0.37492900,1.02349000,0.55839160,0.37492900,1.02349000,0.55839160,0.37492900,1.02349000,0.55839160,0.36209980,1.04484500,0.55495130,0.35422300,1.06341100,0.54089740,0.33444960,1.08590000,0.52917370,0.31502730,1.11297800,0.53177490,0.36441160,1.12093900,0.56029360,0.35888010,1.15789600,0.56360260,0.34823320,1.17918500,0.56695860,0.37231930,1.11555600,0.58021590,0.36566300,1.15537600,0.59336580,0.35181150,1.17719000,0.60201500,0.37126080,1.10416300,0.59731070,0.36175250,1.13638300,0.61626310,0.34259510,1.15195100,0.62529050,0.36917950,1.05034900,0.58978690,0.36685360,1.08935400,0.61241600,0.35599360,1.11294200,0.62819350,0.34495410,1.12635800,0.63828170,0.29897500,1.13079300,0.52752880,0.33984370,1.19919800,0.57137520,0.33974490,1.19713000,0.61025340,0.32305580,1.16476800,0.63124640,0.33145990,1.14142400,0.64619350,10,5
