RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.50676480,0.90369400,0.39522160,0.50676480,0.90369400,0.39522160,0.50676480,0.90369400,0.39522160,0.48561480,0.91653360,0.39972350,0.46568550,0.93010210,0.39492900,0.43691140,0.94439020,0.39637140,0.40938270,0.96328770,0.39788130,0.45641120,0.98282430,0.42374350,0.44010760,1.00929600,0.44473700,0.42579220,1.02177600,0.45947440,0.47108390,0.97915170,0.43985660,0.45346490,1.00566400,0.46795380,0.43789430,1.01796000,0.48663260,0.47984830,0.96637300,0.45338610,0.46861300,0.99092540,0.48093040,0.45237230,1.00031000,0.49934290,0.49907020,0.91980450,0.43292270,0.48664800,0.94930900,0.46476590,0.48050730,0.96600010,0.48940310,0.47301600,0.97364850,0.50640300,0.38825580,0.97451580,0.39333560,0.41455820,1.03416600,0.47398920,0.42493800,1.03002000,0.50388910,0.43835400,1.01102100,0.51578310,0.46244680,0.98267680,0.52309020,10,7
0.50266560,0.90417740,0.39339280,0.50266560,0.90417740,0.39339280,0.50266560,0.90417740,0.39339280,0.48158400,0.91714330,0.39785320,0.46176820,0.93087210,0.39304490,0.43303980,0.94525610,0.39444620,0.40556900,0.96418850,0.39648190,0.45272620,0.98351420,0.42206890,0.43637320,1.00997200,0.44304200,0.42184830,1.02225600,0.45773870,0.46728920,0.97965410,0.43823770,0.44957130,1.00617000,0.46626990,0.43364280,1.01815200,0.48485070,0.47589300,0.96674340,0.45174500,0.46457130,0.99110020,0.47942740,0.44789420,0.99999390,0.49769260,0.49489050,0.92014640,0.43113760,0.48251300,0.94957290,0.46307030,0.47591430,0.96584350,0.48786990,0.46785240,0.97303560,0.50480780,0.38439820,0.97555730,0.39252910,0.41030740,1.03435200,0.47226120,0.42036510,1.02994600,0.50204650,0.43335650,1.01016300,0.51402560,0.45659840,0.98150910,0.52133740,10,7
0.49873920,0.90460990,0.39175470,0.49873920,0.90460990,0.39175470,0.49873920,0.90460990,0.39175470,0.47772010,0.91768730,0.39618470,0.45800660,0.93156000,0.39136900,0.42931800,0.94602630,0.39273830,0.40189960,0.96497600,0.39526280,0.44917400,0.98412190,0.42059420,0.43277030,1.01056200,0.44155030,0.41805130,1.02266200,0.45620680,0.46364010,0.98009180,0.43680840,0.44582090,1.00660500,0.46477810,0.42956010,1.01829300,0.48325790,0.47210200,0.96706180,0.45029090,0.46067910,0.99124840,0.47808060,0.44360280,0.99970350,0.49618460,0.49089680,0.92044550,0.42954190,0.47856300,0.94979520,0.46156190,0.47154600,0.96569270,0.48648830,0.46297110,0.97247760,0.50334200,0.38069360,0.97645720,0.39186330,0.40622690,1.03448100,0.47072900,0.41598260,1.02983900,0.50038870,0.42859040,1.00938200,0.51238600,0.45110490,0.98045460,0.51968970,10,7
0.49511000,0.90499030,0.39031280,0.49511000,0.90499030,0.39031280,0.49511000,0.90499030,0.39031280,0.47414690,0.91816460,0.39472050,0.45463010,0.93223430,0.38968040,0.42591510,0.94667550,0.39072240,0.39850720,0.96528170,0.39517690,0.44587600,0.98464930,0.41931330,0.42930640,1.01130000,0.43986860,0.41437920,1.02345600,0.45426520,0.46025770,0.98046820,0.43556420,0.44249460,1.00746100,0.46310810,0.42574540,1.01890000,0.48130530,0.46859600,0.96733280,0.44902130,0.45720660,0.99166830,0.47669450,0.44010590,1.00029300,0.49469520,0.48721160,0.92070390,0.42813910,0.47491850,0.94998160,0.46024070,0.46755300,0.96542980,0.48534840,0.45833650,0.97164290,0.50208370,0.37707340,0.97674790,0.39369540,0.40223660,1.03520500,0.46858020,0.41170870,1.03023400,0.49820540,0.42520600,1.01024400,0.51083530,0.44566590,0.97889700,0.51816200,10,7
0.49277210,0.90572920,0.38769960,0.49277210,0.90572920,0.38769960,0.49277210,0.90572920,0.38769960,0.47182690,0.91891690,0.39215250,0.45252230,0.93323720,0.38700220,0.42377910,0.94763920,0.38777590,0.39640030,0.96576620,0.39402400,0.44361890,0.98505370,0.41773570,0.42675740,1.01157100,0.43822580,0.41153730,1.02354000,0.45247170,0.45781920,0.98049380,0.43404430,0.43990450,1.00747200,0.46150420,0.42259190,1.01839100,0.47949230,0.46596290,0.96706370,0.44732850,0.45439480,0.99109560,0.47519230,0.43711400,0.99954900,0.49310200,0.48457060,0.92075420,0.42574060,0.47209390,0.94947110,0.45827500,0.46422740,0.96412910,0.48370240,0.45432540,0.96957530,0.50031270,0.37485500,0.97711550,0.39428810,0.39900060,1.03498600,0.46669200,0.40802590,1.02926100,0.49624860,0.42215660,1.00943900,0.50922610,0.44083680,0.97593760,0.51610080,10,7
0.49038930,0.90640950,0.38529020,0.49038930,0.90640950,0.38529020,0.49038930,0.90640950,0.38529020,0.46946210,0.91961050,0.38978750,0.45041940,0.93420480,0.38443510,0.42160060,0.94847100,0.38479960,0.39422290,0.96586670,0.39286670,0.44131070,0.98541400,0.41627660,0.42394290,1.01190800,0.43637000,0.40826180,1.02368700,0.45027090,0.45534430,0.98050560,0.43262830,0.43700240,1.00741400,0.45987330,0.41879240,1.01745300,0.47748440,0.46331050,0.96680850,0.44574650,0.45121430,0.99018900,0.47393820,0.43304930,0.99751420,0.49146590,0.48191150,0.92080190,0.42351480,0.46926710,0.94899950,0.45643630,0.46119070,0.96289300,0.48222460,0.45073060,0.96758220,0.49872340,0.37259330,0.97685260,0.39499870,0.39512390,1.03479000,0.46421770,0.40331180,1.02747700,0.49394610,0.41705720,1.00621500,0.50727990,0.43654110,0.97306450,0.51422460,10,7
0.48875250,0.90621920,0.38830750,0.48875250,0.90621920,0.38830750,0.48875250,0.90621920,0.38830750,0.46782580,0.91931040,0.39311750,0.44884130,0.93399550,0.38780710,0.41986330,0.94793580,0.38817180,0.39256190,0.96443100,0.39816010,0.43970930,0.98476050,0.42050380,0.42202000,1.01123800,0.44033740,0.40605660,1.02280300,0.45409480,0.45389940,0.97973330,0.43668340,0.43542260,1.00662200,0.46385650,0.41663050,1.01581000,0.48132030,0.46202060,0.96593120,0.44959490,0.44972260,0.98878560,0.47812870,0.43099140,0.99501200,0.49548430,0.48056490,0.92020520,0.42674570,0.46812340,0.94803540,0.46005480,0.46017740,0.96129050,0.48621700,0.44944140,0.96528770,0.50272070,0.37091940,0.97482240,0.40224610,0.39251080,1.03356100,0.46792170,0.40053110,1.02502000,0.49766280,0.41425270,1.00254000,0.51112660,0.43482690,0.96993310,0.51809990,10,7
0.48703490,0.90605750,0.39102960,0.48703490,0.90605750,0.39102960,0.48703490,0.90605750,0.39102960,0.46611290,0.91904720,0.39612680,0.44719170,0.93382570,0.39084950,0.41807190,0.94746750,0.39119600,0.39092190,0.96307780,0.40287610,0.43804380,0.98416110,0.42435040,0.42004600,1.01061700,0.44393320,0.40381260,1.02197200,0.45754930,0.45237330,0.97901890,0.44037020,0.43375870,1.00588600,0.46747100,0.41444570,1.01426100,0.48477430,0.46063110,0.96511700,0.45308660,0.44813290,0.98746590,0.48193210,0.42889000,0.99264090,0.49907200,0.47911320,0.91965810,0.42966120,0.46686180,0.94713950,0.46332860,0.45903410,0.95977220,0.48983210,0.44804110,0.96310980,0.50631320,0.36938670,0.97283790,0.40871130,0.38988240,1.03238700,0.47125580,0.39779110,1.02269100,0.50098120,0.41147700,0.99903170,0.51448240,0.43303680,0.96696420,0.52153480,10,7
0.48524690,0.90591760,0.39352800,0.48524690,0.90591760,0.39352800,0.48524690,0.90591760,0.39352800,0.46433300,0.91881200,0.39889350,0.44539650,0.93363120,0.39378820,0.41607700,0.94683240,0.39431660,0.38865050,0.96205900,0.40585630,0.43632130,0.98360130,0.42790990,0.41788600,1.00978100,0.44745670,0.40123520,1.02057200,0.46102750,0.45077730,0.97834680,0.44377890,0.43205430,1.00489400,0.47111870,0.41243590,1.01251300,0.48842800,0.45915760,0.96434900,0.45630850,0.44663500,0.98629780,0.48544910,0.42722560,0.99088220,0.50256930,0.47757290,0.91914800,0.43233790,0.46550240,0.94629360,0.46634130,0.45783880,0.95840760,0.49313340,0.44692270,0.96137180,0.50973650,0.36697030,0.97151260,0.41165930,0.38680290,1.03032800,0.47469950,0.39545830,1.02023500,0.50465260,0.40943890,0.99648050,0.51786070,0.43196600,0.96484210,0.52509680,10,7
0.48334830,0.90488340,0.39798040,0.48334830,0.90488340,0.39798040,0.48334830,0.90488340,0.39798040,0.46248860,0.91788700,0.40329280,0.44369230,0.93282960,0.39803110,0.41427110,0.94580970,0.39833210,0.38665340,0.96087110,0.40963010,0.43474470,0.98285340,0.43217040,0.41588920,1.00909200,0.45123080,0.39879440,1.01957800,0.46448530,0.44914880,0.97755130,0.44807080,0.43025250,1.00421200,0.47518020,0.41022260,1.01137200,0.49221160,0.45744030,0.96353100,0.46063420,0.44478150,0.98547040,0.48972300,0.42506680,0.98974620,0.50657210,0.47567480,0.91820650,0.43675850,0.46368050,0.94545920,0.47070320,0.45601980,0.95737960,0.49758280,0.44501470,0.96019360,0.51415320,0.36488980,0.97016810,0.41537330,0.38383080,1.02891200,0.47787800,0.39282600,1.01865400,0.50819410,0.40680280,0.99480190,0.52148510,0.42994970,0.96351090,0.52944140,10,7
