RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.09729865,1.03210400,0.44334840,0.09729865,1.03210400,0.44334840,0.09729865,1.03210400,0.44334840,0.07336013,1.02814000,0.44995740,0.05226946,1.01559400,0.44852950,0.02681821,1.00067200,0.46132670,-0.00274561,0.99454930,0.47566940,0.00063406,1.04686300,0.43636890,-0.03672394,1.05024800,0.43588870,-0.05609165,1.04875100,0.45004910,0.00952575,1.06705900,0.43757460,-0.02904418,1.08479100,0.43843590,-0.04768519,1.08668300,0.45822140,0.02193822,1.08052000,0.44695000,-0.00994177,1.10133700,0.45312000,-0.02526984,1.10027800,0.47444540,0.07291540,1.06366900,0.45556520,0.03671318,1.09040400,0.45923520,0.01605397,1.10453900,0.47645970,0.00721053,1.10087000,0.49412160,-0.02316161,0.99039410,0.48827870,-0.07347763,1.04863900,0.46376450,-0.05853565,1.08338600,0.48018730,-0.03588709,1.09406900,0.49518790,-0.00147514,1.09106700,0.51144620,10,7
0.10005050,1.03178900,0.44384430,0.10005050,1.03178900,0.44384430,0.10005050,1.03178900,0.44384430,0.07612748,1.02777000,0.45047570,0.05491912,1.01538600,0.44942110,0.02927816,1.00090500,0.46234510,-0.00033502,0.99550900,0.47687670,0.00335384,1.04642200,0.43704600,-0.03399809,1.04990700,0.43704330,-0.05302525,1.04833000,0.45164980,0.01221670,1.06662800,0.43829860,-0.02631104,1.08443500,0.43945260,-0.04487230,1.08629400,0.45931610,0.02462220,1.08008000,0.44769590,-0.00726238,1.10080600,0.45414130,-0.02250293,1.09963000,0.47552320,0.07563706,1.06328100,0.45618880,0.03939975,1.08995000,0.45998910,0.01858288,1.10401900,0.47707800,0.00972882,1.10024400,0.49471240,-0.02077377,0.99168570,0.48955400,-0.06994192,1.04807700,0.46593820,-0.05558977,1.08288800,0.48133060,-0.03332420,1.09359800,0.49621250,0.00126988,1.09005500,0.51192570,10,7
0.10337640,1.03183400,0.44414740,0.10337640,1.03183400,0.44414740,0.10337640,1.03183400,0.44414740,0.07945430,1.02765400,0.45068230,0.05816955,1.01539000,0.44978810,0.03234805,1.00114500,0.46261450,0.00266475,0.99620430,0.47716520,0.00664401,1.04622300,0.43733540,-0.03070526,1.04971400,0.43772710,-0.04942429,1.04787300,0.45269620,0.01543590,1.06644200,0.43884980,-0.02308941,1.08423100,0.44031780,-0.04157324,1.08577600,0.46028010,0.02777754,1.07982100,0.44843360,-0.00417897,1.10032700,0.45521890,-0.01937366,1.09876700,0.47660890,0.07883248,1.06309200,0.45682360,0.04249772,1.08959100,0.46087450,0.02144967,1.10338400,0.47790500,0.01256327,1.09927300,0.49544770,-0.01782586,0.99250600,0.48979570,-0.06590231,1.04730100,0.46747950,-0.05209924,1.08195000,0.48231800,-0.03038651,1.09263300,0.49716670,0.00432623,1.08849500,0.51240870,10,7
0.10661270,1.03182800,0.44445500,0.10661270,1.03182800,0.44445500,0.10661270,1.03182800,0.44445500,0.08269353,1.02750300,0.45090570,0.06133614,1.01535400,0.45018460,0.03534515,1.00135300,0.46293750,0.00560342,0.99685230,0.47751150,0.00984675,1.04598700,0.43764140,-0.02749613,1.04947500,0.43844910,-0.04588623,1.04737800,0.45378770,0.01857283,1.06621600,0.43938800,-0.01994681,1.08399000,0.44115430,-0.03830805,1.08521500,0.46125150,0.03085722,1.07952900,0.44913550,-0.00116829,1.09982100,0.45623270,-0.01629314,1.09788700,0.47764160,0.08195093,1.06287000,0.45742760,0.04552693,1.08921100,0.46170490,0.02426359,1.10274600,0.47867410,0.01537041,1.09829400,0.49613000,-0.01493495,0.99327280,0.49009870,-0.06189828,1.04649500,0.46905960,-0.04856369,1.08095000,0.48333620,-0.02744658,1.09163700,0.49808840,0.00738763,1.08693900,0.51283410,10,7
0.10978750,1.03178000,0.44476700,0.10978750,1.03178000,0.44476700,0.10978750,1.03178000,0.44476700,0.08587260,1.02732300,0.45114270,0.06451052,1.01518300,0.45040200,0.03847507,1.00115500,0.46303330,0.00872654,0.99681650,0.47764270,0.01298934,1.04572200,0.43796140,-0.02433394,1.04931800,0.43912580,-0.04237194,1.04700700,0.45484710,0.02165355,1.06595900,0.43991750,-0.01691313,1.08359600,0.44200030,-0.03542000,1.08470400,0.46197030,0.03388581,1.07921200,0.44981130,0.00182100,1.09937000,0.45710700,-0.01298253,1.09680000,0.47867300,0.08501729,1.06262200,0.45800910,0.04851032,1.08881300,0.46249460,0.02704877,1.10209700,0.47941240,0.01807764,1.09748800,0.49678720,-0.01181880,0.99323430,0.49021770,-0.05784890,1.04583100,0.47064190,-0.04593746,1.08037800,0.48391950,-0.02360260,1.08980500,0.49916260,0.01009040,1.08595700,0.51336830,10,7
0.11304920,1.03159300,0.44479190,0.11304920,1.03159300,0.44479190,0.11304920,1.03159300,0.44479190,0.08914930,1.02701400,0.45113770,0.06777941,1.01488400,0.45046180,0.04171632,1.00088100,0.46306380,0.01198463,0.99675140,0.47776770,0.01620602,1.04526800,0.43808620,-0.02109487,1.04893700,0.43966320,-0.03874999,1.04643900,0.45578530,0.02480470,1.06551800,0.44018130,-0.01380828,1.08301400,0.44257520,-0.03236522,1.08400100,0.46250500,0.03699455,1.07874200,0.45016570,0.00489014,1.09876900,0.45764800,-0.00959493,1.09566500,0.47935950,0.08818001,1.06226200,0.45824720,0.05158862,1.08830300,0.46291430,0.02995346,1.10137800,0.47977370,0.02095326,1.09661500,0.49709190,-0.00854886,0.99320570,0.49037230,-0.05365917,1.04499800,0.47209590,-0.04298225,1.07958600,0.48438830,-0.01970980,1.08805300,0.49988470,0.01303922,1.08488700,0.51356900,10,7
0.11626670,1.03138900,0.44484390,0.11626670,1.03138900,0.44484390,0.11626670,1.03138900,0.44484390,0.09238180,1.02669500,0.45116220,0.07099859,1.01458400,0.45057170,0.04490231,1.00063200,0.46316180,0.01518995,0.99673680,0.47796820,0.01938091,1.04480800,0.43823640,-0.01789294,1.04854300,0.44024080,-0.03514986,1.04585400,0.45675860,0.02791722,1.06507100,0.44046170,-0.01073650,1.08243200,0.44315810,-0.02930450,1.08327800,0.46308410,0.04006732,1.07826700,0.45053040,0.00792428,1.09816300,0.45819440,-0.00625496,1.09455800,0.48003000,0.09130443,1.06189400,0.45849990,0.05463329,1.08779000,0.46333910,0.03282958,1.10066500,0.48013580,0.02381448,1.09573200,0.49739860,-0.00533130,0.99324490,0.49060780,-0.04946889,1.04414500,0.47356460,-0.03994772,1.07873400,0.48492850,-0.01589343,1.08637800,0.50056620,0.01600502,1.08377500,0.51376090,10,7
0.11943410,1.03117300,0.44491710,0.11943410,1.03117300,0.44491710,0.11943410,1.03117300,0.44491710,0.09556419,1.02637000,0.45121000,0.07414909,1.01430900,0.45076840,0.04792018,1.00052900,0.46327260,0.01813345,0.99674640,0.47795820,0.02250791,1.04434500,0.43840580,-0.01474494,1.04830600,0.44036630,-0.03179815,1.04550900,0.45707660,0.03098461,1.06461900,0.44075390,-0.00777409,1.08171800,0.44361140,-0.02571842,1.08179100,0.46411820,0.04309724,1.07779000,0.45090130,0.01088136,1.09735800,0.45908410,-0.00266567,1.09292300,0.48116700,0.09438388,1.06151900,0.45876300,0.05763708,1.08727700,0.46376600,0.03543594,1.09966600,0.48040660,0.02644692,1.09436600,0.49757390,-0.00244293,0.99353920,0.49058360,-0.04564570,1.04357200,0.47424900,-0.03512321,1.07623300,0.48629390,-0.01170546,1.08410600,0.50171150,0.01876103,1.08216900,0.51381740,10,7
0.12171810,1.03150000,0.44523820,0.12171810,1.03150000,0.44523820,0.12171810,1.03150000,0.44523820,0.09789657,1.02654900,0.45159880,0.07647433,1.01449400,0.45139490,0.05019280,1.00084400,0.46392990,0.02039959,0.99713950,0.47862250,0.02470444,1.04423200,0.43916990,-0.01252542,1.04832000,0.44130020,-0.02927352,1.04538100,0.45829240,0.03309156,1.06453500,0.44158900,-0.00578472,1.08131300,0.44474100,-0.02308951,1.08068600,0.46578110,0.04517947,1.07771300,0.45175690,0.01289328,1.09690700,0.46052740,0.00003751,1.09170100,0.48285380,0.09657484,1.06165300,0.45933640,0.05972302,1.08720500,0.46461360,0.03719445,1.09910400,0.48117210,0.02831303,1.09345500,0.49828410,-0.00017229,0.99416310,0.49131150,-0.04255220,1.04319500,0.47587910,-0.03129278,1.07426100,0.48819820,-0.00834401,1.08229700,0.50341730,0.02085440,1.08100600,0.51444200,10,7
0.12407120,1.03177300,0.44555500,0.12407120,1.03177300,0.44555500,0.12407120,1.03177300,0.44555500,0.10029590,1.02667900,0.45197590,0.07886663,1.01463500,0.45200600,0.05252810,1.00112100,0.46456900,0.02272585,0.99751390,0.47926740,0.02697828,1.04408400,0.43989850,-0.01022591,1.04829000,0.44223550,-0.02664700,1.04520400,0.45951810,0.03527987,1.06441300,0.44238950,-0.00370306,1.08088400,0.44582780,-0.02039744,1.07961300,0.46732690,0.04734317,1.07759600,0.45258020,0.01499861,1.09642500,0.46191020,0.00282190,1.09048500,0.48443340,0.09883944,1.06173800,0.45989470,0.06188886,1.08709100,0.46543220,0.03904846,1.09851200,0.48189930,0.03027530,1.09252900,0.49895330,0.00215738,0.99475910,0.49201190,-0.03933004,1.04276300,0.47750650,-0.02746759,1.07241100,0.48989330,-0.00491767,1.08052500,0.50498630,0.02305225,1.07982400,0.51501860,10,7
0.12647340,1.03200200,0.44586760,0.12647340,1.03200200,0.44586760,0.12647340,1.03200200,0.44586760,0.10274280,1.02677000,0.45234300,0.08136794,1.01463000,0.45238370,0.05488205,1.00107100,0.46458360,0.02499429,0.99779900,0.47918640,0.02930815,1.04390700,0.44059730,-0.00786334,1.04822500,0.44323100,-0.02344143,1.04478700,0.46121340,0.03752761,1.06426000,0.44316090,-0.00154999,1.08043300,0.44692870,-0.01757935,1.07851000,0.46888080,0.04956648,1.07744700,0.45337600,0.01703797,1.09584800,0.46291650,0.00589087,1.08878700,0.48564810,0.10115710,1.06178200,0.46043950,0.06411305,1.08694300,0.46622600,0.04126505,1.09809500,0.48286650,0.03309244,1.09118300,0.49986790,0.00437351,0.99547490,0.49193220,-0.03470923,1.04181000,0.48004340,-0.02308930,1.07030400,0.49153940,-0.00011986,1.07743400,0.50605700,0.02688594,1.07738600,0.51545000,10,7
0.12828740,1.03127800,0.44617580,0.12828740,1.03127800,0.44617580,0.12828740,1.03127800,0.44617580,0.10461560,1.02596800,0.45280070,0.08324648,1.01381800,0.45294940,0.05663867,1.00030100,0.46492840,0.02674787,0.99743390,0.47960990,0.03106980,1.04311100,0.44178350,-0.00603773,1.04764600,0.44491030,-0.02074511,1.04387200,0.46354690,0.03928737,1.06345400,0.44444160,0.00019336,1.07944600,0.44876720,-0.01509152,1.07689200,0.47118120,0.05139384,1.07657300,0.45466340,0.01880461,1.09463200,0.46464060,0.00871261,1.08654600,0.48752330,0.10305700,1.06091300,0.46118650,0.06603325,1.08598400,0.46747040,0.04326908,1.09687600,0.48439530,0.03569955,1.08913400,0.50131780,0.00615408,0.99557420,0.49247500,-0.03058584,1.04038000,0.48307540,-0.01906426,1.06775400,0.49380450,0.00438781,1.07396800,0.50763850,0.03044213,1.07440000,0.51638260,10,7
0.13018820,1.03060400,0.44648210,0.13018820,1.03060400,0.44648210,0.13018820,1.03060400,0.44648210,0.10657350,1.02521200,0.45324350,0.08520789,1.01305900,0.45351230,0.05847872,0.99960710,0.46529300,0.02859494,0.99715570,0.48006390,0.03292536,1.04234100,0.44290790,-0.00411347,1.04707800,0.44651300,-0.01797093,1.04297400,0.46572240,0.04113670,1.06267300,0.44565890,0.00202806,1.07847700,0.45051210,-0.01252207,1.07531100,0.47333320,0.05330274,1.07573100,0.45588900,0.02065687,1.09344600,0.46628950,0.01159062,1.08441100,0.48924650,0.10503320,1.06009100,0.46190600,0.06802576,1.08506500,0.46865710,0.04531951,1.09568700,0.48582940,0.03831764,1.08718800,0.50263290,0.00804323,0.99576620,0.49305510,-0.02641153,1.03898500,0.48580310,-0.01501635,1.06532000,0.49580660,0.00889383,1.07075000,0.50893500,0.03395037,1.07163600,0.51714950,10,7
0.13215930,1.02997100,0.44678660,0.13215930,1.02997100,0.44678660,0.13215930,1.02997100,0.44678660,0.10860050,1.02449400,0.45367400,0.08718576,1.01244000,0.45428050,0.06019112,0.99937570,0.46589060,0.03042230,0.99835660,0.48105650,0.03485721,1.04159000,0.44398230,-0.00210144,1.04649000,0.44814830,-0.01486166,1.04196400,0.46801180,0.04305883,1.06191400,0.44682490,0.00392847,1.07744600,0.45233710,-0.00957725,1.07346500,0.47566700,0.05527803,1.07491400,0.45706500,0.02273490,1.09234100,0.46824420,0.01530104,1.08196100,0.49121900,0.10707170,1.05930600,0.46260320,0.07007728,1.08417500,0.46979760,0.04744092,1.09421600,0.48740640,0.04156934,1.08430200,0.50386410,0.01003873,0.99819960,0.49438170,-0.02172808,1.03744400,0.48857420,-0.01048292,1.06265400,0.49787980,0.01492327,1.06690600,0.51005360,0.03893612,1.06733600,0.51716450,10,7
0.13494370,1.03000200,0.44696440,0.13494370,1.03000200,0.44696440,0.13494370,1.03000200,0.44696440,0.11140880,1.02437400,0.45381160,0.08998962,1.01233700,0.45458850,0.06272259,0.99954800,0.46586330,0.03301042,0.99973370,0.48117280,0.03758945,1.04118700,0.44420500,0.00066847,1.04613100,0.44864460,-0.01118356,1.04118900,0.46896640,0.04569606,1.06153100,0.44717470,0.00646249,1.07667500,0.45301990,-0.00620289,1.07192700,0.47667530,0.05785235,1.07452400,0.45749780,0.02527243,1.09156600,0.46915420,0.01919724,1.08002600,0.49197490,0.10971650,1.05912300,0.46295410,0.07260539,1.08377600,0.47029110,0.04988060,1.09321000,0.48811990,0.04495209,1.08213400,0.50414030,0.01274656,1.00063800,0.49464980,-0.01667875,1.03617300,0.48982400,-0.00571913,1.06040400,0.49854030,0.02079903,1.06389200,0.50982540,0.04381577,1.06412200,0.51622100,10,7
0.13770740,1.03000300,0.44715180,0.13770740,1.03000300,0.44715180,0.13770740,1.03000300,0.44715180,0.11419850,1.02423000,0.45396650,0.09277675,1.01221000,0.45491220,0.06525411,0.99968880,0.46586270,0.03564052,1.00102700,0.48130520,0.04030412,1.04077300,0.44446840,0.00342564,1.04576900,0.44919310,-0.00751679,1.04042300,0.46991870,0.04832059,1.06113400,0.44756140,0.00899339,1.07589700,0.45374270,-0.00282212,1.07041400,0.47767710,0.06042014,1.07411800,0.45796250,0.02780943,1.09077000,0.47008650,0.02306486,1.07816900,0.49265980,0.11235280,1.05891400,0.46332070,0.07513331,1.08335700,0.47081070,0.05233093,1.09219800,0.48884340,0.04832707,1.08010100,0.50437530,0.01554132,1.00294900,0.49492140,-0.01163210,1.03493200,0.49097350,-0.00094832,1.05823800,0.49910900,0.02654846,1.06115200,0.50938770,0.04861543,1.06127500,0.51519980,10,7
0.14035830,1.02998400,0.44733950,0.14035830,1.02998400,0.44733950,0.14035830,1.02998400,0.44733950,0.11687590,1.02407300,0.45412810,0.09545632,1.01206200,0.45522240,0.06771141,0.99977560,0.46587330,0.03832887,1.00244100,0.48158290,0.04291023,1.04036500,0.44475090,0.00608198,1.04540500,0.44980930,-0.00427543,1.03978200,0.47076120,0.05084330,1.06074100,0.44795990,0.01151879,1.07518800,0.45486430,0.00161119,1.06844200,0.47933620,0.06289256,1.07371400,0.45843260,0.03029404,1.08998000,0.47110120,0.02667720,1.07652600,0.49338940,0.11488970,1.05869500,0.46368510,0.07757179,1.08293900,0.47132970,0.05468522,1.09126900,0.48949840,0.05167132,1.07819000,0.50444700,0.01864426,1.00585700,0.49550840,-0.00784086,1.03405600,0.49185360,0.00595255,1.05531500,0.49982820,0.03177167,1.05885400,0.50898640,0.05368230,1.05860500,0.51361540,10,7
