RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.34449880,0.89124320,0.38456390,0.34449880,0.89124320,0.38456390,0.34449880,0.89124320,0.38456390,0.35529740,0.91215050,0.37817390,0.37001670,0.93000410,0.37245860,0.38233940,0.95477200,0.35807350,0.37556860,0.98419230,0.34628760,0.36835540,0.98230070,0.39776510,0.36849240,1.01515300,0.38215280,0.36860470,1.01884900,0.35914020,0.34722250,0.98145530,0.40120620,0.34444370,1.01500000,0.37750280,0.34717360,1.01474000,0.35122480,0.32896020,0.97609210,0.39524520,0.32566270,1.00546200,0.37232860,0.33409540,0.99857320,0.34928740,0.32325400,0.92552120,0.38147010,0.31234430,0.96771680,0.38561650,0.30934460,0.99122920,0.36811920,0.31934010,0.98800330,0.35171430,0.36899850,1.00445400,0.33609770,0.36798620,1.00970400,0.33972360,0.35349690,0.99813010,0.33514310,0.34430330,0.97856350,0.34279810,0.33361530,0.97299200,0.34793200,11,7
0.34678890,0.89052530,0.38912350,0.34678890,0.89052530,0.38912350,0.34678890,0.89052530,0.38912350,0.35733840,0.91158840,0.38282980,0.37135120,0.92990560,0.37681370,0.38231290,0.95448330,0.36106530,0.37478220,0.98338250,0.34847860,0.36950790,0.98181650,0.40271190,0.36961700,1.01450500,0.38676010,0.36969350,1.01836800,0.36377480,0.34838260,0.98069820,0.40612080,0.34559350,1.01435800,0.38258260,0.34818500,1.01493800,0.35629570,0.33019530,0.97513460,0.40011400,0.32660490,1.00498700,0.37787450,0.33514280,0.99797810,0.35490830,0.32512880,0.92455170,0.38613420,0.31369630,0.96659370,0.39043010,0.30946140,0.99032390,0.37349110,0.31954950,0.98774930,0.35702790,0.36748150,1.00316200,0.33784800,0.36902390,1.00978600,0.34410450,0.35422490,0.99979210,0.33872800,0.34539140,0.97798610,0.34842890,0.33440600,0.97332380,0.35320500,11,7
0.34887960,0.88979900,0.39338860,0.34887960,0.88979900,0.39338860,0.34887960,0.88979900,0.39338860,0.35920430,0.91100240,0.38719380,0.37335070,0.92932810,0.38152690,0.38426030,0.95311400,0.36457250,0.37791560,0.98166670,0.35061590,0.37057010,0.98128030,0.40737340,0.37065710,1.01372700,0.39093550,0.37069660,1.01764700,0.36795970,0.34945370,0.97991510,0.41074820,0.34709270,1.01355400,0.38713270,0.34977840,1.01315400,0.36085190,0.33133730,0.97417510,0.40469370,0.32752710,1.00440000,0.38300130,0.33606520,0.99765810,0.35995560,0.32684890,0.92359580,0.39050490,0.31494680,0.96549150,0.39495260,0.30965480,0.98925980,0.37836800,0.32010860,0.98670210,0.36213190,0.37130330,1.00117700,0.33907640,0.36998110,1.00937200,0.34815980,0.35557170,0.99745980,0.34368760,0.34639560,0.97786710,0.35300580,0.33532420,0.97242780,0.35927570,11,7
0.35045480,0.88958160,0.39544270,0.35045480,0.88958160,0.39544270,0.35045480,0.88958160,0.39544270,0.36040060,0.91099610,0.38935490,0.37435770,0.92952510,0.38388300,0.38472280,0.95270780,0.36578980,0.37891440,0.98078790,0.35068770,0.37057340,0.98134520,0.40991920,0.37039880,1.01362100,0.39314890,0.37031390,1.01772500,0.37020530,0.34948890,0.97959410,0.41331480,0.34719370,1.01330200,0.38979270,0.34981180,1.01252700,0.36351350,0.33146610,0.97357460,0.40725230,0.32715060,1.00420600,0.38623550,0.33565600,0.99787620,0.36306120,0.32783630,0.92300640,0.39278150,0.31521470,0.96466290,0.39748410,0.30864450,0.98844120,0.38137790,0.31931440,0.98622820,0.36523190,0.37253320,0.99992390,0.33841420,0.36953900,1.00993600,0.35021140,0.35538690,0.99684460,0.34626590,0.34617770,0.97839380,0.35554920,0.33498140,0.97234170,0.36296600,11,7
0.35196520,0.88929750,0.39755660,0.35196520,0.88929750,0.39755660,0.35196520,0.88929750,0.39755660,0.36155950,0.91090290,0.39158030,0.37525360,0.92966290,0.38623240,0.38497040,0.95229380,0.36711020,0.37947190,0.97986700,0.35099230,0.37062620,0.98128840,0.41253380,0.37023080,1.01343000,0.39551060,0.37003400,1.01775900,0.37260920,0.34957630,0.97918020,0.41594130,0.34732680,1.01299500,0.39256890,0.34985010,1.01211600,0.36628370,0.33164550,0.97290680,0.40986330,0.32685380,1.00393000,0.38953470,0.33531950,0.99801830,0.36623560,0.32881060,0.92236970,0.39510900,0.31552810,0.96379100,0.40006150,0.30774570,0.98753320,0.38444950,0.31854910,0.98576310,0.36833780,0.37317290,0.99860480,0.33807860,0.36919230,1.01051600,0.35241380,0.35520520,0.99667770,0.34874890,0.34600900,0.97884960,0.35817360,0.33464020,0.97230760,0.36647960,11,7
0.35336220,0.88898660,0.39960320,0.35336220,0.88898660,0.39960320,0.35336220,0.88898660,0.39960320,0.36263870,0.91076000,0.39373590,0.37641280,0.92956390,0.38876050,0.38639060,0.95227900,0.36987400,0.38147110,0.97996690,0.35376560,0.37070770,0.98115530,0.41506130,0.36976880,1.01334100,0.39814310,0.36948900,1.01770400,0.37524910,0.34969340,0.97872530,0.41847420,0.34696350,1.01274700,0.39545480,0.34953750,1.01158300,0.36918560,0.33184960,0.97222670,0.41237680,0.32638750,1.00364700,0.39284310,0.33481290,0.99841060,0.36936850,0.32973090,0.92173410,0.39735250,0.31585680,0.96293230,0.40253880,0.30755850,0.98693850,0.38761140,0.31799660,0.98594760,0.37119500,0.37545420,0.99880080,0.34085710,0.36877650,1.01027800,0.35511550,0.35516660,0.99568840,0.35215110,0.34578110,0.97964570,0.36075030,0.33423460,0.97277780,0.36868240,11,7
0.35319780,0.88871790,0.39935160,0.35319780,0.88871790,0.39935160,0.35319780,0.88871790,0.39935160,0.36215650,0.91063770,0.39353640,0.37590140,0.92952330,0.38879470,0.38588080,0.95215680,0.36981120,0.38137300,0.97977740,0.35346850,0.36926790,0.98107430,0.41506540,0.36785510,1.01324300,0.39814910,0.36747050,1.01768200,0.37527120,0.34829570,0.97833780,0.41850490,0.34514450,1.01250200,0.39575280,0.34771430,1.01115800,0.36949170,0.33053510,0.97160690,0.41241650,0.32441180,1.00335400,0.39362160,0.33275930,0.99871120,0.36999480,0.32910350,0.92113550,0.39724010,0.31465850,0.96211790,0.40257590,0.30569850,0.98627720,0.38829190,0.31576570,0.98604500,0.37161750,0.37551300,0.99856140,0.34041600,0.36682670,1.01026500,0.35513170,0.35351010,0.99505540,0.35271030,0.34396610,0.98033760,0.36085620,0.33219830,0.97324170,0.36853970,11,7
0.35314850,0.88840700,0.39935590,0.35314850,0.88840700,0.39935590,0.35314850,0.88840700,0.39935590,0.36180360,0.91046450,0.39360130,0.37566330,0.92935170,0.38921430,0.38598460,0.95207820,0.37052710,0.38141710,0.97977330,0.35432760,0.36799790,0.98091860,0.41535480,0.36613460,1.01334400,0.39898010,0.36566820,1.01800500,0.37614790,0.34706920,0.97788890,0.41881390,0.34363350,1.01249000,0.39677440,0.34599490,1.01207600,0.37046270,0.32939220,0.97094000,0.41272760,0.32277550,1.00317000,0.39494970,0.33091600,0.99925730,0.37111940,0.32861760,0.92050450,0.39738540,0.31363060,0.96127100,0.40287730,0.30418780,0.98559600,0.38919840,0.31380870,0.98613540,0.37226970,0.37528880,0.99857470,0.34142430,0.36511930,1.01064000,0.35598640,0.35170050,0.99676320,0.35292810,0.34218380,0.98124900,0.36135050,0.33041110,0.97382520,0.36823900,11,7
0.35273760,0.88715070,0.39844770,0.35273760,0.88715070,0.39844770,0.35273760,0.88715070,0.39844770,0.36118080,0.90942040,0.39321970,0.37515750,0.92837390,0.38954730,0.38579270,0.95145730,0.37148400,0.38130350,0.97948440,0.35584340,0.36663490,0.97941150,0.41660490,0.36450620,1.01237200,0.40137080,0.36403320,1.01775300,0.37869750,0.34573210,0.97609440,0.41995470,0.34220720,1.01150100,0.39924800,0.34444840,1.01242500,0.37293880,0.32813530,0.96911200,0.41367700,0.32120930,1.00210200,0.39748050,0.32921430,0.99930450,0.37344800,0.32789010,0.91903910,0.39717340,0.31248710,0.95951660,0.40357710,0.30262560,0.98423990,0.39094800,0.31186700,0.98583180,0.37387470,0.37501060,0.99851630,0.34336420,0.36358880,1.01096000,0.35833390,0.35005640,0.99821870,0.35446670,0.34050950,0.98182700,0.36278720,0.32860400,0.97409310,0.36882450,11,7
0.35243340,0.88593770,0.39778520,0.35243340,0.88593770,0.39778520,0.35243340,0.88593770,0.39778520,0.36066400,0.90839740,0.39305450,0.37472250,0.92740670,0.39004260,0.38559000,0.95076010,0.37247140,0.38118860,0.97904350,0.35727340,0.36538990,0.97791650,0.41795690,0.36301200,1.01134200,0.40381140,0.36251900,1.01743700,0.38132020,0.34451580,0.97432180,0.42119770,0.34091930,1.01044400,0.40178000,0.34303290,1.01263700,0.37553550,0.32699850,0.96730390,0.41473990,0.31976730,1.00095700,0.40011810,0.32762500,0.99924200,0.37593590,0.32727370,0.91759980,0.39715720,0.31146140,0.95777550,0.40440770,0.30112220,0.98281710,0.39283160,0.30995970,0.98545410,0.37567410,0.37472310,0.99824400,0.34514550,0.36215310,1.01126400,0.36075860,0.34851660,0.99956290,0.35620980,0.33893470,0.98232330,0.36442320,0.32682200,0.97435780,0.36967720,11,7
0.35221480,0.88476470,0.39731980,0.35221480,0.88476470,0.39731980,0.35221480,0.88476470,0.39731980,0.36023290,0.90739510,0.39306130,0.37421510,0.92653310,0.39055060,0.38506020,0.95027360,0.37349170,0.38041760,0.97880430,0.35883740,0.36424440,0.97643490,0.41938240,0.36158220,1.01027700,0.40632050,0.36105680,1.01707900,0.38403350,0.34340160,0.97257210,0.42251460,0.33972000,1.00958600,0.40487310,0.34165200,1.01330000,0.37878610,0.32596300,0.96551750,0.41588610,0.31832190,0.99970780,0.40279960,0.32612640,0.99882740,0.37855560,0.32674850,0.91618700,0.39729520,0.31053470,0.95605110,0.40533620,0.29976740,0.98145020,0.39499520,0.30836470,0.98484940,0.37784970,0.37354800,0.99813440,0.34714530,0.36077010,1.01153000,0.36329360,0.34700980,1.00136400,0.35870300,0.33750920,0.98231090,0.36654170,0.32522840,0.97401830,0.37138980,11,7
