RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.37805800,0.84670750,0.35608020,0.37805800,0.84670750,0.35608020,0.37805800,0.84670750,0.35608020,0.35854670,0.85264620,0.37024390,0.33644880,0.85589870,0.37974160,0.31334950,0.85598290,0.40152810,0.30286870,0.86619660,0.43110890,0.31592240,0.90899240,0.39644310,0.30226830,0.91387550,0.43052710,0.30918510,0.89121660,0.42907750,0.33573840,0.91705100,0.40074890,0.32198010,0.91507590,0.44030100,0.32711080,0.88889660,0.43680500,0.35457690,0.91451210,0.40790460,0.34304490,0.91012810,0.44393520,0.34207810,0.88487360,0.43803750,0.38193400,0.87307080,0.38748750,0.37311450,0.90686820,0.41519320,0.36104280,0.89892570,0.44148610,0.35757130,0.88176000,0.43217090,0.30449470,0.87497450,0.45343590,0.31811850,0.88420640,0.41039210,0.33326250,0.87913050,0.41529820,0.34617910,0.87971990,0.41515610,0.35916000,0.87935480,0.41092150,11,0
0.37799870,0.84707110,0.35559950,0.37799870,0.84707110,0.35559950,0.37799870,0.84707110,0.35559950,0.35849920,0.85306920,0.36975440,0.33637260,0.85639030,0.37916110,0.31329920,0.85623380,0.40097460,0.30263710,0.86614380,0.43059390,0.31605580,0.90954790,0.39596200,0.30236010,0.91513690,0.42992060,0.30892500,0.89234690,0.42898140,0.33589710,0.91753420,0.40028580,0.32204540,0.91632990,0.43983620,0.32673810,0.88996850,0.43719910,0.35472200,0.91492460,0.40745200,0.34315940,0.91166200,0.44359170,0.34176290,0.88622080,0.43866200,0.38194680,0.87340060,0.38702610,0.37322800,0.90721110,0.41474770,0.36125400,0.89974380,0.44122390,0.35743110,0.88245200,0.43228730,0.30402360,0.87471440,0.45301740,0.31783710,0.88479610,0.41049760,0.33280800,0.87941960,0.41604160,0.34572580,0.88006680,0.41600440,0.35872170,0.87947670,0.41108990,11,0
0.37794100,0.84743500,0.35514310,0.37794100,0.84743500,0.35514310,0.37794100,0.84743500,0.35514310,0.35845270,0.85349180,0.36928870,0.33630380,0.85688020,0.37861850,0.31317090,0.85673070,0.40036890,0.30231630,0.86656360,0.42994400,0.31618150,0.91009990,0.39549530,0.30242920,0.91650990,0.42928560,0.30859700,0.89359160,0.42900850,0.33604660,0.91801800,0.39983490,0.32207130,0.91800420,0.43936020,0.32620400,0.89145830,0.43789750,0.35485820,0.91534260,0.40701160,0.34309200,0.91322710,0.44317090,0.34147380,0.88762770,0.43922700,0.38195720,0.87373720,0.38658400,0.37333380,0.90756420,0.41431530,0.36136120,0.90071120,0.44095770,0.35731430,0.88320240,0.43255840,0.30347280,0.87504050,0.45241610,0.31749510,0.88536410,0.41080890,0.33214800,0.87990080,0.41723690,0.34543810,0.88035950,0.41690220,0.35839830,0.87942900,0.41147690,11,0
0.37813200,0.84789440,0.35487720,0.37813200,0.84789440,0.35487720,0.37813200,0.84789440,0.35487720,0.35869320,0.85393940,0.36909560,0.33654890,0.85732110,0.37843880,0.31345730,0.85705520,0.40023190,0.30250240,0.86672150,0.42982490,0.31652930,0.91052750,0.39551730,0.30285760,0.91764120,0.42919920,0.30870870,0.89464030,0.42950050,0.33641160,0.91843320,0.39980090,0.32250290,0.91943780,0.43933690,0.32617470,0.89278730,0.43892840,0.35524610,0.91574200,0.40691120,0.34345320,0.91464450,0.44310700,0.34165730,0.88893150,0.44008640,0.38226230,0.87415410,0.38633880,0.37374340,0.90794770,0.41414300,0.36191880,0.90161910,0.44098050,0.35765280,0.88392380,0.43309640,0.30349350,0.87507280,0.45235190,0.31752740,0.88582380,0.41153960,0.33192650,0.88034590,0.41873200,0.34553090,0.88065480,0.41809930,0.35843550,0.87942530,0.41214410,11,0
0.37830010,0.84835180,0.35460380,0.37830010,0.84835180,0.35460380,0.37830010,0.84835180,0.35460380,0.35890690,0.85439230,0.36888630,0.33676420,0.85777450,0.37823330,0.31371470,0.85737970,0.40006890,0.30265330,0.86686770,0.42967990,0.31685360,0.91097560,0.39549400,0.30326640,0.91877250,0.42905870,0.30880660,0.89570890,0.42992070,0.33675300,0.91886530,0.39972730,0.32291860,0.92083720,0.43925300,0.32614570,0.89413280,0.43985520,0.35560690,0.91615570,0.40677900,0.34379040,0.91604660,0.44298350,0.34180420,0.89025780,0.44086190,0.38253840,0.87457480,0.38608160,0.37412100,0.90834300,0.41394750,0.36244760,0.90252450,0.44096610,0.35795730,0.88466840,0.43358500,0.30347320,0.87508670,0.45226240,0.31753890,0.88632940,0.41220450,0.33169770,0.88086420,0.42013500,0.34557770,0.88102010,0.41924320,0.35843140,0.87947750,0.41278410,11,0
0.37844610,0.84878590,0.35433900,0.37844610,0.84878590,0.35433900,0.37844610,0.84878590,0.35433900,0.35909390,0.85482660,0.36867700,0.33698400,0.85821570,0.37809880,0.31394460,0.85796820,0.39994720,0.30288020,0.86754930,0.42952720,0.31714780,0.91141420,0.39544410,0.30365430,0.91968210,0.42893390,0.30890840,0.89657970,0.43036260,0.33706330,0.91928680,0.39963310,0.32339600,0.92159050,0.43919900,0.32630830,0.89487010,0.44039820,0.35593350,0.91655800,0.40663360,0.34426380,0.91686760,0.44288460,0.34196460,0.89105280,0.44153590,0.38278340,0.87497780,0.38582940,0.37446080,0.90872650,0.41374730,0.36294500,0.90366070,0.44098420,0.35818530,0.88558900,0.43433250,0.30366100,0.87579110,0.45210270,0.31756780,0.88663260,0.41292250,0.33166410,0.88111700,0.42095760,0.34548650,0.88104870,0.42021810,0.35832590,0.87951960,0.41376590,11,0
0.37833030,0.84920350,0.35427560,0.37833030,0.84920350,0.35427560,0.37833030,0.84920350,0.35427560,0.35901900,0.85527740,0.36865450,0.33693680,0.85870560,0.37812700,0.31390690,0.85859590,0.39998660,0.30282280,0.86825520,0.42953380,0.31723220,0.91193740,0.39551760,0.30382960,0.92074530,0.42890600,0.30876650,0.89761680,0.43092340,0.33717080,0.91977270,0.39966650,0.32364560,0.92254550,0.43925120,0.32619650,0.89582720,0.44112860,0.35605050,0.91700830,0.40662750,0.34450550,0.91787830,0.44290930,0.34186730,0.89206600,0.44238810,0.38278090,0.87538220,0.38576100,0.37457800,0.90914170,0.41370150,0.36321280,0.90482720,0.44113030,0.35817280,0.88658290,0.43519480,0.30354460,0.87650890,0.45210690,0.31733800,0.88708720,0.41378430,0.33134080,0.88153150,0.42202530,0.34513100,0.88125460,0.42142620,0.35797100,0.87966720,0.41489760,11,0
0.37822680,0.84962340,0.35418810,0.37822680,0.84962340,0.35418810,0.37822680,0.84962340,0.35418810,0.35895450,0.85573110,0.36860500,0.33689490,0.85919880,0.37811570,0.31385310,0.85925190,0.39996310,0.30272480,0.86900960,0.42946120,0.31732400,0.91246490,0.39555480,0.30399030,0.92169590,0.42885640,0.30863100,0.89856870,0.43149540,0.33728490,0.92026300,0.39966630,0.32375280,0.92351370,0.43921220,0.32607190,0.89682710,0.44173200,0.35617290,0.91746290,0.40659060,0.34459070,0.91875570,0.44284790,0.34186910,0.89294690,0.44276480,0.38278630,0.87579020,0.38566790,0.37469950,0.90956130,0.41362800,0.36350180,0.90612520,0.44124930,0.35817100,0.88772250,0.43611060,0.30337300,0.87728650,0.45202810,0.31713500,0.88744410,0.41470210,0.33113250,0.88202420,0.42299620,0.34508060,0.88164450,0.42205530,0.35762000,0.87993140,0.41613960,11,0
0.37823530,0.84979640,0.35448030,0.37823530,0.84979640,0.35448030,0.37823530,0.84979640,0.35448030,0.35901170,0.85595590,0.36894010,0.33697790,0.85950760,0.37847960,0.31391470,0.85970210,0.40030350,0.30275320,0.86947240,0.42978490,0.31771500,0.91281550,0.39613740,0.30446230,0.92240270,0.42937060,0.30873300,0.89926820,0.43252060,0.33772190,0.92049200,0.40025440,0.32417430,0.92414140,0.43976010,0.32616050,0.89748480,0.44282340,0.35660220,0.91756640,0.40714770,0.34496380,0.91923140,0.44337180,0.34205600,0.89344440,0.44365940,0.38296920,0.87582640,0.38604770,0.37509390,0.90954070,0.41413640,0.36403360,0.90684590,0.44189490,0.35837490,0.88836710,0.43742310,0.30333690,0.87768100,0.45237850,0.31713030,0.88761540,0.41603450,0.33108620,0.88223540,0.42441250,0.34518220,0.88170150,0.42318330,0.35747050,0.87986040,0.41775920,11,0
0.37824320,0.84999060,0.35472570,0.37824320,0.84999060,0.35472570,0.37824320,0.84999060,0.35472570,0.35906640,0.85620050,0.36922610,0.33705610,0.85983250,0.37878950,0.31397470,0.86015420,0.40059270,0.30277120,0.86992970,0.43005650,0.31808700,0.91318000,0.39665110,0.30491870,0.92315340,0.42980420,0.30882040,0.90003080,0.43347720,0.33813680,0.92074190,0.40077120,0.32457980,0.92483220,0.44023050,0.32622530,0.89822570,0.44387540,0.35700930,0.91769860,0.40763460,0.34531600,0.91979300,0.44381870,0.34221580,0.89403650,0.44452710,0.38314240,0.87589420,0.38637170,0.37546760,0.90955710,0.41457740,0.36455940,0.90759210,0.44245700,0.35858370,0.88906370,0.43865250,0.30327930,0.87807010,0.45267650,0.31709890,0.88785050,0.41731560,0.33100380,0.88251010,0.42582130,0.34524850,0.88181630,0.42431800,0.35731370,0.87986070,0.41932530,11,0
