RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.27835720,1.11638600,0.42340440,0.27835720,1.11638600,0.42340440,0.27835720,1.11638600,0.42340440,0.26108200,1.13409900,0.42048460,0.24276700,1.15005900,0.41879230,0.22276320,1.17445900,0.42320090,0.21914660,1.20614000,0.43212670,0.24438010,1.19960300,0.38662960,0.22526980,1.22739800,0.40222950,0.22340760,1.20837100,0.41642860,0.26422050,1.20446400,0.39450680,0.24010430,1.23026000,0.41735970,0.23828060,1.20622100,0.42950530,0.27769800,1.20414200,0.40978880,0.25377190,1.22201400,0.43362540,0.24779480,1.19804000,0.44184170,0.28679550,1.15591700,0.43200250,0.28853520,1.20042300,0.42787070,0.26556410,1.20933900,0.44516120,0.25867370,1.19096000,0.44845440,0.22740360,1.22631700,0.44245870,0.23460600,1.19171200,0.40757640,0.24804140,1.18651300,0.41873320,0.25808310,1.18066700,0.42907330,0.26590690,1.17443500,0.43672700,7,5
0.27888930,1.11516900,0.42311080,0.27888930,1.11516900,0.42311080,0.27888930,1.11516900,0.42311080,0.26160010,1.13288300,0.42028550,0.24326400,1.14882600,0.41866150,0.22324820,1.17321100,0.42309640,0.21962760,1.20487600,0.43207800,0.24480700,1.19850200,0.38669930,0.22572740,1.22624600,0.40242860,0.22388040,1.20716700,0.41656060,0.26465850,1.20334500,0.39456020,0.24054990,1.22898400,0.41759730,0.23879290,1.20488000,0.42962530,0.27816240,1.20297300,0.40981780,0.25427710,1.22062400,0.43385940,0.24831530,1.19657600,0.44186720,0.28732230,1.15467200,0.43183900,0.28903250,1.19919400,0.42786730,0.26612480,1.20811900,0.44523690,0.25914970,1.18975700,0.44844620,0.22788220,1.22503300,0.44245160,0.23506110,1.19053800,0.40763120,0.24857390,1.18526900,0.41869480,0.25858650,1.17932800,0.42891660,0.26627920,1.17325100,0.43662950,7,5
0.27937600,1.11395100,0.42280760,0.27937600,1.11395100,0.42280760,0.27937600,1.11395100,0.42280760,0.26207550,1.13166800,0.42007280,0.24372610,1.14760400,0.41852530,0.22369130,1.17194700,0.42310570,0.22013990,1.20356900,0.43226330,0.24519940,1.19739500,0.38673850,0.22614710,1.22505000,0.40265580,0.22433530,1.20589600,0.41669050,0.26506290,1.20221800,0.39458090,0.24102660,1.22782700,0.41772590,0.23921460,1.20370700,0.42971000,0.27859380,1.20180000,0.40981340,0.25479070,1.21946800,0.43392380,0.24877550,1.19541200,0.44186740,0.28781010,1.15342700,0.43165480,0.28949710,1.19796300,0.42783090,0.26668490,1.20708300,0.44522520,0.25964070,1.18874100,0.44839980,0.22847840,1.22365000,0.44271660,0.23550070,1.18931700,0.40764900,0.24891990,1.18405600,0.41878220,0.25897600,1.17815900,0.42886720,0.26666580,1.17221100,0.43655460,7,5
0.28001470,1.11280400,0.42291680,0.28001470,1.11280400,0.42291680,0.28001470,1.11280400,0.42291680,0.26270250,1.13052800,0.42030230,0.24434130,1.14646000,0.41886450,0.22431220,1.17077600,0.42360810,0.22086370,1.20237100,0.43289960,0.24567150,1.19632600,0.38718860,0.22670950,1.22392700,0.40330630,0.22496260,1.20472100,0.41727800,0.26557260,1.20113100,0.39494600,0.24168230,1.22672900,0.41825460,0.23985930,1.20259700,0.43021560,0.27917630,1.20068000,0.41011260,0.25553060,1.21837000,0.43436190,0.24948910,1.19430700,0.44226540,0.28849370,1.15226100,0.43180700,0.29016540,1.19680500,0.42806950,0.26749860,1.20610600,0.44555730,0.26040020,1.18778400,0.44872420,0.22931650,1.22239100,0.44337700,0.23607640,1.18817300,0.40811770,0.24945930,1.18291000,0.41926270,0.25958030,1.17704900,0.42918620,0.26728990,1.17123000,0.43683310,7,5
0.28061330,1.11162900,0.42297520,0.28061330,1.11162900,0.42297520,0.28061330,1.11162900,0.42297520,0.26329160,1.12936100,0.42047680,0.24492380,1.14529500,0.41915140,0.22490490,1.16958200,0.42408280,0.22156590,1.20114300,0.43352730,0.24611820,1.19523000,0.38757900,0.22722860,1.22276500,0.40389270,0.22555890,1.20350800,0.41780300,0.26605510,1.20001700,0.39525570,0.24224380,1.22556000,0.41870450,0.24049380,1.20142400,0.43066770,0.27972760,1.19953200,0.41035910,0.25623540,1.21724600,0.43473960,0.25017170,1.19317300,0.44259640,0.28913770,1.15106600,0.43190940,0.29079800,1.19561800,0.42825760,0.26823300,1.20492900,0.44587120,0.26118780,1.18656800,0.44892660,0.23013730,1.22109700,0.44403450,0.23663190,1.18699700,0.40852650,0.25004640,1.18171800,0.41970580,0.26016240,1.17592100,0.42943380,0.26806480,1.17011500,0.43688880,7,5
0.28084090,1.10975100,0.42280780,0.28084090,1.10975100,0.42280780,0.28084090,1.10975100,0.42280780,0.26351350,1.12747600,0.42030030,0.24514030,1.14340300,0.41896860,0.22512150,1.16768700,0.42391560,0.22186610,1.19926500,0.43333300,0.24625620,1.19324300,0.38724350,0.22740860,1.22080100,0.40356760,0.22578790,1.20156800,0.41751660,0.26621370,1.19805300,0.39485220,0.24243620,1.22365500,0.41827070,0.24074130,1.19957300,0.43034900,0.27992630,1.19761400,0.40992060,0.25653680,1.21546000,0.43430370,0.25044460,1.19141400,0.44221880,0.28939110,1.14921500,0.43159650,0.29104410,1.19375500,0.42780170,0.26854590,1.20315900,0.44545140,0.26154540,1.18477600,0.44847980,0.23052770,1.21921300,0.44377870,0.23683720,1.18504400,0.40823460,0.25027130,1.17980100,0.41948630,0.26036530,1.17410700,0.42907400,0.26842950,1.16836000,0.43639640,7,5
0.28107060,1.10790700,0.42262340,0.28107060,1.10790700,0.42262340,0.28107060,1.10790700,0.42262340,0.26373840,1.12562600,0.42011430,0.24536000,1.14154800,0.41878190,0.22534200,1.16582800,0.42375030,0.22216880,1.19742000,0.43314920,0.24639940,1.19130600,0.38692650,0.22759660,1.21888300,0.40326970,0.22602230,1.19966900,0.41725050,0.26637760,1.19613400,0.39446900,0.24263440,1.22178100,0.41787350,0.24099730,1.19774500,0.43005080,0.28013040,1.19573500,0.40950190,0.25684340,1.21369200,0.43390100,0.25072480,1.18966600,0.44185630,0.28964810,1.14739400,0.43128290,0.29129530,1.19192300,0.42736360,0.26886420,1.20140900,0.44505470,0.26190600,1.18300400,0.44804670,0.23091810,1.21735800,0.44353990,0.23704640,1.18313500,0.40795780,0.25050640,1.17791700,0.41927190,0.26057660,1.17231700,0.42871580,0.26879410,1.16662900,0.43590950,7,5
0.28130210,1.10609000,0.42242560,0.28130210,1.10609000,0.42242560,0.28130210,1.10609000,0.42242560,0.26396560,1.12380600,0.41992090,0.24557750,1.13971600,0.41858280,0.22554730,1.16397900,0.42358720,0.22245650,1.19557700,0.43299380,0.24654720,1.18941000,0.38662420,0.22779400,1.21700300,0.40299710,0.22626190,1.19780300,0.41700150,0.26654600,1.19425300,0.39410210,0.24287840,1.22003000,0.41744040,0.24124830,1.19604700,0.42972480,0.28033870,1.19388700,0.40909930,0.25713600,1.21198700,0.43347330,0.25101090,1.18800000,0.44154190,0.28990790,1.14559600,0.43096890,0.29155060,1.19011600,0.42694020,0.26919230,1.19970600,0.44466730,0.26224270,1.18129700,0.44765730,0.23130310,1.21549200,0.44334440,0.23725770,1.18125900,0.40769180,0.25071000,1.17614900,0.41903520,0.26080090,1.17057000,0.42846310,0.26910700,1.16493300,0.43549140,7,5
0.28170090,1.10467500,0.42219850,0.28170090,1.10467500,0.42219850,0.28170090,1.10467500,0.42219850,0.26435600,1.12237700,0.41965990,0.24594800,1.13825900,0.41826140,0.22583890,1.16245500,0.42327360,0.22272010,1.19400800,0.43281880,0.24701660,1.18804800,0.38645390,0.22815940,1.21555300,0.40285530,0.22659160,1.19629600,0.41677720,0.26697530,1.19289400,0.39403640,0.24317850,1.21864700,0.41726990,0.24150120,1.19465300,0.42952620,0.28069910,1.19250500,0.40909610,0.25738140,1.21058900,0.43337170,0.25122160,1.18659100,0.44138070,0.29022230,1.14416800,0.43088410,0.29183300,1.18869900,0.42697860,0.26940630,1.19827400,0.44462790,0.26246790,1.17983800,0.44747140,0.23156070,1.21386300,0.44329120,0.23764770,1.17980300,0.40744930,0.25102090,1.17475300,0.41889120,0.26106690,1.16916200,0.42834170,0.26941790,1.16355600,0.43524420,7,5
0.28208770,1.10324500,0.42196460,0.28208770,1.10324500,0.42196460,0.28208770,1.10324500,0.42196460,0.26473530,1.12093700,0.41939930,0.24630820,1.13679100,0.41794700,0.22612460,1.16092200,0.42297470,0.22299010,1.19243200,0.43265720,0.24746250,1.18667000,0.38628190,0.22851520,1.21409100,0.40271960,0.22691840,1.19477900,0.41656210,0.26738580,1.19151700,0.39395560,0.24347690,1.21725200,0.41709390,0.24175920,1.19324900,0.42932730,0.28104980,1.19110500,0.40906900,0.25763710,1.20918200,0.43325890,0.25144270,1.18517400,0.44121160,0.29053470,1.14272600,0.43077880,0.29211620,1.18726800,0.42698660,0.26963560,1.19683500,0.44457120,0.26270970,1.17837300,0.44726830,0.23183680,1.21222400,0.44324270,0.23802660,1.17833400,0.40721160,0.25132840,1.17334400,0.41874580,0.26133100,1.16774400,0.42820710,0.26973740,1.16217500,0.43497360,7,5
