RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.28721810,0.75866440,0.24677140,0.28721810,0.75866440,0.24677140,0.28721810,0.75866440,0.24677140,0.29725350,0.78120880,0.25019520,0.30742210,0.80330930,0.25128760,0.31343650,0.83457270,0.25246160,0.30512170,0.86589540,0.25925840,0.30941060,0.83690200,0.29985820,0.30681770,0.87263150,0.28996810,0.30718370,0.86018250,0.26967000,0.28806040,0.83348040,0.30329140,0.28604020,0.87182590,0.28612150,0.28964090,0.85422230,0.26597530,0.26929160,0.83038500,0.29598120,0.26936030,0.86329480,0.27656440,0.27749370,0.84739740,0.25761410,0.26432670,0.79026560,0.26037710,0.25210580,0.82630360,0.28388910,0.25704280,0.85122510,0.26774390,0.26630770,0.84145880,0.25308500,0.28778250,0.88201770,0.26389160,0.30863250,0.83866780,0.27370610,0.29443320,0.83111160,0.27250700,0.28072690,0.82594970,0.26762720,0.27123630,0.82117800,0.25831070,7,4
0.28670810,0.76033350,0.24729280,0.28670810,0.76033350,0.24729280,0.28670810,0.76033350,0.24729280,0.29671140,0.78289630,0.25068910,0.30684000,0.80501670,0.25175120,0.31280880,0.83628940,0.25290790,0.30446870,0.86761640,0.25965460,0.30870190,0.83871010,0.30025720,0.30605450,0.87442050,0.29031270,0.30651260,0.86193680,0.27003790,0.28734820,0.83527230,0.30365250,0.28533130,0.87358650,0.28641230,0.28898090,0.85593950,0.26631280,0.26859840,0.83214040,0.29630920,0.26867860,0.86501240,0.27682830,0.27685770,0.84909320,0.25791600,0.26375320,0.79193880,0.26078150,0.25144280,0.82801400,0.28418950,0.25634670,0.85294750,0.26805270,0.26567860,0.84317930,0.25343760,0.28712600,0.88375040,0.26423350,0.30800010,0.84043220,0.27411410,0.29377650,0.83284410,0.27289610,0.28009370,0.82766040,0.26796000,0.27060620,0.82292700,0.25877350,7,4
0.28556550,0.76308930,0.24776970,0.28556550,0.76308930,0.24776970,0.28556550,0.76308930,0.24776970,0.29552130,0.78569370,0.25102590,0.30558840,0.80784850,0.25194650,0.31147880,0.83914140,0.25295140,0.30310160,0.87048750,0.25956170,0.30744520,0.84181430,0.30026240,0.30466700,0.87746880,0.29015430,0.30516430,0.86488440,0.26994280,0.28610370,0.83834710,0.30370380,0.28398490,0.87656870,0.28627150,0.28763820,0.85881740,0.26626480,0.26735200,0.83513090,0.29640180,0.26733720,0.86789820,0.27674530,0.27551900,0.85190170,0.25789960,0.26255500,0.79471790,0.26110820,0.25019090,0.83089670,0.28432710,0.25498050,0.85578810,0.26809110,0.26433990,0.84597690,0.25352240,0.28575310,0.88663070,0.26408600,0.30672990,0.84340600,0.27412590,0.29248800,0.83576510,0.27295860,0.27881680,0.83052410,0.26804070,0.26930900,0.82577760,0.25901850,7,4
0.28449700,0.76571710,0.24824550,0.28449700,0.76571710,0.24824550,0.28449700,0.76571710,0.24824550,0.29440810,0.78835950,0.25137190,0.30441760,0.81054540,0.25216190,0.31023470,0.84185620,0.25302520,0.30182590,0.87322060,0.25950720,0.30626540,0.84476330,0.30030000,0.30336310,0.88036660,0.29004710,0.30390130,0.86769270,0.26989260,0.28493500,0.84126880,0.30378290,0.28272200,0.87940570,0.28617740,0.28638060,0.86156110,0.26625490,0.26618240,0.83797440,0.29651830,0.26607960,0.87064540,0.27670240,0.27426580,0.85457840,0.25791860,0.26143350,0.79736640,0.26144270,0.24901730,0.83364030,0.28448470,0.25370100,0.85849230,0.26815790,0.26308730,0.84864190,0.25363300,0.28447460,0.88937530,0.26397910,0.30554140,0.84623870,0.27417160,0.29128070,0.83854820,0.27304670,0.27762030,0.83325280,0.26815010,0.26809440,0.82849330,0.25927870,7,4
0.28346760,0.76829640,0.24873170,0.28346760,0.76829640,0.24873170,0.28346760,0.76829640,0.24873170,0.29333530,0.79097440,0.25173450,0.30330160,0.81318370,0.25240340,0.30906550,0.84450770,0.25313500,0.30063920,0.87589260,0.25949340,0.30512440,0.84764800,0.30036640,0.30213540,0.88316640,0.28984740,0.30268480,0.87032160,0.26980180,0.28380460,0.84412750,0.30388770,0.28153710,0.88215070,0.28604500,0.28516950,0.86417850,0.26623260,0.26505180,0.84075810,0.29665820,0.26488410,0.87331950,0.27666310,0.27305810,0.85713990,0.25797080,0.26035200,0.79996440,0.26179210,0.24788390,0.83632840,0.28466350,0.25250960,0.86108710,0.26817910,0.26190550,0.85112240,0.25373860,0.28329040,0.89206530,0.26391070,0.30437520,0.84890680,0.27425460,0.29009540,0.84122180,0.27319390,0.27645000,0.83587560,0.26831680,0.26688520,0.83104070,0.25964120,7,4
0.28241970,0.77055110,0.24935750,0.28241970,0.77055110,0.24935750,0.28241970,0.77055110,0.24935750,0.29232170,0.79322780,0.25225520,0.30231940,0.81542580,0.25282120,0.30813490,0.84674250,0.25344830,0.29979970,0.87817000,0.25971670,0.30425430,0.85008070,0.30064230,0.30129080,0.88553760,0.28991130,0.30180290,0.87255160,0.26995580,0.28293480,0.84660280,0.30420750,0.28073000,0.88454090,0.28617660,0.28427030,0.86645510,0.26645110,0.26416740,0.84322950,0.29701780,0.26403410,0.87570350,0.27688080,0.27213550,0.85940750,0.25825820,0.25936460,0.80230230,0.26232260,0.24697690,0.83877460,0.28506490,0.25161840,0.86344410,0.26845180,0.26098510,0.85335520,0.25407880,0.28251040,0.89441470,0.26410210,0.30347530,0.85116530,0.27455000,0.28914990,0.84352960,0.27354680,0.27549870,0.83818240,0.26869380,0.26587810,0.83331880,0.26020370,7,4
0.28141670,0.77275690,0.24996830,0.28141670,0.77275690,0.24996830,0.28141670,0.77275690,0.24996830,0.29134740,0.79543370,0.25276530,0.30137070,0.81762250,0.25323240,0.30722930,0.84893300,0.25375870,0.29897720,0.88039980,0.25993870,0.30340400,0.85246090,0.30091580,0.30045620,0.88785920,0.28998840,0.30093880,0.87474230,0.27011800,0.28208520,0.84902050,0.30452160,0.27993360,0.88687700,0.28631380,0.28339060,0.86868550,0.26667090,0.26330500,0.84564000,0.29736880,0.26319910,0.87803020,0.27709720,0.27123550,0.86162570,0.25854190,0.25841300,0.80458360,0.26283910,0.24609440,0.84115770,0.28545510,0.25074580,0.86574350,0.26872130,0.26008810,0.85553940,0.25441380,0.28174320,0.89671190,0.26429150,0.30259950,0.85338380,0.27484380,0.28823040,0.84579080,0.27389190,0.27457470,0.84043930,0.26906340,0.26490250,0.83555000,0.26075070,7,4
0.28046750,0.77488020,0.25055510,0.28046750,0.77488020,0.25055510,0.28046750,0.77488020,0.25055510,0.29042200,0.79755820,0.25325660,0.30046880,0.81973810,0.25363090,0.30636070,0.85104420,0.25403650,0.29812620,0.88253600,0.26011170,0.30258620,0.85475230,0.30118170,0.29965590,0.89009850,0.29008220,0.30010580,0.87687470,0.27028200,0.28126850,0.85134470,0.30482470,0.27913500,0.88912270,0.28645240,0.28255060,0.87083950,0.26688750,0.26247690,0.84795500,0.29770610,0.26240160,0.88019380,0.27719440,0.27040900,0.86362290,0.25877480,0.25750770,0.80677550,0.26333440,0.24524850,0.84344430,0.28582900,0.24991800,0.86791940,0.26893850,0.25924830,0.85759250,0.25471160,0.28089960,0.89886670,0.26442380,0.30175400,0.85554050,0.27512070,0.28737460,0.84796950,0.27419700,0.27372600,0.84251280,0.26945550,0.26398460,0.83766260,0.26129020,7,4
0.28057940,0.77692800,0.25152300,0.28057940,0.77692800,0.25152300,0.28057940,0.77692800,0.25152300,0.29053090,0.79961810,0.25413270,0.30057830,0.82179900,0.25441810,0.30647210,0.85310610,0.25469590,0.29821980,0.88461960,0.26063300,0.30266070,0.85702000,0.30181750,0.29973120,0.89230410,0.29052230,0.30019900,0.87896340,0.27080110,0.28134090,0.85362680,0.30546150,0.27922310,0.89131320,0.28690000,0.28264810,0.87293080,0.26743010,0.26255410,0.85020510,0.29834560,0.26251350,0.88228410,0.27758470,0.27053890,0.86555090,0.25932040,0.25760950,0.80887680,0.26414930,0.24533370,0.84564200,0.28647700,0.25002580,0.87000290,0.26942860,0.25937940,0.85955690,0.25530430,0.28098150,0.90095940,0.26486380,0.30184820,0.85765860,0.27576730,0.28746450,0.85009500,0.27485070,0.27383540,0.84452490,0.27017220,0.26404660,0.83969700,0.26213920,7,4
0.28061730,0.77895770,0.25244800,0.28061730,0.77895770,0.25244800,0.28061730,0.77895770,0.25244800,0.29056530,0.80165950,0.25496770,0.30060780,0.82384370,0.25516440,0.30648760,0.85515440,0.25528580,0.29816050,0.88667760,0.26106490,0.30266450,0.85926220,0.30241750,0.29971020,0.89449250,0.29096160,0.30021910,0.88103410,0.27132140,0.28134300,0.85588250,0.30606420,0.27926630,0.89351690,0.28739330,0.28265350,0.87507130,0.26797660,0.26256040,0.85242920,0.29895270,0.26255970,0.88439330,0.27801550,0.27056360,0.86756770,0.25982670,0.25763780,0.81095720,0.26492770,0.24534670,0.84781460,0.28709420,0.25004710,0.87208350,0.26991720,0.25942480,0.86157010,0.25585900,0.28086960,0.90298340,0.26521060,0.30188620,0.85976360,0.27642670,0.28744230,0.85224910,0.27545660,0.27385490,0.84656700,0.27072890,0.26405960,0.84176370,0.26286900,7,4
