RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.44375300,0.82576950,0.26381000,0.44375300,0.82576950,0.26381000,0.44375300,0.82576950,0.26381000,0.41878930,0.82915810,0.25804250,0.39807050,0.83682880,0.24579250,0.36818630,0.84863850,0.23806730,0.34113170,0.86740850,0.22828680,0.35374700,0.86971870,0.27463810,0.32060920,0.88243770,0.28968450,0.29937040,0.89027200,0.29957550,0.36016870,0.86399750,0.29565820,0.32269300,0.87822990,0.31289090,0.29874650,0.88733700,0.32419690,0.36725130,0.84950460,0.30932190,0.33637260,0.86476150,0.32894230,0.31514080,0.87480050,0.34228550,0.41348060,0.82213350,0.29394540,0.37570920,0.83151290,0.31921520,0.35623810,0.84464260,0.33979650,0.34148040,0.85016160,0.35313860,0.32754530,0.88101240,0.21226510,0.28247790,0.90014090,0.31120140,0.28027510,0.89944120,0.33675430,0.29723060,0.88661430,0.35468800,0.32652500,0.85923250,0.36700240,4,7
0.44344610,0.82551500,0.26453980,0.44344610,0.82551500,0.26453980,0.44344610,0.82551500,0.26453980,0.41850370,0.82898550,0.25872880,0.39778370,0.83660840,0.24645100,0.36791460,0.84841920,0.23866960,0.34088810,0.86716440,0.22876460,0.35364900,0.86998060,0.27498750,0.32063480,0.88285480,0.29017290,0.29947660,0.89079110,0.30015480,0.36002650,0.86437570,0.29605240,0.32266460,0.87879510,0.31337650,0.29879220,0.88802300,0.32474090,0.36702740,0.84994450,0.30982310,0.33617670,0.86529200,0.32941690,0.31496400,0.87539300,0.34274360,0.41313330,0.82223940,0.29467590,0.37538920,0.83198150,0.31984920,0.35564350,0.84552530,0.33989350,0.34069290,0.85133690,0.35289210,0.32730360,0.88065430,0.21264510,0.28267940,0.90075330,0.31183910,0.28044870,0.90027760,0.33733990,0.29707730,0.88726810,0.35512150,0.32556610,0.86070980,0.36636360,4,7
0.44351370,0.82516870,0.26514500,0.44351370,0.82516870,0.26514500,0.44351370,0.82516870,0.26514500,0.41861750,0.82882350,0.25924970,0.39794770,0.83655830,0.24695730,0.36813960,0.84850390,0.23914760,0.34120680,0.86737350,0.22922370,0.35397840,0.87020750,0.27538120,0.32107990,0.88314280,0.29076470,0.29999630,0.89111850,0.30087220,0.36023800,0.86449970,0.29645370,0.32296910,0.87901000,0.31390200,0.29915650,0.88829420,0.32534580,0.36708930,0.84998260,0.31020920,0.33623590,0.86529340,0.32982740,0.31501880,0.87536790,0.34316700,0.41306530,0.82201120,0.29515670,0.37529220,0.83193510,0.32021510,0.35525690,0.84573500,0.33979190,0.34009820,0.85174070,0.35245710,0.32769850,0.88093480,0.21310020,0.28329090,0.90108870,0.31268070,0.28093350,0.90061470,0.33805480,0.29713980,0.88721970,0.35557840,0.32479110,0.86131230,0.36558060,4,7
0.44353890,0.82482870,0.26570090,0.44353890,0.82482870,0.26570090,0.44353890,0.82482870,0.26570090,0.41868950,0.82866710,0.25972550,0.39806910,0.83651320,0.24742060,0.36832240,0.84859510,0.23958640,0.34148360,0.86758990,0.22964660,0.35427110,0.87044000,0.27573750,0.32149890,0.88343340,0.29133980,0.30049680,0.89144700,0.30158620,0.36041540,0.86463210,0.29681670,0.32324460,0.87923880,0.31439310,0.29949510,0.88858310,0.32591890,0.36711890,0.85003120,0.31055640,0.33626550,0.86531620,0.33019480,0.31504440,0.87537000,0.34354370,0.41296070,0.82179300,0.29559290,0.37516390,0.83190140,0.32054160,0.35486750,0.84596320,0.33965780,0.33951990,0.85216670,0.35199580,0.32805100,0.88122260,0.21352010,0.28389300,0.90142520,0.31353040,0.28139900,0.90097400,0.33874030,0.29717480,0.88720430,0.35598520,0.32405220,0.86194040,0.36477780,4,7
0.44353090,0.82449380,0.26621780,0.44353090,0.82449380,0.26621780,0.44353090,0.82449380,0.26621780,0.41872890,0.82851490,0.26016580,0.39809770,0.83639580,0.24790140,0.36838880,0.84863980,0.24017620,0.34161740,0.86778180,0.23033760,0.35453610,0.87067620,0.27606480,0.32186010,0.88378990,0.29176810,0.30091910,0.89188100,0.30207830,0.36056690,0.86477050,0.29714960,0.32351460,0.87949430,0.31487800,0.29984150,0.88891180,0.32650100,0.36712380,0.85008800,0.31087320,0.33635540,0.86552540,0.33052560,0.31520400,0.87570120,0.34389280,0.41282770,0.82158300,0.29599400,0.37501170,0.83187780,0.32083730,0.35463400,0.84624810,0.33963470,0.33917470,0.85265580,0.35172660,0.32820080,0.88149220,0.21426360,0.28438970,0.90190110,0.31409060,0.28185850,0.90135290,0.33943250,0.29742170,0.88763730,0.35636200,0.32362990,0.86263750,0.36425170,4,7
0.44356220,0.82405820,0.26662050,0.44356220,0.82405820,0.26662050,0.44356220,0.82405820,0.26662050,0.41879120,0.82824690,0.26055550,0.39811900,0.83615490,0.24837790,0.36842640,0.84854460,0.24082400,0.34169290,0.86781810,0.23114030,0.35484670,0.87076940,0.27649370,0.32230930,0.88398450,0.29239820,0.30145740,0.89214130,0.30283660,0.36082180,0.86477830,0.29757030,0.32392700,0.87960820,0.31553740,0.30035600,0.88909180,0.32731290,0.36727510,0.85002430,0.31126610,0.33663190,0.86560010,0.33100470,0.31557360,0.87588290,0.34443680,0.41281480,0.82127030,0.29636270,0.37504090,0.83174290,0.32119570,0.35462780,0.84641780,0.33971740,0.33909060,0.85302810,0.35159860,0.32825090,0.88159510,0.21514470,0.28503560,0.90219520,0.31496750,0.28251680,0.90158200,0.34039530,0.29789880,0.88790890,0.35697240,0.32350190,0.86321590,0.36390100,4,7
0.44356750,0.82363410,0.26700600,0.44356750,0.82363410,0.26700600,0.44356750,0.82363410,0.26700600,0.41882960,0.82799120,0.26092480,0.39812270,0.83593240,0.24882790,0.36845200,0.84847010,0.24143410,0.34176290,0.86787700,0.23189540,0.35513510,0.87087620,0.27689300,0.32273980,0.88418750,0.29300620,0.30197960,0.89240650,0.30357750,0.36105040,0.86480030,0.29796210,0.32431190,0.87973660,0.31615950,0.30084190,0.88928690,0.32808210,0.36739710,0.84997530,0.31163110,0.33687450,0.86568580,0.33144970,0.31590330,0.87606950,0.34494040,0.41277200,0.82097110,0.29670980,0.37503810,0.83162330,0.32152730,0.35459200,0.84660320,0.33976620,0.33898030,0.85341810,0.35143210,0.32830380,0.88172280,0.21597370,0.28566870,0.90249160,0.31583150,0.28314750,0.90182780,0.34131190,0.29833040,0.88818030,0.35753740,0.32335110,0.86381370,0.36350740,4,7
0.44355230,0.82321930,0.26737820,0.44355230,0.82321930,0.26737820,0.44355230,0.82321930,0.26737820,0.41884930,0.82774540,0.26127820,0.39808520,0.83568940,0.24928190,0.36840880,0.84831460,0.24206150,0.34172270,0.86779700,0.23266970,0.35540670,0.87099340,0.27726960,0.32296690,0.88449410,0.29313360,0.30217520,0.89283590,0.30354590,0.36125900,0.86483300,0.29833180,0.32465760,0.87973830,0.31682840,0.30127680,0.88926670,0.32894220,0.36749660,0.84993770,0.31197460,0.33711620,0.86565890,0.33200220,0.31624560,0.87605620,0.34563750,0.41270590,0.82068280,0.29704030,0.37501060,0.83151580,0.32183810,0.35463870,0.84654870,0.34011640,0.33896190,0.85332430,0.35171780,0.32820880,0.88166840,0.21681680,0.28583030,0.90301810,0.31567360,0.28369220,0.90176730,0.34235530,0.29876940,0.88816480,0.35837050,0.32324240,0.86365970,0.36372720,4,7
0.44355320,0.82300270,0.26785770,0.44355320,0.82300270,0.26785770,0.44355320,0.82300270,0.26785770,0.41885720,0.82763760,0.26181120,0.39798500,0.83551460,0.24995890,0.36826300,0.84816160,0.24296810,0.34152250,0.86765000,0.23374520,0.35565970,0.87120890,0.27789490,0.32323720,0.88488760,0.29364170,0.30245580,0.89334570,0.30398030,0.36153380,0.86505040,0.29895160,0.32511580,0.87994610,0.31781440,0.30185480,0.88946740,0.33016210,0.36773360,0.85014470,0.31260030,0.33754120,0.86590890,0.33287670,0.31680110,0.87633950,0.34668480,0.41276720,0.82065450,0.29759790,0.37518410,0.83170130,0.32247160,0.35491550,0.84685840,0.34076230,0.33919880,0.85364340,0.35230400,0.32788150,0.88147310,0.21795920,0.28612480,0.90363170,0.31603880,0.28441350,0.90195720,0.34377090,0.29944710,0.88846830,0.35956480,0.32341560,0.86397060,0.36423670,4,7
0.44353860,0.82277570,0.26831880,0.44353860,0.82277570,0.26831880,0.44353860,0.82277570,0.26831880,0.41885350,0.82752530,0.26231710,0.39788370,0.83534810,0.25060210,0.36812600,0.84802980,0.24382950,0.34134370,0.86753730,0.23476920,0.35590320,0.87142380,0.27848070,0.32350920,0.88526850,0.29414050,0.30274520,0.89383510,0.30442460,0.36178970,0.86525930,0.29953220,0.32555290,0.88015290,0.31874240,0.30241000,0.88967200,0.33131210,0.36794380,0.85033820,0.31318470,0.33793260,0.86614800,0.33369330,0.31731770,0.87661300,0.34766170,0.41280160,0.82061080,0.29812370,0.37532370,0.83186900,0.32306100,0.35514550,0.84716870,0.34133290,0.33938300,0.85398100,0.35279590,0.32758950,0.88132390,0.21904970,0.28643650,0.90421610,0.31643200,0.28511210,0.90215500,0.34510870,0.30008170,0.88876310,0.36067950,0.32353430,0.86431910,0.36463190,4,7
