RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.31303330,0.82153570,0.30408020,0.31303330,0.82153570,0.30408020,0.31303330,0.82153570,0.30408020,0.31541960,0.84497640,0.29526690,0.31442650,0.86832650,0.28762360,0.32092910,0.89971110,0.28487710,0.32221950,0.91718540,0.31335330,0.35773310,0.90850200,0.29664520,0.37515150,0.94169850,0.29498060,0.38563180,0.96332330,0.29411240,0.35603770,0.90467260,0.31835170,0.37431900,0.94285070,0.32183410,0.38572250,0.96749310,0.32422300,0.34461110,0.89967260,0.33471790,0.36205560,0.93136610,0.34812960,0.37315500,0.95345150,0.35709100,0.31527850,0.85410200,0.33007260,0.32914210,0.89304210,0.34828060,0.34072040,0.91713390,0.36275090,0.34749490,0.93255350,0.37371460,0.31787000,0.90900560,0.33588350,0.39816150,0.98153160,0.29558250,0.39892940,0.98808160,0.32785150,0.38497530,0.97301810,0.36479290,0.35777700,0.94827330,0.38462980,3,6
0.31352820,0.82223170,0.30400210,0.31352820,0.82223170,0.30400210,0.31352820,0.82223170,0.30400210,0.31584130,0.84563310,0.29506600,0.31480570,0.86889410,0.28716090,0.32117580,0.90028850,0.28422230,0.32177240,0.91806270,0.31253540,0.35749260,0.90958760,0.29675210,0.37440350,0.94305410,0.29527240,0.38446210,0.96488140,0.29448710,0.35544320,0.90589260,0.31845130,0.37329650,0.94428400,0.32180660,0.38435460,0.96909340,0.32408690,0.34377270,0.90089240,0.33464450,0.36090690,0.93277410,0.34801020,0.37175280,0.95501230,0.35690380,0.31498100,0.85499890,0.32979750,0.32812750,0.89420190,0.34797350,0.33931080,0.91843730,0.36251440,0.34585510,0.93390890,0.37354460,0.31700690,0.91008840,0.33505520,0.39654320,0.98338030,0.29607930,0.39714650,0.98995490,0.32764250,0.38333170,0.97473800,0.36456620,0.35590140,0.94969840,0.38457790,3,6
0.31401500,0.82291200,0.30392300,0.31401500,0.82291200,0.30392300,0.31401500,0.82291200,0.30392300,0.31624930,0.84627450,0.29486560,0.31511620,0.86947180,0.28678850,0.32124930,0.90090360,0.28374790,0.32120500,0.91886710,0.31194760,0.35723700,0.91064890,0.29681100,0.37355290,0.94440710,0.29527780,0.38320010,0.96641730,0.29443740,0.35485720,0.90708020,0.31849770,0.37240850,0.94559690,0.32200830,0.38334040,0.97045140,0.32440340,0.34296410,0.90207390,0.33452610,0.35980140,0.93401210,0.34813200,0.37052180,0.95623610,0.35721140,0.31471000,0.85586540,0.32951200,0.32716200,0.89531850,0.34763560,0.33762350,0.91963990,0.36256500,0.34369300,0.93512430,0.37384580,0.31613190,0.91099660,0.33443670,0.39495100,0.98512580,0.29605290,0.39592690,0.99141510,0.32808830,0.38200070,0.97594170,0.36507370,0.35326780,0.95096700,0.38521700,3,6
0.31437730,0.82349660,0.30363750,0.31437730,0.82349660,0.30363750,0.31437730,0.82349660,0.30363750,0.31638260,0.84681460,0.29441350,0.31500220,0.86992100,0.28611710,0.32068930,0.90142060,0.28291610,0.31985100,0.91961540,0.31095470,0.35624340,0.91188800,0.29651760,0.37174220,0.94602410,0.29487720,0.38083100,0.96826700,0.29394440,0.35353300,0.90846650,0.31818920,0.37048910,0.94724250,0.32176970,0.38109700,0.97223130,0.32422390,0.34143840,0.90339790,0.33404630,0.35772610,0.93554660,0.34782410,0.36813720,0.95786150,0.35703950,0.31405800,0.85667620,0.32894000,0.32551790,0.89648920,0.34693080,0.33507880,0.92098940,0.36216860,0.34056020,0.93654610,0.37364920,0.31449850,0.91185210,0.33341620,0.39211550,0.98726080,0.29555420,0.39330940,0.99340070,0.32799070,0.37935080,0.97765620,0.36505900,0.34954180,0.95252790,0.38530620,3,6
0.31475390,0.82409070,0.30336870,0.31475390,0.82409070,0.30336870,0.31475390,0.82409070,0.30336870,0.31654090,0.84736010,0.29397850,0.31492550,0.87037240,0.28546610,0.32018800,0.90192880,0.28210180,0.31858590,0.92033390,0.30996930,0.35529930,0.91309200,0.29620410,0.37000360,0.94757180,0.29444120,0.37854770,0.97002490,0.29340530,0.35226860,0.90980880,0.31785470,0.36863810,0.94883230,0.32147640,0.37892220,0.97395190,0.32397230,0.33998400,0.90467650,0.33354440,0.35573900,0.93702620,0.34747060,0.36584670,0.95943050,0.35680600,0.31345730,0.85747210,0.32837290,0.32395620,0.89761690,0.34621210,0.33264180,0.92227240,0.36172090,0.33755420,0.93788750,0.37337850,0.31296230,0.91267070,0.33239900,0.38937180,0.98928650,0.29499710,0.39076040,0.99532220,0.32779940,0.37679830,0.97931400,0.36496690,0.34595750,0.95399360,0.38529300,3,6
0.31512060,0.82466140,0.30312330,0.31512060,0.82466140,0.30312330,0.31512060,0.82466140,0.30312330,0.31670810,0.84788070,0.29357470,0.31475350,0.87085200,0.28502260,0.31994620,0.90242820,0.28173670,0.31789700,0.92082050,0.30958340,0.35443170,0.91420900,0.29588670,0.36850940,0.94892340,0.29367290,0.37657450,0.97153580,0.29231000,0.35110270,0.91105040,0.31751190,0.36719570,0.95016810,0.32134890,0.37734000,0.97532930,0.32399460,0.33864580,0.90585560,0.33304450,0.35379340,0.93837980,0.34723550,0.36353020,0.96086670,0.35676460,0.31291940,0.85821470,0.32783240,0.32252430,0.89865320,0.34551130,0.32955460,0.92345150,0.36161980,0.33336600,0.93909730,0.37364240,0.31199600,0.91313120,0.33193280,0.38694820,0.99106220,0.29365370,0.38906860,0.99672280,0.32802390,0.37424530,0.98077270,0.36518060,0.34063520,0.95537870,0.38605390,3,6
0.31547630,0.82580490,0.30134720,0.31547630,0.82580490,0.30134720,0.31547630,0.82580490,0.30134720,0.31664600,0.84905400,0.29181070,0.31415110,0.87202570,0.28340130,0.31902600,0.90367910,0.28038250,0.31664040,0.92183490,0.30835730,0.35294520,0.91616200,0.29440630,0.36616440,0.95119370,0.29191440,0.37360260,0.97400670,0.29034550,0.34952090,0.91293060,0.31600590,0.36511420,0.95221200,0.32021620,0.37497510,0.97745770,0.32311580,0.33705980,0.90747210,0.33144430,0.35153020,0.94013840,0.34601060,0.36084470,0.96268500,0.35581680,0.31238280,0.85930060,0.32603890,0.32100030,0.89992960,0.34378940,0.32642360,0.92468830,0.36056620,0.32918890,0.94023030,0.37300240,0.31070740,0.91391300,0.33061670,0.38341870,0.99383020,0.29151680,0.38647540,0.99892480,0.32740340,0.37127020,0.98261220,0.36454070,0.33536920,0.95655950,0.38593050,3,6
0.31584210,0.82690150,0.29972360,0.31584210,0.82690150,0.29972360,0.31584210,0.82690150,0.29972360,0.31661870,0.85016430,0.29018040,0.31352340,0.87314500,0.28199860,0.31758690,0.90494070,0.27928830,0.31476460,0.92275420,0.30744190,0.35153210,0.91799370,0.29302140,0.36380150,0.95334990,0.29026940,0.37055680,0.97636040,0.28850590,0.34799950,0.91470550,0.31459500,0.36307360,0.95416050,0.31906470,0.37262060,0.97950600,0.32213810,0.33552690,0.90900450,0.32993620,0.34919690,0.94195830,0.34462760,0.35798520,0.96467450,0.35452750,0.31187290,0.86034110,0.32436590,0.31952380,0.90114570,0.34215670,0.32403320,0.92598180,0.35908880,0.32620550,0.94154360,0.37161770,0.30905570,0.91446540,0.32962620,0.37980450,0.99646320,0.28953310,0.38392050,1.00103500,0.32664250,0.36806200,0.98470810,0.36341600,0.33176460,0.95798350,0.38468670,3,6
0.31651600,0.82804620,0.29820090,0.31651600,0.82804620,0.29820090,0.31651600,0.82804620,0.29820090,0.31702710,0.85133180,0.28869550,0.31345870,0.87433200,0.28076490,0.31686970,0.90623310,0.27841820,0.31363490,0.92366740,0.30676410,0.35084210,0.91969540,0.29198490,0.36232480,0.95530220,0.28907340,0.36850400,0.97846350,0.28717730,0.34713750,0.91632170,0.31351630,0.36184690,0.95587150,0.31834910,0.37117900,0.98126670,0.32166300,0.33459710,0.91040440,0.32871980,0.34759500,0.94353170,0.34362960,0.35594720,0.96634300,0.35368700,0.31176760,0.86138460,0.32284250,0.31859310,0.90227880,0.34076320,0.32225910,0.92710540,0.35791130,0.32388060,0.94262920,0.37057010,0.30806220,0.91501410,0.32884360,0.37726790,0.99878600,0.28812270,0.38235000,1.00280300,0.32644470,0.36575110,0.98641080,0.36280060,0.32886030,0.95910460,0.38382670,3,6
0.31717200,0.82915490,0.29677450,0.31717200,0.82915490,0.29677450,0.31717200,0.82915490,0.29677450,0.31742330,0.85245310,0.28728950,0.31339180,0.87545170,0.27957920,0.31616370,0.90743680,0.27755820,0.31251920,0.92451800,0.30606910,0.35014010,0.92132870,0.29097890,0.36084400,0.95716240,0.28788930,0.36645350,0.98045590,0.28584720,0.34626070,0.91788130,0.31246790,0.36059690,0.95752580,0.31763370,0.36970870,0.98297110,0.32116920,0.33365320,0.91175890,0.32753400,0.34599000,0.94505010,0.34263910,0.35391450,0.96795070,0.35283880,0.31164820,0.86239660,0.32138510,0.31765040,0.90337730,0.33940240,0.32047460,0.92817800,0.35674630,0.32154800,0.94365320,0.36952240,0.30707650,0.91553370,0.32804860,0.37473580,1.00098300,0.28670030,0.38074140,1.00452000,0.32621130,0.36344900,0.98805120,0.36216370,0.32594820,0.96015180,0.38295400,3,6
