RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.31745840,0.81847940,0.19105850,0.31745840,0.81847940,0.19105850,0.31745840,0.81847940,0.19105850,0.29982760,0.83681890,0.19006220,0.28202210,0.85380850,0.18637260,0.25385920,0.86994180,0.18891680,0.23550060,0.87985180,0.21555830,0.28274440,0.90958310,0.20962400,0.26594150,0.93913410,0.22655650,0.25490450,0.95774500,0.23769490,0.29040140,0.90208770,0.22926450,0.24862880,0.90558640,0.23877470,0.25100120,0.88220690,0.22432570,0.29098390,0.88732070,0.24393690,0.25218060,0.88475740,0.24747000,0.25372680,0.86558750,0.22908110,0.30289570,0.83653560,0.22634750,0.28928280,0.86890220,0.25561560,0.25867260,0.86786410,0.25275200,0.25800260,0.85545070,0.23665510,0.23247510,0.87858830,0.23999340,0.24888710,0.97586940,0.24943770,0.27390610,0.87962450,0.21457890,0.27530940,0.86121950,0.21854030,0.27429330,0.84951540,0.22313480,0,7
0.31821400,0.81769270,0.19083800,0.31821400,0.81769270,0.19083800,0.31821400,0.81769270,0.19083800,0.30079280,0.83623240,0.18986080,0.28313680,0.85339050,0.18623300,0.25518720,0.86985950,0.18897060,0.23725070,0.88022230,0.21572720,0.28479080,0.90937350,0.20892490,0.26853320,0.93926810,0.22578660,0.25775120,0.95805470,0.23687960,0.29257210,0.90196820,0.22855060,0.25101280,0.90629300,0.23863820,0.25255060,0.88272360,0.22438620,0.29313910,0.88733120,0.24335340,0.25435470,0.88535950,0.24743120,0.25534250,0.86602780,0.22917360,0.30425330,0.83624700,0.22611190,0.29134670,0.86904300,0.25522150,0.26069190,0.86836680,0.25275400,0.25963620,0.85586540,0.23674620,0.23462010,0.87914900,0.24021700,0.25199010,0.97631850,0.24853440,0.27520100,0.87949020,0.21424690,0.27672530,0.86128580,0.21839000,0.27572750,0.84968070,0.22309950,0,7
0.31893780,0.81694230,0.19062880,0.31893780,0.81694230,0.19062880,0.31893780,0.81694230,0.19062880,0.30172220,0.83567370,0.18966400,0.28426690,0.85302610,0.18598950,0.25660480,0.86996900,0.18875640,0.23910730,0.88080250,0.21561700,0.28675930,0.90915930,0.20824110,0.27134280,0.93948280,0.22512690,0.26104770,0.95852830,0.23624090,0.29465510,0.90183590,0.22785190,0.25329370,0.90678550,0.23845270,0.25395020,0.88308970,0.22434310,0.29520480,0.88732300,0.24277700,0.25645910,0.88607360,0.24746300,0.25691500,0.86658810,0.22934860,0.30555310,0.83596460,0.22587670,0.29332330,0.86916110,0.25482410,0.26262180,0.86897670,0.25291590,0.26104310,0.85647950,0.23694800,0.23678980,0.87990430,0.24014550,0.25577080,0.97696570,0.24785180,0.27630610,0.87921120,0.21378510,0.27808250,0.86144170,0.21832830,0.27683430,0.85005770,0.22306220,0,7
0.31953240,0.81682770,0.19021430,0.31953240,0.81682770,0.19021430,0.31953240,0.81682770,0.19021430,0.30246390,0.83569270,0.18923970,0.28517920,0.85319880,0.18548840,0.25771620,0.87047860,0.18815240,0.24035980,0.88150080,0.21502770,0.28808780,0.90931150,0.20775290,0.27322040,0.93985500,0.22473440,0.26322170,0.95902230,0.23590930,0.29593540,0.90194510,0.22736700,0.25466220,0.90729580,0.23811560,0.25467610,0.88360300,0.22398570,0.29637840,0.88744280,0.24230590,0.25764510,0.88672640,0.24720180,0.25782080,0.86723770,0.22908580,0.30631470,0.83598850,0.22545030,0.29436020,0.86930790,0.25437140,0.26364440,0.86950760,0.25270920,0.26175790,0.85713400,0.23667840,0.23812180,0.88057460,0.23956260,0.25823430,0.97751390,0.24756190,0.27684110,0.87925650,0.21320970,0.27889620,0.86185820,0.21800020,0.27741040,0.85064330,0.22266830,0,7
0.32011600,0.81668500,0.18982450,0.32011600,0.81668500,0.18982450,0.32011600,0.81668500,0.18982450,0.30319680,0.83568350,0.18883980,0.28608210,0.85334010,0.18501560,0.25882110,0.87095080,0.18758630,0.24161750,0.88216810,0.21447910,0.28942110,0.90943830,0.20726780,0.27509890,0.94019470,0.22433320,0.26539280,0.95948060,0.23556210,0.29722730,0.90203580,0.22688480,0.25605260,0.90780090,0.23779550,0.25542830,0.88411870,0.22366160,0.29756850,0.88755020,0.24184260,0.25885740,0.88736220,0.24695720,0.25874770,0.86786820,0.22884650,0.30708180,0.83599640,0.22504650,0.29541720,0.86944770,0.25393380,0.26469380,0.87002370,0.25252050,0.26250310,0.85776800,0.23643790,0.23946810,0.88122130,0.23902110,0.26069050,0.97802520,0.24724890,0.27738980,0.87931040,0.21266730,0.27972540,0.86225550,0.21769170,0.27801520,0.85120320,0.22230650,0,7
0.32069120,0.81652020,0.18945410,0.32069120,0.81652020,0.18945410,0.32069120,0.81652020,0.18945410,0.30392300,0.83565160,0.18845880,0.28697680,0.85345540,0.18456680,0.25986070,0.87129990,0.18705590,0.24298850,0.88245880,0.21418200,0.29075840,0.90954330,0.20678450,0.27690760,0.94050920,0.22386040,0.26758680,0.95997730,0.23510130,0.29852870,0.90211020,0.22640420,0.25745100,0.90826770,0.23746530,0.25655760,0.88461970,0.22328880,0.29877210,0.88764620,0.24138470,0.26010640,0.88816410,0.24681150,0.25950540,0.86859550,0.22879110,0.30785350,0.83599140,0.22466040,0.29649080,0.86958080,0.25350760,0.26576440,0.87078340,0.25266770,0.26303630,0.85872830,0.23651590,0.24112410,0.88134050,0.23874000,0.26325930,0.97862130,0.24677460,0.27843820,0.87962350,0.21221740,0.28026150,0.86252460,0.21746300,0.27825350,0.85205070,0.22211930,0,7
0.32116260,0.81634970,0.18916070,0.32116260,0.81634970,0.18916070,0.32116260,0.81634970,0.18916070,0.30450110,0.83557440,0.18816960,0.28768440,0.85348870,0.18422400,0.26067240,0.87150090,0.18663700,0.24406760,0.88253190,0.21397950,0.29175450,0.90953900,0.20649660,0.27828620,0.94064720,0.22361980,0.26928330,0.96024500,0.23489430,0.29948880,0.90206330,0.22611420,0.25848850,0.90850290,0.23730100,0.25736220,0.88490890,0.22305120,0.29965590,0.88759870,0.24109530,0.26104090,0.88870280,0.24678810,0.26002810,0.86910100,0.22882240,0.30844400,0.83589340,0.22437010,0.29727740,0.86954670,0.25321950,0.26656610,0.87127210,0.25290630,0.26336830,0.85943750,0.23667770,0.24245310,0.88120790,0.23854500,0.26526360,0.97895010,0.24658000,0.27917020,0.87976980,0.21190230,0.28058830,0.86266210,0.21734120,0.27832920,0.85271570,0.22203510,0,7
0.32163700,0.81616460,0.18887410,0.32163700,0.81616460,0.18887410,0.32163700,0.81616460,0.18887410,0.30508740,0.83548580,0.18788570,0.28840390,0.85351250,0.18388630,0.26150470,0.87170210,0.18622650,0.24516840,0.88262730,0.21377240,0.29278350,0.90953030,0.20619310,0.27971190,0.94078450,0.22335770,0.27102840,0.96050910,0.23466160,0.30048560,0.90201660,0.22580890,0.25957120,0.90875600,0.23713280,0.25818030,0.88521240,0.22282310,0.30057700,0.88755670,0.24079510,0.26202380,0.88924620,0.24675680,0.26060010,0.86961620,0.22884980,0.30905340,0.83579500,0.22408370,0.29810030,0.86952330,0.25292730,0.26742060,0.87175370,0.25313540,0.26376400,0.86013710,0.23684630,0.24379910,0.88111190,0.23834180,0.26731730,0.97927300,0.24635500,0.27990160,0.87990550,0.21158390,0.28095920,0.86281620,0.21721940,0.27846940,0.85337100,0.22196730,0,7
0.32208680,0.81598130,0.18860730,0.32208680,0.81598130,0.18860730,0.32208680,0.81598130,0.18860730,0.30564600,0.83539520,0.18762050,0.28902210,0.85349350,0.18369710,0.26225270,0.87185870,0.18615190,0.24608140,0.88288830,0.21375360,0.29377390,0.90951770,0.20589700,0.28118540,0.94093570,0.22312350,0.27265780,0.96070650,0.23446540,0.30144760,0.90197100,0.22551130,0.26066050,0.90906890,0.23707270,0.25890600,0.88561040,0.22266370,0.30146820,0.88751880,0.24050520,0.26295690,0.88963820,0.24659940,0.26114680,0.86995150,0.22878960,0.30963980,0.83570110,0.22381540,0.29889830,0.86950620,0.25264880,0.26825230,0.87211510,0.25317630,0.26423670,0.86061670,0.23688780,0.24446180,0.88158330,0.23831980,0.26909630,0.97948120,0.24618810,0.28049560,0.88010020,0.21126960,0.28130470,0.86278370,0.21703040,0.27873990,0.85374520,0.22185940,0,7
0.32209030,0.81522580,0.18852550,0.32209030,0.81522580,0.18852550,0.32209030,0.81522580,0.18852550,0.30573380,0.83470850,0.18749260,0.28915730,0.85285410,0.18358730,0.26249140,0.87136420,0.18607950,0.24644250,0.88249710,0.21371110,0.29417040,0.90891540,0.20562400,0.28199330,0.94049460,0.22285150,0.27358590,0.96031690,0.23419330,0.30180000,0.90137240,0.22525690,0.26111620,0.90878240,0.23698550,0.25904850,0.88538810,0.22251370,0.30174940,0.88694820,0.24027770,0.26327590,0.88946270,0.24645950,0.26113100,0.86970410,0.22876700,0.30970760,0.83506480,0.22368940,0.29909480,0.86896950,0.25245330,0.26848580,0.87191610,0.25326630,0.26414760,0.86052080,0.23698820,0.24459200,0.88139880,0.23827110,0.27013870,0.97911390,0.24591440,0.28052590,0.87968690,0.21100200,0.28110920,0.86218870,0.21691850,0.27847450,0.85355310,0.22183540,0,7
