RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.32785270,1.05757800,0.40307000,0.32785270,1.05757800,0.40307000,0.32785270,1.05757800,0.40307000,0.33393370,1.08182400,0.40376480,0.34270410,1.10462300,0.40291110,0.34490360,1.13551700,0.39495470,0.33601380,1.16747300,0.39284530,0.33836900,1.14376900,0.44737530,0.32538040,1.17821600,0.44135570,0.32078620,1.18941300,0.42074340,0.31805690,1.13709800,0.45245750,0.30846820,1.17012700,0.42796930,0.31527420,1.15151500,0.40949080,0.29974400,1.13009200,0.44663100,0.29464780,1.15797800,0.42079710,0.30450670,1.13836900,0.40660690,0.30030020,1.08613500,0.41514840,0.28294910,1.12189700,0.43602680,0.28245190,1.14574800,0.41748500,0.29326280,1.13326700,0.40624180,0.32387790,1.18835400,0.39108090,0.31593470,1.19753600,0.40085950,0.32498660,1.13044500,0.41761250,0.31089650,1.12023500,0.42093560,0.29928880,1.11646300,0.41839550,13,5
0.32752950,1.05571300,0.40294270,0.32752950,1.05571300,0.40294270,0.32752950,1.05571300,0.40294270,0.33367810,1.07994200,0.40364490,0.34252400,1.10271300,0.40280670,0.34482580,1.13358800,0.39480770,0.33582590,1.16551100,0.39267000,0.33821090,1.14188100,0.44725430,0.32511090,1.17621000,0.44082330,0.32060730,1.18732200,0.42014440,0.31787070,1.13526800,0.45230080,0.30837640,1.16834000,0.42783400,0.31519260,1.14980300,0.40928420,0.29954850,1.12831300,0.44644220,0.29454840,1.15625600,0.42065040,0.30438600,1.13672100,0.40634380,0.30003650,1.08435100,0.41496710,0.28274950,1.12016500,0.43580900,0.28235950,1.14397800,0.41721540,0.29318240,1.13148100,0.40600090,0.32360350,1.18634000,0.39088950,0.31585070,1.19537200,0.40020820,0.32487520,1.12865400,0.41723450,0.31077580,1.11845100,0.42049930,0.29920800,1.11463900,0.41810190,13,5
0.32723140,1.05389600,0.40282890,0.32723140,1.05389600,0.40282890,0.32723140,1.05389600,0.40282890,0.33343600,1.07811000,0.40353780,0.34234200,1.10085800,0.40271250,0.34472100,1.13171400,0.39466150,0.33560280,1.16360100,0.39248670,0.33804360,1.14004500,0.44714590,0.32483300,1.17425100,0.44029610,0.32041660,1.18526400,0.41954570,0.31767970,1.13348100,0.45216000,0.30826590,1.16657500,0.42769210,0.31510110,1.14810200,0.40908540,0.29935070,1.12656800,0.44627240,0.29443620,1.15454600,0.42050220,0.30426260,1.13507700,0.40609790,0.29978640,1.08260000,0.41480430,0.28255000,1.11845800,0.43561280,0.28225790,1.14222400,0.41695730,0.29309830,1.12971000,0.40577890,0.32329650,1.18437900,0.39068270,0.31575130,1.19322900,0.39955410,0.32476310,1.12688600,0.41687990,0.31065860,1.11668800,0.42009490,0.29912950,1.11283900,0.41783610,13,5
0.32696290,1.05219600,0.40272880,0.32696290,1.05219600,0.40272880,0.32696290,1.05219600,0.40272880,0.33321380,1.07639800,0.40344370,0.34210490,1.09915200,0.40260860,0.34449260,1.13002700,0.39463530,0.33549230,1.16195100,0.39251260,0.33787890,1.13832900,0.44705050,0.32460110,1.17245700,0.43994640,0.32024580,1.18343300,0.41916350,0.31749490,1.13180600,0.45203580,0.30810530,1.16499500,0.42768740,0.31497610,1.14661500,0.40900210,0.29916110,1.12492800,0.44612250,0.29430050,1.15297500,0.42041790,0.30411970,1.13359500,0.40589020,0.29955670,1.08095500,0.41466060,0.28236000,1.11685000,0.43543940,0.28207560,1.14067200,0.41685600,0.29293580,1.12823600,0.40560980,0.32326170,1.18277500,0.39073440,0.31565230,1.19135200,0.39913690,0.32463900,1.12534600,0.41665130,0.31053120,1.11508700,0.41972250,0.29903620,1.11127900,0.41751120,13,5
0.32641240,1.05026800,0.40238770,0.32641240,1.05026800,0.40238770,0.32641240,1.05026800,0.40238770,0.33272750,1.07445200,0.40315030,0.34162320,1.09720500,0.40234280,0.34403230,1.12810800,0.39448470,0.33514400,1.16007100,0.39247110,0.33754210,1.13628800,0.44687510,0.32421800,1.17035600,0.43957050,0.31991400,1.18132400,0.41877300,0.31713910,1.12981000,0.45184110,0.30777750,1.16313000,0.42766140,0.31465150,1.14486400,0.40886520,0.29878910,1.12299200,0.44590850,0.29397960,1.15115000,0.42031540,0.30376380,1.13187300,0.40562800,0.29907870,1.07907800,0.41436410,0.28197040,1.11497900,0.43520440,0.28170290,1.13887600,0.41671730,0.29256300,1.12651800,0.40538530,0.32298850,1.18094500,0.39076280,0.31538000,1.18922800,0.39872670,0.32430650,1.12352500,0.41632400,0.31019060,1.11322100,0.41925870,0.29872500,1.10946000,0.41710840,13,5
0.32590160,1.04838300,0.40207660,0.32590160,1.04838300,0.40207660,0.32590160,1.04838300,0.40207660,0.33227270,1.07255100,0.40288220,0.34121820,1.09528500,0.40211510,0.34375320,1.12623700,0.39449260,0.33502750,1.15825700,0.39269660,0.33721540,1.13430200,0.44671290,0.32392140,1.16828800,0.43898730,0.31974140,1.17903400,0.41804870,0.31679540,1.12786200,0.45166040,0.30747760,1.16127900,0.42759780,0.31435270,1.14306500,0.40875220,0.29843180,1.12109700,0.44570960,0.29367450,1.14932900,0.42018720,0.30344210,1.13011500,0.40540540,0.29863070,1.07723600,0.41409140,0.28159840,1.11314100,0.43498580,0.28141320,1.13704000,0.41649990,0.29224930,1.12470400,0.40512080,0.32300250,1.17921600,0.39110930,0.31533370,1.18671100,0.39788640,0.32398390,1.12167400,0.41609360,0.30987890,1.11135200,0.41887780,0.29842490,1.10757700,0.41673590,13,5
0.32567020,1.04694800,0.40173790,0.32567020,1.04694800,0.40173790,0.32567020,1.04694800,0.40173790,0.33200380,1.07113000,0.40240770,0.34090000,1.09387800,0.40149210,0.34337290,1.12484000,0.39389020,0.33464930,1.15686500,0.39217310,0.33712910,1.13305900,0.44596600,0.32367180,1.16686400,0.43774670,0.31941980,1.17726900,0.41665100,0.31675400,1.12660300,0.45107440,0.30717750,1.15993800,0.42699930,0.31399460,1.14169600,0.40815940,0.29836310,1.11978300,0.44527240,0.29336530,1.14792100,0.41969320,0.30308990,1.12872500,0.40485980,0.29842900,1.07580000,0.41382300,0.28147270,1.11175600,0.43469200,0.28114150,1.13555100,0.41607450,0.29192540,1.12321500,0.40464610,0.32264710,1.17784300,0.39066210,0.31495990,1.18460600,0.39637370,0.32373960,1.12033400,0.41543630,0.30970500,1.10995700,0.41823800,0.29826380,1.10611300,0.41620940,13,5
0.32544360,1.04550600,0.40142190,0.32544360,1.04550600,0.40142190,0.32544360,1.04550600,0.40142190,0.33174150,1.06970000,0.40196840,0.34059070,1.09246100,0.40091790,0.34300770,1.12343300,0.39333880,0.33428340,1.15546300,0.39169740,0.33702830,1.13179100,0.44527710,0.32341290,1.16541000,0.43656940,0.31910340,1.17548300,0.41532480,0.31669500,1.12532000,0.45053130,0.30688040,1.15857800,0.42644530,0.31364940,1.14031300,0.40760990,0.29828060,1.11845000,0.44486460,0.29306270,1.14650100,0.41923370,0.30275050,1.12732600,0.40434920,0.29822860,1.07435600,0.41357010,0.28133980,1.11035800,0.43441480,0.28087750,1.13405200,0.41567170,0.29161570,1.12171700,0.40420000,0.32230320,1.17645800,0.39025700,0.31460500,1.18248900,0.39493940,0.32350030,1.11897700,0.41481830,0.30953260,1.10854700,0.41762890,0.29810700,1.10463500,0.41570980,13,5
0.32522050,1.04405900,0.40112380,0.32522050,1.04405900,0.40112380,0.32522050,1.04405900,0.40112380,0.33148410,1.06826400,0.40155680,0.34026460,1.09104500,0.40037460,0.34252530,1.12198000,0.39259930,0.33359290,1.15394600,0.39084690,0.33691610,1.13050300,0.44463350,0.32328270,1.16397900,0.43541750,0.31896330,1.17361300,0.41397210,0.31662240,1.12401800,0.45002180,0.30662700,1.15718400,0.42588380,0.31331340,1.13886500,0.40707170,0.29818740,1.11710200,0.44448000,0.29276540,1.14504500,0.41877410,0.30244450,1.12587500,0.40387730,0.29802910,1.07290700,0.41332960,0.28120120,1.10895100,0.43415100,0.28074130,1.13239900,0.41510150,0.29141950,1.11992500,0.40372320,0.32148120,1.17486400,0.38937600,0.31448130,1.18014100,0.39342510,0.32323290,1.11753800,0.41421260,0.30938710,1.10709800,0.41707540,0.29798220,1.10292600,0.41531220,13,5
0.32461420,1.04317600,0.40173870,0.32461420,1.04317600,0.40173870,0.32461420,1.04317600,0.40173870,0.33088120,1.06738200,0.40209340,0.33962130,1.09017200,0.40080270,0.34174220,1.12108500,0.39290030,0.33263840,1.15300300,0.39115070,0.33670610,1.12965800,0.44506480,0.32306130,1.16301100,0.43542950,0.31867410,1.17223900,0.41381980,0.31646250,1.12317800,0.45064390,0.30624880,1.15632400,0.42657040,0.31275980,1.13798700,0.40771420,0.29797770,1.11625700,0.44527680,0.29230120,1.14416000,0.41958310,0.30189070,1.12502100,0.40459000,0.29753520,1.07203400,0.41416750,0.28089790,1.10809600,0.43511050,0.28040790,1.13133500,0.41580670,0.29096820,1.11873500,0.40445810,0.32042090,1.17386300,0.38974550,0.31415130,1.17831900,0.39314470,0.32274120,1.11663600,0.41469270,0.30901550,1.10619700,0.41762480,0.29762210,1.10177800,0.41605850,13,5
