RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.38070540,0.82338440,0.31486070,0.38070540,0.82338440,0.31486070,0.38070540,0.82338440,0.31486070,0.39388320,0.84433350,0.31398330,0.41023350,0.86021690,0.30583770,0.42928850,0.88503460,0.30095360,0.43751110,0.91171350,0.31838960,0.45279980,0.88145140,0.34224960,0.43982460,0.91603910,0.34241030,0.42222970,0.90839650,0.32854030,0.44329480,0.87501510,0.36073880,0.42963890,0.91444720,0.35812680,0.41118140,0.90632210,0.34042510,0.42660470,0.87262820,0.37196760,0.41736880,0.90937400,0.36929640,0.40206730,0.90220430,0.34969070,0.38634560,0.84621180,0.34854360,0.40669890,0.87103020,0.37931470,0.41726680,0.89754850,0.38828300,0.42286090,0.91524030,0.39514580,0.42824900,0.91877010,0.33935450,0.42066960,0.88752330,0.32242280,0.40900030,0.88435240,0.33016990,0.39841090,0.88193300,0.33787440,0.42923250,0.93526270,0.39913380,6,6
0.38068200,0.82341940,0.31515580,0.38068200,0.82341940,0.31515580,0.38068200,0.82341940,0.31515580,0.39377550,0.84441580,0.31415620,0.41010890,0.86026530,0.30591110,0.42873870,0.88532680,0.30064660,0.43649900,0.91232790,0.31779640,0.45245090,0.88199630,0.34231270,0.43946590,0.91658070,0.34227990,0.42192590,0.90886010,0.32838360,0.44291610,0.87566350,0.36082230,0.42922850,0.91506920,0.35798570,0.41079480,0.90693610,0.34026290,0.42620170,0.87329400,0.37201860,0.41700940,0.91004280,0.36924020,0.40170610,0.90298460,0.34959550,0.38612440,0.84652970,0.34867780,0.40628030,0.87166990,0.37931740,0.41672000,0.89823500,0.38829740,0.42219580,0.91597860,0.39512170,0.42714450,0.91942520,0.33870650,0.42041440,0.88795500,0.32236400,0.40849030,0.88498490,0.32999520,0.39792550,0.88278790,0.33769090,0.42844200,0.93605340,0.39904420,6,6
0.38068800,0.82346700,0.31544190,0.38068800,0.82346700,0.31544190,0.38068800,0.82346700,0.31544190,0.39369250,0.84451280,0.31432520,0.41000400,0.86033450,0.30598390,0.42821540,0.88562210,0.30034990,0.43552320,0.91292150,0.31722400,0.45212430,0.88255440,0.34236880,0.43911800,0.91713010,0.34215640,0.42163050,0.90933020,0.32823810,0.44256540,0.87631510,0.36089760,0.42883150,0.91568890,0.35785020,0.41042010,0.90754290,0.34011020,0.42583010,0.87395410,0.37206460,0.41666340,0.91070160,0.36918780,0.40136020,0.90374440,0.34950720,0.38593550,0.84684490,0.34880910,0.40589560,0.87229600,0.37931990,0.41620120,0.89890990,0.38831030,0.42155570,0.91670510,0.39509620,0.42608210,0.92005160,0.33808410,0.42017130,0.88839510,0.32231050,0.40800310,0.88561050,0.32982820,0.39746780,0.88362070,0.33751510,0.42767240,0.93683230,0.39895370,6,6
0.38071700,0.82352440,0.31572090,0.38071700,0.82352440,0.31572090,0.38071700,0.82352440,0.31572090,0.39362890,0.84462080,0.31449090,0.40988720,0.86046270,0.30608450,0.42762030,0.88601440,0.30012540,0.43461140,0.91363790,0.31660160,0.45181460,0.88312210,0.34241870,0.43886920,0.91772010,0.34212830,0.42144360,0.90988150,0.32815430,0.44223590,0.87696840,0.36096590,0.42846520,0.91631940,0.35779320,0.41017150,0.90805770,0.33998500,0.42548260,0.87460910,0.37210600,0.41620570,0.91131400,0.36904370,0.40100150,0.90423460,0.34932980,0.38577180,0.84715750,0.34893770,0.40553700,0.87291080,0.37932150,0.41557820,0.89966920,0.38818120,0.42070640,0.91759050,0.39480830,0.42519510,0.92090170,0.33742670,0.42004230,0.88892650,0.32228330,0.40784410,0.88609740,0.32974180,0.39720650,0.88406260,0.33738790,0.42657060,0.93783090,0.39846060,6,6
0.38075300,0.82354140,0.31615980,0.38075300,0.82354140,0.31615980,0.38075300,0.82354140,0.31615980,0.39355150,0.84469810,0.31478710,0.40972370,0.86057130,0.30627420,0.42694790,0.88638150,0.29994760,0.43362890,0.91431590,0.31602320,0.45152980,0.88369860,0.34245230,0.43860850,0.91830530,0.34211940,0.42121410,0.91041310,0.32813660,0.44198430,0.87761890,0.36104100,0.42813190,0.91693400,0.35778030,0.40990870,0.90855220,0.33995600,0.42524390,0.87524490,0.37219740,0.41582240,0.91190000,0.36898400,0.40066760,0.90469870,0.34927630,0.38568090,0.84742490,0.34921630,0.40530770,0.87348830,0.37942490,0.41509400,0.90038880,0.38813830,0.42000520,0.91843040,0.39460120,0.42427410,0.92169590,0.33683510,0.41987290,0.88943800,0.32232370,0.40764800,0.88656770,0.32974980,0.39694530,0.88448410,0.33738360,0.42561810,0.93877870,0.39804270,6,6
0.38080430,0.82356860,0.31658070,0.38080430,0.82356860,0.31658070,0.38080430,0.82356860,0.31658070,0.39348830,0.84478470,0.31507030,0.40957580,0.86068820,0.30645410,0.42629120,0.88674060,0.29976590,0.43264790,0.91497020,0.31545270,0.45125220,0.88427850,0.34248320,0.43834850,0.91889130,0.34210970,0.42098630,0.91094560,0.32811730,0.44173800,0.87826890,0.36111070,0.42779970,0.91754650,0.35776450,0.40964420,0.90905220,0.33992440,0.42500970,0.87587730,0.37228150,0.41544510,0.91248260,0.36892560,0.40033880,0.90516870,0.34922210,0.38559990,0.84769400,0.34948050,0.40508260,0.87406020,0.37951920,0.41461700,0.90109490,0.38809560,0.41931410,0.91924880,0.39440130,0.42334420,0.92245860,0.33624870,0.41970650,0.88995130,0.32235970,0.40744300,0.88704780,0.32974820,0.39668430,0.88491820,0.33736960,0.42467980,0.93969670,0.39764020,6,6
0.38086750,0.82360380,0.31698690,0.38086750,0.82360380,0.31698690,0.38086750,0.82360380,0.31698690,0.39343620,0.84487860,0.31534300,0.40938440,0.86089700,0.30668090,0.42576490,0.88712840,0.29986480,0.43195250,0.91553580,0.31529600,0.45097980,0.88485990,0.34251110,0.43801590,0.91944960,0.34208530,0.42071760,0.91145850,0.32803980,0.44149540,0.87891750,0.36117530,0.42733860,0.91809950,0.35763220,0.40930070,0.90937830,0.33978220,0.42477850,0.87650610,0.37235890,0.41490870,0.91300140,0.36870270,0.39990050,0.90544520,0.34901570,0.38552640,0.84796410,0.34973290,0.40486050,0.87462680,0.37960550,0.41411880,0.90180840,0.38801830,0.41856580,0.92009440,0.39412050,0.42268820,0.92311870,0.33607550,0.41950220,0.89045830,0.32229000,0.40724130,0.88732240,0.32968810,0.39636540,0.88513400,0.33723110,0.42363630,0.94065760,0.39709420,6,6
0.38059770,0.82369200,0.31738150,0.38059770,0.82369200,0.31738150,0.38059770,0.82369200,0.31738150,0.39298640,0.84505700,0.31555240,0.40873950,0.86121280,0.30678910,0.42467450,0.88766000,0.29975470,0.43061060,0.91629340,0.31486390,0.45023260,0.88572810,0.34232230,0.43710910,0.92025640,0.34181250,0.41987360,0.91214680,0.32775760,0.44082390,0.87985380,0.36104630,0.42633910,0.91889480,0.35727800,0.40841240,0.90988060,0.33946170,0.42414310,0.87739160,0.37227270,0.41387440,0.91374280,0.36829440,0.39895140,0.90588810,0.34865940,0.38509890,0.84834690,0.34992850,0.40425150,0.87540360,0.37956270,0.41317220,0.90276340,0.38775990,0.41733010,0.92119320,0.39362880,0.42139450,0.92397560,0.33562830,0.41877530,0.89112790,0.32205280,0.40653260,0.88775750,0.32948020,0.39556810,0.88549410,0.33697350,0.42205680,0.94187890,0.39630470,6,6
0.38037290,0.82377340,0.31773810,0.38037290,0.82377340,0.31773810,0.38037290,0.82377340,0.31773810,0.39259940,0.84521690,0.31574390,0.40817540,0.86149560,0.30689170,0.42367210,0.88814600,0.29964800,0.42936160,0.91699030,0.31444770,0.44957080,0.88650180,0.34215800,0.43631830,0.92097990,0.34158940,0.41914080,0.91277660,0.32751790,0.44022790,0.88068960,0.36093420,0.42545600,0.91960380,0.35697530,0.40763510,0.91033540,0.33918320,0.42357890,0.87818190,0.37219770,0.41295520,0.91439880,0.36793630,0.39811370,0.90628540,0.34834480,0.38472720,0.84868990,0.35010540,0.40371110,0.87609680,0.37952550,0.41231730,0.90361300,0.38753340,0.41620260,0.92216900,0.39318750,0.42019430,0.92476620,0.33519880,0.41814350,0.89174440,0.32184330,0.40591200,0.88815910,0.32929190,0.39486240,0.88582560,0.33673680,0.42060610,0.94295960,0.39558740,6,6
0.38017550,0.82385720,0.31809390,0.38017550,0.82385720,0.31809390,0.38017550,0.82385720,0.31809390,0.39224060,0.84537640,0.31593740,0.40762490,0.86179720,0.30701290,0.42286900,0.88857190,0.29969220,0.42828530,0.91749510,0.31444050,0.44893070,0.88726560,0.34200270,0.43535310,0.92161290,0.34122600,0.41831050,0.91312440,0.32715960,0.43965020,0.88151520,0.36082890,0.42446930,0.92023510,0.35652600,0.40679470,0.91053410,0.33881880,0.42303170,0.87896280,0.37212740,0.41209120,0.91505280,0.36759880,0.39728630,0.90675790,0.34805580,0.38437750,0.84903040,0.35028230,0.40318730,0.87678170,0.37949060,0.41138950,0.90446640,0.38734020,0.41493640,0.92315150,0.39278780,0.41904890,0.92520550,0.33518540,0.41756910,0.89204610,0.32161850,0.40532140,0.88824710,0.32913830,0.39409250,0.88626690,0.33648680,0.41895230,0.94404950,0.39491920,6,6
