RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.40642400,0.84329520,0.25584410,0.40642400,0.84329520,0.25584410,0.40642400,0.84329520,0.25584410,0.38766590,0.85873540,0.24926340,0.37088440,0.87341400,0.23885820,0.34205780,0.88516740,0.23067770,0.31185810,0.89755780,0.23800460,0.35667960,0.92779080,0.25955420,0.32585210,0.94627640,0.27040650,0.30182270,0.94615480,0.27162160,0.35957400,0.92181210,0.28065300,0.32491920,0.94166510,0.29517630,0.29770420,0.94237660,0.29682020,0.35810840,0.90765030,0.29552620,0.32571820,0.92328050,0.30956110,0.29946580,0.92236920,0.30812620,0.38078810,0.85939740,0.28459760,0.35578330,0.88955150,0.30713550,0.32977700,0.90174540,0.31713170,0.31021730,0.90000750,0.31280370,0.28971780,0.90380220,0.24606340,0.27979740,0.94469930,0.27363160,0.27305580,0.94025180,0.29645270,0.27900520,0.91441110,0.29809590,0.29267370,0.89557210,0.30075890,8,7
0.40681170,0.84333790,0.25735260,0.40681170,0.84333790,0.25735260,0.40681170,0.84333790,0.25735260,0.38829970,0.85901370,0.25063340,0.37149070,0.87375550,0.24036280,0.34271910,0.88586210,0.23251060,0.31271240,0.89895830,0.23938910,0.35830340,0.92857360,0.26044810,0.32777730,0.94762700,0.27116980,0.30374570,0.94785310,0.27232310,0.36105400,0.92267370,0.28158830,0.32690350,0.94337460,0.29612230,0.29971250,0.94465950,0.29781460,0.35934150,0.90862000,0.29653750,0.32746030,0.92517960,0.31067160,0.30119150,0.92482490,0.30929020,0.38133920,0.85997810,0.28594440,0.35672040,0.89062390,0.30824290,0.33115240,0.90358780,0.31839970,0.31155570,0.90223490,0.31410150,0.29047140,0.90590110,0.24654950,0.28169690,0.94678160,0.27431770,0.27502780,0.94300540,0.29747070,0.28054030,0.91725090,0.29935380,0.29407620,0.89793500,0.30191520,8,7
0.40718290,0.84337940,0.25880350,0.40718290,0.84337940,0.25880350,0.40718290,0.84337940,0.25880350,0.38892050,0.85928700,0.25194730,0.37231640,0.87419920,0.24158980,0.34381030,0.88688530,0.23368440,0.31409160,0.90056110,0.24068430,0.35991280,0.92932740,0.26130630,0.32980780,0.94918880,0.27174860,0.30578800,0.95002820,0.27286310,0.36251670,0.92350060,0.28248540,0.32894900,0.94512020,0.29703970,0.30178900,0.94694550,0.29873220,0.36055690,0.90955320,0.29750350,0.32879100,0.92656530,0.31135720,0.30253570,0.92638790,0.30971290,0.38187380,0.86054060,0.28723220,0.35764040,0.89165960,0.30929600,0.33170030,0.90438110,0.31879460,0.31227870,0.90270860,0.31386110,0.29189140,0.90806200,0.24739420,0.28371640,0.94951430,0.27482680,0.27708490,0.94564000,0.29829310,0.28193230,0.91890020,0.29961310,0.29535980,0.89803900,0.30103640,8,7
0.40780860,0.84366600,0.25904380,0.40780860,0.84366600,0.25904380,0.40780860,0.84366600,0.25904380,0.38957980,0.85963830,0.25224890,0.37291330,0.87456400,0.24201170,0.34446080,0.88754000,0.23438850,0.31496350,0.90153620,0.24168530,0.36099200,0.92986260,0.26152130,0.33122480,0.95020290,0.27200980,0.30722910,0.95139470,0.27330980,0.36371310,0.92410870,0.28270550,0.33066980,0.94628390,0.29761940,0.30354800,0.94838910,0.29957880,0.36178690,0.91023240,0.29779370,0.33018480,0.92745390,0.31176280,0.30392600,0.92727790,0.31017480,0.38278410,0.86107090,0.28757610,0.35886180,0.89240190,0.30967930,0.33274490,0.90486740,0.31903170,0.31341860,0.90288470,0.31384550,0.29279950,0.90939700,0.24809620,0.28516880,0.95120180,0.27544920,0.27883540,0.94720670,0.29929210,0.28330140,0.91974660,0.30015090,0.29684330,0.89785890,0.30071050,8,7
0.40839780,0.84392950,0.25934620,0.40839780,0.84392950,0.25934620,0.40839780,0.84392950,0.25934620,0.39022250,0.85998110,0.25259500,0.37350070,0.87492860,0.24248070,0.34511200,0.88820180,0.23513650,0.31583660,0.90255740,0.24262650,0.36209740,0.93040620,0.26175810,0.33267160,0.95122780,0.27226580,0.30870470,0.95277040,0.27371780,0.36490910,0.92471910,0.28294860,0.33239590,0.94745800,0.29817550,0.30531750,0.94986490,0.30037250,0.36299080,0.91091320,0.29810210,0.33159450,0.92841070,0.31219170,0.30533140,0.92829980,0.31066910,0.38364220,0.86159070,0.28795540,0.36003190,0.89314650,0.31007450,0.33384990,0.90550700,0.31938410,0.31459210,0.90332980,0.31402390,0.29370930,0.91080280,0.24867060,0.28665860,0.95289990,0.27600340,0.28059700,0.94883110,0.30021690,0.28466550,0.92077550,0.30072530,0.29829720,0.89804520,0.30064200,8,7
0.40894930,0.84417140,0.25968680,0.40894930,0.84417140,0.25968680,0.40894930,0.84417140,0.25968680,0.39084060,0.86031070,0.25296580,0.37419260,0.87533730,0.24284700,0.34600780,0.88907450,0.23557070,0.31702560,0.90378620,0.24349680,0.36319890,0.93094290,0.26200530,0.33413520,0.95225250,0.27254230,0.31021910,0.95429420,0.27420260,0.36608060,0.92531690,0.28320260,0.33391140,0.94851620,0.29846530,0.30687590,0.95124480,0.30081150,0.36415210,0.91157930,0.29841700,0.33281730,0.92922810,0.31245460,0.30659100,0.92864700,0.31047390,0.38444640,0.86209210,0.28835220,0.36114280,0.89387570,0.31047000,0.33558070,0.90702910,0.32039560,0.31621780,0.90518530,0.31529500,0.29495950,0.91244400,0.24917700,0.28820330,0.95489970,0.27669450,0.28215040,0.95033580,0.30069040,0.28619160,0.92076180,0.30026330,0.29990640,0.89993290,0.30192070,8,7
0.40925870,0.84470810,0.26021700,0.40925870,0.84470810,0.26021700,0.40925870,0.84470810,0.26021700,0.39114760,0.86088280,0.25358790,0.37447490,0.87593380,0.24354640,0.34641270,0.89001740,0.23646120,0.31768950,0.90499470,0.24482100,0.36378430,0.93162180,0.26263940,0.33503960,0.95330310,0.27329240,0.31117920,0.95573650,0.27520640,0.36680930,0.92604570,0.28382990,0.33497300,0.94959470,0.29925440,0.30798350,0.95255940,0.30183000,0.36495510,0.91235590,0.29909650,0.33370330,0.93008420,0.31321870,0.30751710,0.92903010,0.31092670,0.38502620,0.86278080,0.28901640,0.36198440,0.89469470,0.31122100,0.33697510,0.90844540,0.32172820,0.31752730,0.90682380,0.31688170,0.29567720,0.91398760,0.25018010,0.28920630,0.95671870,0.27794520,0.28325560,0.95170730,0.30182090,0.28734450,0.92078670,0.30054970,0.30121430,0.90152840,0.30352620,8,7
0.40957120,0.84520540,0.26076440,0.40957120,0.84520540,0.26076440,0.40957120,0.84520540,0.26076440,0.39147580,0.86142870,0.25421180,0.37478300,0.87651010,0.24424940,0.34684930,0.89093910,0.23735420,0.31838690,0.90620770,0.24607120,0.36443530,0.93229360,0.26324870,0.33601610,0.95435900,0.27398610,0.31221770,0.95718330,0.27612130,0.36758210,0.92676510,0.28443400,0.33610040,0.95069160,0.30000470,0.30916150,0.95391470,0.30279160,0.36578000,0.91312470,0.29975090,0.33463890,0.93098190,0.31395490,0.30849730,0.92953130,0.31138720,0.38559970,0.86344770,0.28967510,0.36282570,0.89550830,0.31194450,0.33834120,0.90981010,0.32294040,0.31882730,0.90839200,0.31830030,0.29643680,0.91554780,0.25108040,0.29029290,0.95854180,0.27907690,0.28443100,0.95314560,0.30288370,0.28852490,0.92098760,0.30086680,0.30253790,0.90304430,0.30493660,8,7
0.40987060,0.84565450,0.26129610,0.40987060,0.84565450,0.26129610,0.40987060,0.84565450,0.26129610,0.39180110,0.86193190,0.25480650,0.37510590,0.87705130,0.24490590,0.34736880,0.89193130,0.23817760,0.31923220,0.90753360,0.24734960,0.36509430,0.93292730,0.26381210,0.33722420,0.95545540,0.27501790,0.31350740,0.95866260,0.27749360,0.36834380,0.92744250,0.28499330,0.33718960,0.95167090,0.30075480,0.31028470,0.95503400,0.30370090,0.36657790,0.91385010,0.30035700,0.33562960,0.93195440,0.31466910,0.30955330,0.93006620,0.31174620,0.38614170,0.86406830,0.29029810,0.36362580,0.89627800,0.31261480,0.34008060,0.91148690,0.32441560,0.32039580,0.91068170,0.32039130,0.29739430,0.91724980,0.25212840,0.29164390,0.96032240,0.28073440,0.28556020,0.95409120,0.30371720,0.28976930,0.92125680,0.30108980,0.30369840,0.90566680,0.30740770,8,7
0.41007300,0.84593410,0.26222520,0.41007300,0.84593410,0.26222520,0.41007300,0.84593410,0.26222520,0.39211160,0.86227310,0.25559200,0.37551020,0.87741670,0.24557160,0.34804320,0.89274780,0.23874830,0.32019100,0.90877520,0.24805450,0.36581890,0.93348980,0.26405120,0.33844270,0.95655890,0.27537340,0.31480200,0.96019460,0.27798100,0.36900350,0.92813660,0.28527590,0.33812630,0.95281250,0.30088770,0.31124510,0.95639990,0.30378480,0.36713290,0.91466490,0.30073310,0.33631160,0.93314020,0.31484390,0.31032350,0.93089400,0.31143030,0.38641190,0.86469610,0.29105880,0.36405670,0.89719860,0.31311110,0.34133290,0.91329370,0.32533890,0.32156110,0.91303970,0.32168560,0.29845400,0.91892580,0.25236760,0.29298360,0.96220810,0.28132440,0.28652500,0.95536920,0.30357280,0.29077080,0.92183430,0.30055880,0.30464630,0.90825940,0.30889640,8,7
0.41028730,0.84620890,0.26312770,0.41028730,0.84620890,0.26312770,0.41028730,0.84620890,0.26312770,0.39243580,0.86261440,0.25636320,0.37595030,0.87779690,0.24621090,0.34856640,0.89320550,0.23923020,0.32077250,0.90943600,0.24835680,0.36657620,0.93404810,0.26431310,0.33960410,0.95752050,0.27577500,0.31603990,0.96152870,0.27852550,0.36970210,0.92881750,0.28557700,0.33897440,0.95390730,0.30081960,0.31212300,0.95778070,0.30362280,0.36772920,0.91546140,0.30112170,0.33750820,0.93487350,0.31527320,0.31134480,0.93391560,0.31269630,0.38670870,0.86531030,0.29180580,0.36452970,0.89809780,0.31361240,0.34271440,0.91498420,0.32641450,0.32283030,0.91551500,0.32346900,0.29904050,0.91977730,0.25221840,0.29425600,0.96377440,0.28194480,0.28740370,0.95678380,0.30322310,0.29084460,0.92596980,0.30273750,0.30542770,0.91125430,0.31115950,8,7
