RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.32173760,0.82615530,0.22976280,0.32173760,0.82615530,0.22976280,0.32173760,0.82615530,0.22976280,0.30189250,0.84168490,0.22727600,0.28093230,0.85457450,0.22460260,0.24997280,0.86362090,0.22745710,0.23180330,0.86432210,0.25577750,0.27070980,0.90833110,0.24942720,0.25458670,0.94136920,0.25810410,0.24318950,0.96195140,0.26379010,0.27624240,0.89998130,0.26929760,0.25886810,0.93625010,0.28380350,0.24751280,0.95935510,0.29329110,0.27685220,0.88403980,0.28250750,0.25414900,0.90701110,0.30407580,0.23844050,0.92242870,0.31877030,0.29922210,0.83794620,0.26320240,0.27629800,0.86452100,0.29210320,0.24782120,0.87463780,0.29687510,0.23119560,0.86810960,0.28737950,0.22371010,0.86065090,0.27863120,0.23640540,0.98186590,0.27117670,0.24171560,0.98138590,0.30332000,0.22607960,0.93833790,0.33232300,0.22426470,0.85705180,0.26983280,2,7
0.32115080,0.82611450,0.22972160,0.32115080,0.82611450,0.22972160,0.32115080,0.82611450,0.22972160,0.30153950,0.84193770,0.22723040,0.28076660,0.85512840,0.22456400,0.24991650,0.86454440,0.22740810,0.23170690,0.86545600,0.25569670,0.27131900,0.90901300,0.24942020,0.25574510,0.94226180,0.25829310,0.24483430,0.96306340,0.26413290,0.27670640,0.90056150,0.26928750,0.26024300,0.93712370,0.28411540,0.24937550,0.96038520,0.29378990,0.27706690,0.88459870,0.28248090,0.25491770,0.90778050,0.30439710,0.23958270,0.92334580,0.31932850,0.29877550,0.83820070,0.26314990,0.27621460,0.86508010,0.29205500,0.24807720,0.87597740,0.29711330,0.23124820,0.86985530,0.28770610,0.22359290,0.86185160,0.27855360,0.23855560,0.98309170,0.27165750,0.24402360,0.98245780,0.30397330,0.22754120,0.93933170,0.33307710,0.22391090,0.85899300,0.27020250,2,7
0.32034180,0.82575640,0.23018460,0.32034180,0.82575640,0.23018460,0.32034180,0.82575640,0.23018460,0.30085390,0.84173820,0.22773810,0.28017210,0.85508760,0.22515470,0.24940230,0.86471130,0.22816850,0.23137550,0.86591100,0.25656320,0.27137570,0.90919830,0.24975940,0.25622050,0.94261200,0.25873710,0.24572270,0.96359560,0.26468200,0.27682360,0.90080860,0.26963630,0.26118680,0.93764600,0.28467630,0.25075020,0.96105380,0.29447140,0.27713340,0.88491580,0.28291520,0.25558670,0.90830550,0.30520790,0.24065940,0.92401530,0.32039900,0.29830140,0.83822270,0.26369560,0.27617460,0.86545820,0.29260290,0.24837880,0.87700200,0.29809710,0.23132280,0.87112610,0.28894540,0.22345150,0.86247220,0.27951220,0.23988310,0.98373540,0.27226200,0.24579280,0.98319450,0.30470670,0.22895850,0.94008870,0.33433820,0.22352770,0.86030770,0.27161330,2,7
0.31956930,0.82542470,0.23061870,0.31956930,0.82542470,0.23061870,0.31956930,0.82542470,0.23061870,0.30021130,0.84156910,0.22820860,0.27962740,0.85508250,0.22569700,0.24894190,0.86492460,0.22886090,0.23108280,0.86640240,0.25734840,0.27147420,0.90940130,0.25006540,0.25673380,0.94297350,0.25914230,0.24664220,0.96412810,0.26518360,0.27696650,0.90106230,0.26995140,0.26214080,0.93815460,0.28518500,0.25212660,0.96169970,0.29509150,0.27721380,0.88523390,0.28330830,0.25625490,0.90882240,0.30594930,0.24172560,0.92467060,0.32138050,0.29784490,0.83825650,0.26419810,0.27613900,0.86583450,0.29309970,0.24869240,0.87800320,0.29898690,0.23143220,0.87237490,0.29006510,0.22333350,0.86311850,0.28037960,0.24122550,0.98436710,0.27281330,0.24755330,0.98390050,0.30537530,0.23035800,0.94082810,0.33549730,0.22321850,0.86161260,0.27289210,2,7
0.31882340,0.82511290,0.23103140,0.31882340,0.82511290,0.23103140,0.31882340,0.82511290,0.23103140,0.29960110,0.84142310,0.22865090,0.27909830,0.85507880,0.22624800,0.24847920,0.86506190,0.22960710,0.23090720,0.86670470,0.25826360,0.27160670,0.90961710,0.25034540,0.25733730,0.94334720,0.25958770,0.24762590,0.96464330,0.26575380,0.27713130,0.90132020,0.27024010,0.26296310,0.93849440,0.28589420,0.25331400,0.96207910,0.29606540,0.27730680,0.88555230,0.28366960,0.25658100,0.90920110,0.30646170,0.24220960,0.92509160,0.32199700,0.29740170,0.83829930,0.26466790,0.27610800,0.86620910,0.29355750,0.24878910,0.87860500,0.29956380,0.23142670,0.87309680,0.29076630,0.22342810,0.86351200,0.28139670,0.24260100,0.98495400,0.27346090,0.24905880,0.98425640,0.30653480,0.23098250,0.94127460,0.33619670,0.22291870,0.86239390,0.27369980,2,7
0.31805200,0.82486200,0.23100420,0.31805200,0.82486200,0.23100420,0.31805200,0.82486200,0.23100420,0.29893400,0.84130970,0.22873270,0.27848680,0.85508080,0.22652220,0.24794100,0.86517270,0.23020710,0.23077940,0.86697170,0.25910190,0.27168740,0.90982720,0.25035970,0.25788150,0.94369350,0.25980570,0.24854910,0.96511460,0.26612230,0.27734600,0.90158660,0.27024010,0.26386700,0.93882850,0.28633560,0.25460270,0.96244410,0.29678910,0.27753330,0.88588490,0.28374670,0.25713970,0.90958640,0.30678220,0.24299370,0.92551380,0.32248580,0.29707030,0.83838250,0.26478510,0.27628330,0.86660110,0.29374370,0.24912440,0.87921970,0.30000630,0.23162510,0.87381460,0.29141850,0.22367530,0.86386960,0.28236510,0.24391830,0.98548730,0.27391190,0.25068690,0.98459720,0.30744040,0.23196640,0.94171860,0.33681670,0.22276190,0.86315580,0.27450590,2,7
0.31730130,0.82461980,0.23099900,0.31730130,0.82461980,0.23099900,0.31730130,0.82461980,0.23099900,0.29829540,0.84120980,0.22882400,0.27791320,0.85510400,0.22679060,0.24744530,0.86531640,0.23077650,0.23067070,0.86726980,0.25988780,0.27179760,0.91004510,0.25037180,0.25845740,0.94404410,0.26000870,0.24950700,0.96558620,0.26646500,0.27757250,0.90185300,0.27023880,0.26479260,0.93915860,0.28675160,0.25591790,0.96280360,0.29747300,0.27775840,0.88621390,0.28381790,0.25770510,0.90997390,0.30709090,0.24379010,0.92594230,0.32295840,0.29673980,0.83846720,0.26490550,0.27644610,0.86698810,0.29391800,0.24946220,0.87985400,0.30042850,0.23183150,0.87456610,0.29203870,0.22392060,0.86425330,0.28326740,0.24526790,0.98601530,0.27432980,0.25234410,0.98493040,0.30829790,0.23296780,0.94217100,0.33741780,0.22262660,0.86396150,0.27527530,2,7
0.31656750,0.82438460,0.23101120,0.31656750,0.82438460,0.23101120,0.31656750,0.82438460,0.23101120,0.29768000,0.84112030,0.22892250,0.27736420,0.85513600,0.22706710,0.24704230,0.86564930,0.23137160,0.23063170,0.86788140,0.26066970,0.27193160,0.91026720,0.25038110,0.25901970,0.94441600,0.26007170,0.25030950,0.96604590,0.26656260,0.27780910,0.90211710,0.27023540,0.26543970,0.93949750,0.28689110,0.25688770,0.96321270,0.29771910,0.27798310,0.88653820,0.28388360,0.25821520,0.91047010,0.30722450,0.24449360,0.92655700,0.32314060,0.29641070,0.83855270,0.26502810,0.27660010,0.86736940,0.29408200,0.24953180,0.88007740,0.30055280,0.23193070,0.87468680,0.29216630,0.22396700,0.86508410,0.28410100,0.24631800,0.98652790,0.27441950,0.25359460,0.98536190,0.30858710,0.23395040,0.94291710,0.33765810,0.22265980,0.86406670,0.27544910,2,7
0.31565920,0.82374320,0.23096620,0.31565920,0.82374320,0.23096620,0.31565920,0.82374320,0.23096620,0.29698490,0.84070820,0.22881240,0.27681750,0.85493550,0.22694730,0.24662770,0.86583190,0.23122790,0.23020680,0.86822860,0.26050720,0.27197410,0.91013470,0.25024100,0.25949810,0.94441990,0.26002010,0.25103930,0.96613400,0.26656250,0.27766150,0.90189000,0.27011150,0.26566090,0.93929690,0.28697620,0.25739200,0.96304920,0.29794200,0.27758490,0.88629350,0.28374060,0.25790280,0.91032990,0.30704650,0.24423760,0.92649030,0.32293670,0.29551880,0.83811210,0.26490850,0.27592380,0.86713030,0.29390810,0.24877860,0.87981230,0.30010130,0.23127490,0.87447070,0.29148280,0.22333500,0.86553180,0.28389040,0.24728210,0.98663600,0.27448230,0.25433170,0.98516630,0.30894280,0.23384860,0.94292860,0.33747700,0.22207490,0.86398230,0.27464370,2,7
0.31482070,0.82316670,0.23093630,0.31482070,0.82316670,0.23093630,0.31482070,0.82316670,0.23093630,0.29634590,0.84034190,0.22872800,0.27631600,0.85476230,0.22686420,0.24625460,0.86600980,0.23114030,0.22984620,0.86856230,0.26041340,0.27203470,0.91002580,0.25012620,0.25997480,0.94443260,0.25999990,0.25176220,0.96622400,0.26659890,0.27755470,0.90170060,0.27001030,0.26592340,0.93912640,0.28709040,0.25793170,0.96290770,0.29819790,0.27725210,0.88609410,0.28362470,0.25766350,0.91022060,0.30691630,0.24406000,0.92644450,0.32279470,0.29471530,0.83773110,0.26481600,0.27533820,0.86694190,0.29376850,0.24813630,0.87961640,0.29972390,0.23071730,0.87432500,0.29090510,0.22280560,0.86596450,0.28375760,0.24823480,0.98674230,0.27458180,0.25509860,0.98498900,0.30933050,0.23382350,0.94294970,0.33736750,0.22156270,0.86396080,0.27396470,2,7
