RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.36004380,0.85170870,0.26958620,0.36004380,0.85170870,0.26958620,0.36004380,0.85170870,0.26958620,0.36097420,0.87594130,0.26411580,0.36835310,0.89468840,0.25052990,0.38030960,0.92250630,0.24084540,0.39631730,0.95047770,0.23355880,0.39581800,0.94136350,0.27815870,0.36796300,0.96577580,0.27633300,0.35974170,0.94538150,0.26732400,0.39221650,0.93463240,0.29862790,0.35968120,0.96048320,0.29272460,0.34816260,0.94008280,0.27943040,0.37979490,0.92662770,0.31259680,0.35056840,0.94954610,0.30397380,0.34271400,0.92990120,0.28889180,0.35618970,0.88026390,0.29908480,0.36388670,0.91705430,0.32315800,0.34418640,0.93747140,0.31329560,0.33768110,0.92533360,0.29898630,0.40749150,0.96951990,0.22396360,0.37042210,0.92636250,0.26547620,0.36034480,0.91955410,0.27420350,0.35600810,0.91040150,0.28553200,0.34952630,0.90782780,0.29522310,5,6
0.36046960,0.85366060,0.27004150,0.36046960,0.85366060,0.27004150,0.36046960,0.85366060,0.27004150,0.36142430,0.87787350,0.26448830,0.36887580,0.89660610,0.25092220,0.38091170,0.92441500,0.24131010,0.39699220,0.95236720,0.23411110,0.39605600,0.94339010,0.27861590,0.36804520,0.96758150,0.27630040,0.36004060,0.94706090,0.26738350,0.39226620,0.93673210,0.29907500,0.35962340,0.96231350,0.29261750,0.34822880,0.94185630,0.27930370,0.37972060,0.92876550,0.31295460,0.35040270,0.95135070,0.30378040,0.34278350,0.93160360,0.28871140,0.35629980,0.88232270,0.29939320,0.36372300,0.91921310,0.32339920,0.34395140,0.93930360,0.31302230,0.33774790,0.92694100,0.29877150,0.40825290,0.97139830,0.22459510,0.37071060,0.92801770,0.26573490,0.36055060,0.92135290,0.27430950,0.35619600,0.91214570,0.28558710,0.34975570,0.90948610,0.29529930,5,6
0.36085180,0.85554790,0.27046720,0.36085180,0.85554790,0.27046720,0.36085180,0.85554790,0.27046720,0.36181210,0.87974150,0.26483160,0.36939890,0.89840010,0.25123850,0.38154520,0.92615490,0.24160890,0.39770200,0.95407240,0.23444600,0.39619210,0.94537590,0.27902690,0.36809070,0.96941940,0.27630230,0.36021650,0.94882910,0.26742980,0.39222830,0.93878770,0.29947560,0.35953820,0.96419090,0.29256950,0.34819440,0.94374560,0.27919430,0.37957160,0.93084960,0.31327030,0.35027750,0.95330850,0.30371750,0.34278670,0.93351650,0.28864290,0.35636150,0.88431200,0.29967140,0.36349720,0.92130630,0.32360470,0.34382170,0.94140820,0.31306830,0.33773590,0.92905500,0.29875870,0.40908390,0.97302370,0.22491500,0.37086710,0.92976190,0.26594180,0.36052210,0.92321540,0.27432630,0.35622440,0.91405090,0.28567980,0.34976530,0.91159700,0.29537820,5,6
0.36085500,0.85689750,0.27024600,0.36085500,0.85689750,0.27024600,0.36085500,0.85689750,0.27024600,0.36187960,0.88111780,0.26473810,0.36954930,0.89979680,0.25121950,0.38183530,0.92753340,0.24171610,0.39812540,0.95540830,0.23469040,0.39644890,0.94658050,0.27926250,0.36834340,0.97062780,0.27661560,0.36042160,0.95008340,0.26767950,0.39247740,0.93989520,0.29967810,0.35979220,0.96532980,0.29286490,0.34828310,0.94506530,0.27935640,0.37980570,0.93191930,0.31343730,0.35054420,0.95446280,0.30398450,0.34295010,0.93479510,0.28879920,0.35645960,0.88551890,0.29960440,0.36371020,0.92236600,0.32372940,0.34410970,0.94263710,0.31337920,0.33796080,0.93043330,0.29896870,0.40961940,0.97431960,0.22521450,0.37095050,0.93095790,0.26607800,0.36048630,0.92450190,0.27431820,0.35629740,0.91528940,0.28569420,0.34990910,0.91295250,0.29542150,5,6
0.36086020,0.85824800,0.27005910,0.36086020,0.85824800,0.27005910,0.36086020,0.85824800,0.27005910,0.36193070,0.88249090,0.26466010,0.36966840,0.90119000,0.25120840,0.38207000,0.92891470,0.24182090,0.39847000,0.95675650,0.23492110,0.39662270,0.94782250,0.27947940,0.36849160,0.97184430,0.27687380,0.36054790,0.95132990,0.26788800,0.39263790,0.94105290,0.29986460,0.35993710,0.96648120,0.29310310,0.34829200,0.94637530,0.27947490,0.37995070,0.93303920,0.31358750,0.35070300,0.95562590,0.30419560,0.34303500,0.93606280,0.28891270,0.35651770,0.88674550,0.29954580,0.36383690,0.92347010,0.32383620,0.34429080,0.94386560,0.31362860,0.33810670,0.93178290,0.29913140,0.41006060,0.97563410,0.22549590,0.37097310,0.93215560,0.26619490,0.36039870,0.92579010,0.27429420,0.35631320,0.91652910,0.28569010,0.34999790,0.91429150,0.29544780,5,6
0.36086710,0.85959920,0.26989950,0.36086710,0.85959920,0.26989950,0.36086710,0.85959920,0.26989950,0.36196880,0.88386150,0.26459470,0.36983880,0.90251980,0.25116310,0.38233930,0.93019960,0.24177410,0.39881920,0.95800070,0.23490070,0.39673160,0.94909410,0.27968210,0.36850570,0.97300540,0.27708550,0.36052130,0.95254950,0.26800330,0.39272930,0.94225050,0.30003920,0.36001850,0.96768270,0.29334090,0.34823790,0.94776210,0.27955770,0.38002630,0.93419890,0.31372530,0.35084270,0.95691660,0.30445050,0.34302600,0.93750870,0.28904560,0.35654490,0.88798770,0.29949400,0.36389640,0.92460940,0.32392960,0.34450600,0.94532510,0.31407570,0.33818000,0.93352620,0.29940700,0.41047170,0.97685680,0.22550870,0.37085400,0.93333550,0.26619620,0.36009350,0.92709300,0.27413600,0.35619640,0.91792630,0.28567930,0.34991010,0.91599030,0.29543010,5,6
0.36047510,0.86058270,0.26976640,0.36047510,0.86058270,0.26976640,0.36047510,0.86058270,0.26976640,0.36153080,0.88486960,0.26456580,0.36941920,0.90352000,0.25113420,0.38191100,0.93119320,0.24171410,0.39837720,0.95899620,0.23481560,0.39629420,0.95006810,0.27979780,0.36791460,0.97381340,0.27735690,0.35989360,0.95340110,0.26820880,0.39238520,0.94312950,0.30014090,0.35957590,0.96849370,0.29367050,0.34764290,0.94873720,0.27978270,0.37974830,0.93500410,0.31384450,0.35052920,0.95778050,0.30482920,0.34254350,0.93851500,0.28933240,0.35625130,0.88883410,0.29950610,0.36367130,0.92535320,0.32407410,0.34433000,0.94631250,0.31464860,0.33783880,0.93477110,0.29984790,0.41000580,0.97786400,0.22541750,0.37016630,0.93417190,0.26623070,0.35928820,0.92802800,0.27406640,0.35563820,0.91891960,0.28575350,0.34944410,0.91723160,0.29553480,5,6
0.36011700,0.86160650,0.26964930,0.36011700,0.86160650,0.26964930,0.36011700,0.86160650,0.26964930,0.36112370,0.88591530,0.26454260,0.36902860,0.90455880,0.25111100,0.38150840,0.93222810,0.24166380,0.39795740,0.96003630,0.23474480,0.39585860,0.95109650,0.27991360,0.36732450,0.97466840,0.27759670,0.35928150,0.95429110,0.26839040,0.39203020,0.94407140,0.30024230,0.35911900,0.96935110,0.29396120,0.34705250,0.94974560,0.27997490,0.37945200,0.93587500,0.31395770,0.35019320,0.95868690,0.30516390,0.34206180,0.93955050,0.28958320,0.35596270,0.88973290,0.29951690,0.36342340,0.92616250,0.32420510,0.34413050,0.94734070,0.31517760,0.33749160,0.93604260,0.30025510,0.40956310,0.97891600,0.22534250,0.36950090,0.93504970,0.26626070,0.35851080,0.92900720,0.27399310,0.35509240,0.91994790,0.28581410,0.34898100,0.91850660,0.29562890,5,6
0.35978570,0.86266250,0.26954490,0.35978570,0.86266250,0.26954490,0.35978570,0.86266250,0.26954490,0.36074100,0.88699130,0.26452400,0.36866710,0.90562340,0.25108910,0.38109330,0.93329730,0.24158480,0.39742610,0.96118090,0.23469430,0.39542390,0.95216820,0.28002990,0.36680220,0.97564600,0.27784220,0.35874740,0.95528690,0.26860590,0.39166640,0.94506320,0.30034410,0.35868030,0.97028930,0.29424320,0.34646600,0.95083250,0.28017790,0.37914130,0.93679800,0.31406660,0.34978150,0.95952850,0.30539940,0.34147720,0.94055930,0.28970590,0.35567810,0.89067350,0.29952720,0.36315760,0.92702410,0.32432600,0.34385060,0.94825270,0.31544850,0.33701350,0.93709700,0.30050830,0.40895160,0.98011460,0.22530210,0.36888080,0.93601520,0.26634240,0.35766740,0.93003450,0.27392260,0.35438600,0.92092660,0.28568250,0.34833930,0.91951640,0.29565340,5,6
0.35964940,0.86338230,0.26971530,0.35964940,0.86338230,0.26971530,0.35964940,0.86338230,0.26971530,0.36043610,0.88771860,0.26470170,0.36830340,0.90633620,0.25121210,0.38055120,0.93404500,0.24157870,0.39664470,0.96205540,0.23463980,0.39471960,0.95311580,0.28016840,0.36589020,0.97633960,0.27799720,0.35793930,0.95592730,0.26878840,0.39104580,0.94597910,0.30048670,0.35786210,0.97095840,0.29444180,0.34561800,0.95153980,0.28034960,0.37860000,0.93762710,0.31422900,0.34903870,0.96010290,0.30558270,0.34068330,0.94120050,0.28983580,0.35541300,0.89135520,0.29971530,0.36269950,0.92774520,0.32451390,0.34328280,0.94890170,0.31570390,0.33632910,0.93780730,0.30077200,0.40801150,0.98106460,0.22520650,0.36809050,0.93667180,0.26646780,0.35668820,0.93072750,0.27391090,0.35358180,0.92159570,0.28564720,0.34759040,0.92022960,0.29575940,5,6
