RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.40823890,0.80554770,0.31867920,0.40823890,0.80554770,0.31867920,0.40823890,0.80554770,0.31867920,0.40622580,0.83038520,0.31322290,0.40207990,0.85422940,0.30722300,0.38993970,0.88444920,0.30908150,0.38958300,0.90406130,0.33673580,0.44325370,0.89834700,0.31156240,0.45717520,0.93352310,0.31566460,0.46575700,0.95614460,0.31869610,0.44878780,0.89152230,0.33218590,0.46416380,0.93061110,0.34170180,0.47413740,0.95560010,0.34803240,0.44334750,0.88315420,0.35050990,0.42086520,0.91427520,0.35804530,0.39886500,0.90169080,0.34977280,0.41660080,0.83498640,0.34790040,0.43323480,0.87307670,0.36714080,0.41188230,0.89525010,0.36868690,0.39560390,0.88895420,0.35816760,0.39061950,0.91191000,0.36013540,0.47754430,0.97490500,0.32239500,0.48814670,0.97556260,0.35386360,0.40372290,0.87972570,0.34016660,0.39138410,0.87303780,0.34353280,1,6
0.40818300,0.80560640,0.31843120,0.40818300,0.80560640,0.31843120,0.40818300,0.80560640,0.31843120,0.40625170,0.83045980,0.31301790,0.40219060,0.85432460,0.30704180,0.38990690,0.88448550,0.30891420,0.38918040,0.90409200,0.33656530,0.44337420,0.89838080,0.31188260,0.45735510,0.93351290,0.31615610,0.46593220,0.95612080,0.31930020,0.44870200,0.89149810,0.33254100,0.46417620,0.93051980,0.34217300,0.47421070,0.95546520,0.34857880,0.44307610,0.88309110,0.35079100,0.42050040,0.91416940,0.35822230,0.39852960,0.90171870,0.34967400,0.41629890,0.83496220,0.34780470,0.43279250,0.87298450,0.36729900,0.41125290,0.89499510,0.36854880,0.39500870,0.88882680,0.35790180,0.39003420,0.91178180,0.36002500,0.47769260,0.97487030,0.32313750,0.48819960,0.97540900,0.35452180,0.40332990,0.87977730,0.33998500,0.39069640,0.87304130,0.34315260,1,6
0.40819780,0.80564650,0.31819760,0.40819780,0.80564650,0.31819760,0.40819780,0.80564650,0.31819760,0.40631580,0.83051220,0.31282360,0.40229270,0.85440030,0.30691540,0.39003810,0.88457240,0.30879930,0.38908230,0.90414850,0.33646490,0.44344440,0.89843640,0.31218870,0.45765190,0.93343540,0.31679450,0.46636960,0.95595920,0.32014830,0.44858050,0.89150650,0.33287990,0.46383960,0.93052880,0.34284670,0.47373370,0.95547380,0.34946810,0.44278580,0.88305750,0.35105760,0.42018830,0.91415130,0.35835700,0.39832640,0.90167390,0.34957130,0.41603940,0.83493510,0.34771240,0.43234970,0.87291280,0.36744610,0.41067300,0.89479830,0.36850840,0.39440770,0.88891030,0.35773560,0.38976220,0.91175420,0.35995770,0.47824500,0.97458980,0.32420400,0.48765010,0.97539750,0.35564460,0.40323420,0.87975310,0.33988970,0.38986340,0.87338440,0.34278190,1,6
0.40878040,0.80603440,0.31802700,0.40878040,0.80603440,0.31802700,0.40878040,0.80603440,0.31802700,0.40678890,0.83087270,0.31256610,0.40265290,0.85472640,0.30659740,0.39021420,0.88483230,0.30832700,0.38886430,0.90450990,0.33590400,0.44347170,0.89904020,0.31212490,0.45764730,0.93403030,0.31689320,0.46634040,0.95654860,0.32034700,0.44844160,0.89219980,0.33288630,0.46327300,0.93135350,0.34298210,0.47289100,0.95638410,0.34968750,0.44251730,0.88376090,0.35102680,0.41968370,0.91475200,0.35802150,0.39800970,0.90208570,0.34904310,0.41612560,0.83545300,0.34754020,0.43198150,0.87359080,0.36733560,0.41003230,0.89521650,0.36807560,0.39380060,0.88943610,0.35719450,0.38930640,0.91213050,0.35939760,0.47818920,0.97516700,0.32453440,0.48661630,0.97639860,0.35599640,0.40314540,0.88016830,0.33947240,0.38915700,0.87405880,0.34211810,1,6
0.40936400,0.80637660,0.31785750,0.40936400,0.80637660,0.31785750,0.40936400,0.80637660,0.31785750,0.40725650,0.83118790,0.31231840,0.40299650,0.85500950,0.30630860,0.39023450,0.88498480,0.30794860,0.38850790,0.90450890,0.33561360,0.44347120,0.89960620,0.31208490,0.45740260,0.93467790,0.31697200,0.46593330,0.95724710,0.32049780,0.44827900,0.89284780,0.33291130,0.46264150,0.93213870,0.34315110,0.47195680,0.95725830,0.34995020,0.44223080,0.88440970,0.35101130,0.41915010,0.91526560,0.35778970,0.39753740,0.90264870,0.34859640,0.41620900,0.83591270,0.34737360,0.43160160,0.87420430,0.36723730,0.40959880,0.89577750,0.36791360,0.39340310,0.89020510,0.35687170,0.38873040,0.91199530,0.35915340,0.47763900,0.97593140,0.32479300,0.48545350,0.97738270,0.35640110,0.40273780,0.88074930,0.33901970,0.38871520,0.87504580,0.34158970,1,6
0.40990030,0.80681040,0.31787610,0.40990030,0.80681040,0.31787610,0.40990030,0.80681040,0.31787610,0.40776900,0.83159430,0.31222420,0.40347780,0.85538730,0.30612420,0.39046480,0.88526450,0.30757190,0.38826890,0.90467720,0.33528200,0.44368690,0.90016930,0.31230920,0.45743560,0.93529220,0.31734320,0.46584220,0.95789400,0.32095700,0.44821020,0.89349930,0.33322760,0.46217950,0.93288980,0.34362740,0.47123930,0.95807430,0.35053090,0.44192720,0.88509330,0.35126240,0.41864490,0.91587590,0.35767470,0.39711570,0.90334520,0.34817250,0.41617300,0.83647140,0.34739410,0.43109970,0.87489400,0.36736050,0.40907860,0.89645410,0.36782520,0.39296410,0.89110500,0.35655610,0.38817820,0.91204770,0.35885920,0.47742720,0.97661980,0.32539600,0.48453490,0.97827400,0.35716140,0.40237470,0.88144150,0.33863770,0.38828000,0.87615170,0.34107140,1,6
0.41044100,0.80720610,0.31788070,0.41044100,0.80720610,0.31788070,0.41044100,0.80720610,0.31788070,0.40827480,0.83196300,0.31212490,0.40394090,0.85572700,0.30594240,0.39066610,0.88549700,0.30720780,0.38800440,0.90479090,0.33496000,0.44386310,0.90070850,0.31252670,0.45741570,0.93588630,0.31770720,0.46569040,0.95852260,0.32140870,0.44811400,0.89412080,0.33352810,0.46169460,0.93360660,0.34408040,0.47050200,0.95885310,0.35108340,0.44160990,0.88573740,0.35149490,0.41812030,0.91643250,0.35756110,0.39667960,0.90398250,0.34775750,0.41614470,0.83698210,0.34739830,0.43059830,0.87553320,0.36746460,0.40854470,0.89706350,0.36773060,0.39250630,0.89193810,0.35625110,0.38761530,0.91202950,0.35857500,0.47714670,0.97729360,0.32598870,0.48359580,0.97912750,0.35788570,0.40199660,0.88208030,0.33825140,0.38781750,0.87719940,0.34056340,1,6
0.41098510,0.80757160,0.31787430,0.41098510,0.80757160,0.31787430,0.41098510,0.80757160,0.31787430,0.40877530,0.83230190,0.31202130,0.40440090,0.85603100,0.30573450,0.39078140,0.88565270,0.30680460,0.38767940,0.90463590,0.33472480,0.44400740,0.90122800,0.31273690,0.45719780,0.93653200,0.31799340,0.46524190,0.95924440,0.32173680,0.44799520,0.89471770,0.33381390,0.46132550,0.93423800,0.34455480,0.46996910,0.95950680,0.35168000,0.44128100,0.88634880,0.35171010,0.41750360,0.91689750,0.35738110,0.39622640,0.90439650,0.34729050,0.41612220,0.83745430,0.34738820,0.43009720,0.87613130,0.36755100,0.40809800,0.89771800,0.36773490,0.39224200,0.89266530,0.35597320,0.38700950,0.91163420,0.35840590,0.47648680,0.97811840,0.32641630,0.48292580,0.97980620,0.35866720,0.40188740,0.88252710,0.33790830,0.38778400,0.87805490,0.34009930,1,6
0.41150450,0.80783530,0.31765210,0.41150450,0.80783530,0.31765210,0.41150450,0.80783530,0.31765210,0.40924220,0.83253890,0.31170730,0.40481730,0.85623300,0.30532410,0.39083530,0.88569150,0.30620800,0.38729770,0.90433650,0.33430370,0.44408770,0.90165740,0.31273720,0.45690660,0.93708680,0.31806830,0.46471470,0.95987460,0.32185300,0.44781900,0.89521990,0.33388350,0.46088910,0.93477380,0.34481850,0.46936280,0.96006440,0.35206960,0.44090330,0.88685810,0.35170610,0.41683530,0.91724730,0.35699600,0.39571930,0.90470560,0.34662120,0.41607140,0.83781700,0.34715930,0.42955700,0.87661830,0.36741650,0.40760930,0.89825770,0.36755140,0.39191090,0.89332780,0.35552900,0.38636620,0.91106260,0.35805470,0.47574240,0.97885210,0.32663000,0.48217600,0.98039010,0.35924290,0.40170880,0.88287530,0.33735280,0.38762850,0.87888630,0.33945340,1,6
0.41202820,0.80808680,0.31743970,0.41202820,0.80808680,0.31743970,0.41202820,0.80808680,0.31743970,0.40970860,0.83276360,0.31140680,0.40522850,0.85642220,0.30493090,0.39088850,0.88571300,0.30562800,0.38691960,0.90402840,0.33388250,0.44414990,0.90207910,0.31274620,0.45659900,0.93762940,0.31814860,0.46417210,0.96048970,0.32197310,0.44763000,0.89571090,0.33395620,0.46042810,0.93530090,0.34508030,0.46872430,0.96061500,0.35245390,0.44052000,0.88735090,0.35170300,0.41616670,0.91757490,0.35661960,0.39521420,0.90499230,0.34596650,0.41602670,0.83816070,0.34693550,0.42901910,0.87708320,0.36728230,0.40710850,0.89876040,0.36737150,0.39155720,0.89396280,0.35510710,0.38573550,0.91048650,0.35769660,0.47498230,0.97956810,0.32684440,0.48138360,0.98097210,0.35980890,0.40151830,0.88320390,0.33680860,0.38743050,0.87969740,0.33883470,1,6
