RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.40077330,0.81068170,0.24126590,0.40077330,0.81068170,0.24126590,0.40077330,0.81068170,0.24126590,0.38655990,0.83186150,0.24161470,0.37123770,0.85149810,0.24044550,0.34680120,0.87236110,0.24607350,0.33508250,0.87853650,0.27728350,0.38203100,0.90501920,0.26651590,0.37852070,0.94134370,0.27729560,0.37612940,0.96450380,0.28453870,0.38803280,0.89489040,0.28559240,0.38399890,0.92973280,0.31058540,0.38125970,0.95193780,0.32681600,0.38586080,0.87919250,0.29916630,0.35431490,0.89757260,0.31322980,0.34113370,0.88135530,0.29667480,0.38906230,0.82842020,0.27785330,0.38084280,0.86051410,0.30947880,0.35298550,0.87041990,0.31818680,0.33970030,0.86532820,0.30359720,0.33447280,0.87348140,0.30145560,0.37820030,0.98536240,0.29261350,0.37734890,0.97177980,0.34164060,0.35554130,0.86783430,0.28225430,0.34230600,0.85848250,0.28282060,1,0
0.40077150,0.81065680,0.24128120,0.40077150,0.81065680,0.24128120,0.40077150,0.81065680,0.24128120,0.38654010,0.83182300,0.24171390,0.37120840,0.85145590,0.24060950,0.34671780,0.87223840,0.24629950,0.33501930,0.87820680,0.27755730,0.38195420,0.90488100,0.26689570,0.37833070,0.94117330,0.27774640,0.37586700,0.96431170,0.28503460,0.38796880,0.89468460,0.28593210,0.38387640,0.92933700,0.31117830,0.38106980,0.95141540,0.32756930,0.38581310,0.87893300,0.29944630,0.35409500,0.89701720,0.31350580,0.34116650,0.88078450,0.29676770,0.38905330,0.82824520,0.27793860,0.38081330,0.86021100,0.30968830,0.35286220,0.86982600,0.31842160,0.33968870,0.86484700,0.30369240,0.33440630,0.87305500,0.30170890,0.37787160,0.98515980,0.29315300,0.37698200,0.97112690,0.34251960,0.35588750,0.86753870,0.28240860,0.34241870,0.85830770,0.28283330,1,0
0.40039080,0.81083380,0.24262730,0.40039080,0.81083380,0.24262730,0.40039080,0.81083380,0.24262730,0.38628620,0.83208560,0.24300760,0.37110290,0.85182770,0.24180190,0.34659580,0.87263850,0.24731460,0.33482010,0.87842240,0.27857800,0.38201320,0.90514550,0.26823930,0.37833020,0.94149720,0.27886830,0.37582560,0.96467570,0.28601390,0.38786670,0.89489390,0.28729640,0.38377650,0.92928860,0.31289290,0.38088840,0.95119210,0.32950290,0.38554510,0.87914250,0.30078320,0.35337540,0.89673340,0.31443670,0.34122500,0.88039230,0.29722760,0.38858920,0.82845710,0.27924120,0.38037850,0.86044110,0.31098010,0.35218770,0.86951830,0.31951650,0.33937020,0.86487350,0.30437000,0.33398450,0.87326120,0.30272100,0.37778100,0.98556540,0.29403700,0.37629730,0.97070340,0.34456940,0.35686150,0.86773170,0.28331530,0.34247040,0.85903410,0.28335550,1,0
0.40039080,0.81083380,0.24262730,0.40039080,0.81083380,0.24262730,0.40039080,0.81083380,0.24262730,0.38628620,0.83208560,0.24300760,0.37119720,0.85188890,0.24163370,0.34669690,0.87276980,0.24690650,0.33466180,0.87875220,0.27803350,0.38201320,0.90514550,0.26823930,0.37833570,0.94152160,0.27878650,0.37583450,0.96471640,0.28588000,0.38786670,0.89489390,0.28729640,0.38350300,0.92922070,0.31293890,0.38053520,0.95108900,0.32958130,0.38554510,0.87914250,0.30078320,0.35335230,0.89669450,0.31443220,0.34121510,0.88036050,0.29720720,0.38858920,0.82845710,0.27924120,0.38037850,0.86044110,0.31098010,0.35196110,0.86933460,0.31893880,0.33951860,0.86445860,0.30355410,0.33364290,0.87368780,0.30218990,0.37779250,0.98562340,0.29385750,0.37607490,0.97058480,0.34470690,0.35684130,0.86770780,0.28327630,0.34305610,0.85850860,0.28263990,1,0
0.40012700,0.81076160,0.24268360,0.40012700,0.81076160,0.24268360,0.40012700,0.81076160,0.24268360,0.38598400,0.83198650,0.24313330,0.37093750,0.85181640,0.24167910,0.34642820,0.87271150,0.24685290,0.33430740,0.87884740,0.27791670,0.38169990,0.90504110,0.26837840,0.37800500,0.94143520,0.27885740,0.37549440,0.96464200,0.28590800,0.38766970,0.89480300,0.28740660,0.38312190,0.92905380,0.31311860,0.38012060,0.95088090,0.32980900,0.38544670,0.87904880,0.30090670,0.35325110,0.89648050,0.31470270,0.34110160,0.88011960,0.29751180,0.38847800,0.82836680,0.27935510,0.38036770,0.86033880,0.31113180,0.35176610,0.86897350,0.31870650,0.33961270,0.86387750,0.30316290,0.33324870,0.87387480,0.30209050,0.37745130,0.98557130,0.29382710,0.37577530,0.97034680,0.34500640,0.35670710,0.86752820,0.28350230,0.34346230,0.85786960,0.28232050,1,0
0.39992620,0.81070670,0.24272310,0.39992620,0.81070670,0.24272310,0.39992620,0.81070670,0.24272310,0.38575400,0.83191100,0.24322510,0.37070610,0.85173960,0.24176800,0.34617730,0.87261010,0.24694890,0.33420640,0.87862420,0.27809450,0.38146060,0.90496210,0.26847860,0.37771140,0.94133870,0.27899890,0.37516760,0.96453370,0.28607650,0.38751880,0.89473490,0.28748470,0.38307280,0.92900740,0.31318560,0.38018200,0.95085330,0.32987080,0.38537100,0.87897900,0.30099500,0.35316580,0.89635950,0.31483320,0.34094140,0.87995740,0.29773500,0.38839310,0.82829900,0.27943730,0.38035890,0.86026280,0.31124170,0.35166040,0.86877940,0.31858000,0.33972250,0.86348890,0.30293460,0.33326930,0.87359390,0.30226140,0.37710030,0.98546190,0.29400430,0.37592210,0.97033620,0.34507070,0.35638930,0.86728600,0.28362320,0.34375650,0.85738090,0.28215630,1,0
0.40006320,0.81056080,0.24256300,0.40006320,0.81056080,0.24256300,0.40006320,0.81056080,0.24256300,0.38593230,0.83179270,0.24306340,0.37095810,0.85167250,0.24154590,0.34645220,0.87259440,0.24662640,0.33447840,0.87849860,0.27779200,0.38174350,0.90482710,0.26838260,0.37800760,0.94119010,0.27895460,0.37547170,0.96437600,0.28606490,0.38775090,0.89456900,0.28738820,0.38337730,0.92884270,0.31309990,0.38057220,0.95069360,0.32979330,0.38555020,0.87880400,0.30087940,0.35331160,0.89621330,0.31460300,0.34107210,0.87982770,0.29749970,0.38850620,0.82813950,0.27927630,0.38048460,0.86008770,0.31109950,0.35168490,0.86856410,0.31807920,0.34001880,0.86315820,0.30226920,0.33350880,0.87339340,0.30194180,0.37740860,0.98528970,0.29402960,0.37636400,0.97018510,0.34499650,0.35642660,0.86706330,0.28337000,0.34431490,0.85698550,0.28156270,1,0
0.40018810,0.81042360,0.24242780,0.40018810,0.81042360,0.24242780,0.40018810,0.81042360,0.24242780,0.38609690,0.83168180,0.24292850,0.37119420,0.85161080,0.24135420,0.34670920,0.87258010,0.24633940,0.33473340,0.87837410,0.27752490,0.38200860,0.90469830,0.26831590,0.37828320,0.94104870,0.27893420,0.37575320,0.96422640,0.28607380,0.38796770,0.89440940,0.28732000,0.38366080,0.92867800,0.31304990,0.38093510,0.95052910,0.32975610,0.38571650,0.87863490,0.30079180,0.35343870,0.89605940,0.31440360,0.34119960,0.87968740,0.29728710,0.38860900,0.82798690,0.27914140,0.38059980,0.85991790,0.31098510,0.35170490,0.86834330,0.31762460,0.34030340,0.86283480,0.30165770,0.33373130,0.87319630,0.30165790,0.37769290,0.98512700,0.29407220,0.37676620,0.97002400,0.34496580,0.35648190,0.86684820,0.28314670,0.34485010,0.85661540,0.28101880,1,0
0.40030340,0.81029330,0.24231220,0.40030340,0.81029330,0.24231220,0.40030340,0.81029330,0.24231220,0.38625050,0.83157680,0.24281460,0.37138960,0.85153660,0.24123450,0.34685690,0.87245700,0.24618980,0.33480550,0.87820260,0.27735510,0.38225940,0.90457420,0.26827200,0.37858730,0.94090140,0.27898860,0.37609090,0.96406330,0.28619060,0.38817200,0.89425470,0.28727410,0.38378410,0.92851400,0.31300270,0.38102360,0.95036080,0.32970880,0.38587250,0.87847040,0.30072620,0.35370190,0.89604640,0.31439700,0.34122530,0.87980950,0.29732330,0.38870330,0.82783970,0.27902730,0.38070660,0.85975220,0.31089250,0.35191700,0.86839220,0.31771100,0.34042950,0.86292830,0.30179050,0.33383770,0.87294320,0.30147190,0.37805910,0.98493780,0.29425000,0.37686610,0.96985670,0.34492030,0.35629090,0.86683510,0.28307430,0.34482690,0.85665630,0.28113510,1,0
0.40018840,0.81021930,0.24207220,0.40018840,0.81021930,0.24207220,0.40018840,0.81021930,0.24207220,0.38616280,0.83152130,0.24256050,0.37133760,0.85150540,0.24095430,0.34674760,0.87237300,0.24584880,0.33459280,0.87806530,0.27698360,0.38220850,0.90450070,0.26807520,0.37855740,0.94080570,0.27887380,0.37607360,0.96395270,0.28612770,0.38806190,0.89415590,0.28708190,0.38356150,0.92840470,0.31280510,0.38074620,0.95024650,0.32950860,0.38570900,0.87836240,0.30051400,0.35360680,0.89605490,0.31419520,0.34094720,0.87993470,0.29714550,0.38852400,0.82774780,0.27877550,0.38049380,0.85964190,0.31065080,0.35177450,0.86844380,0.31755790,0.34026030,0.86300460,0.30164820,0.33363050,0.87273150,0.30108430,0.37804980,0.98480470,0.29424310,0.37657050,0.96974090,0.34471700,0.35583890,0.86684750,0.28281700,0.34457990,0.85668950,0.28098960,1,0
