RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.34393270,0.83938680,0.36551660,0.34393270,0.83938680,0.36551660,0.34393270,0.83938680,0.36551660,0.32212250,0.85122380,0.36227170,0.30096490,0.86219630,0.35675880,0.26954120,0.86335890,0.35081000,0.23795160,0.85953170,0.36049950,0.27418860,0.90269290,0.39092980,0.24014250,0.89107550,0.38094900,0.22391580,0.87664480,0.37091230,0.27790500,0.89064000,0.40894670,0.23966210,0.87662140,0.39770670,0.25280570,0.86112590,0.37974860,0.27974080,0.87235540,0.41796740,0.24625380,0.85955900,0.40424710,0.25695260,0.84731490,0.38375840,0.31432910,0.83793040,0.39458250,0.28186720,0.85145470,0.42255460,0.25507750,0.84459950,0.41031980,0.25952480,0.83918210,0.39159590,0.21385320,0.85849570,0.35814630,0.20965900,0.86206250,0.36256020,0.27689620,0.86548660,0.37733470,0.28053610,0.85065760,0.38083320,0.27915890,0.84305240,0.38343220,12,7
0.34368980,0.83863070,0.36687830,0.34368980,0.83863070,0.36687830,0.34368980,0.83863070,0.36687830,0.32212980,0.85082750,0.36330940,0.30127180,0.86218540,0.35744680,0.26995460,0.86398130,0.35110630,0.23825730,0.86075450,0.36066150,0.27483570,0.90338340,0.39104300,0.24062120,0.89236610,0.38095820,0.22426300,0.87813190,0.37085470,0.27815040,0.89141800,0.40919610,0.23967010,0.87806310,0.39795800,0.25247980,0.86227370,0.38001460,0.27956520,0.87318000,0.41838550,0.24590500,0.86086140,0.40465180,0.25645410,0.84848610,0.38416420,0.31376840,0.83794760,0.39564560,0.28126920,0.85228410,0.42316630,0.25453250,0.84576820,0.41063370,0.25901090,0.84010270,0.39199070,0.21415480,0.86009710,0.35821580,0.20993890,0.86366600,0.36241560,0.27664600,0.86618320,0.37758410,0.28008410,0.85152980,0.38128810,0.27876400,0.84352870,0.38391590,12,7
0.34354090,0.83783070,0.36818460,0.34354090,0.83783070,0.36818460,0.34354090,0.83783070,0.36818460,0.32223130,0.85037680,0.36433370,0.30167040,0.86210740,0.35816370,0.27046750,0.86451800,0.35147320,0.23868140,0.86187560,0.36091190,0.27562350,0.90395510,0.39126100,0.24125010,0.89353020,0.38108730,0.22475880,0.87949580,0.37092080,0.27856540,0.89206710,0.40952870,0.23986230,0.87936370,0.39830050,0.25233960,0.86331610,0.38035180,0.27957740,0.87387500,0.41886120,0.24574780,0.86203370,0.40512390,0.25613820,0.84954800,0.38462230,0.31335710,0.83788290,0.39668470,0.28087120,0.85298790,0.42380700,0.25418550,0.84680910,0.41099800,0.25866740,0.84091690,0.39242630,0.21458050,0.86159870,0.35837910,0.21036170,0.86515100,0.36239960,0.27656940,0.86679280,0.37789680,0.27980820,0.85230270,0.38178340,0.27851960,0.84391200,0.38442330,12,7
0.34346570,0.83699410,0.36945060,0.34346570,0.83699410,0.36945060,0.34346570,0.83699410,0.36945060,0.32240810,0.84988160,0.36534970,0.30212110,0.86194770,0.35892480,0.27102830,0.86478400,0.35189750,0.23907640,0.86276390,0.36092130,0.27652610,0.90443220,0.39156190,0.24199840,0.89453880,0.38138000,0.22523990,0.88082690,0.37121030,0.27911730,0.89261410,0.40992790,0.24021120,0.88058010,0.39866380,0.25228310,0.86420830,0.38073080,0.27973990,0.87446830,0.41938380,0.24573450,0.86311290,0.40567020,0.25571530,0.85047100,0.38506110,0.31306370,0.83775380,0.39770760,0.28063200,0.85359470,0.42447270,0.25381130,0.84786330,0.41173780,0.25807740,0.84178500,0.39317520,0.21499560,0.86283230,0.35819070,0.21051180,0.86681130,0.36270710,0.27657450,0.86721660,0.37826630,0.27940670,0.85279600,0.38202390,0.27797010,0.84436080,0.38512690,12,7
0.34307380,0.83551390,0.37016800,0.34307380,0.83551390,0.37016800,0.34307380,0.83551390,0.37016800,0.32236070,0.84889680,0.36590180,0.30242900,0.86145090,0.35930250,0.27146010,0.86495790,0.35203470,0.23938220,0.86376960,0.36075430,0.27770720,0.90468180,0.39163300,0.24294170,0.89559740,0.38150670,0.22580710,0.88234750,0.37135130,0.27991520,0.89288910,0.41006540,0.24070780,0.88182770,0.39884890,0.25220900,0.86510330,0.38086620,0.28004350,0.87477780,0.41960640,0.24575700,0.86418500,0.40598300,0.25520100,0.85136850,0.38522930,0.31255970,0.83715340,0.39826640,0.28039570,0.85391240,0.42479440,0.25339810,0.84883860,0.41215470,0.25736860,0.84258650,0.39358430,0.21532360,0.86436610,0.35789590,0.21064830,0.86878070,0.36287700,0.27656350,0.86747710,0.37833270,0.27891130,0.85310960,0.38195710,0.27729140,0.84461520,0.38545470,12,7
0.34276000,0.83406000,0.37090690,0.34276000,0.83406000,0.37090690,0.34276000,0.83406000,0.37090690,0.32239200,0.84791490,0.36648910,0.30281670,0.86093500,0.35972800,0.27198280,0.86509420,0.35223390,0.23981100,0.86470660,0.36067550,0.27896660,0.90485820,0.39178110,0.24398720,0.89656910,0.38170920,0.22650210,0.88377600,0.37156560,0.28080850,0.89309480,0.41027220,0.24132940,0.88298500,0.39911130,0.25226520,0.86595040,0.38106720,0.28046100,0.87502630,0.41988870,0.24591530,0.86518200,0.40635900,0.25483900,0.85222580,0.38546230,0.31216630,0.83654650,0.39885630,0.28029130,0.85418080,0.42516470,0.25314710,0.84974530,0.41259930,0.25682910,0.84334090,0.39402140,0.21578490,0.86581530,0.35769860,0.21094370,0.87065300,0.36311660,0.27666370,0.86771370,0.37845950,0.27855130,0.85341190,0.38196410,0.27676690,0.84484260,0.38581430,12,7
0.34250800,0.83262720,0.37166270,0.34250800,0.83262720,0.37166270,0.34250800,0.83262720,0.37166270,0.32248670,0.84693440,0.36710400,0.30330290,0.86043480,0.36016500,0.27263910,0.86534810,0.35243280,0.24039450,0.86584000,0.36058630,0.28029170,0.90497120,0.39198990,0.24509590,0.89735560,0.38214220,0.22714570,0.88515470,0.37208170,0.28178130,0.89324100,0.41053370,0.24216910,0.88381390,0.39924760,0.25244990,0.86653100,0.38105510,0.28097300,0.87522350,0.42021790,0.24619580,0.86611440,0.40676640,0.25436590,0.85297930,0.38567410,0.31186280,0.83593440,0.39947010,0.28029600,0.85440840,0.42557310,0.25307180,0.85055990,0.41298720,0.25631490,0.84399000,0.39438520,0.21642740,0.86755650,0.35742780,0.21105650,0.87262700,0.36372400,0.27686470,0.86766740,0.37825750,0.27803360,0.85346730,0.38173440,0.27617900,0.84489640,0.38591650,12,7
0.34402330,0.83186970,0.37261020,0.34402330,0.83186970,0.37261020,0.34402330,0.83186970,0.37261020,0.32414040,0.84632500,0.36791500,0.30514810,0.86000590,0.36080500,0.27458440,0.86520280,0.35286470,0.24228750,0.86610150,0.36077270,0.28237060,0.90485080,0.39236940,0.24707260,0.89739700,0.38276720,0.22884960,0.88550510,0.37282790,0.28370160,0.89320420,0.41097790,0.24407950,0.88388750,0.39963470,0.25394640,0.86649710,0.38131590,0.28270780,0.87524460,0.42075200,0.24782720,0.86634690,0.40742740,0.25544260,0.85315230,0.38616530,0.31332180,0.83558430,0.40030380,0.28183480,0.85446410,0.42621200,0.25458110,0.85078960,0.41363790,0.25748710,0.84409470,0.39502480,0.21835930,0.86806020,0.35746390,0.21243410,0.87331800,0.36460200,0.27834760,0.86736520,0.37831170,0.27903780,0.85330890,0.38178860,0.27725350,0.84470020,0.38630420,12,7
0.34542190,0.83107420,0.37354680,0.34542190,0.83107420,0.37354680,0.34542190,0.83107420,0.37354680,0.32569080,0.84569440,0.36872270,0.30690180,0.85956930,0.36145030,0.27644470,0.86507090,0.35330860,0.24410530,0.86639300,0.36097990,0.28440540,0.90473000,0.39277090,0.24900350,0.89748160,0.38339670,0.23051210,0.88590760,0.37357850,0.28557070,0.89316100,0.41143880,0.24592440,0.88400660,0.40004800,0.25537120,0.86651340,0.38160610,0.28437770,0.87525880,0.42129570,0.24938720,0.86660730,0.40809790,0.25645800,0.85336800,0.38667610,0.31467490,0.83521250,0.40112970,0.28329150,0.85451400,0.42685240,0.25600580,0.85104210,0.41429010,0.25858560,0.84423490,0.39566970,0.22021950,0.86860780,0.35752880,0.21377900,0.87406710,0.36548750,0.27975560,0.86709940,0.37840400,0.27997230,0.85319270,0.38188400,0.27825530,0.84453430,0.38671780,12,7
0.34670700,0.83026860,0.37445480,0.34670700,0.83026860,0.37445480,0.34670700,0.83026860,0.37445480,0.32713510,0.84506110,0.36950980,0.30856210,0.85914130,0.36207890,0.27821530,0.86490540,0.35370990,0.24582860,0.86662610,0.36109740,0.28636760,0.90460760,0.39317890,0.25084640,0.89757810,0.38409330,0.23212900,0.88628520,0.37437670,0.28736610,0.89311090,0.41190110,0.24776060,0.88397280,0.40035620,0.25713830,0.86652000,0.38184090,0.28596860,0.87526540,0.42183360,0.25094230,0.86682340,0.40859510,0.25740450,0.85344900,0.38706530,0.31592510,0.83483280,0.40193130,0.28466190,0.85455720,0.42747890,0.25749850,0.85115390,0.41463600,0.25995330,0.84425250,0.39603330,0.22196310,0.86901570,0.35762310,0.21513130,0.87474900,0.36639830,0.28152410,0.86707310,0.37864390,0.28082030,0.85282960,0.38184690,0.27958430,0.84431760,0.38699220,12,7
