RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.37350000,0.84168570,0.38614250,0.37350000,0.84168570,0.38614250,0.37350000,0.84168570,0.38614250,0.37886010,0.85929420,0.40309960,0.38359670,0.87860500,0.41735040,0.38251180,0.90518470,0.43514180,0.37268180,0.92991290,0.45509980,0.36676250,0.88324610,0.47414850,0.35611490,0.91007990,0.49781900,0.35717990,0.93369370,0.49413970,0.34600380,0.87957620,0.46787980,0.34255550,0.92098440,0.47555120,0.35510090,0.91810140,0.45168370,0.33113820,0.88132260,0.45391430,0.33399310,0.91913470,0.45986930,0.34567650,0.91443510,0.43694370,0.34336530,0.86380590,0.40419560,0.31945270,0.88446800,0.43613910,0.32153870,0.91416890,0.44141870,0.33631110,0.90993330,0.42863020,0.36882270,0.94980560,0.46839390,0.35879730,0.95420970,0.48625710,0.36118850,0.89478500,0.44673560,0.34608830,0.89057790,0.43437960,0.33751270,0.88835390,0.42853390,12,0
0.37370900,0.84214760,0.38587460,0.37370900,0.84214760,0.38587460,0.37370900,0.84214760,0.38587460,0.37905210,0.85978220,0.40280990,0.38382700,0.87908120,0.41706400,0.38279620,0.90571310,0.43478040,0.37299640,0.93050440,0.45467490,0.36698760,0.88377130,0.47385200,0.35626880,0.91069320,0.49738990,0.35722370,0.93431990,0.49376340,0.34622930,0.88005260,0.46761080,0.34275960,0.92147640,0.47518790,0.35525930,0.91854620,0.45130220,0.33134380,0.88175570,0.45366110,0.33419350,0.91958520,0.45950720,0.34581220,0.91483490,0.43655920,0.34354930,0.86422090,0.40394350,0.31963100,0.88486110,0.43589680,0.32168810,0.91456430,0.44117490,0.33642660,0.91035350,0.42833890,0.36910080,0.95043230,0.46790550,0.35870850,0.95489400,0.48600700,0.36137890,0.89524090,0.44634110,0.34624830,0.89097500,0.43402340,0.33778670,0.88878420,0.42813840,12,0
0.37365710,0.84235840,0.38585520,0.37365710,0.84235840,0.38585520,0.37365710,0.84235840,0.38585520,0.37894890,0.86010730,0.40268700,0.38372250,0.87946940,0.41685560,0.38268970,0.90622660,0.43438210,0.37286730,0.93114130,0.45411050,0.36690120,0.88441760,0.47362260,0.35607160,0.91148760,0.49693880,0.35685190,0.93511520,0.49327590,0.34614910,0.88056980,0.46743910,0.34255520,0.92203200,0.47474310,0.35500210,0.91898230,0.45084470,0.33123080,0.88212980,0.45350780,0.33397940,0.92000810,0.45908030,0.34553210,0.91513810,0.43612410,0.34342800,0.86438760,0.40386170,0.31947180,0.88508650,0.43574870,0.32142720,0.91482040,0.44089130,0.33613450,0.91061440,0.42801820,0.36889140,0.95115080,0.46719320,0.35814510,0.95571780,0.48556110,0.36121070,0.89568270,0.44596840,0.34605310,0.89126630,0.43371980,0.33770360,0.88905930,0.42781100,12,0
0.37361980,0.84257110,0.38583700,0.37361980,0.84257110,0.38583700,0.37361980,0.84257110,0.38583700,0.37886440,0.86042420,0.40257310,0.38364230,0.87984120,0.41666490,0.38261490,0.90671400,0.43401400,0.37277460,0.93174450,0.45358640,0.36683150,0.88503000,0.47340920,0.35590700,0.91223100,0.49652800,0.35652260,0.93586070,0.49284770,0.34608570,0.88106470,0.46727930,0.34238140,0.92256100,0.47432960,0.35477850,0.91939820,0.45042000,0.33113790,0.88249360,0.45336560,0.33379670,0.92041470,0.45868510,0.34528650,0.91543260,0.43572140,0.34332770,0.86456050,0.40378640,0.31933710,0.88531390,0.43561200,0.32120130,0.91507460,0.44063160,0.33587820,0.91087220,0.42772260,0.36872300,0.95182900,0.46653010,0.35763340,0.95649410,0.48518690,0.36106770,0.89610480,0.44561850,0.34588410,0.89155080,0.43343670,0.33764210,0.88933240,0.42750300,12,0
0.37359390,0.84278550,0.38581980,0.37359390,0.84278550,0.38581980,0.37359390,0.84278550,0.38581980,0.37879460,0.86073490,0.40246630,0.38358820,0.88019660,0.41649100,0.38258200,0.90718190,0.43366580,0.37279260,0.93233750,0.45310280,0.36677510,0.88561610,0.47320850,0.35570190,0.91305390,0.49597390,0.35623210,0.93664780,0.49205810,0.34603540,0.88154200,0.46712900,0.34215430,0.92304860,0.47402280,0.35453870,0.91984840,0.45011170,0.33106080,0.88284950,0.45323220,0.33351120,0.92079310,0.45849080,0.34503070,0.91589220,0.43552450,0.34324400,0.86473830,0.40371610,0.31922170,0.88554290,0.43548440,0.32089140,0.91532970,0.44041710,0.33559950,0.91118450,0.42752520,0.36867250,0.95249210,0.46591530,0.35725370,0.95722820,0.48424400,0.36092550,0.89656400,0.44539540,0.34575100,0.89200870,0.43329460,0.33745990,0.88965200,0.42740330,12,0
0.37356920,0.84301730,0.38577520,0.37356920,0.84301730,0.38577520,0.37356920,0.84301730,0.38577520,0.37881970,0.86097350,0.40239870,0.38371860,0.88040380,0.41643050,0.38285070,0.90742420,0.43355770,0.37322660,0.93263840,0.45300130,0.36708180,0.88583740,0.47319420,0.35600450,0.91341850,0.49578390,0.35649040,0.93699620,0.49176660,0.34632080,0.88173540,0.46720710,0.34239330,0.92323110,0.47414050,0.35468520,0.92006670,0.45017680,0.33128260,0.88302280,0.45337720,0.33364480,0.92095860,0.45873180,0.34510770,0.91620400,0.43570650,0.34326960,0.86492880,0.40380700,0.31936110,0.88570050,0.43568230,0.32093280,0.91548540,0.44065820,0.33562020,0.91141620,0.42771850,0.36912510,0.95281390,0.46578690,0.35744360,0.95756540,0.48391420,0.36109530,0.89679720,0.44541870,0.34588020,0.89232720,0.43342240,0.33752920,0.88988800,0.42758160,12,0
0.37355210,0.84324870,0.38573360,0.37355210,0.84324870,0.38573360,0.37355210,0.84324870,0.38573360,0.37884650,0.86121490,0.40233230,0.38384550,0.88061670,0.41636830,0.38310920,0.90767460,0.43344240,0.37363990,0.93294950,0.45288320,0.36736600,0.88607510,0.47317140,0.35628340,0.91379610,0.49558650,0.35672190,0.93735920,0.49147860,0.34658620,0.88194390,0.46727040,0.34261290,0.92343060,0.47423100,0.35481880,0.92029450,0.45021970,0.33148950,0.88320830,0.45350220,0.33376650,0.92113720,0.45894230,0.34517600,0.91651840,0.43586280,0.34329720,0.86512210,0.40388620,0.31949160,0.88586660,0.43585610,0.32096800,0.91565020,0.44086980,0.33563610,0.91165250,0.42788590,0.36955110,0.95314770,0.46563700,0.35760410,0.95792060,0.48359760,0.36125310,0.89703930,0.44542480,0.34599920,0.89264810,0.43353000,0.33759900,0.89012930,0.42773280,12,0
0.37354120,0.84348000,0.38569430,0.37354120,0.84348000,0.38569430,0.37354120,0.84348000,0.38569430,0.37887470,0.86145880,0.40226690,0.38391450,0.88086450,0.41628280,0.38322990,0.90802720,0.43319180,0.37386280,0.93341950,0.45252880,0.36763260,0.88632590,0.47314170,0.35642590,0.91408190,0.49545150,0.35676850,0.93764490,0.49133400,0.34683590,0.88216420,0.46732210,0.34294220,0.92367840,0.47416250,0.35501130,0.92044820,0.45009470,0.33168470,0.88340360,0.45361170,0.33389430,0.92135470,0.45892210,0.34528930,0.91663830,0.43585530,0.34332620,0.86531760,0.40395630,0.31961540,0.88603970,0.43601100,0.32100880,0.91582670,0.44102780,0.33566420,0.91187730,0.42801490,0.36981760,0.95369120,0.46517950,0.35759890,0.95818690,0.48339700,0.36139490,0.89716920,0.44534710,0.34610710,0.89275100,0.43370030,0.33764800,0.89035570,0.42789000,12,0
0.37341820,0.84359940,0.38580840,0.37341820,0.84359940,0.38580840,0.37341820,0.84359940,0.38580840,0.37872650,0.86162430,0.40233900,0.38377330,0.88105760,0.41631410,0.38311410,0.90837370,0.43297510,0.37379380,0.93397280,0.45206050,0.36725630,0.88676770,0.47307960,0.35586110,0.91467470,0.49510380,0.35622830,0.93822290,0.49090470,0.34647360,0.88263370,0.46719050,0.34275150,0.92420800,0.47375540,0.35486410,0.92076900,0.44973840,0.33138080,0.88385960,0.45341460,0.33362420,0.92183910,0.45850300,0.34516350,0.91692200,0.43555010,0.34318070,0.86557130,0.40387080,0.31938880,0.88646150,0.43575610,0.32077130,0.91626240,0.44069270,0.33550020,0.91226540,0.42777760,0.36976550,0.95436760,0.46451720,0.35714190,0.95871980,0.48286120,0.36115320,0.89743120,0.44515660,0.34590610,0.89301150,0.43364050,0.33743120,0.89073880,0.42775960,12,0
0.37331210,0.84371940,0.38590760,0.37331210,0.84371940,0.38590760,0.37331210,0.84371940,0.38590760,0.37859900,0.86178670,0.40239880,0.38365740,0.88124270,0.41633800,0.38303020,0.90870060,0.43276550,0.37376280,0.93449100,0.45161760,0.36693640,0.88717770,0.47301940,0.35536270,0.91522550,0.49477000,0.35574300,0.93876030,0.49049740,0.34616590,0.88306500,0.46707250,0.34260020,0.92469230,0.47338410,0.35474340,0.92106200,0.44941070,0.33112260,0.88427610,0.45324130,0.33339080,0.92228090,0.45812590,0.34505810,0.91718380,0.43527720,0.34305580,0.86580710,0.40379660,0.31919600,0.88684480,0.43553370,0.32055990,0.91665800,0.44039990,0.33535440,0.91262440,0.42757150,0.36975160,0.95499910,0.46389250,0.35672490,0.95921670,0.48235930,0.36094660,0.89767240,0.44497850,0.34573320,0.89325420,0.43359480,0.33724390,0.89109410,0.42764790,12,0
