RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.07384917,1.01233700,0.41022160,0.07384917,1.01233700,0.41022160,0.07384917,1.01233700,0.41022160,0.05224478,1.00000300,0.40749230,0.03254142,0.98554420,0.40642300,0.01217443,0.96224710,0.41458530,-0.01096958,0.94380820,0.42977730,-0.02335896,1.00458000,0.41307180,-0.03709407,0.97221420,0.42562350,-0.03241903,0.94932310,0.43076450,-0.01767208,1.01320000,0.43248910,-0.03099880,0.97460530,0.44336130,-0.00530558,0.96955290,0.43631220,-0.00626132,1.01262200,0.44947530,-0.01426131,0.97576580,0.45661800,0.00852804,0.97269430,0.44415280,0.04717042,1.00877100,0.44182610,0.00844689,1.00853300,0.46461980,0.00032279,0.97943900,0.46600070,0.01584495,0.97875600,0.45341860,-0.02626627,0.92528440,0.43297470,-0.03166728,0.92856050,0.43811350,0.00820015,0.98726710,0.42587190,0.01845553,0.99234310,0.43459840,0.02637462,0.99395250,0.44222390,12,7
0.07662840,1.01202700,0.40978680,0.07662840,1.01202700,0.40978680,0.07662840,1.01202700,0.40978680,0.05495660,0.99975550,0.40732350,0.03518691,0.98537420,0.40644890,0.01480889,0.96216730,0.41483760,-0.00825950,0.94386340,0.43030530,-0.02057402,1.00462200,0.41360430,-0.03432936,0.97239550,0.42648800,-0.02958024,0.94952420,0.43164890,-0.01467168,1.01331500,0.43292470,-0.02827525,0.97493610,0.44421180,-0.00270652,0.96965240,0.43688500,-0.00310068,1.01277700,0.44980350,-0.01108925,0.97598260,0.45726790,0.01144782,0.97274270,0.44439350,0.05024175,1.00870400,0.44166190,0.01173790,1.00871000,0.46482590,0.00349827,0.97966250,0.46648590,0.01883659,0.97877570,0.45369290,-0.02358358,0.92538580,0.43363640,-0.02872394,0.92878840,0.43906200,0.01080698,0.98720200,0.42618010,0.02127883,0.99229820,0.43455250,0.02932833,0.99379400,0.44222560,12,7
0.08008540,1.01171600,0.40998500,0.08008540,1.01171600,0.40998500,0.08008540,1.01171600,0.40998500,0.05838481,0.99949650,0.40751710,0.03857579,0.98517390,0.40657110,0.01814515,0.96197660,0.41485760,-0.00496071,0.94367180,0.43026820,-0.01712999,1.00451700,0.41386610,-0.03096034,0.97232320,0.42675060,-0.02616772,0.94944200,0.43182680,-0.01119344,1.01316300,0.43319730,-0.02506872,0.97489240,0.44452120,0.00044762,0.96948810,0.43710020,0.00038963,1.01257000,0.45006590,-0.00759246,0.97577400,0.45753000,0.01480984,0.97248350,0.44443500,0.05371658,1.00839500,0.44187500,0.01523105,1.00844300,0.46506940,0.00694172,0.97940990,0.46672140,0.02220755,0.97844650,0.45384740,-0.02031817,0.92520140,0.43348370,-0.02525839,0.92868660,0.43917840,0.01402120,0.98697360,0.42636650,0.02460885,0.99202070,0.43452590,0.03272528,0.99338910,0.44230510,12,7
0.08343591,1.01142000,0.41016720,0.08343591,1.01142000,0.41016720,0.08343591,1.01142000,0.41016720,0.06170727,0.99924830,0.40770820,0.04185613,0.98499100,0.40666480,0.02143083,0.96174720,0.41483330,-0.00161798,0.94344110,0.43032770,-0.01378917,1.00441400,0.41415830,-0.02776701,0.97225140,0.42696080,-0.02303448,0.94935200,0.43201150,-0.00781098,1.01301900,0.43349480,-0.02214701,0.97494520,0.44490680,0.00328610,0.96920630,0.43745150,0.00379171,1.01237800,0.45034820,-0.00437687,0.97563730,0.45788440,0.01791913,0.97224370,0.44463520,0.05709981,1.00810500,0.44208500,0.01864320,1.00819800,0.46532710,0.01021985,0.97920470,0.46699950,0.02545808,0.97815700,0.45409950,-0.01695687,0.92494710,0.43349560,-0.02218645,0.92858270,0.43933100,0.01711446,0.98645780,0.42666460,0.02782065,0.99167970,0.43462940,0.03605748,0.99300270,0.44250700,12,7
0.08605088,1.01135000,0.41177950,0.08605088,1.01135000,0.41177950,0.08605088,1.01135000,0.41177950,0.06435857,0.99910280,0.40937480,0.04454239,0.98480000,0.40829030,0.02424975,0.96142710,0.41642110,0.00135869,0.94303500,0.43204680,-0.01114277,1.00402400,0.41595740,-0.02507149,0.97184870,0.42878160,-0.02027093,0.94897030,0.43386290,-0.00515795,1.01267200,0.43527270,-0.01968992,0.97472940,0.44687250,0.00568989,0.96880960,0.43937710,0.00647768,1.01208900,0.45210550,-0.00165103,0.97537380,0.45980430,0.02055337,0.97197220,0.44640420,0.05978453,1.00798500,0.44374950,0.02137048,1.00797700,0.46706210,0.01299699,0.97897460,0.46882240,0.02820420,0.97790440,0.45588760,-0.01386407,0.92444710,0.43522510,-0.01936447,0.92821160,0.44120540,0.01964442,0.98589350,0.42848640,0.03043730,0.99134050,0.43625080,0.03878636,0.99269010,0.44420330,12,7
0.08865066,1.01127200,0.41326990,0.08865066,1.01127200,0.41326990,0.08865066,1.01127200,0.41326990,0.06699008,0.99895760,0.41092480,0.04720360,0.98461650,0.40980420,0.02703759,0.96112270,0.41790170,0.00430062,0.94265160,0.43365860,-0.00851172,1.00366100,0.41765960,-0.02239138,0.97147610,0.43051300,-0.01752905,0.94861690,0.43562190,-0.00251246,1.01234900,0.43695230,-0.01723974,0.97454110,0.44874300,0.00808228,0.96843840,0.44119910,0.00915998,1.01182100,0.45376140,0.00107353,0.97512990,0.46161940,0.02318100,0.97171600,0.44806300,0.06246130,1.00786600,0.44529860,0.02409618,1.00777100,0.46869150,0.01577969,0.97875680,0.47053210,0.03095067,0.97766580,0.45755660,-0.01081204,0.92397620,0.43684980,-0.01656804,0.92786850,0.44298680,0.02216022,0.98535140,0.43020110,0.03304773,0.99101400,0.43776010,0.04151196,0.99239200,0.44577850,12,7
0.09123755,1.01118900,0.41466390,0.09123755,1.01118900,0.41466390,0.09123755,1.01118900,0.41466390,0.06960513,0.99881240,0.41238240,0.04984075,0.98444590,0.41120000,0.02980686,0.96081780,0.41923420,0.00724577,0.94227450,0.43515840,-0.00589354,1.00331900,0.41928470,-0.01980765,0.97108900,0.43198690,-0.01516169,0.94821830,0.43724350,0.00012624,1.01204600,0.43855370,-0.01456394,0.97426400,0.45047520,0.01074534,0.96823850,0.44282710,0.01183848,1.01156800,0.45533660,0.00386864,0.97486590,0.46326060,0.02595362,0.97160070,0.44963120,0.06513083,1.00774800,0.44675630,0.02681972,1.00757600,0.47023710,0.01859850,0.97853820,0.47213500,0.03372388,0.97741250,0.45910930,-0.00775963,0.92353350,0.43846850,-0.01443724,0.92748980,0.44469090,0.02481152,0.98511210,0.43175360,0.03575156,0.99090440,0.43927330,0.04426970,0.99205920,0.44721880,12,7
0.09449616,1.01129600,0.41478380,0.09449616,1.01129600,0.41478380,0.09449616,1.01129600,0.41478380,0.07289197,0.99886830,0.41251330,0.05314875,0.98448400,0.41119980,0.03325227,0.96068100,0.41905730,0.01087651,0.94199130,0.43507160,-0.00260139,1.00314500,0.41961720,-0.01654346,0.97081400,0.43202910,-0.01212417,0.94790670,0.43732170,0.00344232,1.01182200,0.43890110,-0.01121918,0.97401920,0.45079040,0.01407249,0.96809970,0.44300260,0.01519734,1.01131900,0.45565330,0.00734667,0.97457060,0.46348110,0.02939980,0.97151410,0.44975210,0.06847848,1.00767400,0.44692860,0.03022626,1.00731700,0.47050310,0.02210768,0.97824560,0.47232450,0.03718282,0.97714420,0.45923860,-0.00401661,0.92316770,0.43841950,-0.01164316,0.92716490,0.44475190,0.02813190,0.98497560,0.43192400,0.03913049,0.99086450,0.43941810,0.04771085,0.99176130,0.44729600,12,7
0.09769379,1.01138300,0.41494010,0.09769379,1.01138300,0.41494010,0.09769379,1.01138300,0.41494010,0.07611538,0.99890790,0.41268770,0.05639061,0.98450970,0.41125460,0.03662684,0.96054340,0.41894870,0.01443346,0.94171920,0.43505890,0.00063013,1.00297100,0.42000000,-0.01333894,0.97054410,0.43212850,-0.00913969,0.94760310,0.43745420,0.00670181,1.01160500,0.43929450,-0.00793710,0.97378820,0.45116850,0.01733335,0.96796320,0.44324180,0.01850154,1.01108100,0.45601460,0.01076421,0.97429130,0.46376230,0.03277921,0.97142680,0.44993110,0.07176892,1.00759800,0.44714090,0.03357906,1.00707200,0.47081320,0.02556005,0.97796880,0.47256820,0.04058298,0.97688710,0.45942070,-0.00035094,0.92281780,0.43845070,-0.00889501,0.92685000,0.44486430,0.03138787,0.98483400,0.43214920,0.04244660,0.99081550,0.43960960,0.05109123,0.99147150,0.44742080,12,7
0.10084060,1.01145600,0.41512480,0.10084060,1.01145600,0.41512480,0.10084060,1.01145600,0.41512480,0.07928608,0.99893480,0.41289610,0.05958771,0.98450290,0.41143990,0.03998366,0.96039450,0.41909900,0.01800837,0.94147480,0.43539520,0.00381125,1.00279700,0.42042180,-0.01011077,0.97023720,0.43224470,-0.00607711,0.94727160,0.43759230,0.00991412,1.01139200,0.43972360,-0.00458367,0.97353830,0.45165130,0.02061629,0.96775070,0.44347670,0.02175993,1.01085100,0.45641050,0.01417375,0.97400930,0.46405970,0.03616136,0.97139440,0.45013570,0.07501146,1.00752000,0.44738460,0.03688670,1.00683800,0.47115760,0.02913921,0.97765210,0.47275740,0.04409281,0.97681990,0.45951320,0.00333055,0.92254990,0.43910380,-0.00602108,0.92650530,0.44496910,0.03462522,0.98459610,0.43228830,0.04567344,0.99089430,0.43987940,0.05442010,0.99154580,0.44752890,12,7
