RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.33602080,0.77159540,0.34122630,0.33602080,0.77159540,0.34122630,0.33602080,0.77159540,0.34122630,0.34179860,0.78943690,0.35779820,0.34496980,0.80954520,0.37136410,0.34145490,0.83688880,0.38761720,0.33382210,0.86215930,0.40785510,0.33598680,0.81159260,0.43020920,0.32776510,0.84343450,0.44787890,0.32699970,0.86654410,0.44174330,0.31502660,0.80621870,0.42627450,0.31044300,0.84686820,0.43685740,0.31852160,0.84713710,0.41097270,0.29855940,0.80681820,0.41412780,0.29766450,0.84399680,0.42363160,0.30740460,0.84213630,0.39942760,0.30641290,0.79088330,0.36301330,0.28468420,0.80911970,0.39786170,0.28165810,0.83763160,0.40746860,0.29556540,0.83841840,0.39312700,0.33024020,0.88237120,0.42073900,0.32702650,0.88535350,0.43026010,0.32530910,0.82494680,0.40280450,0.31057340,0.81905670,0.39366520,0.30168110,0.81814600,0.38879630,12,4
0.33517800,0.77592120,0.34060640,0.33517800,0.77592120,0.34060640,0.33517800,0.77592120,0.34060640,0.34094690,0.79364870,0.35730330,0.34410160,0.81366390,0.37100980,0.34054450,0.84096130,0.38733120,0.33316610,0.86622060,0.40767740,0.33514080,0.81528270,0.42987230,0.32722740,0.84714270,0.44764960,0.32647170,0.87029580,0.44167880,0.31418370,0.80992020,0.42590610,0.30957020,0.85057040,0.43647300,0.31772590,0.85074190,0.41061150,0.29771200,0.81059300,0.41376920,0.29683880,0.84776930,0.42328400,0.30658450,0.84583140,0.39908830,0.30556170,0.79502930,0.36253990,0.28382970,0.81299920,0.39752440,0.28085720,0.84147270,0.40726100,0.29474960,0.84228240,0.39290620,0.32971560,0.88640690,0.42063700,0.32639010,0.88926240,0.43045740,0.32451410,0.82851630,0.40254060,0.30969800,0.82271930,0.39342640,0.30069920,0.82195500,0.38860180,12,4
0.33439150,0.78007140,0.34007690,0.33439150,0.78007140,0.34007690,0.33439150,0.78007140,0.34007690,0.34014950,0.79769560,0.35688660,0.34329760,0.81762180,0.37072360,0.33969070,0.84495980,0.38696600,0.33225680,0.87026400,0.40723590,0.33434600,0.81885340,0.42959600,0.32655880,0.85080780,0.44725930,0.32583340,0.87395180,0.44124990,0.31339240,0.81349780,0.42560130,0.30875250,0.85411150,0.43629620,0.31693430,0.85428090,0.41044300,0.29691650,0.81423440,0.41347400,0.29616580,0.85143480,0.42290440,0.30583440,0.84938580,0.39868680,0.30476470,0.79901030,0.36214250,0.28302710,0.81673340,0.39724930,0.28039290,0.84526220,0.40692120,0.29418530,0.84589180,0.39246130,0.32876360,0.89048090,0.42013620,0.32570750,0.89297710,0.43012860,0.32372540,0.83207120,0.40233090,0.30890280,0.82627580,0.39299250,0.29994950,0.82551440,0.38814150,12,4
0.33381740,0.78339510,0.34016790,0.33381740,0.78339510,0.34016790,0.33381740,0.78339510,0.34016790,0.33954700,0.80097350,0.35703520,0.34267250,0.82085860,0.37093640,0.33899890,0.84828520,0.38701360,0.33152400,0.87370060,0.40712880,0.33367150,0.82190570,0.42980410,0.32599740,0.85400270,0.44725720,0.32530330,0.87712160,0.44114810,0.31272570,0.81654310,0.42577800,0.30804560,0.85715630,0.43645690,0.31628220,0.85723580,0.41062070,0.29625790,0.81730140,0.41364090,0.29560280,0.85454950,0.42288840,0.30522580,0.85232490,0.39866820,0.30415730,0.80224000,0.36226930,0.28237800,0.81983680,0.39741380,0.28003190,0.84843680,0.40694850,0.29374370,0.84887030,0.39240510,0.32799720,0.89398840,0.41990810,0.32513970,0.89617460,0.43007490,0.32308490,0.83501200,0.40255720,0.30825390,0.82919450,0.39303540,0.29932950,0.82842960,0.38815000,12,4
0.33326420,0.78666730,0.34026860,0.33326420,0.78666730,0.34026860,0.33326420,0.78666730,0.34026860,0.33896570,0.80420240,0.35719040,0.34206730,0.82404850,0.37115240,0.33832600,0.85156130,0.38706600,0.33083210,0.87708880,0.40703160,0.33302240,0.82491790,0.43001580,0.32546520,0.85715450,0.44726120,0.32479800,0.88024880,0.44105730,0.31208460,0.81954640,0.42596060,0.30736110,0.86016010,0.43661900,0.31565180,0.86014760,0.41080000,0.29562400,0.82032380,0.41381500,0.29505230,0.85761500,0.42289280,0.30463240,0.85522320,0.39867150,0.30357130,0.80541900,0.36240520,0.28175200,0.82289260,0.39758630,0.27967140,0.85155400,0.40699740,0.29330210,0.85180980,0.39237380,0.32728520,0.89744690,0.41969290,0.32459320,0.89933000,0.43003330,0.32246710,0.83790770,0.40279160,0.30762030,0.83207020,0.39311080,0.29871020,0.83130710,0.38818810,12,4
0.33272700,0.78989740,0.34037830,0.33272700,0.78989740,0.34037830,0.33272700,0.78989740,0.34037830,0.33840050,0.80739110,0.35735230,0.34155290,0.82717360,0.37139310,0.33783950,0.85479010,0.38713260,0.33006040,0.88039740,0.40688560,0.33239320,0.82789770,0.43023150,0.32471590,0.86013910,0.44741480,0.32401410,0.88324650,0.44126340,0.31146320,0.82251600,0.42614900,0.30666110,0.86312470,0.43679120,0.31503250,0.86305220,0.41099830,0.29500900,0.82331030,0.41399590,0.29453940,0.86066690,0.42280700,0.30407960,0.85807300,0.39859080,0.30300190,0.80855690,0.36254950,0.28114390,0.82591010,0.39776620,0.27942080,0.85466750,0.40695390,0.29294660,0.85464010,0.39223100,0.32620540,0.90079300,0.41939580,0.32376100,0.90241360,0.43039050,0.32188200,0.84079770,0.40305990,0.30701430,0.83488090,0.39316590,0.29820310,0.83408750,0.38809740,12,4
0.33169160,0.79075290,0.34290910,0.33169160,0.79075290,0.34290910,0.33169160,0.79075290,0.34290910,0.33742980,0.80842020,0.35968030,0.34072930,0.82832650,0.37351070,0.33718110,0.85628190,0.38867970,0.32930160,0.88229070,0.40786010,0.33147700,0.82980020,0.43231260,0.32387460,0.86233720,0.44896380,0.32325950,0.88536910,0.44252630,0.31052680,0.82445700,0.42828370,0.30585900,0.86523490,0.43832150,0.31430360,0.86468390,0.41255830,0.29408090,0.82517670,0.41611470,0.29390390,0.86271670,0.42412010,0.30338560,0.85952030,0.39995300,0.30203410,0.80979130,0.36484750,0.28023320,0.82764360,0.39984950,0.27900670,0.85662400,0.40839370,0.29242170,0.85603640,0.39358140,0.32528860,0.90292020,0.41992930,0.32305260,0.90446250,0.43152370,0.32106930,0.84226770,0.40501260,0.30614580,0.83620020,0.39500620,0.29740630,0.83534560,0.38981760,12,4
0.33070770,0.79179230,0.34524140,0.33070770,0.79179230,0.34524140,0.33070770,0.79179230,0.34524140,0.33650290,0.80961280,0.36182990,0.33993570,0.82962600,0.37547230,0.33653610,0.85788600,0.39010130,0.32857790,0.88426100,0.40874150,0.33059910,0.83177040,0.43423280,0.32307480,0.86457580,0.45038530,0.32253730,0.88753520,0.44368730,0.30963140,0.82646070,0.43025090,0.30508110,0.86738520,0.43973040,0.31359520,0.86638870,0.41400340,0.29319280,0.82711250,0.41806820,0.29328980,0.86480750,0.42531020,0.30271010,0.86104140,0.40120120,0.30111040,0.81116490,0.36696760,0.27936040,0.82945940,0.40177230,0.27861270,0.85863090,0.40969930,0.29190990,0.85750870,0.39481180,0.32442600,0.90510120,0.42039460,0.32236510,0.90656620,0.43257660,0.32028520,0.84382900,0.40682700,0.30530510,0.83761020,0.39671160,0.29662230,0.83669170,0.39140970,12,4
0.32976440,0.79297640,0.34741720,0.32976440,0.79297640,0.34741720,0.32976440,0.79297640,0.34741720,0.33561060,0.81093440,0.36383870,0.33921220,0.83102430,0.37732400,0.33603420,0.85947980,0.39161990,0.32790510,0.88606180,0.40988870,0.32975100,0.83379470,0.43602650,0.32191010,0.86674770,0.45172140,0.32135130,0.88968240,0.44494120,0.30876790,0.82851470,0.43208660,0.30427600,0.86960730,0.44083880,0.31295840,0.86803990,0.41519670,0.29233600,0.82910380,0.41989170,0.29273970,0.86695070,0.42628060,0.30207820,0.86258820,0.40224040,0.30022140,0.81264820,0.36894740,0.27851720,0.83134060,0.40356880,0.27821360,0.86067290,0.41091060,0.29139590,0.85905960,0.39596610,0.32356790,0.90701810,0.42126280,0.32114310,0.90880630,0.43399160,0.31960600,0.84531770,0.40851020,0.30452060,0.83906310,0.39817560,0.29583700,0.83812760,0.39292480,12,4
0.32886230,0.79553750,0.34873350,0.32886230,0.79553750,0.34873350,0.32886230,0.79553750,0.34873350,0.33472260,0.81369160,0.36493280,0.33843770,0.83390280,0.37820430,0.33539320,0.86257590,0.39208860,0.32704760,0.88938340,0.40992530,0.32895670,0.83740070,0.43685380,0.32073450,0.87051030,0.45201500,0.32005980,0.89339580,0.44508050,0.30797080,0.83206300,0.43300780,0.30340810,0.87331100,0.44095520,0.31220610,0.87115680,0.41539520,0.29152060,0.83249880,0.42083120,0.29209290,0.87048920,0.42628730,0.30132050,0.86551610,0.40232290,0.29934000,0.81544630,0.37007330,0.27767640,0.83453490,0.40450350,0.27771220,0.86402520,0.41118880,0.29075370,0.86193900,0.39617960,0.32248290,0.91046820,0.42096790,0.31972090,0.91256710,0.43421760,0.31887820,0.84829400,0.40923290,0.30369070,0.84190570,0.39873930,0.29499910,0.84091140,0.39354430,12,4
