RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.40660330,0.83349660,0.41410000,0.40660330,0.83349660,0.41410000,0.40660330,0.83349660,0.41410000,0.40870230,0.85352670,0.42825830,0.41766400,0.87105460,0.44209770,0.42205590,0.90110990,0.45037140,0.42153820,0.93131790,0.46293500,0.39669250,0.88221600,0.49618550,0.37731360,0.90743240,0.51454890,0.36485060,0.92454600,0.52482370,0.37737990,0.87315800,0.49257710,0.36716650,0.91263880,0.48454130,0.38181640,0.90381720,0.46406860,0.36178820,0.86964740,0.48032610,0.35824030,0.90575770,0.46987770,0.37280630,0.89584300,0.45112750,0.37395080,0.84972530,0.43248530,0.34859820,0.86772820,0.46390090,0.35105290,0.89678230,0.45801630,0.36261310,0.89040510,0.44343980,0.42432810,0.95399180,0.46975110,0.35209510,0.93935820,0.53419640,0.39331900,0.88253940,0.46331700,0.38021220,0.87356750,0.45362490,0.36875110,0.87006660,0.44426820,13,1
0.40652410,0.83322560,0.41445050,0.40652410,0.83322560,0.41445050,0.40652410,0.83322560,0.41445050,0.40866530,0.85326700,0.42858670,0.41749920,0.87093480,0.44233000,0.42161750,0.90107280,0.45044180,0.42084570,0.93133520,0.46286090,0.39691900,0.88199040,0.49654540,0.37793270,0.90738320,0.51507530,0.36572270,0.92466720,0.52536860,0.37759940,0.87291260,0.49302540,0.36737310,0.91238340,0.48495660,0.38189480,0.90359740,0.46437760,0.36195890,0.86937990,0.48084310,0.35840680,0.90545000,0.47025810,0.37289530,0.89551200,0.45146020,0.37393560,0.84943710,0.43296410,0.34870080,0.86743810,0.46447560,0.35123830,0.89641920,0.45827500,0.36277960,0.88986720,0.44376120,0.42340870,0.95407060,0.46955960,0.35319150,0.93964300,0.53478360,0.39337690,0.88230770,0.46364890,0.38032900,0.87324510,0.45395170,0.36887660,0.86952520,0.44478360,13,1
0.40653590,0.83318590,0.41466640,0.40653590,0.83318590,0.41466640,0.40653590,0.83318590,0.41466640,0.40873240,0.85328270,0.42871490,0.41746120,0.87115660,0.44225740,0.42122820,0.90142940,0.45003100,0.42011810,0.93179750,0.46216320,0.39761420,0.88215760,0.49671520,0.37905700,0.90768060,0.51549910,0.36710270,0.92509530,0.52587190,0.37830410,0.87296650,0.49344560,0.36782830,0.91236100,0.48532450,0.38211290,0.90361820,0.46456200,0.36254380,0.86931260,0.48145490,0.35875070,0.90530010,0.47067440,0.37306250,0.89534930,0.45174850,0.37407620,0.84928270,0.43350320,0.34910920,0.86724900,0.46524700,0.35155250,0.89615140,0.45865350,0.36299010,0.88944240,0.44412930,0.42236200,0.95463760,0.46861590,0.35480290,0.94019260,0.53539740,0.39366300,0.88236550,0.46383040,0.38062650,0.87312770,0.45425250,0.36912790,0.86912440,0.44536200,13,1
0.40653840,0.83313620,0.41485940,0.40653840,0.83313620,0.41485940,0.40653840,0.83313620,0.41485940,0.40878480,0.85328360,0.42882740,0.41740170,0.87135000,0.44218500,0.42081610,0.90175600,0.44959270,0.41933910,0.93223440,0.46140500,0.39824120,0.88229950,0.49685910,0.38011940,0.90795380,0.51588770,0.36842270,0.92549590,0.52633920,0.37894270,0.87300620,0.49381860,0.36824140,0.91233030,0.48565010,0.38230450,0.90362400,0.46472160,0.36307520,0.86924200,0.48200460,0.35906780,0.90514980,0.47103740,0.37321130,0.89517740,0.45199670,0.37420060,0.84913050,0.43399100,0.34948140,0.86706720,0.46594470,0.35184470,0.89588860,0.45897780,0.36318520,0.88902310,0.44445040,0.42123780,0.95517920,0.46759160,0.35635640,0.94071250,0.53597280,0.39391330,0.88240310,0.46399580,0.38088330,0.87299570,0.45452640,0.36934520,0.86872620,0.44590050,13,1
0.40653520,0.83308270,0.41502910,0.40653520,0.83308270,0.41502910,0.40653520,0.83308270,0.41502910,0.40882560,0.85327520,0.42892470,0.41742600,0.87145380,0.44213990,0.42069300,0.90187750,0.44954200,0.41896910,0.93233260,0.46138050,0.39879580,0.88241920,0.49697940,0.38075940,0.90824660,0.51585450,0.36912320,0.92596760,0.52606900,0.37950980,0.87303550,0.49414360,0.36863140,0.91228290,0.48584130,0.38252050,0.90366130,0.46476220,0.36354860,0.86917320,0.48248870,0.35935180,0.90499960,0.47132800,0.37336980,0.89505200,0.45218190,0.37430960,0.84898700,0.43442340,0.34981420,0.86689910,0.46656270,0.35207720,0.89565100,0.45928270,0.36337100,0.88870020,0.44475970,0.42060620,0.95529610,0.46757270,0.35710930,0.94133960,0.53551970,0.39420580,0.88248210,0.46404590,0.38118450,0.87291600,0.45467390,0.36962530,0.86844120,0.44633190,13,1
0.40667220,0.83283160,0.41500650,0.40667220,0.83283160,0.41500650,0.40667220,0.83283160,0.41500650,0.40903090,0.85304620,0.42885850,0.41761900,0.87131940,0.44195070,0.42073360,0.90176890,0.44931160,0.41875910,0.93221010,0.46114680,0.39957650,0.88222600,0.49698010,0.38171710,0.90821470,0.51580180,0.37019380,0.92610260,0.52585220,0.38029580,0.87277320,0.49434530,0.36926570,0.91196580,0.48598420,0.38295730,0.90344100,0.46473710,0.36423310,0.86884420,0.48285330,0.35987140,0.90460880,0.47155830,0.37373830,0.89469410,0.45228540,0.37458600,0.84864530,0.43470370,0.35034930,0.86650650,0.46706660,0.35253250,0.89519550,0.45951870,0.36376020,0.88816700,0.44498170,0.42012670,0.95519600,0.46732130,0.35828000,0.94162250,0.53518720,0.39469760,0.88229320,0.46399380,0.38166650,0.87259150,0.45471510,0.37007930,0.86793630,0.44665430,13,1
0.40679090,0.83259330,0.41498970,0.40679090,0.83259330,0.41498970,0.40679090,0.83259330,0.41498970,0.40921300,0.85282990,0.42879850,0.41789460,0.87112490,0.44179820,0.42106190,0.90152290,0.44934720,0.41911590,0.93187680,0.46140940,0.40030130,0.88204960,0.49697630,0.38250260,0.90814820,0.51570310,0.37101840,0.92615630,0.52558200,0.38102780,0.87253110,0.49453170,0.36983270,0.91167480,0.48616150,0.38332890,0.90324720,0.46475120,0.36487120,0.86853750,0.48319460,0.36031440,0.90426550,0.47186080,0.37401380,0.89443930,0.45242340,0.37483900,0.84832250,0.43497060,0.35084790,0.86613800,0.46754110,0.35292070,0.89478250,0.45979560,0.36409460,0.88773160,0.44522810,0.42044440,0.95482270,0.46773890,0.35913890,0.94177970,0.53478720,0.39512510,0.88213220,0.46396100,0.38202780,0.87236270,0.45480740,0.37049630,0.86753170,0.44695880,13,1
0.40692110,0.83239690,0.41476430,0.40692110,0.83239690,0.41476430,0.40692110,0.83239690,0.41476430,0.40935660,0.85267510,0.42850960,0.41806550,0.87104450,0.44138570,0.42116000,0.90142380,0.44903960,0.41910890,0.93171040,0.46125240,0.40097200,0.88196680,0.49672330,0.38321400,0.90815250,0.51536710,0.37174660,0.92626370,0.52507570,0.38173620,0.87231900,0.49449910,0.37024270,0.91136970,0.48609830,0.38354050,0.90306350,0.46451700,0.36548770,0.86819920,0.48334000,0.36061200,0.90386300,0.47193690,0.37414700,0.89414820,0.45232910,0.37507940,0.84795700,0.43505120,0.35131650,0.86567900,0.46783930,0.35318290,0.89427260,0.45985700,0.36431120,0.88721400,0.44525830,0.42028810,0.95463790,0.46767770,0.35988400,0.94197210,0.53415710,0.39545630,0.88201710,0.46369150,0.38231590,0.87212510,0.45468220,0.37085490,0.86706700,0.44707330,13,1
0.40703790,0.83220590,0.41455980,0.40703790,0.83220590,0.41455980,0.40703790,0.83220590,0.41455980,0.40948710,0.85252390,0.42824380,0.41821100,0.87097030,0.44099890,0.42122040,0.90134060,0.44872230,0.41904790,0.93157240,0.46104920,0.40160790,0.88188960,0.49648590,0.38391010,0.90816770,0.51505680,0.37246980,0.92638090,0.52460500,0.38241010,0.87212070,0.49447210,0.37063630,0.91108160,0.48604290,0.38373920,0.90288740,0.46430040,0.36607600,0.86788150,0.48348400,0.36090080,0.90348140,0.47201340,0.37427350,0.89386730,0.45224530,0.37530660,0.84760910,0.43513750,0.35176580,0.86524640,0.46813080,0.35343870,0.89378680,0.45991850,0.36452400,0.88671610,0.44529310,0.42006580,0.95448780,0.46754510,0.36063350,0.94217510,0.53357110,0.39576570,0.88190530,0.46344360,0.38258570,0.87189500,0.45457070,0.37119850,0.86662010,0.44719550,13,1
0.40714410,0.83201920,0.41437160,0.40714410,0.83201920,0.41437160,0.40714410,0.83201920,0.41437160,0.40960720,0.85237540,0.42799600,0.41843820,0.87083920,0.44065190,0.42147970,0.90123400,0.44826530,0.41930190,0.93148930,0.46053390,0.40221680,0.88181690,0.49626010,0.38472900,0.90821050,0.51486620,0.37340170,0.92654230,0.52432180,0.38305750,0.87193350,0.49444890,0.37095240,0.91083210,0.48620350,0.38381980,0.90272890,0.46428690,0.36664290,0.86758010,0.48362650,0.36109060,0.90315800,0.47226470,0.37432490,0.89376470,0.45229830,0.37552400,0.84727510,0.43522820,0.35220080,0.86483470,0.46841690,0.35353580,0.89340980,0.46026370,0.36460180,0.88653070,0.44553260,0.42031770,0.95442570,0.46695520,0.36166880,0.94243600,0.53324800,0.39592220,0.88179120,0.46341280,0.38282680,0.87185160,0.45449280,0.37149310,0.86649860,0.44733250,13,1
