RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.47298740,0.88939360,0.26845150,0.47298740,0.88939360,0.26845150,0.47298740,0.88939360,0.26845150,0.46036970,0.90223670,0.28524200,0.45796490,0.91905300,0.30228600,0.44867130,0.93750850,0.32603650,0.43636360,0.95112620,0.35312380,0.43553410,0.90339820,0.35569230,0.40154790,0.90596660,0.36936620,0.37891220,0.91189300,0.37187050,0.42926850,0.88350710,0.34993590,0.39685770,0.90662400,0.33798710,0.41141620,0.91346870,0.31670870,0.42074900,0.87110430,0.33655310,0.39520670,0.89566930,0.32351990,0.41124530,0.90475590,0.30556900,0.44048140,0.87324090,0.28716050,0.41235320,0.86206100,0.31937250,0.39723670,0.88587430,0.30992760,0.40720870,0.89561670,0.29605570,0.43050220,0.96539340,0.37130160,0.35790420,0.91724140,0.37197160,0.43426140,0.90571400,0.31860170,0.43246540,0.89487270,0.30862020,0.42665620,0.88703170,0.29638280,13,7
0.47078900,0.88918200,0.27036600,0.47078900,0.88918200,0.27036600,0.47078900,0.88918200,0.27036600,0.45784290,0.90204280,0.28689070,0.45528770,0.91889100,0.30388130,0.44572780,0.93746340,0.32743410,0.43272100,0.95102010,0.35422370,0.43166400,0.90330080,0.35685140,0.39741040,0.90588770,0.36983700,0.37473990,0.91190370,0.37174300,0.42552480,0.88339540,0.35100950,0.39331750,0.90645130,0.33841050,0.40839060,0.91328180,0.31748890,0.41727220,0.87096370,0.33748690,0.39196310,0.89548670,0.32393030,0.40839760,0.90457240,0.30634070,0.43794350,0.87303450,0.28847700,0.40921320,0.86188530,0.32016400,0.39430640,0.88568280,0.31035290,0.40462230,0.89535120,0.29668220,0.42640740,0.96526250,0.37226910,0.35377170,0.91738090,0.37121250,0.43118250,0.90552770,0.31994350,0.42952270,0.89466420,0.30992420,0.42405070,0.88675140,0.29745300,13,7
0.46842120,0.88699310,0.27390150,0.46842120,0.88699310,0.27390150,0.46842120,0.88699310,0.27390150,0.45525380,0.90006730,0.29008040,0.45266350,0.91704350,0.30693770,0.44295740,0.93592210,0.33018530,0.42935740,0.94967690,0.35657640,0.42766070,0.90198230,0.35948040,0.39315840,0.90498050,0.37169640,0.37052810,0.91131370,0.37293370,0.42146660,0.88209580,0.35363220,0.38971570,0.90533950,0.34024430,0.40538220,0.91191740,0.31968070,0.41338270,0.86965390,0.34001720,0.38857310,0.89431340,0.32580100,0.40550240,0.90316180,0.30856330,0.43507040,0.87124400,0.29143040,0.40560000,0.86054020,0.32258700,0.39115320,0.88441730,0.31229280,0.40191360,0.89385620,0.29880560,0.42270580,0.96404460,0.37439960,0.34967700,0.91711760,0.37170990,0.42802840,0.90396030,0.32275540,0.42642320,0.89305270,0.31273570,0.42122830,0.88506260,0.30008260,13,7
0.46602310,0.88501500,0.27722510,0.46602310,0.88501500,0.27722510,0.46602310,0.88501500,0.27722510,0.45265110,0.89828630,0.29307230,0.44995880,0.91537650,0.30979790,0.43993520,0.93467020,0.33256500,0.42577470,0.94885440,0.35842870,0.42372270,0.90081200,0.36190670,0.38904210,0.90416200,0.37351090,0.36645710,0.91073060,0.37425000,0.41747900,0.88094490,0.35604520,0.38603760,0.90429540,0.34212330,0.40215660,0.91070850,0.32185950,0.40955980,0.86849470,0.34234150,0.38511320,0.89323230,0.32764030,0.40245150,0.90191390,0.31072730,0.43220600,0.86963750,0.29418130,0.40204390,0.85934880,0.32481130,0.38784060,0.88325420,0.31424760,0.39901840,0.89249750,0.30096600,0.41888310,0.96354940,0.37589020,0.34571680,0.91678770,0.37248890,0.42468360,0.90261310,0.32541170,0.42316410,0.89161880,0.31544800,0.41817550,0.88345900,0.30279030,13,7
0.46385110,0.88445500,0.28058380,0.46385110,0.88445500,0.28058380,0.46385110,0.88445500,0.28058380,0.45040850,0.89775680,0.29634540,0.44771770,0.91488610,0.31303110,0.43757110,0.93442110,0.33553650,0.42315060,0.94881960,0.36113680,0.42120670,0.90043290,0.36505860,0.38650100,0.90379730,0.37658370,0.36392220,0.91040080,0.37718530,0.41499820,0.88054760,0.35922110,0.38345860,0.90377140,0.34530930,0.39965590,0.91021510,0.32511780,0.40714080,0.86805910,0.34551670,0.38262110,0.89270250,0.33077920,0.40002310,0.90141640,0.31394840,0.42997660,0.86909810,0.29744380,0.39969990,0.85886570,0.32797930,0.38537720,0.88270600,0.31742970,0.39667230,0.89189520,0.30420990,0.41616940,0.96371450,0.37839220,0.34322140,0.91653030,0.37522260,0.42218380,0.90216890,0.32877440,0.42068780,0.89111130,0.31885330,0.41577550,0.88278770,0.30624350,13,7
0.46164010,0.88392500,0.28379540,0.46164010,0.88392500,0.28379540,0.46164010,0.88392500,0.28379540,0.44812110,0.89726020,0.29946310,0.44542370,0.91442750,0.31610890,0.43514580,0.93419990,0.33834570,0.42045610,0.94881120,0.36367090,0.41859760,0.90008900,0.36803260,0.38385740,0.90348510,0.37944380,0.36128920,0.91013750,0.37988130,0.41242050,0.88018900,0.36221210,0.38080200,0.90329920,0.34829020,0.39709340,0.90977000,0.32818320,0.40462980,0.86766710,0.34850000,0.38005860,0.89222760,0.33370980,0.39753900,0.90096890,0.31697480,0.42769010,0.86860000,0.30053210,0.39727290,0.85843170,0.33094930,0.38284980,0.88221340,0.32040430,0.39427190,0.89134850,0.30725630,0.41338030,0.96390290,0.38071550,0.34063640,0.91635210,0.37769200,0.41961600,0.90176390,0.33195860,0.41814840,0.89064720,0.32207370,0.41331590,0.88216840,0.30950730,13,7
0.45939790,0.88341870,0.28689170,0.45939790,0.88341870,0.28689170,0.45939790,0.88341870,0.28689170,0.44579840,0.89678990,0.30245880,0.44301410,0.91399410,0.31905200,0.43257620,0.93388210,0.34111050,0.41750890,0.94850480,0.36620620,0.41591570,0.89977290,0.37086590,0.38114330,0.90320200,0.38216840,0.35856680,0.90982930,0.38256310,0.40976700,0.87986080,0.36505700,0.37802820,0.90285120,0.35121090,0.39429440,0.90934940,0.33109240,0.40204700,0.86730950,0.35133190,0.37743310,0.89179340,0.33648580,0.39501660,0.90044530,0.31981240,0.42535880,0.86813410,0.30348380,0.39478120,0.85803610,0.33376320,0.38023920,0.88174900,0.32322660,0.39180020,0.89069990,0.31007330,0.41024660,0.96367260,0.38310410,0.33792290,0.91604320,0.38029060,0.41683900,0.90140370,0.33486430,0.41554600,0.89006500,0.32511080,0.41074830,0.88137330,0.31252260,13,7
0.45654540,0.88409970,0.28869290,0.45654540,0.88409970,0.28869290,0.45654540,0.88409970,0.28869290,0.44294820,0.89732480,0.30438640,0.44011830,0.91455230,0.32094760,0.42961330,0.93444440,0.34297060,0.41439430,0.94889420,0.36807490,0.41392690,0.90013050,0.37317080,0.37928540,0.90308170,0.38499810,0.35661380,0.90934400,0.38574480,0.40800910,0.88010280,0.36752150,0.37553970,0.90244480,0.35432280,0.39130000,0.90918590,0.33388410,0.40030280,0.86737840,0.35394890,0.37499400,0.89137000,0.33947210,0.39223710,0.90017370,0.32252480,0.42296690,0.86836370,0.30579360,0.39294970,0.85792270,0.33651430,0.37772450,0.88131540,0.32622950,0.38904610,0.89023170,0.31284660,0.40701800,0.96406360,0.38492190,0.33585040,0.91524490,0.38374350,0.41405280,0.90166000,0.33724350,0.41293980,0.89006120,0.32766480,0.40808210,0.88105270,0.31516880,13,7
0.45372240,0.88469920,0.29052130,0.45372240,0.88469920,0.29052130,0.45372240,0.88469920,0.29052130,0.44012010,0.89779630,0.30631730,0.43723840,0.91504680,0.32284570,0.42665060,0.93495270,0.34481640,0.41126480,0.94924730,0.36990790,0.41183260,0.90046710,0.37541210,0.37731470,0.90299810,0.38768950,0.35456810,0.90893700,0.38873570,0.40612900,0.88033830,0.36990360,0.37302170,0.90207820,0.35729760,0.38832470,0.90903000,0.33658370,0.39844800,0.86745700,0.35646530,0.37252910,0.89099120,0.34232090,0.38947430,0.89992230,0.32514130,0.42055720,0.86856870,0.30805550,0.39103180,0.85783400,0.33914930,0.37519950,0.88092430,0.32910070,0.38631510,0.88979560,0.31551660,0.40376760,0.96442460,0.38669430,0.33370810,0.91456260,0.38695750,0.41125140,0.90188670,0.33957680,0.41032250,0.89004930,0.33015720,0.40542290,0.88074300,0.31774290,13,7
0.45092050,0.88523490,0.29237120,0.45092050,0.88523490,0.29237120,0.45092050,0.88523490,0.29237120,0.43730690,0.89821790,0.30825160,0.43419960,0.91548360,0.32472290,0.42342260,0.93521570,0.34675840,0.40810590,0.94933680,0.37199000,0.40965270,0.90078530,0.37760610,0.37521940,0.90290370,0.39019530,0.35241150,0.90857100,0.39140130,0.40414990,0.88056670,0.37222370,0.37055950,0.90178610,0.36001500,0.38551290,0.90891430,0.33910670,0.39650270,0.86754130,0.35890550,0.37009130,0.89066950,0.34500470,0.38681190,0.89965980,0.32763720,0.41813060,0.86875390,0.31028120,0.38904230,0.85776320,0.34169580,0.37283270,0.88061150,0.33169570,0.38397460,0.88920570,0.31795590,0.40072090,0.96453980,0.38880290,0.33149640,0.91400300,0.38966850,0.40857420,0.90210760,0.34183960,0.40778300,0.89000090,0.33255710,0.40303420,0.88008810,0.32032530,13,7
