RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.05654937,0.86714640,0.33113930,0.05654937,0.86714640,0.33113930,0.05654937,0.86714640,0.33113930,0.03545335,0.87954500,0.32843700,0.01467170,0.88842980,0.32017540,-0.01584896,0.89598910,0.32172660,-0.04169899,0.91257670,0.33300800,0.00479952,0.94626680,0.31465460,-0.01974132,0.96827520,0.33084120,-0.03839472,0.97261650,0.34451510,0.01909670,0.95188970,0.32988670,-0.01557700,0.94946190,0.35267850,-0.01248845,0.92296950,0.35225190,0.02789100,0.94842770,0.34766840,-0.00405713,0.94066440,0.36623600,0.00007311,0.91625110,0.35923820,0.04819551,0.89967890,0.35436470,0.03490330,0.94023540,0.36586620,0.00764727,0.93582610,0.37693240,0.01021980,0.91895510,0.36715800,-0.06393223,0.91989020,0.33753990,-0.05463408,0.97710400,0.35815680,0.00457304,0.91312650,0.33819350,0.01806678,0.91184100,0.34460730,0.02583973,0.91629230,0.35298260,13,7
0.06035860,0.86749710,0.33084960,0.06035860,0.86749710,0.33084960,0.06035860,0.86749710,0.33084960,0.03916272,0.87974950,0.32826440,0.01824370,0.88855020,0.32026350,-0.01233346,0.89576150,0.32228690,-0.03821768,0.91199110,0.33400230,0.00797112,0.94629960,0.31486320,-0.01672561,0.96784220,0.33143470,-0.03535745,0.97176520,0.34526360,0.02227220,0.95196320,0.33007650,-0.01232550,0.94923450,0.35294960,-0.00895838,0.92277880,0.35237370,0.03114596,0.94849040,0.34781660,-0.00071693,0.94049600,0.36643260,0.00364194,0.91612600,0.35942260,0.05183320,0.89986600,0.35424070,0.03827428,0.94027230,0.36595760,0.01107476,0.93579660,0.37713570,0.01367518,0.91894370,0.36733780,-0.06051861,0.91894970,0.33875540,-0.05158782,0.97579150,0.35905890,0.00817984,0.91324880,0.33819340,0.02169831,0.91205430,0.34477080,0.02931607,0.91650490,0.35314520,13,7
0.06404010,0.86781230,0.33057810,0.06404010,0.86781230,0.33057810,0.06404010,0.86781230,0.33057810,0.04275568,0.87993290,0.32810110,0.02171279,0.88865850,0.32034670,-0.00890676,0.89554290,0.32281820,-0.03481315,0.91143500,0.33494020,0.01108278,0.94632610,0.31505540,-0.01375639,0.96741190,0.33199750,-0.03236218,0.97092430,0.34597100,0.02538814,0.95202410,0.33025190,-0.00913840,0.94901840,0.35319770,-0.00551043,0.92260070,0.35247810,0.03433444,0.94853930,0.34795320,0.00255032,0.94032700,0.36660890,0.00712664,0.91600070,0.35958590,0.05536399,0.90002910,0.35412340,0.04156816,0.94029630,0.36604100,0.01442011,0.93575980,0.37731920,0.01704729,0.91892380,0.36749930,-0.05717171,0.91805720,0.33989840,-0.04857709,0.97449800,0.35990850,0.01169704,0.91336970,0.33818440,0.02523994,0.91225320,0.34491800,0.03270949,0.91669910,0.35329500,13,7
0.06762087,0.86809970,0.33032110,0.06762087,0.86809970,0.33032110,0.06762087,0.86809970,0.33032110,0.04625673,0.88009970,0.32794530,0.02504112,0.88880440,0.32065180,-0.00556281,0.89544690,0.32386700,-0.03155173,0.91095130,0.33631020,0.01414666,0.94634770,0.31523500,-0.01088133,0.96711930,0.33228700,-0.02949319,0.97045630,0.34629540,0.02845664,0.95207500,0.33041610,-0.00599955,0.94866470,0.35341100,-0.00203224,0.92230010,0.35255110,0.03747007,0.94857760,0.34808080,0.00577095,0.94017100,0.36679450,0.01047858,0.91589460,0.35968570,0.05881032,0.90017320,0.35401150,0.04480091,0.94031010,0.36611830,0.01770202,0.93564000,0.37746000,0.02042632,0.91884690,0.36759330,-0.05408383,0.91702500,0.34118450,-0.04571874,0.97383940,0.36026810,0.01528338,0.91345430,0.33814490,0.02860773,0.91243740,0.34496620,0.03615039,0.91694930,0.35340990,13,7
0.07081486,0.86850480,0.32927720,0.07081486,0.86850480,0.32927720,0.07081486,0.86850480,0.32927720,0.04935445,0.88038050,0.32715790,0.02795065,0.88908980,0.32044280,-0.00261737,0.89541970,0.32451600,-0.02866105,0.91040490,0.33747020,0.01671173,0.94654430,0.31540190,-0.00847369,0.96681470,0.33282120,-0.02705094,0.96981690,0.34695080,0.03106395,0.95219400,0.33057220,-0.00324880,0.94817070,0.35368220,0.00107380,0.92187640,0.35245980,0.04019806,0.94855330,0.34814570,0.00864737,0.93976510,0.36693480,0.01349638,0.91560350,0.35953590,0.06190924,0.90023480,0.35339080,0.04768513,0.94012650,0.36604480,0.02067332,0.93520620,0.37748800,0.02347983,0.91853820,0.36743390,-0.05134483,0.91586570,0.34236590,-0.04324631,0.97285290,0.36103770,0.01845481,0.91354500,0.33782740,0.03160101,0.91257470,0.34469230,0.03921952,0.91708980,0.35321490,13,7
0.07380390,0.86886570,0.32834800,0.07380390,0.86886570,0.32834800,0.07380390,0.86886570,0.32834800,0.05225965,0.88062750,0.32645610,0.03069284,0.88933360,0.32027990,0.00018037,0.89535970,0.32515180,-0.02590504,0.90985500,0.33857120,0.01914734,0.94670330,0.31554930,-0.00618434,0.96649490,0.33330410,-0.02472834,0.96917570,0.34754150,0.03353756,0.95228480,0.33070890,-0.00064316,0.94771080,0.35391200,0.00400835,0.92148990,0.35236300,0.04277959,0.94851860,0.34819930,0.01136223,0.93939270,0.36705070,0.01634178,0.91533690,0.35939840,0.06481754,0.90028580,0.35283460,0.05040612,0.93995310,0.36597320,0.02347258,0.93481760,0.37750600,0.02635110,0.91826110,0.36728940,-0.04872139,0.91473270,0.34346680,-0.04089442,0.97187660,0.36173000,0.02144644,0.91363950,0.33753390,0.03442474,0.91270490,0.34445300,0.04210557,0.91722430,0.35305080,13,7
0.07680015,0.86920700,0.32747080,0.07680015,0.86920700,0.32747080,0.07680015,0.86920700,0.32747080,0.05517811,0.88085790,0.32579310,0.03347240,0.88954500,0.32009510,0.00303191,0.89542770,0.32555680,-0.02338947,0.90944080,0.33883030,0.02162497,0.94683920,0.31569010,-0.00396597,0.96621270,0.33353380,-0.02253300,0.96864040,0.34778670,0.03605156,0.95235690,0.33083840,0.00199464,0.94720610,0.35410260,0.00709609,0.92109170,0.35221030,0.04539622,0.94847390,0.34824860,0.01409185,0.93899760,0.36711510,0.01942015,0.91508140,0.35926260,0.06774068,0.90033020,0.35230710,0.05315517,0.93977950,0.36590220,0.02628826,0.93449170,0.37752130,0.02930314,0.91805290,0.36715500,-0.04639593,0.91378130,0.34332550,-0.03872578,0.97107280,0.36199320,0.02462401,0.91378580,0.33720980,0.03754347,0.91294430,0.34428730,0.04513561,0.91757170,0.35297350,13,7
0.07954813,0.86928890,0.32701080,0.07954813,0.86928890,0.32701080,0.07954813,0.86928890,0.32701080,0.05789209,0.88091090,0.32559010,0.03607577,0.88964810,0.32041530,0.00575507,0.89548860,0.32654750,-0.02087695,0.90913920,0.33977760,0.02413940,0.94690750,0.31628400,-0.00157706,0.96597490,0.33427640,-0.02011261,0.96822880,0.34859860,0.03866759,0.95232800,0.33137020,0.00478444,0.94678050,0.35479640,0.01020829,0.92075590,0.35258910,0.04814869,0.94831920,0.34867780,0.01697560,0.93864830,0.36766260,0.02251686,0.91484080,0.35962920,0.07061422,0.90018750,0.35217090,0.05605508,0.93949400,0.36620070,0.02926831,0.93417570,0.37798960,0.03231703,0.91782740,0.36749110,-0.04401904,0.91304210,0.34396750,-0.03627703,0.97046350,0.36286980,0.02774077,0.91389420,0.33738550,0.04061804,0.91309510,0.34457650,0.04816995,0.91779840,0.35332420,13,7
0.08232171,0.86937870,0.32655190,0.08232171,0.86937870,0.32655190,0.08232171,0.86937870,0.32655190,0.06063264,0.88096640,0.32537620,0.03871668,0.88974220,0.32071310,0.00852390,0.89551640,0.32750390,-0.01830473,0.90879960,0.34071080,0.02668133,0.94696490,0.31683730,0.00083373,0.96571480,0.33497490,-0.01767356,0.96778470,0.34936120,0.04130381,0.95229430,0.33186470,0.00758831,0.94635580,0.35543640,0.01332674,0.92042660,0.35292300,0.05091408,0.94816660,0.34907280,0.01986727,0.93830160,0.36816440,0.02561621,0.91460340,0.35995570,0.07350144,0.90005550,0.35202170,0.05896100,0.93921760,0.36646840,0.03225168,0.93386710,0.37841740,0.03533468,0.91760690,0.36779270,-0.04156745,0.91226300,0.34460890,-0.03381220,0.96981200,0.36369240,0.03086119,0.91400410,0.33753100,0.04369390,0.91324340,0.34483510,0.05120366,0.91801590,0.35364970,13,7
0.08511508,0.86947460,0.32609420,0.08511508,0.86947460,0.32609420,0.08511508,0.86947460,0.32609420,0.06339391,0.88102360,0.32515390,0.04144352,0.88977350,0.32060540,0.01125371,0.89551270,0.32743910,-0.01560032,0.90869810,0.34069230,0.02924527,0.94701240,0.31735900,0.00308937,0.96489020,0.33592990,-0.01536832,0.96643440,0.35044540,0.04395631,0.95225610,0.33233000,0.01034009,0.94625820,0.35602810,0.01622666,0.92037590,0.35337730,0.05369005,0.94801490,0.34944080,0.02277462,0.93800880,0.36867170,0.02864394,0.91443930,0.36018250,0.07639944,0.89993180,0.35186180,0.06187204,0.93894770,0.36671180,0.03526047,0.93340810,0.37879200,0.03834494,0.91727360,0.36797770,-0.03887378,0.91211840,0.34456430,-0.03145736,0.96798130,0.36489180,0.03375115,0.91429920,0.33783430,0.04666547,0.91353110,0.34496130,0.05415111,0.91799460,0.35377700,13,7
