RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.36686840,0.79887730,0.34379610,0.36686840,0.79887730,0.34379610,0.36686840,0.79887730,0.34379610,0.35556900,0.82022980,0.34853600,0.34207250,0.83997450,0.35119270,0.32272280,0.85845120,0.36778380,0.30936300,0.88069420,0.38771890,0.36318660,0.89451210,0.35088700,0.35396010,0.91965560,0.37601270,0.34210610,0.92784650,0.39461820,0.38090960,0.88867250,0.36183410,0.35554410,0.89821780,0.39334770,0.34551090,0.87424950,0.38731250,0.38975310,0.87728270,0.37589040,0.36287280,0.88229070,0.40193040,0.35113640,0.86105810,0.39335920,0.38181080,0.82482560,0.37156260,0.39468940,0.86268910,0.39038540,0.37052700,0.86817740,0.40684300,0.35979880,0.85367370,0.39901170,0.29803360,0.89520940,0.40286140,0.33254740,0.93539380,0.41255200,0.35407250,0.86405180,0.36710540,0.36109300,0.85182510,0.37404860,0.36871510,0.84540900,0.38157010,13,4
0.36653910,0.80260990,0.34321580,0.36653910,0.80260990,0.34321580,0.36653910,0.80260990,0.34321580,0.35515640,0.82392950,0.34790400,0.34161510,0.84362830,0.35067170,0.32237190,0.86216510,0.36731950,0.30930530,0.88443940,0.38741320,0.36247940,0.89824740,0.35006000,0.35340030,0.92321700,0.37541180,0.34148430,0.93110920,0.39410660,0.38022890,0.89250670,0.36101650,0.35490550,0.90217260,0.39252720,0.34492680,0.87815380,0.38660340,0.38912200,0.88118860,0.37509950,0.36226510,0.88625400,0.40115240,0.35056380,0.86493590,0.39274670,0.38138700,0.82868930,0.37091020,0.39412070,0.86665240,0.38963070,0.36997820,0.87217300,0.40610670,0.35926220,0.85759370,0.39840000,0.29823960,0.89898340,0.40272220,0.33182220,0.93830230,0.41213030,0.35343870,0.86781440,0.36644740,0.36050850,0.85561170,0.37347380,0.36814170,0.84922860,0.38098750,13,4
0.36658450,0.80676100,0.34362060,0.36658450,0.80676100,0.34362060,0.36658450,0.80676100,0.34362060,0.35498900,0.82799110,0.34819220,0.34128130,0.84756950,0.35099490,0.32201690,0.86609940,0.36762580,0.30909000,0.88838990,0.38779200,0.36156480,0.90238970,0.34992890,0.35244390,0.92721030,0.37541180,0.34040800,0.93479170,0.39415840,0.37937350,0.89688940,0.36091260,0.35401870,0.90659950,0.39238440,0.34425210,0.88245000,0.38664100,0.38838310,0.88574070,0.37505630,0.36151520,0.89077730,0.40110360,0.34998910,0.86927820,0.39291970,0.38117550,0.83314350,0.37116400,0.39353090,0.87133730,0.38966750,0.36937410,0.87679390,0.40614380,0.35876920,0.86205170,0.39859460,0.29818370,0.90294380,0.40320550,0.33059330,0.94163620,0.41223530,0.35278410,0.87196020,0.36657130,0.35998490,0.85986910,0.37371460,0.36767580,0.85359890,0.38123840,13,4
0.36664370,0.81083440,0.34405400,0.36664370,0.81083440,0.34405400,0.36664370,0.81083440,0.34405400,0.35485260,0.83198090,0.34851140,0.34099410,0.85144820,0.35134590,0.32171760,0.86998230,0.36795800,0.30893940,0.89229950,0.38818930,0.36073600,0.90644600,0.34982930,0.35158960,0.93111870,0.37544630,0.33944630,0.93840120,0.39424200,0.37859900,0.90117340,0.36083640,0.35321500,0.91093430,0.39226890,0.34364980,0.88666240,0.38670550,0.38771690,0.89018830,0.37503870,0.36084340,0.89521420,0.40108230,0.34948320,0.87354550,0.39311680,0.38099790,0.83750530,0.37144360,0.39300360,0.87591550,0.38972820,0.36883850,0.88132610,0.40620740,0.35834050,0.86643110,0.39881050,0.29819640,0.90687230,0.40369940,0.32949340,0.94490900,0.41236760,0.35219680,0.87601710,0.36672430,0.35952460,0.86404780,0.37397920,0.36727410,0.85789170,0.38151070,13,4
0.36671380,0.81484710,0.34451010,0.36671380,0.81484710,0.34451010,0.36671380,0.81484710,0.34451010,0.35474050,0.83591440,0.34885510,0.34074130,0.85527780,0.35171000,0.32145220,0.87382570,0.36829210,0.30891540,0.89616380,0.38865080,0.35997410,0.91043420,0.34975450,0.35106590,0.93484560,0.37570370,0.33890870,0.94180460,0.39461260,0.37788730,0.90537920,0.36078220,0.35254990,0.91530790,0.39219970,0.34307400,0.89095000,0.38686380,0.38710700,0.89455370,0.37504110,0.36024220,0.89959690,0.40109020,0.34902220,0.87777950,0.39333440,0.38084670,0.84179480,0.37174340,0.39252470,0.88040980,0.38980750,0.36833610,0.88574570,0.40627660,0.35800720,0.87069290,0.39896150,0.29842870,0.91075340,0.40431970,0.32890410,0.94793680,0.41284040,0.35163660,0.88020930,0.36694050,0.35909490,0.86819050,0.37425880,0.36707280,0.86216490,0.38172480,13,4
0.36646270,0.81797270,0.34609630,0.36646270,0.81797270,0.34609630,0.36646270,0.81797270,0.34609630,0.35425520,0.83896230,0.35015660,0.34006490,0.85820480,0.35288190,0.32075670,0.87687180,0.36930740,0.30844940,0.89940240,0.38959400,0.35860270,0.91354390,0.34986410,0.34992310,0.93793240,0.37591200,0.33778700,0.94472690,0.39489420,0.37661600,0.90887630,0.36089960,0.35138530,0.91919830,0.39227620,0.34207320,0.89467290,0.38744310,0.38601730,0.89838710,0.37529070,0.35922920,0.90362640,0.40138000,0.34820000,0.88155150,0.39409360,0.38037460,0.84551220,0.37284710,0.39165840,0.88454300,0.39025610,0.36748670,0.88989990,0.40674330,0.35734810,0.87458830,0.39970450,0.29821620,0.91413870,0.40529330,0.32776760,0.95064410,0.41318470,0.35062120,0.88365490,0.36766550,0.35827480,0.87171140,0.37514760,0.36650710,0.86592140,0.38258700,13,4
0.36624620,0.82113200,0.34760260,0.36624620,0.82113200,0.34760260,0.36624620,0.82113200,0.34760260,0.35381780,0.84204160,0.35139660,0.33945040,0.86116830,0.35400760,0.32012770,0.87995020,0.37028450,0.30805110,0.90266830,0.39050040,0.35732530,0.91665470,0.34998470,0.34886310,0.94101200,0.37613310,0.33674170,0.94764020,0.39518340,0.37542840,0.91235320,0.36102190,0.35029390,0.92305300,0.39234920,0.34114020,0.89837870,0.38799480,0.38499740,0.90218450,0.37553210,0.35827920,0.90761480,0.40165410,0.34743510,0.88530590,0.39481620,0.37994110,0.84921940,0.37389180,0.39084620,0.88862800,0.39068000,0.36669180,0.89401110,0.40718400,0.35673530,0.87846170,0.40041140,0.29807020,0.91754970,0.40622530,0.32670170,0.95334170,0.41353110,0.34967340,0.88709060,0.36836360,0.35751530,0.87522790,0.37599850,0.36598240,0.86966430,0.38340810,13,4
0.36605690,0.82431830,0.34904620,0.36605690,0.82431830,0.34904620,0.36605690,0.82431830,0.34904620,0.35341790,0.84514560,0.35258860,0.33887540,0.86415800,0.35506120,0.31950720,0.88304220,0.37116460,0.30753080,0.90595380,0.39122120,0.35612120,0.91976450,0.35011440,0.34743850,0.94381260,0.37647580,0.33523690,0.95015650,0.39557160,0.37430590,0.91581260,0.36114810,0.34925210,0.92676380,0.39245310,0.34019220,0.90199120,0.38847760,0.38403150,0.90595220,0.37576670,0.35736080,0.91149200,0.40191430,0.34660570,0.88900890,0.39552070,0.37953740,0.85291830,0.37488970,0.39007540,0.89267400,0.39108340,0.36599580,0.89821380,0.40764480,0.35608040,0.88248120,0.40124540,0.29766890,0.92098420,0.40687920,0.32515280,0.95564290,0.41396070,0.34870480,0.89051970,0.36894410,0.35653480,0.87856370,0.37682320,0.36523970,0.87339530,0.38434650,13,4
0.36601970,0.82687940,0.35188870,0.36601970,0.82687940,0.35188870,0.36601970,0.82687940,0.35188870,0.35323240,0.84768920,0.35497240,0.33857540,0.86665390,0.35711240,0.31918480,0.88583840,0.37282920,0.30734130,0.90915170,0.39249820,0.35539220,0.92225100,0.35081510,0.34654120,0.94627860,0.37713940,0.33423960,0.95255880,0.39619190,0.37361320,0.91868050,0.36191870,0.34859110,0.93023880,0.39303010,0.33956230,0.90536990,0.38962570,0.38342090,0.90922280,0.37674690,0.35674870,0.91519120,0.40279830,0.34603600,0.89252440,0.39701080,0.37931140,0.85615150,0.37706910,0.38957240,0.89633730,0.39235350,0.36553570,0.90224640,0.40884940,0.35564050,0.88631730,0.40292230,0.29761640,0.92449730,0.40793460,0.32408370,0.95802770,0.41454670,0.34806900,0.89351400,0.37032040,0.35584510,0.88153510,0.37856360,0.36474490,0.87678680,0.38624010,13,4
0.36598830,0.82949420,0.35455370,0.36598830,0.82949420,0.35455370,0.36598830,0.82949420,0.35455370,0.35305480,0.85027270,0.35720940,0.33828580,0.86918220,0.35904700,0.31887500,0.88864000,0.37439850,0.30717070,0.91232390,0.39370470,0.35467670,0.92474340,0.35147400,0.34568400,0.94874480,0.37777400,0.33328800,0.95495140,0.39678950,0.37293230,0.92153890,0.36263220,0.34794090,0.93366380,0.39355220,0.33894730,0.90871420,0.39068860,0.38282010,0.91246740,0.37764730,0.35614710,0.91883380,0.40360360,0.34548340,0.89600440,0.39839370,0.37909120,0.85938670,0.37909600,0.38907700,0.89995920,0.39351680,0.36507840,0.90620860,0.40994260,0.35521280,0.89010200,0.40446280,0.29758950,0.92796250,0.40893550,0.32306200,0.96038660,0.41511530,0.34744790,0.89649890,0.37160600,0.35518370,0.88450970,0.38019860,0.36427450,0.88016430,0.38799640,13,4
