RootPos_x,RootPos_y,RootPos_z,Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.00341322,1.03258500,0.48871010,0.00341322,1.03258500,0.48871010,0.00341322,1.03258500,0.48871010,-0.00557304,1.05320700,0.47793440,-0.02383233,1.06905200,0.48109130,-0.04509662,1.09268200,0.47848020,-0.05931576,1.12198600,0.47230860,-0.00384108,1.12887800,0.47734840,-0.00637434,1.16413300,0.46572550,-0.00848239,1.18515100,0.45466780,0.01767292,1.12468200,0.47738940,0.02003826,1.15935900,0.45361150,0.02048965,1.17932300,0.43540010,0.03362583,1.11414700,0.47026350,0.04020122,1.14375200,0.44694380,0.04137796,1.16037600,0.42689720,0.02878968,1.06044900,0.47163910,0.04670451,1.10004100,0.46081430,0.06139248,1.12115700,0.44510970,0.06757829,1.13241100,0.42987410,-0.07391964,1.14091600,0.46886900,-0.00937617,1.20368000,0.44290790,0.02097337,1.19700000,0.41841570,0.03982083,1.17413800,0.40739750,0.07456199,1.14692700,0.41557270,10,5
0.00335948,1.02939200,0.48838760,0.00335948,1.02939200,0.48838760,0.00335948,1.02939200,0.48838760,-0.00572742,1.05001700,0.47770040,-0.02409172,1.06570700,0.48101660,-0.04543504,1.08930600,0.47880120,-0.05977762,1.11863400,0.47304050,-0.00441174,1.12569800,0.47748100,-0.00687431,1.16083600,0.46549500,-0.00904400,1.18145500,0.45372230,0.01712499,1.12162100,0.47752810,0.01971518,1.15613500,0.45353900,0.02011886,1.17564200,0.43483670,0.03314420,1.11120800,0.47037090,0.03985442,1.14107500,0.44742620,0.04107874,1.15785400,0.42751260,0.02860235,1.05747800,0.47148190,0.04631165,1.09722000,0.46086980,0.06049041,1.11840800,0.44479910,0.06642541,1.12967600,0.42947390,-0.07435940,1.13761700,0.46981070,-0.01003703,1.19944300,0.44115730,0.02043577,1.19270700,0.41723410,0.03939873,1.17155200,0.40797780,0.07313418,1.14421900,0.41506900,10,5
0.00315372,1.02593200,0.48744540,0.00315372,1.02593200,0.48744540,0.00315372,1.02593200,0.48744540,-0.00600172,1.04664200,0.47698590,-0.02445682,1.06216900,0.48055520,-0.04585309,1.08576500,0.47888180,-0.06028321,1.11516300,0.47372500,-0.00502263,1.12232600,0.47767610,-0.00737283,1.15743800,0.46559110,-0.00956892,1.17773800,0.45328150,0.01653189,1.11834300,0.47772220,0.01938959,1.15286600,0.45377440,0.01977694,1.17205400,0.43474540,0.03261281,1.10808800,0.47047640,0.03946115,1.13831200,0.44804610,0.04071903,1.15531900,0.42832830,0.02830789,1.05432900,0.47093360,0.04586301,1.09427300,0.46083780,0.05957674,1.11563100,0.44458850,0.06529245,1.12701600,0.42926680,-0.07482453,1.13423000,0.47082870,-0.01062561,1.19526000,0.44008030,0.01995682,1.18863500,0.41668490,0.03890659,1.16902700,0.40881250,0.07175948,1.14168300,0.41487630,10,5
0.00296848,1.02250100,0.48650460,0.00296848,1.02250100,0.48650460,0.00296848,1.02250100,0.48650460,-0.00625630,1.04328400,0.47625200,-0.02479827,1.05865000,0.48006100,-0.04624467,1.08223200,0.47891040,-0.06075978,1.11168300,0.47432870,-0.00560384,1.11895900,0.47776220,-0.00784274,1.15403100,0.46554140,-0.01006454,1.17398600,0.45268310,0.01596748,1.11506900,0.47780670,0.01908238,1.14956700,0.45385670,0.01944292,1.16841300,0.43448730,0.03210587,1.10496100,0.47048130,0.03905989,1.13547600,0.44848090,0.04031642,1.15264300,0.42890260,0.02803123,1.05118300,0.47034900,0.04543336,1.09130900,0.46071930,0.05867705,1.11281100,0.44427130,0.06416953,1.12429200,0.42894000,-0.07526112,1.13082600,0.47175130,-0.01118359,1.19100500,0.43884410,0.01947443,1.18448200,0.41596860,0.03833934,1.16629500,0.40936300,0.07039086,1.13906200,0.41454680,10,5
0.00279951,1.01909600,0.48556520,0.00279951,1.01909600,0.48556520,0.00279951,1.01909600,0.48556520,-0.00649514,1.03994100,0.47550320,-0.02510424,1.05520200,0.47940820,-0.04649578,1.07884900,0.47866710,-0.06079340,1.10845100,0.47438530,-0.00616113,1.11560000,0.47776290,-0.00825080,1.15047000,0.46495230,-0.01053356,1.16969700,0.45103830,0.01542613,1.11179900,0.47780510,0.01872213,1.14657200,0.45428040,0.01890164,1.16506700,0.43457340,0.03161858,1.10183200,0.47040720,0.03854833,1.13280000,0.44904210,0.03948562,1.14996100,0.42944080,0.02776875,1.04804100,0.46973630,0.04501896,1.08833200,0.46053320,0.05783616,1.10978600,0.44368900,0.06290902,1.12113100,0.42811390,-0.07503137,1.12780200,0.47188650,-0.01176393,1.18572800,0.43607480,0.01858046,1.18049600,0.41552060,0.03691358,1.16314800,0.40965300,0.06859158,1.13574100,0.41333970,10,5
0.00403600,1.01606100,0.48374430,0.00403600,1.01606100,0.48374430,0.00403600,1.01606100,0.48374430,-0.00534537,1.03695300,0.47386070,-0.02414348,1.05198600,0.47774300,-0.04561558,1.07556700,0.47729430,-0.05984183,1.10524400,0.47329980,-0.00577337,1.11257300,0.47715590,-0.00778217,1.14729100,0.46392680,-0.01007259,1.16584000,0.44912220,0.01584797,1.10897900,0.47739600,0.01934766,1.14410400,0.45443080,0.01945589,1.16234000,0.43448400,0.03222016,1.09926900,0.47005060,0.03914598,1.13076400,0.44946790,0.03988400,1.14799400,0.42991870,0.02890179,1.04545800,0.46860150,0.04586327,1.08603500,0.46014900,0.05831642,1.10758900,0.44315940,0.06308944,1.11890400,0.42746750,-0.07391747,1.12471700,0.47083410,-0.01132737,1.18093700,0.43321910,0.01891341,1.17721700,0.41500250,0.03689165,1.16078900,0.40993330,0.06833266,1.13345500,0.41247500,10,5
0.00516788,1.01301200,0.48199660,0.00516788,1.01301200,0.48199660,0.00516788,1.01301200,0.48199660,-0.00430088,1.03394300,0.47228070,-0.02327402,1.04875900,0.47614650,-0.04482517,1.07227200,0.47599160,-0.05898752,1.10201600,0.47228340,-0.00545551,1.10950800,0.47653050,-0.00737055,1.14407400,0.46289430,-0.00964282,1.16193600,0.44726650,0.01619415,1.10610600,0.47695270,0.01987778,1.14154000,0.45449540,0.01992221,1.15950900,0.43430780,0.03273018,1.09664000,0.46965760,0.03962718,1.12860200,0.44979930,0.04017149,1.14587800,0.43028380,0.02991989,1.04282400,0.46749090,0.04659629,1.08365700,0.45973300,0.05869030,1.10529200,0.44258830,0.06317370,1.11656600,0.42678210,-0.07290608,1.12160800,0.46986460,-0.01089326,1.17608500,0.43051380,0.01917592,1.17382700,0.41441790,0.03678937,1.15826500,0.41010460,0.06799451,1.13104600,0.41158060,10,5
0.00621763,1.00995200,0.48030620,0.00621763,1.00995200,0.48030620,0.00621763,1.00995200,0.48030620,-0.00333913,1.03091600,0.47074930,-0.02248016,1.04551000,0.47462860,-0.04420047,1.06886800,0.47465260,-0.05820651,1.09868100,0.47090300,-0.00519285,1.10641100,0.47589040,-0.00715732,1.14108700,0.46254270,-0.00942477,1.15882000,0.44676770,0.01648057,1.10319100,0.47648250,0.02033667,1.13915600,0.45491630,0.02039213,1.15718700,0.43478330,0.03316790,1.09395600,0.46923610,0.04020241,1.12623900,0.44995430,0.04045225,1.14322100,0.43017640,0.03084752,1.04014800,0.46639930,0.04724149,1.08121300,0.45929260,0.05893359,1.10299200,0.44205210,0.06297703,1.11419700,0.42607890,-0.07191478,1.11839800,0.46830450,-0.01066852,1.17265700,0.42975590,0.01950826,1.17123700,0.41470960,0.03645857,1.15465400,0.40955080,0.06713288,1.12853800,0.41055300,10,5
0.00699782,1.00660400,0.47842580,0.00699782,1.00660400,0.47842580,0.00699782,1.00660400,0.47842580,-0.00259990,1.02765400,0.46910160,-0.02190169,1.04202800,0.47300620,-0.04376194,1.06525300,0.47326820,-0.05757982,1.09516700,0.46962030,-0.00509333,1.10303700,0.47547820,-0.00702449,1.13786100,0.46251840,-0.00921463,1.15549300,0.44662000,0.01659507,1.09996700,0.47628700,0.02069854,1.13650600,0.45575510,0.02083663,1.15466300,0.43573650,0.03344068,1.09097900,0.46909640,0.04067488,1.12366000,0.45057170,0.04074112,1.14048100,0.43065570,0.03156640,1.03721100,0.46533320,0.04773294,1.07851000,0.45911800,0.05910094,1.10049400,0.44192040,0.06277588,1.11169200,0.42585380,-0.07105327,1.11503300,0.46693360,-0.01037487,1.16904600,0.42937490,0.01989603,1.16852100,0.41553220,0.03628452,1.15112300,0.40970430,0.06634519,1.12594700,0.41010420,10,5
0.00774410,1.00327300,0.47660160,0.00774410,1.00327300,0.47660160,0.00774410,1.00327300,0.47660160,-0.00190113,1.02439800,0.46749850,-0.02135662,1.03855800,0.47142460,-0.04335145,1.06165200,0.47192490,-0.05698278,1.09166400,0.46838850,-0.00502784,1.09965100,0.47503170,-0.00692365,1.13459400,0.46239160,-0.00903536,1.15207700,0.44631890,0.01667194,1.09672600,0.47604540,0.02099209,1.13377400,0.45649350,0.02119690,1.15201500,0.43655200,0.03366590,1.08797500,0.46891150,0.04106862,1.12102200,0.45111650,0.04095775,1.13768000,0.43106420,0.03223458,1.03426100,0.46428050,0.04816484,1.07576900,0.45890570,0.05919868,1.09792900,0.44171690,0.06249735,1.10909200,0.42554410,-0.07021831,1.11168000,0.46563090,-0.01010864,1.16528800,0.42880510,0.02019178,1.16563900,0.41619200,0.03606984,1.14752900,0.40982370,0.06547464,1.12322400,0.40956180,10,5
