RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.00176730,1.12379200,0.47083560,0.00176730,1.12379200,0.47083560,0.00176730,1.12379200,0.47083560,0.01766792,1.13865500,0.48301730,0.04110656,1.14508800,0.48493780,0.06892777,1.15974300,0.49027980,0.08469837,1.18614400,0.50266210,0.05115861,1.20653200,0.48382690,0.06668776,1.24031400,0.48240430,0.07653056,1.26163300,0.48653580,0.03040120,1.21268500,0.48040290,0.03892587,1.25382000,0.47745600,0.04458965,1.28006600,0.48053940,0.01055609,1.21114700,0.48488350,0.01129035,1.24937500,0.48360660,0.01238372,1.27526600,0.48643930,-0.00991897,1.16126100,0.48392360,-0.00875869,1.20528000,0.49208340,-0.01679092,1.23412100,0.49554020,-0.02336936,1.25258300,0.49913920,0.10153700,1.20128600,0.51106570,0.08427014,1.28183700,0.49032180,0.04960480,1.30370200,0.48470430,0.01474802,1.29880800,0.48993830,-0.02890206,1.27335700,0.50049080,10,5
0.00086088,1.12118300,0.46934990,0.00086088,1.12118300,0.46934990,0.00086088,1.12118300,0.46934990,0.01672874,1.13585300,0.48180630,0.04019435,1.14210000,0.48399060,0.06805231,1.15660500,0.48954700,0.08393613,1.18285300,0.50211020,0.05065634,1.20349600,0.48346020,0.06624761,1.23726500,0.48245010,0.07607259,1.25854000,0.48684400,0.02997763,1.20981300,0.47986100,0.03859843,1.25098100,0.47777640,0.04426823,1.27711800,0.48166560,0.01007624,1.20837500,0.48411980,0.01082771,1.24662000,0.48362390,0.01193181,1.27241600,0.48722590,-0.01071637,1.15863500,0.48258330,-0.00935238,1.20258600,0.49107220,-0.01725815,1.23144700,0.49465350,-0.02374865,1.24991200,0.49838890,0.10083310,1.19785400,0.51064720,0.08379707,1.27870200,0.49087060,0.04928168,1.30059200,0.48666420,0.01430913,1.29582600,0.49151420,-0.02915011,1.27070700,0.49993820,10,5
-0.00005501,1.11858900,0.46793480,-0.00005501,1.11858900,0.46793480,-0.00005501,1.11858900,0.46793480,0.01578831,1.13307200,0.48063920,0.03926703,1.13916300,0.48310250,0.06711991,1.15364500,0.48874660,0.08285052,1.17990100,0.50148360,0.05012216,1.20048600,0.48307860,0.06575999,1.23423900,0.48229750,0.07557412,1.25549400,0.48680720,0.02951767,1.20695800,0.47933300,0.03826466,1.24812700,0.47789820,0.04395908,1.27418000,0.48228360,0.00956904,1.20561600,0.48339800,0.01050894,1.24386000,0.48369860,0.01173429,1.26953700,0.48803410,-0.01151958,1.15602100,0.48132220,-0.00995905,1.19990300,0.49013020,-0.01760933,1.22882000,0.49381410,-0.02393637,1.24732200,0.49764410,0.09966140,1.19492200,0.51015310,0.08328934,1.27564200,0.49092520,0.04898580,1.29753500,0.48780160,0.01421922,1.29279200,0.49304390,-0.02912397,1.26815900,0.49935110,10,5
0.00017777,1.11427300,0.46496630,0.00017777,1.11427300,0.46496630,0.00017777,1.11427300,0.46496630,0.01599753,1.12865200,0.47781710,0.03947522,1.13468000,0.48044160,0.06729509,1.14924500,0.48603270,0.08284687,1.17558200,0.49882160,0.05049205,1.19596400,0.48075190,0.06604882,1.22975700,0.48008040,0.07579280,1.25103300,0.48464490,0.02992227,1.20250800,0.47694050,0.03862872,1.24370000,0.47603510,0.04426495,1.26968800,0.48086190,0.00995115,1.20119800,0.48090410,0.01091546,1.23942900,0.48190390,0.01216618,1.26498400,0.48689900,-0.01125440,1.15166800,0.47848370,-0.00962333,1.19550200,0.48751540,-0.01713070,1.22444300,0.49130180,-0.02335928,1.24295700,0.49523600,0.09956001,1.19069500,0.50752130,0.08344211,1.27119700,0.48880760,0.04923654,1.29293800,0.48685460,0.01467595,1.28808700,0.49255720,-0.02841907,1.26381200,0.49710040,10,5
0.00030712,1.11011200,0.46217770,0.00030712,1.11011200,0.46217770,0.00030712,1.11011200,0.46217770,0.01611062,1.12438500,0.47516620,0.03958818,1.13034600,0.47794010,0.06737988,1.14498600,0.48347590,0.08277260,1.17139300,0.49631330,0.05077137,1.19158900,0.47858090,0.06625153,1.22541900,0.47802450,0.07592976,1.24671100,0.48265620,0.03023535,1.19820600,0.47471540,0.03890050,1.23941600,0.47433660,0.04447985,1.26532800,0.47961670,0.01024425,1.19693100,0.47858830,0.01122195,1.23513700,0.48027400,0.01249024,1.26055700,0.48591420,-0.01108256,1.14747000,0.47583240,-0.00937308,1.19125400,0.48508860,-0.01674694,1.22021300,0.48899760,-0.02288206,1.23873300,0.49305140,0.09939769,1.18658700,0.50503940,0.08351734,1.26688500,0.48687910,0.04939739,1.28845800,0.48609700,0.01501794,1.28349300,0.49220690,-0.02782167,1.25960000,0.49508820,10,5
0.00034065,1.10586900,0.45940910,0.00034065,1.10586900,0.45940910,0.00034065,1.10586900,0.45940910,0.01613420,1.12002600,0.47253510,0.03963609,1.12586900,0.47535530,0.06746142,1.14048700,0.48077900,0.08273774,1.16691200,0.49371610,0.05097668,1.18711000,0.47644190,0.06651006,1.22091800,0.47606060,0.07620477,1.24217700,0.48080790,0.03047544,1.19380800,0.47253080,0.03929683,1.23498600,0.47242280,0.04495117,1.26086300,0.47779120,0.01046557,1.19257000,0.47631820,0.01179805,1.23075800,0.47817610,0.01329365,1.25613500,0.48395360,-0.01099408,1.14318800,0.47321660,-0.00919373,1.18691700,0.48271120,-0.01587187,1.21599400,0.48697760,-0.02148609,1.23456900,0.49150360,0.09923514,1.18219700,0.50252720,0.08380853,1.26232400,0.48513130,0.04992301,1.28397800,0.48428340,0.01602548,1.27900800,0.49038720,-0.02581919,1.25549500,0.49421100,10,5
-0.00125432,1.10299500,0.46184130,-0.00125432,1.10299500,0.46184130,-0.00125432,1.10299500,0.46184130,0.01460554,1.11713700,0.47490300,0.03814465,1.12288700,0.47760050,0.06602795,1.13752500,0.48266050,0.08127049,1.16406200,0.49540730,0.04965458,1.18412600,0.47857900,0.06523147,1.21791100,0.47802340,0.07496491,1.23917500,0.48266960,0.02916615,1.19087500,0.47468910,0.03812594,1.23202300,0.47450760,0.04387534,1.25789900,0.47978330,0.00915973,1.18970700,0.47851640,0.01080843,1.22788600,0.48029790,0.01253301,1.25325100,0.48606020,-0.01245242,1.14038100,0.47557690,-0.01050443,1.18412800,0.48495960,-0.01649836,1.21333400,0.48936080,-0.02159450,1.23198000,0.49419790,0.09770175,1.17949100,0.50409040,0.08260501,1.25932800,0.48689910,0.04893079,1.28103100,0.48614710,0.01547742,1.27609900,0.49249240,-0.02533576,1.25295500,0.49737020,10,5
-0.00275240,1.10012600,0.46392060,-0.00275240,1.10012600,0.46392060,-0.00275240,1.10012600,0.46392060,0.01317040,1.11424400,0.47693190,0.03674011,1.11991000,0.47953990,0.06465784,1.13460600,0.48422770,0.07973033,1.16130600,0.49683540,0.04842468,1.18113500,0.48043320,0.06418939,1.21483200,0.47979000,0.07404920,1.23603500,0.48444660,0.02795025,1.18793800,0.47656390,0.03719713,1.22902300,0.47667200,0.04312979,1.25479900,0.48222390,0.00794658,1.18683600,0.48042520,0.00990763,1.22499000,0.48242340,0.01187931,1.25026100,0.48851160,-0.01381708,1.13757000,0.47760770,-0.01172377,1.18132800,0.48690970,-0.01710059,1.21062400,0.49150060,-0.02167924,1.22927600,0.49680870,0.09597188,1.17696700,0.50545970,0.08180903,1.25613100,0.48872690,0.04834570,1.27783300,0.48881070,0.01506133,1.27297100,0.49530720,-0.02481044,1.25023300,0.50068580,10,5
-0.00334707,1.09756200,0.46423060,-0.00334707,1.09756200,0.46423060,-0.00334707,1.09756200,0.46423060,0.01250307,1.11166500,0.47734750,0.03606219,1.11734100,0.48002630,0.06391783,1.13219800,0.48457460,0.07863787,1.15906000,0.49725520,0.04763900,1.17859800,0.48119370,0.06342667,1.21228700,0.48071250,0.07328097,1.23345500,0.48553450,0.02716912,1.18538200,0.47726620,0.03649689,1.22644300,0.47791350,0.04245200,1.25211600,0.48390420,0.00715238,1.18423700,0.48104630,0.00922235,1.22236000,0.48346890,0.01127859,1.24750800,0.49002320,-0.01452322,1.13494600,0.47799110,-0.01253436,1.17867800,0.48743720,-0.01748094,1.20800300,0.49231660,-0.02167831,1.22659500,0.49812970,0.09457799,1.17497100,0.50598300,0.08103605,1.25351300,0.49000290,0.04767641,1.27503700,0.49086660,0.01454384,1.27005200,0.49731440,-0.02433784,1.24746500,0.50275160,10,5
-0.00394538,1.09498200,0.46443800,-0.00394538,1.09498200,0.46443800,-0.00394538,1.09498200,0.46443800,0.01184096,1.10906100,0.47765650,0.03539153,1.11474000,0.48040290,0.06319056,1.12974200,0.48482030,0.07758635,1.15674500,0.49757360,0.04688388,1.17602300,0.48184170,0.06269518,1.20970200,0.48151960,0.07254528,1.23083600,0.48650130,0.02642025,1.18279500,0.47786220,0.03582523,1.22382700,0.47903390,0.04180089,1.24939200,0.48545190,0.00639144,1.18161500,0.48156680,0.00856551,1.21970300,0.48441050,0.01070120,1.24472100,0.49141960,-0.01521491,1.13230900,0.47827710,-0.01331152,1.17601200,0.48786920,-0.01785314,1.20535600,0.49302570,-0.02169318,1.22387100,0.49930890,0.09324519,1.17288000,0.50639980,0.08029651,1.25085400,0.49115130,0.04703324,1.27219600,0.49278460,0.01404407,1.26709300,0.49919170,-0.02390823,1.24462800,0.50462340,10,5
