RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.04321591,0.91745270,0.38596160,0.04321591,0.91745270,0.38596160,0.04321591,0.91745270,0.38596160,0.03779484,0.94086180,0.37927040,0.02156913,0.95905880,0.37944080,0.00544014,0.98604620,0.37406650,-0.00733720,1.01652200,0.37142380,0.04227355,1.01380300,0.39899130,0.05063366,1.04920800,0.39118060,0.05505979,1.06734500,0.37635010,0.06299348,1.00768700,0.40269700,0.07632944,1.04574200,0.39055530,0.08420044,1.06877800,0.37881450,0.07980680,0.99776250,0.39677350,0.09597658,1.03076000,0.38613390,0.10327070,1.05062100,0.37090330,0.07289895,0.94610980,0.38288070,0.09426066,0.98524500,0.38709300,0.11095060,1.00942900,0.38039690,0.12119840,1.02435300,0.37207140,-0.01853744,1.03760900,0.36777240,0.06070777,1.08424300,0.36350570,0.08972749,1.08724500,0.36366340,0.10661460,1.06714100,0.35393430,0.12650400,1.04067400,0.35905280,10,7
0.04310155,0.91697680,0.38562930,0.04310155,0.91697680,0.38562930,0.04310155,0.91697680,0.38562930,0.03783961,0.94048490,0.37916160,0.02133551,0.95842340,0.37966700,0.00498609,0.98555530,0.37593790,-0.00841269,1.01587100,0.37526460,0.04196995,1.01313400,0.40000840,0.05055699,1.04863100,0.39289570,0.05535104,1.06708700,0.37858330,0.06260366,1.00694100,0.40405420,0.07607326,1.04532100,0.39314440,0.08402688,1.06847400,0.38169360,0.07952771,0.99708330,0.39833890,0.09563698,1.03044300,0.38879170,0.10287110,1.05045300,0.37372960,0.07286585,0.94564150,0.38357160,0.09416839,0.98468860,0.38878200,0.11075370,1.00918400,0.38302420,0.12105470,1.02438700,0.37529040,-0.02062188,1.03660900,0.37319020,0.06130920,1.08422500,0.36620470,0.08965671,1.08697400,0.36662040,0.10626420,1.06710900,0.35690260,0.12646020,1.04100300,0.36269330,10,7
0.04293678,0.91656540,0.38532680,0.04293678,0.91656540,0.38532680,0.04293678,0.91656540,0.38532680,0.03782854,0.94016320,0.37906620,0.02120298,0.95798650,0.37966060,0.00484873,0.98523550,0.37694380,-0.00883719,1.01542500,0.37752700,0.04161265,1.01252500,0.40094870,0.05029210,1.04808300,0.39426140,0.05533252,1.06662000,0.38013910,0.06215513,1.00625500,0.40532430,0.07554896,1.04483500,0.39504600,0.08346197,1.06798000,0.38355070,0.07918042,0.99645170,0.39981890,0.09494519,1.03019100,0.39106470,0.10212380,1.05045100,0.37631280,0.07276459,0.94521740,0.38424330,0.09399715,0.98416570,0.39039380,0.11030430,1.00897300,0.38520540,0.12044310,1.02440700,0.37771810,-0.02143284,1.03600300,0.37637820,0.06146090,1.08368300,0.36774160,0.08913901,1.08642100,0.36842310,0.10555590,1.06730100,0.35968900,0.12565140,1.04116000,0.36521990,10,7
0.04276486,0.91592260,0.38540460,0.04276486,0.91592260,0.38540460,0.04276486,0.91592260,0.38540460,0.03764320,0.93961570,0.37952610,0.02086375,0.95727370,0.38056390,0.00438723,0.98455110,0.37921800,-0.00964281,1.01451100,0.38136520,0.04129701,1.01160800,0.40261720,0.04987873,1.04726600,0.39634940,0.05487995,1.06595600,0.38241590,0.06183713,1.00528800,0.40693280,0.07491069,1.04412500,0.39722380,0.08255954,1.06733200,0.38567570,0.07888553,0.99559710,0.40130240,0.09412070,1.02973900,0.39319280,0.10095090,1.05028100,0.37866810,0.07256214,0.94462170,0.38486300,0.09373672,0.98348600,0.39170670,0.10965620,1.00862300,0.38691600,0.11950080,1.02431800,0.37957980,-0.02269903,1.03483200,0.38140880,0.06093285,1.08302100,0.36998440,0.08799667,1.08579000,0.37047980,0.10409920,1.06736300,0.36222540,0.12430410,1.04125900,0.36717300,10,7
0.04254197,0.91533880,0.38545800,0.04254197,0.91533880,0.38545800,0.04254197,0.91533880,0.38545800,0.03742842,0.93911950,0.37993750,0.02060487,0.95671920,0.38122190,0.00408071,0.98398720,0.38035070,-0.00992384,1.01392000,0.38298560,0.04092906,1.01073500,0.40419430,0.04952519,1.04646400,0.39836910,0.05450720,1.06503100,0.38426540,0.06145490,1.00436100,0.40849740,0.07429054,1.04340500,0.39931680,0.08167644,1.06652100,0.38742010,0.07853469,0.99477230,0.40278670,0.09354203,1.02913100,0.39518630,0.10011330,1.04975000,0.38065110,0.07232019,0.94406270,0.38550570,0.09343627,0.98282640,0.39306300,0.10914180,1.00812500,0.38841570,0.11876280,1.02394000,0.38104250,-0.02295645,1.03425300,0.38335210,0.06046560,1.08171200,0.37127840,0.08686655,1.08480400,0.37193010,0.10298700,1.06681300,0.36413770,0.12326250,1.04094100,0.36860470,10,7
0.04234859,0.91487210,0.38583980,0.04234859,0.91487210,0.38583980,0.04234859,0.91487210,0.38583980,0.03714159,0.93876300,0.38091450,0.02022359,0.95622400,0.38273760,0.00356926,0.98342650,0.38282020,-0.01050041,1.01322500,0.38644240,0.04049272,1.00978000,0.40689170,0.04897050,1.04564200,0.40174940,0.05378257,1.06423200,0.38761660,0.06105253,1.00337000,0.41097400,0.07348519,1.04271900,0.40257630,0.08046719,1.06586800,0.39049980,0.07814419,0.99397860,0.40497840,0.09276585,1.02865200,0.39808870,0.09890926,1.04948500,0.38367170,0.07203526,0.94368330,0.38649100,0.09305222,0.98232080,0.39492060,0.10843030,1.00786400,0.39052670,0.11772590,1.02389100,0.38319300,-0.02361847,1.03347800,0.38751830,0.05950302,1.08065500,0.37420170,0.08525298,1.08412000,0.37484390,0.10134010,1.06667100,0.36721590,0.12177670,1.04106700,0.37084000,10,7
0.04211802,0.91443610,0.38617870,0.04211802,0.91443610,0.38617870,0.04211802,0.91443610,0.38617870,0.03684189,0.93842050,0.38181320,0.01983047,0.95573230,0.38412470,0.00306241,0.98284570,0.38514790,-0.01108022,1.01247400,0.38975460,0.04003254,1.00882600,0.40942400,0.04842316,1.04479900,0.40495750,0.05310958,1.06342500,0.39083080,0.06061390,1.00237900,0.41333520,0.07269742,1.04199600,0.40572850,0.07933410,1.06518400,0.39353170,0.07772386,0.99317450,0.40710590,0.09199908,1.02812900,0.40094490,0.09777015,1.04916100,0.38666520,0.07172849,0.94330430,0.38746550,0.09265172,0.98179270,0.39676520,0.10772830,1.00756400,0.39266290,0.11673120,1.02379000,0.38540310,-0.02430392,1.03260700,0.39153990,0.05863342,1.07962000,0.37705980,0.08378026,1.08341400,0.37775080,0.09982148,1.06646400,0.37028020,0.12038200,1.04112700,0.37315150,10,7
0.04185853,0.91402470,0.38648330,0.04185853,0.91402470,0.38648330,0.04185853,0.91402470,0.38648330,0.03653101,0.93808850,0.38264950,0.01946564,0.95528990,0.38535440,0.00261753,0.98232180,0.38701840,-0.01108696,1.01208000,0.39208550,0.03954902,1.00786900,0.41182190,0.04799876,1.04394200,0.40839120,0.05266177,1.06271100,0.39444730,0.06014266,1.00138200,0.41560080,0.07212641,1.04115800,0.40869240,0.07850395,1.06420800,0.39610450,0.07727656,0.99235710,0.40917830,0.09157436,1.02740100,0.40361070,0.09687538,1.04823400,0.38886220,0.07140353,0.94292300,0.38842960,0.09223546,0.98124160,0.39859570,0.10714860,1.00715100,0.39477570,0.11581860,1.02350400,0.38739700,-0.02398315,1.03239600,0.39417340,0.05807829,1.07878100,0.38048960,0.08262988,1.08217000,0.37993310,0.09831208,1.06509900,0.37196390,0.11892580,1.04084600,0.37500350,10,7
0.04185914,0.91316780,0.38699940,0.04185914,0.91316780,0.38699940,0.04185914,0.91316780,0.38699940,0.03647496,0.93729200,0.38365520,0.01930549,0.95434320,0.38663770,0.00232574,0.98125030,0.38888470,-0.01108536,1.01105900,0.39442010,0.03902408,1.00642300,0.41437730,0.04750570,1.04257400,0.41201200,0.05221613,1.06148200,0.39827260,0.05961163,0.99992450,0.41816940,0.07147183,1.03986500,0.41204480,0.07764164,1.06279000,0.39912810,0.07682554,0.99110140,0.41168070,0.09109181,1.02626300,0.40681470,0.09598815,1.04691700,0.39168100,0.07128543,0.94211650,0.38980570,0.09190337,0.98027250,0.40097050,0.10662830,1.00634300,0.39754110,0.11498950,1.02283800,0.39012040,-0.02376202,1.03148000,0.39680480,0.05759702,1.07742500,0.38415600,0.08153585,1.08048900,0.38261320,0.09690712,1.06335600,0.37433250,0.11761830,1.04018600,0.37762560,10,7
0.04181825,0.91236480,0.38747460,0.04181825,0.91236480,0.38747460,0.04181825,0.91236480,0.38747460,0.03638552,0.93653910,0.38460420,0.01910735,0.95343110,0.38785260,0.00199631,0.98019610,0.39071630,-0.01108075,1.01005600,0.39675190,0.03847090,1.00500300,0.41681910,0.04699801,1.04119600,0.41550350,0.05176780,1.06021700,0.40194130,0.05904757,0.99848560,0.42063790,0.07078148,1.03857400,0.41527820,0.07674479,1.06133700,0.40198480,0.07634066,0.98985460,0.41410150,0.09055899,1.02512400,0.40992470,0.09504084,1.04556900,0.39438460,0.07113014,0.94133370,0.39113850,0.09153795,0.97930250,0.40328450,0.10606490,1.00553000,0.40022950,0.11410590,1.02215600,0.39274920,-0.02352346,1.03058000,0.39946380,0.05711813,1.07598900,0.38762260,0.08040813,1.07872100,0.38508750,0.09543453,1.06153000,0.37657590,0.11624250,1.03948200,0.38012970,10,7
