RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.04681931,0.92105020,0.39773230,-0.04681931,0.92105020,0.39773230,-0.04681931,0.92105020,0.39773230,-0.04209285,0.94332250,0.38754640,-0.03137586,0.95393850,0.36839240,-0.01557143,0.97528590,0.35073300,-0.00918757,1.00465100,0.33673410,-0.06722422,0.99653290,0.33993830,-0.07798479,1.02896300,0.32521130,-0.07998859,1.05252200,0.32214370,-0.08542266,0.99318300,0.35168800,-0.09350614,1.03300200,0.34061630,-0.09432346,1.05993600,0.33853160,-0.09456584,0.99063940,0.36974900,-0.10240670,1.02641400,0.35869470,-0.10021560,1.05236400,0.35750530,-0.07373362,0.95225890,0.40139840,-0.09932715,0.98731860,0.39037950,-0.09941494,1.01486500,0.37815490,-0.09560749,1.03414100,0.37484010,-0.00520511,1.02749300,0.32996580,-0.08201690,1.07437500,0.32126730,-0.09453227,1.08443400,0.33756840,-0.09477291,1.07565300,0.35778590,-0.09154202,1.05429300,0.36840800,10,6
-0.04629625,0.92315600,0.39865230,-0.04629625,0.92315600,0.39865230,-0.04629625,0.92315600,0.39865230,-0.04110366,0.94522540,0.38825380,-0.03020978,0.95544280,0.36898320,-0.01362012,0.97635600,0.35152550,-0.00667956,1.00586600,0.33810680,-0.06518260,0.99855940,0.34024180,-0.07477234,1.03161600,0.32611120,-0.07589573,1.05528400,0.32345800,-0.08341575,0.99572270,0.35207240,-0.09006298,1.03588300,0.34128150,-0.08991565,1.06284100,0.33936430,-0.09255880,0.99354520,0.37018140,-0.09919295,1.02948900,0.35888730,-0.09601019,1.05533400,0.35765670,-0.07249452,0.95499110,0.40211460,-0.09733069,0.99051570,0.39085420,-0.09660868,1.01782800,0.37813380,-0.09218944,1.03692300,0.37454530,-0.00277049,1.02895000,0.33216910,-0.07733165,1.07718800,0.32270920,-0.08915829,1.08733700,0.33863080,-0.08959077,1.07837200,0.35798970,-0.08748952,1.05683700,0.36781200,10,6
-0.04577512,0.92505820,0.39950300,-0.04577512,0.92505820,0.39950300,-0.04577512,0.92505820,0.39950300,-0.04016727,0.94693870,0.38892250,-0.02912901,0.95659270,0.36944470,-0.01132668,0.97692630,0.35250440,-0.00398498,1.00698800,0.34061150,-0.06329703,1.00038000,0.34056480,-0.07175915,1.03392900,0.32687890,-0.07197466,1.05766500,0.32464470,-0.08155154,0.99800180,0.35246330,-0.08646537,1.03855000,0.34220760,-0.08518991,1.06550000,0.34063370,-0.09068754,0.99614700,0.37061170,-0.09601229,1.03240500,0.35963340,-0.09215908,1.05815800,0.35840030,-0.07131748,0.95744040,0.40278810,-0.09546354,0.99337170,0.39131920,-0.09412824,1.02051300,0.37828770,-0.08892316,1.03942300,0.37476750,-0.00113814,1.03068100,0.33687900,-0.07265128,1.07961400,0.32419270,-0.08355805,1.08995800,0.34007970,-0.08527607,1.08106400,0.35860910,-0.08340980,1.05914500,0.36808750,10,6
-0.04630892,0.92734070,0.40130080,-0.04630892,0.92734070,0.40130080,-0.04630892,0.92734070,0.40130080,-0.04014133,0.94891180,0.39040150,-0.02891659,0.95781140,0.37067250,-0.00986886,0.97728560,0.35408070,-0.00192085,1.00762700,0.34334530,-0.06195772,1.00228600,0.34136380,-0.06903954,1.03624300,0.32790320,-0.06818885,1.05998800,0.32592330,-0.08023428,1.00057000,0.35334210,-0.08317846,1.04136400,0.34331320,-0.08063009,1.06823200,0.34187670,-0.08936280,0.99921570,0.37153850,-0.09314417,1.03567600,0.36059110,-0.08842638,1.06127700,0.35919080,-0.07095349,0.96044730,0.40420080,-0.09415023,0.99685870,0.39229520,-0.09199181,1.02370200,0.37876530,-0.08589847,1.04232800,0.37516150,0.00011295,1.03161600,0.34139240,-0.06797497,1.08194800,0.32560010,-0.07796960,1.09260000,0.34133560,-0.08088234,1.08397400,0.35915350,-0.07946400,1.06173300,0.36837590,10,6
-0.04671890,0.92950390,0.40299140,-0.04671890,0.92950390,0.40299140,-0.04671890,0.92950390,0.40299140,-0.04003341,0.95077230,0.39180630,-0.02865789,0.95897120,0.37186120,-0.00851071,0.97759840,0.35559870,0.00000027,1.00812500,0.34586430,-0.06061822,1.00406900,0.34215550,-0.06637685,1.03836300,0.32892160,-0.06452399,1.06207000,0.32718960,-0.07889886,1.00297000,0.35420000,-0.08000397,1.04390600,0.34437880,-0.07628100,1.07064400,0.34306910,-0.08800774,1.00207800,0.37243470,-0.09033853,1.03866500,0.36150540,-0.08481029,1.06409400,0.35995430,-0.07050215,0.96326320,0.40553610,-0.09279536,1.00010400,0.39323120,-0.08989325,1.02665900,0.37927820,-0.08300351,1.04499300,0.37561440,0.00130306,1.03223900,0.34541060,-0.06348349,1.08400900,0.32698510,-0.07266547,1.09488800,0.34254510,-0.07663618,1.08657100,0.35970420,-0.07574654,1.06407700,0.36874790,10,6
-0.04703519,0.93144040,0.40449780,-0.04703519,0.93144040,0.40449780,-0.04703519,0.93144040,0.40449780,-0.03989635,0.95242880,0.39306650,-0.02837320,0.96025810,0.37305780,-0.00749516,0.97838900,0.35716050,0.00075657,1.00940900,0.34887280,-0.05938908,1.00563800,0.34288400,-0.06488504,1.03961000,0.32873780,-0.06243822,1.06324500,0.32677160,-0.07765998,1.00508600,0.35498060,-0.07879353,1.04569000,0.34386830,-0.07502408,1.07236400,0.34169890,-0.08674143,1.00459800,0.37324430,-0.08888703,1.04101700,0.36173040,-0.08343363,1.06641100,0.35948600,-0.07003944,0.96575710,0.40672760,-0.09152095,1.00295900,0.39407180,-0.08827907,1.02917300,0.37956030,-0.08093354,1.04727700,0.37564160,0.00047663,1.03351500,0.35037220,-0.06076582,1.08514200,0.32643800,-0.07134850,1.09657100,0.34040410,-0.07551257,1.08895300,0.35841230,-0.07323825,1.06608000,0.36848540,10,6
-0.04644403,0.93118200,0.40479710,-0.04644403,0.93118200,0.40479710,-0.04644403,0.93118200,0.40479710,-0.03872145,0.95195980,0.39336060,-0.02705441,0.95954230,0.37334020,-0.00532895,0.97713830,0.35798660,0.00299189,1.00854500,0.35139500,-0.05682641,1.00582900,0.34336280,-0.06164196,1.03980600,0.32898320,-0.05832449,1.06334900,0.32719910,-0.07504238,1.00581900,0.35555450,-0.07561469,1.04630400,0.34397480,-0.07140778,1.07288400,0.34147320,-0.08403926,1.00558100,0.37386490,-0.08558749,1.04202400,0.36233070,-0.07990609,1.06734000,0.35978960,-0.06836791,0.96618740,0.40720030,-0.08875844,1.00405500,0.39471470,-0.08500563,1.03009200,0.38000940,-0.07706531,1.04793900,0.37607190,0.00145560,1.03239300,0.35490220,-0.05579112,1.08516600,0.32708880,-0.06732060,1.09700700,0.33988160,-0.07195650,1.08984500,0.35825570,-0.06879663,1.06648000,0.36887130,10,6
-0.04587124,0.93107810,0.40516080,-0.04587124,0.93107810,0.40516080,-0.04587124,0.93107810,0.40516080,-0.03759941,0.95163360,0.39370670,-0.02580188,0.95895120,0.37366420,-0.00326985,0.97596830,0.35882930,0.00515581,1.00763100,0.35377970,-0.05436249,1.00606500,0.34384980,-0.05843621,1.04008500,0.32934480,-0.05424400,1.06350500,0.32778590,-0.07251145,1.00657500,0.35613040,-0.07240169,1.04697300,0.34423940,-0.06768884,1.07344600,0.34151100,-0.08142234,1.00658000,0.37448440,-0.08232136,1.04305000,0.36296680,-0.07637565,1.06827900,0.36018110,-0.06674905,0.96670750,0.40770490,-0.08608276,1.00517000,0.39535550,-0.08185781,1.03103000,0.38046800,-0.07335882,1.04861300,0.37651320,0.00245777,1.03105800,0.35900720,-0.05086640,1.08520700,0.32791720,-0.06313175,1.09747000,0.33971580,-0.06836012,1.09073100,0.35824950,-0.06455242,1.06688900,0.36927140,10,6
-0.04536637,0.93104700,0.40551200,-0.04536637,0.93104700,0.40551200,-0.04536637,0.93104700,0.40551200,-0.03662157,0.95139350,0.39403610,-0.02467856,0.95864430,0.37405560,-0.00144314,0.97531590,0.35993040,0.00795178,1.00679000,0.35544050,-0.05220130,1.00627100,0.34428490,-0.05560580,1.04025700,0.32952720,-0.05078374,1.06355100,0.32791330,-0.07027964,1.00723400,0.35664220,-0.06989904,1.04743700,0.34411050,-0.06486706,1.07381000,0.34101410,-0.07911038,1.00745300,0.37503360,-0.07988114,1.04379200,0.36309940,-0.07368557,1.06892800,0.36003200,-0.06531859,0.96719490,0.40816670,-0.08371758,1.00614600,0.39592330,-0.07978438,1.03191400,0.38079680,-0.07128618,1.04944200,0.37660090,0.00586113,1.03023200,0.36087220,-0.04700890,1.08518700,0.32778710,-0.06003427,1.09775100,0.33886560,-0.06552831,1.09129600,0.35775320,-0.06252037,1.06764400,0.36912830,10,6
-0.04379833,0.93039700,0.40649210,-0.04379833,0.93039700,0.40649210,-0.04379833,0.93039700,0.40649210,-0.03459714,0.95062460,0.39516370,-0.02265962,0.95797050,0.37521470,0.00123210,0.97428270,0.36178170,0.01148094,1.00562700,0.35838420,-0.04917259,1.00660500,0.34634520,-0.05184365,1.04077100,0.33185580,-0.04626282,1.06391100,0.33048870,-0.06704926,1.00794300,0.35895840,-0.06622448,1.04813300,0.34640600,-0.06072308,1.07441000,0.34329550,-0.07562618,1.00818000,0.37746930,-0.07612951,1.04456400,0.36565970,-0.06957787,1.06961000,0.36259740,-0.06261675,0.96708700,0.40988660,-0.07999480,1.00673200,0.39840090,-0.07630531,1.03257300,0.38333900,-0.06771023,1.05003800,0.37907630,0.00971050,1.02888800,0.36464640,-0.04194441,1.08544600,0.33041140,-0.05547240,1.09826000,0.34111340,-0.06118639,1.09187900,0.36020290,-0.05890894,1.06820100,0.37155130,10,6
