RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.03293203,0.89093700,0.45381620,-0.03293203,0.89093700,0.45381620,-0.03293203,0.89093700,0.45381620,-0.01521171,0.90363920,0.46593200,0.00766351,0.91171250,0.46837660,0.03498097,0.92028530,0.48243410,0.05073042,0.93880100,0.50497670,0.01647413,0.97158010,0.47639610,0.02993194,1.00503000,0.48558270,0.03922816,1.02411200,0.49644180,-0.00466275,0.97698760,0.47850600,0.00150351,1.01570300,0.49388590,0.00690581,1.03690900,0.50974710,-0.02318725,0.97318170,0.48616290,-0.02005074,1.00723300,0.50331490,-0.01493027,1.02536100,0.52133610,-0.04249187,0.92360090,0.47734260,-0.04056896,0.96458630,0.49529030,-0.04025991,0.98965120,0.51202120,-0.03746132,1.00091000,0.52822170,0.06158282,0.95071430,0.52296890,0.04702067,1.03934000,0.51021870,0.01148369,1.05616100,0.52422300,-0.00901062,1.04174000,0.53772930,-0.03183496,1.01291600,0.54519810,10,1
-0.03232456,0.89102710,0.45222540,-0.03232456,0.89102710,0.45222540,-0.03232456,0.89102710,0.45222540,-0.01434961,0.90389130,0.46378230,0.00839576,0.91238420,0.46600720,0.03571699,0.92145020,0.47974430,0.05091299,0.94027100,0.50241370,0.01674866,0.97219800,0.47360870,0.03000136,1.00561800,0.48319280,0.03945201,1.02420100,0.49476060,-0.00436972,0.97728860,0.47653440,0.00192221,1.01562300,0.49279190,0.00784369,1.03591000,0.50963910,-0.02254521,0.97316360,0.48483540,-0.01868405,1.00657700,0.50306050,-0.01242495,1.02322000,0.52212480,-0.04146753,0.92337890,0.47634130,-0.03945789,0.96425540,0.49452650,-0.03853764,0.98860230,0.51226480,-0.03492063,0.99897060,0.52889190,0.06112335,0.95247210,0.52058790,0.04749415,1.03870900,0.50915730,0.01295660,1.05419600,0.52515170,-0.00540546,1.03808300,0.53949950,-0.02848072,1.01011200,0.54616640,10,1
-0.03049404,0.89126660,0.44882090,-0.03049404,0.89126660,0.44882090,-0.03049404,0.89126660,0.44882090,-0.01236554,0.90426460,0.45998150,0.01024705,0.91311140,0.46217990,0.03747039,0.92260180,0.47582440,0.05195192,0.94166870,0.49875430,0.01819024,0.97286620,0.46944810,0.03125293,1.00622000,0.47951430,0.04082934,1.02428200,0.49178210,-0.00289955,0.97768770,0.47297430,0.00350689,1.01561900,0.49010970,0.00988920,1.03497200,0.50786330,-0.02079620,0.97329320,0.48173040,-0.01626589,1.00607400,0.50092440,-0.00899970,1.02125400,0.52083360,-0.03936055,0.92334650,0.47339870,-0.03733766,0.96412160,0.49180880,-0.03577629,0.98776880,0.51042710,-0.03140370,0.99727370,0.52738520,0.06137948,0.95409740,0.51719530,0.04905728,1.03806600,0.50677290,0.01548767,1.05226700,0.52431600,-0.00100371,1.03461000,0.53899230,-0.02421909,1.00756800,0.54488970,10,1
-0.02876857,0.89149380,0.44564770,-0.02876857,0.89149380,0.44564770,-0.02876857,0.89149380,0.44564770,-0.01049230,0.90462980,0.45639820,0.01197965,0.91382920,0.45859180,0.03908661,0.92374950,0.47216210,0.05276304,0.94304340,0.49539450,0.01951493,0.97352200,0.46550270,0.03241621,1.00678000,0.47607850,0.04216289,1.02425700,0.48904140,-0.00152454,0.97807130,0.46963840,0.00507496,1.01553700,0.48769940,0.01200069,1.03384900,0.50633160,-0.01912190,0.97340820,0.47885040,-0.01381278,1.00548600,0.49900940,-0.00545492,1.01905800,0.51963800,-0.03732803,0.92330290,0.47068210,-0.03527302,0.96397570,0.48931370,-0.03289104,0.98685010,0.50879070,-0.02765255,0.99541400,0.52600300,0.06130415,0.95567080,0.51413000,0.05061741,1.03724700,0.50460370,0.01816794,1.05003500,0.52368440,0.00359284,1.03075300,0.53843780,-0.01961482,1.00478100,0.54365680,10,1
-0.02711075,0.89171300,0.44262890,-0.02711075,0.89171300,0.44262890,-0.02711075,0.89171300,0.44262890,-0.00869359,0.90499280,0.45295390,0.01364519,0.91452840,0.45507040,0.04067918,0.92510690,0.46828440,0.05421712,0.94470930,0.49133890,0.02075186,0.97417370,0.46169580,0.03340406,1.00748700,0.47239840,0.04330051,1.02461600,0.48570670,-0.00021449,0.97844520,0.46645260,0.00616932,1.01599700,0.48441290,0.01339121,1.03403900,0.50319470,-0.01748984,0.97351220,0.47612200,-0.01183472,1.00540200,0.49648290,-0.00272418,1.01822700,0.51727040,-0.03533261,0.92325020,0.46811650,-0.03322871,0.96381880,0.48696820,-0.03015920,0.98622240,0.50689120,-0.02395344,0.99386110,0.52421690,0.06261571,0.95754750,0.50999540,0.05198681,1.03717700,0.50149250,0.01989139,1.04987500,0.52074850,0.00706568,1.02908800,0.53619810,-0.01482479,1.00210000,0.54190270,10,1
-0.02599083,0.89139800,0.44045680,-0.02599083,0.89139800,0.44045680,-0.02599083,0.89139800,0.44045680,-0.00746252,0.90478440,0.45043950,0.01473247,0.91465430,0.45253690,0.04166711,0.92580500,0.46548040,0.05495921,0.94557290,0.48853680,0.02134632,0.97422440,0.45924810,0.03373972,1.00752000,0.47030400,0.04379597,1.02421300,0.48404010,0.00046784,0.97816700,0.46463380,0.00666073,1.01561800,0.48286990,0.01420756,1.03320200,0.50195570,-0.01647034,0.97289310,0.47471120,-0.01042860,1.00440800,0.49554030,-0.00053520,1.01628200,0.51653370,-0.03389800,0.92250890,0.46656040,-0.03178067,0.96286480,0.48586200,-0.02797341,0.98464380,0.50634220,-0.02081164,0.99126890,0.52371640,0.06311063,0.95850240,0.50723970,0.05272256,1.03624200,0.50010370,0.02107099,1.04851000,0.51983620,0.01002049,1.02612400,0.53560660,-0.01062391,0.99831030,0.54134120,10,1
-0.02487757,0.89112050,0.43832920,-0.02487757,0.89112050,0.43832920,-0.02487757,0.89112050,0.43832920,-0.00624423,0.90462350,0.44795290,0.01580601,0.91481830,0.45002250,0.04263171,0.92652520,0.46269850,0.05563723,0.94644530,0.48578710,0.02193277,0.97431730,0.45680170,0.03409895,1.00757700,0.46821240,0.04435564,1.02381100,0.48234400,0.00116647,0.97792770,0.46281710,0.00723077,1.01522900,0.48139830,0.01516120,1.03230500,0.50078890,-0.01541456,0.97231790,0.47329900,-0.00891062,1.00341800,0.49460670,0.00181911,1.01428400,0.51573500,-0.03243489,0.92181510,0.46502250,-0.03027902,0.96196250,0.48475000,-0.02565634,0.98309410,0.50573450,-0.01752414,0.98871070,0.52303660,0.06349508,0.95945150,0.50456250,0.05355861,1.03529100,0.49865170,0.02244539,1.04703400,0.51898580,0.01318409,1.02305200,0.53486680,-0.00628075,0.99457350,0.54044980,10,1
-0.02377156,0.89087330,0.43624050,-0.02377156,0.89087330,0.43624050,-0.02377156,0.89087330,0.43624050,-0.00504152,0.90450160,0.44549260,0.01694535,0.91493760,0.44694100,0.04400327,0.92714850,0.45860780,0.05784283,0.94720930,0.48108160,0.02250707,0.97444310,0.45436530,0.03477554,1.00750900,0.46622120,0.04531867,1.02343700,0.48049000,0.00187684,0.97771910,0.46100780,0.00821564,1.01490700,0.47972480,0.01683797,1.03136100,0.49935550,-0.01432855,0.97177810,0.47188720,-0.00808740,1.00332000,0.49261580,0.00301312,1.01445800,0.51340830,-0.03094813,0.92116050,0.46349820,-0.02873168,0.96110310,0.48363050,-0.02423912,0.98265190,0.50421520,-0.01589591,0.98867550,0.52127840,0.06659560,0.96026710,0.49942020,0.05486782,1.03463200,0.49679630,0.02485141,1.04534700,0.51783070,0.01482882,1.02327300,0.53224310,-0.00434905,0.99485960,0.53837900,10,1
-0.02214469,0.88967590,0.43601790,-0.02214469,0.88967590,0.43601790,-0.02214469,0.88967590,0.43601790,-0.00342050,0.90343510,0.44508630,0.01846629,0.91411450,0.44624800,0.04553354,0.92684340,0.45732450,0.05972426,0.94709410,0.47940560,0.02345554,0.97360910,0.45418290,0.03571242,1.00649200,0.46654640,0.04640840,1.02208900,0.48106520,0.00290447,0.97657570,0.46120520,0.00931827,1.01365800,0.48010550,0.01841987,1.02950800,0.50001500,-0.01304284,0.97033800,0.47229780,-0.00714129,1.00215300,0.49270570,0.00419740,1.01332300,0.51335210,-0.02920989,0.91961060,0.46369110,-0.02711822,0.95937970,0.48417690,-0.02275263,0.98112520,0.50458130,-0.01424278,0.98729820,0.52150820,0.06893049,0.96025160,0.49744850,0.05613596,1.03297300,0.49747690,0.02696157,1.04276500,0.51878860,0.01633926,1.02196400,0.53205960,-0.00243432,0.99352300,0.53841430,10,1
-0.02056680,0.88857980,0.43566300,-0.02056680,0.88857980,0.43566300,-0.02056680,0.88857980,0.43566300,-0.00184301,0.90247400,0.44452420,0.01993079,0.91340600,0.44543160,0.04696333,0.92665610,0.45596860,0.06139596,0.94710440,0.47770810,0.02436862,0.97287330,0.45381720,0.03662448,1.00557500,0.46665340,0.04750346,1.02081800,0.48141090,0.00391579,0.97552740,0.46123990,0.01041849,1.01249200,0.48033880,0.02002167,1.02773900,0.50048200,-0.01175192,0.96899420,0.47255860,-0.00609692,1.00098500,0.49276070,0.00556012,1.01205500,0.51328330,-0.02747654,0.91816220,0.46375120,-0.02547834,0.95775590,0.48458350,-0.02110341,0.97957940,0.50490240,-0.01232833,0.98576510,0.52168860,0.07094017,0.96037260,0.49549240,0.05743813,1.03136300,0.49791900,0.02911130,1.04026900,0.51949610,0.01809685,1.02040700,0.53186120,-0.00016117,0.99188760,0.53837630,10,1
