RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.36025610,0.85980960,0.35543530,0.36025610,0.85980960,0.35543530,0.36025610,0.85980960,0.35543530,0.38055790,0.87157670,0.36389230,0.40296690,0.87985660,0.35902290,0.43366710,0.88728890,0.36345100,0.46175520,0.90157320,0.37374970,0.41387890,0.93881950,0.37377020,0.43130300,0.97162520,0.37591310,0.44511010,0.98997660,0.38232050,0.39406230,0.94325940,0.38201960,0.40586650,0.98197690,0.39364140,0.41403970,1.00619200,0.40243070,0.37823930,0.93799060,0.39377300,0.38226960,0.97359860,0.40716530,0.38706090,0.99640600,0.41884720,0.35728940,0.88918050,0.38442410,0.36390920,0.92783310,0.40605250,0.35930410,0.95302020,0.42194810,0.35803860,0.96719720,0.43589270,0.48459660,0.90796750,0.37831050,0.45595370,1.00830000,0.38771470,0.41961610,1.02924800,0.40863710,0.39185130,1.01784000,0.42831930,0.35839510,0.98363890,0.44980500,10,7
0.35650180,0.86026330,0.35566520,0.35650180,0.86026330,0.35566520,0.35650180,0.86026330,0.35566520,0.37689000,0.87198270,0.36397930,0.39932290,0.88021640,0.35914170,0.43006360,0.88736270,0.36375600,0.45818000,0.90140390,0.37430830,0.41045250,0.93914430,0.37358880,0.42796720,0.97189340,0.37585460,0.44193030,0.99004240,0.38249610,0.39070280,0.94364200,0.38196610,0.40279630,0.98215510,0.39396360,0.41129500,1.00609300,0.40319460,0.37494410,0.93842320,0.39382770,0.37932400,0.97378800,0.40774420,0.38449510,0.99626300,0.41989870,0.35380450,0.88966200,0.38465230,0.36066900,0.92831190,0.40620900,0.35645920,0.95312760,0.42278390,0.35571910,0.96680270,0.43725740,0.48095140,0.90772990,0.37929490,0.45296590,1.00816200,0.38817950,0.41724440,1.02890900,0.40991560,0.38966500,1.01739000,0.42984870,0.35674230,0.98264370,0.45181830,10,7
0.35285960,0.86063120,0.35597840,0.35285960,0.86063120,0.35597840,0.35285960,0.86063120,0.35597840,0.37332450,0.87230890,0.36416170,0.39578160,0.88050110,0.35936610,0.42655290,0.88738390,0.36417270,0.45468060,0.90120480,0.37498270,0.40710280,0.93939840,0.37351530,0.42470970,0.97208950,0.37590000,0.43882580,0.99003290,0.38277280,0.38741380,0.94395010,0.38200560,0.39979620,0.98225640,0.39436490,0.40861370,1.00591100,0.40401730,0.37171330,0.93877860,0.39396480,0.37642800,0.97390030,0.40837910,0.38196380,0.99603990,0.42098030,0.35040390,0.89006030,0.38495610,0.35748780,0.92871170,0.40643900,0.35365020,0.95315780,0.42364140,0.35341140,0.96633090,0.43858990,0.47736920,0.90747820,0.38039480,0.45004950,1.00794500,0.38874000,0.41492840,1.02847800,0.41122900,0.38749930,1.01685400,0.43138290,0.35507460,0.98156340,0.45372950,10,7
0.34930520,0.86093140,0.35635720,0.34930520,0.86093140,0.35635720,0.34930520,0.86093140,0.35635720,0.36983930,0.87257220,0.36441920,0.39234390,0.88073830,0.35980560,0.42314120,0.88704560,0.36520000,0.45130800,0.90032740,0.37656940,0.40381320,0.93959680,0.37352680,0.42149070,0.97224240,0.37601100,0.43567380,0.99010140,0.38296500,0.38418010,0.94419940,0.38211850,0.39669750,0.98248570,0.39440360,0.40576710,1.00596800,0.40424070,0.36853300,0.93907340,0.39416690,0.37359210,0.97399000,0.40895780,0.37952590,0.99579740,0.42195110,0.34706950,0.89039320,0.38531950,0.35435290,0.92904940,0.40672700,0.35097720,0.95307960,0.42459930,0.35125120,0.96573210,0.43999030,0.47391760,0.90628830,0.38262710,0.44698950,1.00791200,0.38905940,0.41238640,1.02835800,0.41172690,0.38546390,1.01629100,0.43276010,0.35353430,0.98035300,0.45564350,10,7
0.34480690,0.86205300,0.35463500,0.34480690,0.86205300,0.35463500,0.34480690,0.86205300,0.35463500,0.36539190,0.87366280,0.36261130,0.38793410,0.88183500,0.35819670,0.41872650,0.88762630,0.36416660,0.44688730,0.90041300,0.37610460,0.39948240,0.94064040,0.37162780,0.41720100,0.97325020,0.37428460,0.43144140,0.99100770,0.38137980,0.37989540,0.94525540,0.38031770,0.39252880,0.98348540,0.39265940,0.40183240,1.00676700,0.40275160,0.36430020,0.94013390,0.39243500,0.36966150,0.97481260,0.40767200,0.37595890,0.99625780,0.42109010,0.34274140,0.89148650,0.38363860,0.35016910,0.93011200,0.40505190,0.34720770,0.95368340,0.42359600,0.34796470,0.96577820,0.43941330,0.46938530,0.90610380,0.38280310,0.44284040,1.00870100,0.38765910,0.40873890,1.02895400,0.41057450,0.38226710,1.01640300,0.43233440,0.35083720,0.97974470,0.45555920,10,7
0.34042140,0.86306150,0.35313430,0.34042140,0.86306150,0.35313430,0.34042140,0.86306150,0.35313430,0.36105420,0.87464300,0.36102770,0.38363220,0.88281980,0.35680840,0.41440060,0.88811950,0.36333270,0.44253160,0.90043670,0.37582180,0.39525620,0.94157710,0.36994480,0.41301980,0.97414830,0.37276860,0.42732410,0.99179360,0.38001350,0.37571320,0.94620600,0.37872580,0.38847710,0.98436720,0.39114600,0.39801990,1.00743600,0.40149970,0.36016680,0.94109140,0.39090860,0.36582980,0.97552710,0.40658160,0.37248550,0.99660110,0.42040860,0.33851700,0.89247410,0.38217010,0.34608160,0.93107460,0.40358060,0.34352590,0.95418200,0.42275820,0.34476000,0.96571110,0.43896320,0.46489580,0.90587860,0.38314630,0.43881340,1.00935900,0.38648520,0.40521810,1.02940700,0.40966200,0.37915900,1.01638800,0.43207160,0.34821710,0.97900870,0.45555310,10,7
0.33612720,0.86398040,0.35180890,0.33612720,0.86398040,0.35180890,0.33612720,0.86398040,0.35180890,0.35680530,0.87553580,0.35962150,0.37939850,0.88370520,0.35546980,0.41016410,0.88862370,0.36229890,0.43832180,0.90057150,0.37508310,0.39111460,0.94242890,0.36843270,0.40894510,0.97496320,0.37126110,0.42330910,0.99256240,0.37850030,0.37161390,0.94707300,0.37729930,0.38450610,0.98516090,0.38981150,0.39431680,1.00797400,0.40047790,0.35611410,0.94196740,0.38954500,0.36206600,0.97614270,0.40567410,0.36917390,0.99671720,0.42001870,0.33437660,0.89337780,0.38086980,0.34207220,0.93195770,0.40227070,0.33961790,0.95467320,0.42192380,0.34103420,0.96579650,0.43839530,0.46062910,0.90578850,0.38273730,0.43487290,1.01006700,0.38500390,0.40182240,1.02969900,0.40901090,0.37632090,1.01600700,0.43222120,0.34469580,0.97866090,0.45528030,10,7
0.33277750,0.86359320,0.35271440,0.33277750,0.86359320,0.35271440,0.33277750,0.86359320,0.35271440,0.35344650,0.87523790,0.36041770,0.37604050,0.88344340,0.35634200,0.40676160,0.88812270,0.36353010,0.43486370,0.89987530,0.37661410,0.38763540,0.94225320,0.36875740,0.40542720,0.97482170,0.37142990,0.41978580,0.99245290,0.37860170,0.36814180,0.94691140,0.37763220,0.38102450,0.98504170,0.39002450,0.39100780,1.00769400,0.40087210,0.35267530,0.94184890,0.38993790,0.35877630,0.97588450,0.40630500,0.36622670,0.99607180,0.42102100,0.33102110,0.89316330,0.38159930,0.33867780,0.93188820,0.40275070,0.33624710,0.95431560,0.42273490,0.33781300,0.96511750,0.43940550,0.45706150,0.90499790,0.38464120,0.43136250,1.00996200,0.38506970,0.39873400,1.02924500,0.40964640,0.37374500,1.01496000,0.43362240,0.34165080,0.97763260,0.45651260,10,7
0.32941130,0.86325510,0.35355130,0.32941130,0.86325510,0.35355130,0.32941130,0.86325510,0.35355130,0.35007440,0.87497960,0.36114900,0.37267090,0.88321910,0.35715660,0.40333990,0.88765570,0.36471140,0.43137760,0.89920750,0.37810850,0.38415970,0.94210110,0.36904580,0.40192200,0.97469630,0.37158610,0.41628410,0.99234340,0.37871180,0.36467500,0.94677460,0.37793210,0.37756440,0.98493370,0.39022850,0.38772370,1.00741700,0.40126260,0.34924130,0.94175390,0.39029600,0.35550090,0.97564080,0.40690990,0.36328560,0.99543540,0.42198210,0.32765790,0.89298390,0.38227300,0.33528630,0.93184070,0.40319160,0.33291390,0.95396410,0.42351870,0.33466130,0.96442250,0.44038910,0.45345290,0.90423880,0.38652220,0.42788320,1.00984200,0.38516600,0.39567330,1.02878500,0.41028260,0.37116490,1.01391400,0.43496400,0.33871440,0.97655830,0.45771830,10,7
0.32603130,0.86295550,0.35433450,0.32603130,0.86295550,0.35433450,0.32603130,0.86295550,0.35433450,0.34669080,0.87475220,0.36182950,0.36927500,0.88301230,0.35781040,0.39993010,0.88751470,0.36538320,0.42800210,0.89912370,0.37865840,0.38068560,0.94196760,0.36930570,0.39854050,0.97451410,0.37182170,0.41296200,0.99210920,0.37895570,0.36121120,0.94665720,0.37820590,0.37415080,0.98479810,0.39050600,0.38451650,1.00705900,0.40179540,0.34580990,0.94167750,0.39062660,0.35226400,0.97532730,0.40764310,0.36051570,0.99450060,0.42326000,0.32428770,0.89283220,0.38290290,0.33189600,0.93181030,0.40360180,0.32961820,0.95360620,0.42429040,0.33158240,0.96369000,0.44136380,0.45009060,0.90419670,0.38701190,0.42465100,1.00952700,0.38546710,0.39271330,1.02820200,0.41111860,0.36890240,1.01233100,0.43681700,0.33587590,0.97542300,0.45891100,10,7
