RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.01266479,0.90002420,0.41456180,-0.01266479,0.90002420,0.41456180,-0.01266479,0.90002420,0.41456180,-0.01960745,0.92376730,0.41158240,-0.03658643,0.94122360,0.41196390,-0.05302840,0.96838730,0.40932520,-0.05266415,1.00147000,0.40787380,-0.02502862,0.99153130,0.44468580,-0.02716763,1.02768900,0.45302200,-0.02745783,1.05149800,0.45248870,-0.00440870,0.98644940,0.45001700,0.00027258,1.02766000,0.45704370,0.00369535,1.05423200,0.45370730,0.01390324,0.97921460,0.44475310,0.02645291,1.01464200,0.45166890,0.03210108,1.03835700,0.44251320,0.01404803,0.93092380,0.42086890,0.03060426,0.96999340,0.43503840,0.04559337,0.99601010,0.43285260,0.04980392,1.01100000,0.42045190,-0.05282066,1.02537200,0.40458160,-0.02616559,1.07332600,0.45068670,0.00682017,1.07772200,0.44751810,0.03395458,1.05764100,0.42852970,0.05394641,1.02903700,0.40947460,10,0
-0.01270124,0.90017780,0.41500000,-0.01270124,0.90017780,0.41500000,-0.01270124,0.90017780,0.41500000,-0.01962940,0.92392420,0.41201310,-0.03645409,0.94153170,0.41226120,-0.05262910,0.96880890,0.40918080,-0.05227943,1.00188000,0.40747860,-0.02500771,0.99170230,0.44509450,-0.02704987,1.02795200,0.45304420,-0.02727214,1.05175500,0.45224220,-0.00439073,0.98660940,0.45042670,0.00033570,1.02787400,0.45709820,0.00378145,1.05429300,0.45273100,0.01391657,0.97936170,0.44516450,0.02651973,1.01483900,0.45171480,0.03202827,1.03833500,0.44193030,0.01403081,0.93106290,0.42129600,0.03061157,0.97012700,0.43545230,0.04551193,0.99617830,0.43307930,0.04957321,1.01107900,0.42052270,-0.05240138,1.02575500,0.40400110,-0.02591014,1.07355000,0.45011960,0.00686652,1.07741600,0.44527030,0.03355039,1.05702600,0.42712640,0.05345616,1.02899300,0.40925270,10,0
-0.01201013,0.90045170,0.41467520,-0.01201013,0.90045170,0.41467520,-0.01201013,0.90045170,0.41467520,-0.01896185,0.92419070,0.41168390,-0.03567136,0.94190910,0.41176180,-0.05162320,0.96926240,0.40822540,-0.05130657,1.00232200,0.40630910,-0.02456254,0.99193080,0.44480620,-0.02661163,1.02825400,0.45241130,-0.02681153,1.05204800,0.45137290,-0.00395814,0.98686330,0.45021050,0.00070241,1.02817900,0.45660610,0.00413134,1.05443000,0.45130970,0.01437922,0.97964700,0.44501000,0.02693640,1.01518900,0.45129040,0.03227421,1.03845800,0.44088800,0.01465305,0.93137010,0.42109870,0.03112378,0.97044560,0.43535180,0.04586788,0.99656970,0.43281040,0.04977358,1.01138400,0.42010330,-0.05137390,1.02617400,0.40267320,-0.02541627,1.07381100,0.44896810,0.00715478,1.07715700,0.44269550,0.03345899,1.05651600,0.42528860,0.05338232,1.02917500,0.40855050,10,0
-0.01139038,0.90070320,0.41440410,-0.01139038,0.90070320,0.41440410,-0.01139038,0.90070320,0.41440410,-0.01836127,0.92443590,0.41140700,-0.03495339,0.94226420,0.41132310,-0.05067570,0.96968980,0.40734690,-0.05036154,1.00273600,0.40521100,-0.02415759,0.99214410,0.44456060,-0.02620081,1.02853800,0.45182320,-0.02637202,1.05232000,0.45054950,-0.00356534,0.98709790,0.45003080,0.00104179,1.02846100,0.45615230,0.00446060,1.05452100,0.44998020,0.01479841,0.97990820,0.44488700,0.02732024,1.01551000,0.45089410,0.03248043,1.03852400,0.43985500,0.01521272,0.93164960,0.42094070,0.03158688,0.97073470,0.43527860,0.04616756,0.99692830,0.43251980,0.04990587,1.01164000,0.41964410,-0.05033780,1.02656300,0.40141550,-0.02493791,1.07404900,0.44786560,0.00742828,1.07681700,0.44028750,0.03331835,1.05590000,0.42347730,0.05323331,1.02929000,0.40779390,10,0
-0.01082657,0.90093710,0.41417500,-0.01082657,0.90093710,0.41417500,-0.01082657,0.90093710,0.41417500,-0.01782073,0.92468970,0.41116790,-0.03420784,0.94273930,0.41084450,-0.04952974,0.97033640,0.40626310,-0.04893024,1.00339100,0.40379580,-0.02379823,0.99244370,0.44438130,-0.02575745,1.02899300,0.45106980,-0.02580228,1.05275100,0.44907170,-0.00319565,0.98741040,0.44991840,0.00161713,1.02885800,0.45561070,0.00515890,1.05464200,0.44832580,0.01521135,0.98023560,0.44482180,0.02778420,1.01591000,0.45054950,0.03289699,1.03878000,0.43912950,0.01575182,0.93194080,0.42082090,0.03205742,0.97107610,0.43524960,0.04661508,0.99728010,0.43213710,0.05023929,1.01185800,0.41904600,-0.04826477,1.02719900,0.39977900,-0.02422507,1.07437200,0.44553770,0.00809823,1.07615200,0.43693100,0.03357233,1.05575500,0.42229370,0.05328532,1.02930200,0.40677930,10,0
-0.01119203,0.90107390,0.41388460,-0.01119203,0.90107390,0.41388460,-0.01119203,0.90107390,0.41388460,-0.01822617,0.92483150,0.41101260,-0.03439823,0.94307390,0.41068000,-0.04935391,0.97081340,0.40576120,-0.04850043,1.00384500,0.40307130,-0.02403257,0.99245800,0.44451480,-0.02583964,1.02908900,0.45078170,-0.02578251,1.05278900,0.44817540,-0.00338849,0.98742200,0.44989250,0.00166989,1.02888500,0.45524760,0.00523906,1.05436400,0.44696900,0.01498919,0.98028160,0.44464400,0.02765729,1.01596900,0.45007240,0.03257933,1.03867400,0.43824570,0.01540554,0.93207560,0.42046270,0.03177702,0.97117160,0.43492350,0.04625500,0.99736690,0.43139400,0.04962537,1.01183400,0.41811250,-0.04727102,1.02760800,0.39892140,-0.02410553,1.07426700,0.44389750,0.00800517,1.07504300,0.43409040,0.03288522,1.05521000,0.42096830,0.05226118,1.02908300,0.40548240,10,0
-0.01151745,0.90120690,0.41362830,-0.01151745,0.90120690,0.41362830,-0.01151745,0.90120690,0.41362830,-0.01858629,0.92496850,0.41087820,-0.03454792,0.94339490,0.41052600,-0.04914218,0.97126410,0.40526570,-0.04804483,1.00426900,0.40234800,-0.02423673,0.99247940,0.44463940,-0.02590339,1.02918600,0.45048950,-0.02575389,1.05281400,0.44729760,-0.00355649,0.98744090,0.44987400,0.00173109,1.02891800,0.45489220,0.00530674,1.05406700,0.44566290,0.01479391,0.98033170,0.44448950,0.02754821,1.01603300,0.44961640,0.03226599,1.03854700,0.43735060,0.01509734,0.93220650,0.42014640,0.03152857,0.97126650,0.43463630,0.04591542,0.99745280,0.43069170,0.04903404,1.01180200,0.41722230,-0.04628047,1.02797500,0.39806650,-0.02398818,1.07413100,0.44230860,0.00786893,1.07386500,0.43142890,0.03218370,1.05459100,0.41961250,0.05126086,1.02884900,0.40424360,10,0
-0.01180152,0.90133020,0.41340590,-0.01180152,0.90133020,0.41340590,-0.01180152,0.90133020,0.41340590,-0.01889995,0.92509530,0.41076310,-0.03475167,0.94361700,0.41045370,-0.04913935,0.97151390,0.40478720,-0.04792376,1.00448300,0.40153460,-0.02441183,0.99250360,0.44475130,-0.02581785,1.02930200,0.45006980,-0.02546357,1.05277200,0.44588590,-0.00370066,0.98746330,0.44986030,0.00178302,1.02892700,0.45477340,0.00536826,1.05393300,0.44516630,0.01462509,0.98038170,0.44435680,0.02749303,1.01605700,0.44938180,0.03199865,1.03836300,0.43666530,0.01482831,0.93232790,0.41987190,0.03131240,0.97135600,0.43438770,0.04573153,0.99752690,0.43045880,0.04874351,1.01188200,0.41697210,-0.04602028,1.02813600,0.39702310,-0.02350028,1.07375400,0.43969710,0.00774139,1.07312800,0.43009710,0.03154329,1.05392600,0.41850850,0.05073564,1.02886200,0.40386770,10,0
-0.01239877,0.90129810,0.41352510,-0.01239877,0.90129810,0.41352510,-0.01239877,0.90129810,0.41352510,-0.01949804,0.92506780,0.41092730,-0.03521266,0.94370530,0.41057440,-0.04933389,0.97163460,0.40441840,-0.04794639,1.00455800,0.40078560,-0.02491149,0.99243780,0.44500710,-0.02605524,1.02932600,0.44973930,-0.02548417,1.05259300,0.44456400,-0.00418914,0.98738680,0.45005990,0.00150837,1.02884400,0.45478500,0.00514047,1.05365000,0.44469160,0.01412152,0.98030730,0.44450360,0.02711342,1.01595800,0.44937670,0.03145173,1.03802000,0.43618310,0.01425396,0.93228200,0.41996240,0.03078242,0.97128940,0.43448340,0.04523747,0.99743090,0.43049100,0.04816318,1.01174300,0.41693910,-0.04582908,1.02814200,0.39601870,-0.02331245,1.07317300,0.43720640,0.00735811,1.07213900,0.42874100,0.03067024,1.05303700,0.41758350,0.04993793,1.02860500,0.40365250,10,0
-0.01295015,0.90127790,0.41363300,-0.01295015,0.90127790,0.41363300,-0.01295015,0.90127790,0.41363300,-0.02005058,0.92505200,0.41107930,-0.03562281,0.94380770,0.41067800,-0.04946587,0.97176740,0.40404650,-0.04789743,1.00464000,0.40004630,-0.02537007,0.99238400,0.44524920,-0.02626628,1.02934700,0.44941510,-0.02549873,1.05238200,0.44331290,-0.00463696,0.98732280,0.45024750,0.00126750,1.02877300,0.45476900,0.00493476,1.05335500,0.44415100,0.01365914,0.98024600,0.44464010,0.02676832,1.01587600,0.44934680,0.03093179,1.03768400,0.43568320,0.01372403,0.93224900,0.42004340,0.03029461,0.97123620,0.43457050,0.04476640,0.99735200,0.43047180,0.04758826,1.01160700,0.41683790,-0.04554205,1.02815100,0.39503720,-0.02314281,1.07252300,0.43487290,0.00697606,1.07108500,0.42733960,0.02981341,1.05213500,0.41665740,0.04912663,1.02833500,0.40335500,10,0
