RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.16738920,0.83684000,0.37604600,-0.16738920,0.83684000,0.37604600,-0.16738920,0.83684000,0.37604600,-0.17104030,0.86097490,0.37091510,-0.18788550,0.87858220,0.37172110,-0.20431540,0.90588010,0.37022590,-0.21178640,0.93817910,0.37026320,-0.16767410,0.93153810,0.39809900,-0.16649660,0.96642350,0.41098410,-0.16462670,0.98991450,0.41460890,-0.14796920,0.92422830,0.40432340,-0.13751740,0.96266380,0.41799530,-0.13013990,0.98819860,0.42289320,-0.13071890,0.91418150,0.40010910,-0.11384810,0.94722970,0.40942140,-0.10255810,0.97069540,0.41064660,-0.13680260,0.86436600,0.38035750,-0.11528170,0.90200110,0.39158590,-0.09500772,0.92429960,0.39149110,-0.08042277,0.93786910,0.39105470,-0.22653660,0.95728950,0.36946060,-0.16134700,1.01151300,0.41687740,-0.12313000,1.01122500,0.42756520,-0.09386005,0.99282060,0.40802320,-0.06615280,0.95399080,0.39173760,10,7
-0.16392940,0.83756620,0.37644000,-0.16392940,0.83756620,0.37644000,-0.16392940,0.83756620,0.37644000,-0.16752110,0.86172960,0.37140240,-0.18433240,0.87935820,0.37242470,-0.20075590,0.90666230,0.37097460,-0.20821940,0.93896310,0.37100220,-0.16368380,0.93220220,0.39875860,-0.16208100,0.96708760,0.41159750,-0.15995550,0.99057510,0.41510190,-0.14396450,0.92479730,0.40482290,-0.13297150,0.96319710,0.41816680,-0.12526840,0.98870700,0.42267830,-0.12678430,0.91469470,0.40045850,-0.10946650,0.94751640,0.40975140,-0.09793925,0.97087910,0.41070280,-0.13320450,0.86495940,0.38061160,-0.11145600,0.90247760,0.39179240,-0.09099218,0.92460190,0.39167650,-0.07627689,0.93803110,0.39127630,-0.22299320,0.95805750,0.37025560,-0.15644410,1.01215600,0.41718560,-0.11796190,1.01173000,0.42688810,-0.08908933,0.99290220,0.40774770,-0.06183533,0.95399450,0.39206050,10,7
-0.16016360,0.83786400,0.37693740,-0.16016360,0.83786400,0.37693740,-0.16016360,0.83786400,0.37693740,-0.16374290,0.86203110,0.37190830,-0.18055100,0.87965450,0.37306340,-0.19701450,0.90693110,0.37155110,-0.20450820,0.93922470,0.37144970,-0.15961380,0.93251160,0.39920130,-0.15768590,0.96743890,0.41188080,-0.15536720,0.99093790,0.41517940,-0.13987120,0.92507490,0.40514970,-0.12844640,0.96349900,0.41805400,-0.12048960,0.98900860,0.42210300,-0.12273580,0.91493930,0.40068650,-0.10506050,0.94761130,0.40983270,-0.09335976,0.97089950,0.41042680,-0.12936510,0.86520460,0.38090680,-0.10748230,0.90269030,0.39193410,-0.08689460,0.92469820,0.39168660,-0.07209013,0.93802790,0.39125000,-0.21932360,0.95828580,0.37067550,-0.15168090,1.01251400,0.41699880,-0.11295390,1.01204800,0.42578230,-0.08441764,0.99282630,0.40706240,-0.05752546,0.95387830,0.39204900,10,7
-0.15649420,0.83814870,0.37744240,-0.15649420,0.83814870,0.37744240,-0.15649420,0.83814870,0.37744240,-0.16005810,0.86232090,0.37242760,-0.17685650,0.87994480,0.37370940,-0.19334920,0.90720080,0.37214420,-0.20085060,0.93949210,0.37192580,-0.15564370,0.93280070,0.39967810,-0.15340830,0.96776100,0.41221500,-0.15090710,0.99126800,0.41531810,-0.13588090,0.92532930,0.40551510,-0.12404820,0.96376430,0.41801280,-0.11585490,0.98926440,0.42162720,-0.11879000,0.91516130,0.40095640,-0.10077510,0.94768890,0.40995320,-0.08891472,0.97090240,0.41020400,-0.12562360,0.86543390,0.38122800,-0.10360940,0.90288210,0.39211980,-0.08290926,0.92478220,0.39172370,-0.06802381,0.93801950,0.39123460,-0.21569110,0.95853260,0.37112640,-0.14705670,1.01283500,0.41688410,-0.10810820,1.01230900,0.42480580,-0.07989287,0.99273300,0.40644890,-0.05334541,0.95376500,0.39202820,10,7
-0.15290120,0.83842290,0.37795340,-0.15290120,0.83842290,0.37795340,-0.15290120,0.83842290,0.37795340,-0.15644730,0.86260170,0.37295740,-0.17326250,0.88019730,0.37439860,-0.18983800,0.90739920,0.37276980,-0.19741910,0.93967070,0.37242110,-0.15175260,0.93307360,0.40018120,-0.14927880,0.96815060,0.41234210,-0.14663220,0.99169350,0.41502290,-0.13197210,0.92556550,0.40591030,-0.11980610,0.96400890,0.41805720,-0.11142400,0.98950150,0.42126860,-0.11492540,0.91536550,0.40125860,-0.09663843,0.94773830,0.41026480,-0.08466850,0.97089680,0.41019710,-0.12195950,0.86565050,0.38156940,-0.09981625,0.90305780,0.39233960,-0.07898650,0.92483520,0.39197340,-0.06402531,0.93798700,0.39149000,-0.21232040,0.95866240,0.37159070,-0.14265130,1.01326600,0.41610800,-0.10351230,1.01255200,0.42395400,-0.07565021,0.99263470,0.40593050,-0.04925348,0.95364420,0.39229730,10,7
-0.14949270,0.83924350,0.37761860,-0.14949270,0.83924350,0.37761860,-0.14949270,0.83924350,0.37761860,-0.15293770,0.86346330,0.37275210,-0.16969430,0.88109080,0.37446080,-0.18624770,0.90831140,0.37292040,-0.19377420,0.94059590,0.37259490,-0.14763370,0.93379000,0.40023820,-0.14476300,0.96891370,0.41217500,-0.14187910,0.99246330,0.41453390,-0.12785390,0.92614480,0.40578560,-0.11518200,0.96449400,0.41771100,-0.10651100,0.98992830,0.42060160,-0.11090160,0.91586770,0.40096180,-0.09219635,0.94797760,0.41005010,-0.08003260,0.97103270,0.40972400,-0.11836900,0.86627850,0.38111570,-0.09593095,0.90351250,0.39187650,-0.07489642,0.92509280,0.39155360,-0.05981456,0.93810640,0.39107870,-0.20865750,0.95960500,0.37184430,-0.13768820,1.01401300,0.41522620,-0.09834739,1.01293600,0.42286690,-0.07095417,0.99265420,0.40501660,-0.04489122,0.95361780,0.39191340,10,7
-0.14612270,0.84001170,0.37735750,-0.14612270,0.84001170,0.37735750,-0.14612270,0.84001170,0.37735750,-0.14947120,0.86426930,0.37261340,-0.16617400,0.88192080,0.37458090,-0.18271780,0.90915080,0.37310620,-0.19019870,0.94144600,0.37278080,-0.14358920,0.93445420,0.40034320,-0.14033250,0.96962780,0.41203150,-0.13721940,0.99318060,0.41404020,-0.12381190,0.92668010,0.40571730,-0.11063970,0.96493980,0.41738520,-0.10168690,0.99031480,0.41991570,-0.10695050,0.91633150,0.40073040,-0.08782775,0.94817580,0.40988380,-0.07547937,0.97112660,0.40926820,-0.11482860,0.86686410,0.38073930,-0.09211259,0.90393270,0.39148810,-0.07088028,0.92531880,0.39119310,-0.05568199,0.93819630,0.39071800,-0.20506690,0.96046910,0.37209000,-0.13282740,1.01469900,0.41430800,-0.09328197,1.01327700,0.42171620,-0.06636137,0.99262230,0.40408500,-0.04061151,0.95356370,0.39157200,10,7
-0.14278320,0.84073860,0.37715460,-0.14278320,0.84073860,0.37715460,-0.14278320,0.84073860,0.37715460,-0.14603880,0.86503130,0.37252710,-0.16264210,0.88275430,0.37468510,-0.17907630,0.91005800,0.37335410,-0.18633560,0.94240430,0.37310020,-0.13960330,0.93507680,0.40048550,-0.13592720,0.97023730,0.41208850,-0.13258110,0.99376420,0.41402500,-0.11982990,0.92718020,0.40569310,-0.10628290,0.96533560,0.41727310,-0.09712364,0.99066070,0.41955240,-0.10305700,0.91676440,0.40055010,-0.08354418,0.94835390,0.40976330,-0.07101808,0.97120150,0.40893610,-0.11132810,0.86741640,0.38042360,-0.08834732,0.90432550,0.39115790,-0.06697982,0.92557430,0.39072900,-0.05172690,0.93837890,0.39007160,-0.20108170,0.96152550,0.37250800,-0.12798830,1.01524200,0.41418920,-0.08854524,1.01358200,0.42102050,-0.06185591,0.99258480,0.40337960,-0.03659187,0.95369450,0.39068050,10,7
-0.13835260,0.84091700,0.37638080,-0.13835260,0.84091700,0.37638080,-0.13835260,0.84091700,0.37638080,-0.14163350,0.86523450,0.37190380,-0.15824580,0.88292870,0.37422300,-0.17472210,0.91021290,0.37301740,-0.18194840,0.94256720,0.37286280,-0.13514760,0.93512000,0.40024830,-0.13130020,0.97026520,0.41184230,-0.12786340,0.99378160,0.41374680,-0.11535510,0.92720310,0.40535110,-0.10168920,0.96530930,0.41695340,-0.09247595,0.99062980,0.41905850,-0.09859266,0.91682550,0.40009790,-0.07890566,0.94825190,0.40949620,-0.06633277,0.97106890,0.40854350,-0.10690060,0.86759070,0.37971060,-0.08390525,0.90444830,0.39059000,-0.06251987,0.92567910,0.39015850,-0.04728128,0.93849590,0.38941270,-0.19667980,0.96170180,0.37234370,-0.12319380,1.01524300,0.41384590,-0.08386192,1.01355400,0.42026500,-0.05723458,0.99240060,0.40269140,-0.03216953,0.95383940,0.38988180,10,7
-0.13403490,0.84111360,0.37569530,-0.13403490,0.84111360,0.37569530,-0.13403490,0.84111360,0.37569530,-0.13733300,0.86545490,0.37136240,-0.15394830,0.88312460,0.37384110,-0.17045960,0.91039250,0.37275160,-0.17764680,0.94275580,0.37268450,-0.13076730,0.93518450,0.40007040,-0.12673820,0.97031670,0.41164180,-0.12320430,0.99382280,0.41349600,-0.11095780,0.92724250,0.40506750,-0.09715515,0.96529960,0.41666890,-0.08787981,0.99061230,0.41858730,-0.09421056,0.91689630,0.39970470,-0.07433813,0.94815590,0.40926820,-0.06171459,0.97093870,0.40817840,-0.10257600,0.86777330,0.37907300,-0.07955144,0.90457390,0.39008290,-0.05813999,0.92577820,0.38964390,-0.04291061,0.93860060,0.38881090,-0.19235880,0.96190710,0.37223260,-0.11845260,1.01526700,0.41351020,-0.07922464,1.01353300,0.41952090,-0.05268074,0.99221330,0.40202640,-0.02781590,0.95396440,0.38914500,10,7
-0.12980430,0.84132430,0.37508000,-0.12980430,0.84132430,0.37508000,-0.12980430,0.84132430,0.37508000,-0.13311320,0.86568840,0.37088640,-0.14967830,0.88339130,0.37346280,-0.16616120,0.91066840,0.37218910,-0.17315990,0.94307180,0.37190600,-0.12644440,0.93526490,0.39994000,-0.12246720,0.97040270,0.41151260,-0.11898100,0.99392000,0.41331370,-0.10661980,0.92729430,0.40483040,-0.09275703,0.96526390,0.41664500,-0.08345863,0.99055470,0.41873390,-0.08989157,0.91697470,0.39935860,-0.06985413,0.94810190,0.40900850,-0.05715524,0.97084410,0.40794540,-0.09833093,0.86796210,0.37849560,-0.07526559,0.90470140,0.38962410,-0.05387562,0.92591050,0.38867290,-0.03871441,0.93877330,0.38735800,-0.18767790,0.96236470,0.37125060,-0.11427660,1.01537400,0.41323110,-0.07478815,1.01346500,0.41978650,-0.04812710,0.99209300,0.40169680,-0.02368883,0.95420660,0.38712980,10,7
-0.12682560,0.84086180,0.37749360,-0.12682560,0.84086180,0.37749360,-0.12682560,0.84086180,0.37749360,-0.13012450,0.86522620,0.37329330,-0.14663110,0.88298490,0.37586070,-0.16306820,0.91027250,0.37426100,-0.16986580,0.94271300,0.37359490,-0.12331130,0.93481560,0.40228220,-0.11934730,0.97002340,0.41364450,-0.11588130,0.99355790,0.41524920,-0.10348010,0.92683050,0.40712180,-0.08952245,0.96477710,0.41889860,-0.08017714,0.99005220,0.42096680,-0.08677666,0.91649220,0.40160940,-0.06655277,0.94752560,0.41117260,-0.05376605,0.97021200,0.40997970,-0.09531885,0.86747360,0.38080260,-0.07218927,0.90419950,0.39184170,-0.05080625,0.92538210,0.39031590,-0.03570658,0.93825530,0.38849290,-0.18418550,0.96214130,0.37263940,-0.11119890,1.01501500,0.41493930,-0.07147075,1.01295100,0.42195880,-0.04473603,0.99138640,0.40348540,-0.02074547,0.95373070,0.38766610,10,7
-0.12379830,0.84046730,0.37969350,-0.12379830,0.84046730,0.37969350,-0.12379830,0.84046730,0.37969350,-0.12708510,0.86483400,0.37549660,-0.14353370,0.88264580,0.37806730,-0.15992520,0.90994170,0.37616930,-0.16652620,0.94241370,0.37514940,-0.12011630,0.93442410,0.40444670,-0.11615040,0.96969610,0.41560730,-0.11269570,0.99324460,0.41701960,-0.10027890,0.92642030,0.40922970,-0.08621396,0.96434110,0.42096160,-0.07681547,0.98959990,0.42298900,-0.08360222,0.91606380,0.40367080,-0.06318583,0.94699410,0.41315850,-0.05031256,0.96962380,0.41182580,-0.09225516,0.86704830,0.38290240,-0.06905613,0.90375380,0.39386330,-0.04768185,0.92489960,0.39179980,-0.03264800,0.93777300,0.38949710,-0.18065160,0.96196800,0.37391610,-0.10802800,1.01470000,0.41648550,-0.06806870,1.01248700,0.42389760,-0.04128803,0.99072010,0.40507540,-0.01775828,0.95327660,0.38810390,10,7
-0.12091100,0.84013440,0.38164630,-0.12091100,0.84013440,0.38164630,-0.12091100,0.84013440,0.38164630,-0.12418520,0.86450430,0.37745810,-0.14056380,0.88238190,0.38001990,-0.15684300,0.90974810,0.37816940,-0.16304760,0.94229630,0.37709300,-0.11706310,0.93408800,0.40638640,-0.11309590,0.96935650,0.41755740,-0.10965460,0.99290670,0.41897610,-0.09722026,0.92606410,0.41111300,-0.08320364,0.96405850,0.42266350,-0.07385445,0.98933990,0.42463650,-0.08057002,0.91569070,0.40550660,-0.06027672,0.94673620,0.41488130,-0.04750738,0.96942130,0.41349360,-0.08933195,0.86668350,0.38476430,-0.06606451,0.90336570,0.39565790,-0.04484066,0.92466040,0.39357260,-0.02994481,0.93766950,0.39113970,-0.17680390,0.96210840,0.37580140,-0.10500270,1.01436500,0.41842440,-0.06515458,1.01224700,0.42549380,-0.03860495,0.99054250,0.40665890,-0.01523995,0.95332880,0.38954000,10,7
-0.11874850,0.84026930,0.38201500,-0.11874850,0.84026930,0.38201500,-0.11874850,0.84026930,0.38201500,-0.12194360,0.86466440,0.37791420,-0.13819790,0.88264530,0.38054430,-0.15429400,0.91012740,0.37881230,-0.16002930,0.94276230,0.37775780,-0.11442780,0.93413110,0.40702350,-0.11033490,0.96935760,0.41828160,-0.10683150,0.99289550,0.41974990,-0.09459752,0.92601490,0.41164370,-0.08048540,0.96399710,0.42311780,-0.07109723,0.98926410,0.42508950,-0.07801159,0.91559310,0.40593730,-0.05770146,0.94663940,0.41527290,-0.04495159,0.96933410,0.41386230,-0.08705232,0.86668410,0.38508300,-0.06359553,0.90324110,0.39599150,-0.04244687,0.92460810,0.39388190,-0.02764674,0.93770050,0.39131470,-0.17337290,0.96285440,0.37646390,-0.10212940,1.01434400,0.41921510,-0.06236659,1.01216000,0.42593620,-0.03610934,0.99046020,0.40696500,-0.01307326,0.95346030,0.38951290,10,7
