RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.00730980,0.79806890,0.36266510,-0.00730980,0.79806890,0.36266510,-0.00730980,0.79806890,0.36266510,-0.01458425,0.82192460,0.36304110,-0.03229178,0.83728650,0.36974070,-0.05168523,0.86253000,0.37174250,-0.06760995,0.89113340,0.37696680,-0.01321223,0.88675490,0.40208740,-0.01110266,0.92304220,0.41003580,-0.00987809,0.94684980,0.40963320,0.00804468,0.88147360,0.40293120,0.01567671,0.92228310,0.40998770,0.01937953,0.94890120,0.40712250,0.02498800,0.87488820,0.39366690,0.03866538,0.91012910,0.39954380,0.04375582,0.93492410,0.39330730,0.02030055,0.82867130,0.36626710,0.03948374,0.86666840,0.38019010,0.05513722,0.89235620,0.37835430,0.06472660,0.90917080,0.37362590,-0.08460009,0.90808420,0.37969220,-0.00762954,0.96851380,0.40679920,0.02221315,0.97267710,0.40184700,0.04495038,0.95677730,0.38365960,0.07056326,0.92866570,0.36656280,10,4
-0.00716401,0.80188530,0.36239610,-0.00716401,0.80188530,0.36239610,-0.00716401,0.80188530,0.36239610,-0.01432430,0.82577160,0.36296710,-0.03220151,0.84074750,0.37007740,-0.05194655,0.86565600,0.37273280,-0.06815316,0.89397590,0.37859550,-0.01279914,0.89022450,0.40262760,-0.01031553,0.92653690,0.41035060,-0.00888027,0.95031570,0.40936570,0.00842827,0.88483180,0.40350820,0.01640036,0.92562640,0.41026840,0.02021852,0.95215290,0.40677360,0.02537752,0.87825110,0.39425140,0.03920030,0.91350030,0.39972440,0.04426002,0.93818850,0.39305420,0.02057918,0.83231720,0.36639860,0.03988867,0.87008770,0.38075700,0.05520834,0.89595660,0.37866620,0.06442737,0.91288500,0.37361790,-0.08528116,0.91070850,0.38176900,-0.00645148,0.97187160,0.40592190,0.02311464,0.97576900,0.40085400,0.04540659,0.95988670,0.38305710,0.06985314,0.93239850,0.36628390,10,4
-0.00697319,0.80551090,0.36215890,-0.00697319,0.80551090,0.36215890,-0.00697319,0.80551090,0.36215890,-0.01402508,0.82942410,0.36292100,-0.03208202,0.84397500,0.37044750,-0.05220174,0.86849960,0.37377750,-0.06871253,0.89649860,0.38029640,-0.01237022,0.89349990,0.40318300,-0.00950305,0.92983700,0.41065240,-0.00785468,0.95356850,0.40905190,0.00882804,0.88800010,0.40410310,0.01714284,0.92878150,0.41052120,0.02106481,0.95519360,0.40634180,0.02578588,0.88142610,0.39485730,0.03974292,0.91668780,0.39989140,0.04473774,0.94125120,0.39272960,0.02089342,0.83577460,0.36656020,0.04031640,0.87332010,0.38134910,0.05526973,0.89937930,0.37898690,0.06408738,0.91641740,0.37360190,-0.08599377,0.91297750,0.38393300,-0.00524633,0.97499100,0.40496670,0.02400574,0.97861730,0.39972110,0.04580058,0.96276520,0.38233320,0.06907423,0.93593900,0.36598340,10,4
-0.00674710,0.80898480,0.36194690,-0.00674710,0.80898480,0.36194690,-0.00674710,0.80898480,0.36194690,-0.01369532,0.83292150,0.36289690,-0.03180000,0.84731500,0.37060910,-0.05198073,0.87172590,0.37437710,-0.06822460,0.89980210,0.38122590,-0.01192992,0.89661930,0.40374950,-0.00858255,0.93305480,0.41050640,-0.00670398,0.95665540,0.40768800,0.00923932,0.89101590,0.40471100,0.01777045,0.93182490,0.41065270,0.02175456,0.95812650,0.40587840,0.02620782,0.88445020,0.39547890,0.04022996,0.91978410,0.39977120,0.04522437,0.94422320,0.39219610,0.02123500,0.83908110,0.36674490,0.04076081,0.87640220,0.38196020,0.05546854,0.90253400,0.37894730,0.06395467,0.91956270,0.37302690,-0.08523391,0.91651870,0.38505460,-0.00393344,0.97775960,0.40227020,0.02478319,0.98141950,0.39884840,0.04629860,0.96559950,0.38152070,0.06858978,0.93898760,0.36495240,10,4
-0.00591618,0.81319690,0.36111500,-0.00591618,0.81319690,0.36111500,-0.00591618,0.81319690,0.36111500,-0.01279709,0.83714570,0.36223640,-0.03098795,0.85133060,0.37013020,-0.05129580,0.87556540,0.37432770,-0.06736720,0.90365790,0.38150840,-0.01104568,0.90048420,0.40364460,-0.00728641,0.93700060,0.40971290,-0.00522258,0.96041760,0.40573240,0.01010151,0.89480820,0.40466370,0.01879459,0.93564730,0.41014510,0.02280648,0.96183000,0.40477700,0.02709642,0.88827030,0.39546040,0.04113166,0.92367690,0.39905380,0.04607714,0.94798910,0.39105020,0.02213179,0.84316540,0.36631210,0.04169295,0.88029460,0.38194590,0.05611413,0.90651210,0.37834920,0.06424672,0.92353650,0.37194060,-0.08416976,0.92053620,0.38553560,-0.00233316,0.98114060,0.39905220,0.02588573,0.98498180,0.39731570,0.04711831,0.96921450,0.38007450,0.06851145,0.94286970,0.36345240,10,4
-0.00511256,0.81724140,0.36035310,-0.00511256,0.81724140,0.36035310,-0.00511256,0.81724140,0.36035310,-0.01192651,0.84120080,0.36164540,-0.03020969,0.85516010,0.36972560,-0.05065924,0.87919590,0.37435670,-0.06659453,0.90727540,0.38188350,-0.01019219,0.90417680,0.40360330,-0.00603162,0.94074830,0.40904600,-0.00379212,0.96394310,0.40400130,0.01093232,0.89842740,0.40467980,0.01979531,0.93928490,0.40973570,0.02383758,0.96533910,0.40379550,0.02795355,0.89191640,0.39550610,0.04200812,0.92737440,0.39846050,0.04689976,0.95155810,0.39004500,0.02299945,0.84707810,0.36594770,0.04259383,0.88401190,0.38199710,0.05673615,0.91030430,0.37787800,0.06452353,0.92731740,0.37102570,-0.08321562,0.92428070,0.38612370,-0.00079591,0.98424340,0.39616970,0.02696478,0.98834280,0.39590820,0.04790185,0.97263290,0.37877950,0.06843206,0.94655950,0.36216740,10,4
-0.00432976,0.82115720,0.35964600,-0.00432976,0.82115720,0.35964600,-0.00432976,0.82115720,0.35964600,-0.01107716,0.84512560,0.36110880,-0.02936000,0.85906820,0.36921870,-0.04976396,0.88312280,0.37395190,-0.06508941,0.91156100,0.38139780,-0.00936318,0.90773560,0.40361180,-0.00516985,0.94432920,0.40887770,-0.00292925,0.96737250,0.40318170,0.01173802,0.90191200,0.40474530,0.02066660,0.94282190,0.40923010,0.02464818,0.96869960,0.40252680,0.02878549,0.89542700,0.39560200,0.04272112,0.93095580,0.39825340,0.04739171,0.95502720,0.38940170,0.02384434,0.85085810,0.36563670,0.04346973,0.88759280,0.38209970,0.05740228,0.91390120,0.37740700,0.06483556,0.93085900,0.37004340,-0.08122557,0.92905360,0.38552760,0.00003744,0.98735680,0.39456530,0.02769847,0.99145880,0.39393190,0.04815044,0.97588530,0.37772130,0.06832153,0.94995670,0.36070920,10,4
-0.00360507,0.82423380,0.35991580,-0.00360507,0.82423380,0.35991580,-0.00360507,0.82423380,0.35991580,-0.01027929,0.84820740,0.36161020,-0.02855720,0.86208000,0.36985020,-0.04893944,0.88610330,0.37482950,-0.06370775,0.91481390,0.38235560,-0.00847053,0.91036830,0.40476360,-0.00418424,0.94697240,0.40987940,-0.00193093,0.96985200,0.40356240,0.01260902,0.90446510,0.40588850,0.02163642,0.94540290,0.40989620,0.02555416,0.97110470,0.40251300,0.02965832,0.89802010,0.39672030,0.04350054,0.93360610,0.39907830,0.04794694,0.95757240,0.38983480,0.02464902,0.85377990,0.36628300,0.04435094,0.89027880,0.38317370,0.05806100,0.91660460,0.37795390,0.06512377,0.93351270,0.37012580,-0.07938686,0.93271300,0.38650400,0.00100567,0.98950250,0.39420020,0.02851939,0.99362900,0.39329230,0.04845370,0.97823320,0.37779560,0.06817483,0.95248060,0.36038340,10,4
-0.00289011,0.82729250,0.36013870,-0.00289011,0.82729250,0.36013870,-0.00289011,0.82729250,0.36013870,-0.00949217,0.85126910,0.36205870,-0.02777863,0.86504720,0.37043720,-0.04816449,0.88901100,0.37568110,-0.06242483,0.91794740,0.38332120,-0.00760239,0.91298220,0.40584670,-0.00319881,0.94959650,0.41078690,-0.00091972,0.97229030,0.40384030,0.01345501,0.90699990,0.40696830,0.02258777,0.94795670,0.41051600,0.02644532,0.97346990,0.40247600,0.03050859,0.90059340,0.39778130,0.04426306,0.93623260,0.39982840,0.04849450,0.96008480,0.39019700,0.02544089,0.85668100,0.36688220,0.04521331,0.89294270,0.38419630,0.05869036,0.91928320,0.37846840,0.06537631,0.93613400,0.37019850,-0.07767246,0.93620490,0.38751570,0.00199664,0.99157390,0.39373800,0.02933004,0.99574950,0.39265500,0.04876106,0.98054250,0.37780840,0.06799261,0.95496680,0.36007500,10,4
-0.00221957,0.83017500,0.36032180,-0.00221957,0.83017500,0.36032180,-0.00221957,0.83017500,0.36032180,-0.00875434,0.85415230,0.36245160,-0.02704095,0.86786260,0.37094020,-0.04733552,0.89177090,0.37676040,-0.06069277,0.92105290,0.38470990,-0.00679727,0.91544130,0.40682830,-0.00248233,0.95198090,0.41236390,-0.00021882,0.97473470,0.40561090,0.01423882,0.90938450,0.40794990,0.02352791,0.95024720,0.41212210,0.02744044,0.97577630,0.40415960,0.03129790,0.90301350,0.39874840,0.04526337,0.93854650,0.40117540,0.04932934,0.96230400,0.39124320,0.02618166,0.85941180,0.36742030,0.04601637,0.89544710,0.38513110,0.05945253,0.92177590,0.37925480,0.06559479,0.93857660,0.37047680,-0.07540102,0.93969140,0.38914750,0.00268786,0.99405770,0.39558160,0.03033056,0.99803490,0.39429270,0.04924776,0.98246740,0.37837860,0.06744935,0.95720410,0.35981930,10,4
