RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.04073407,1.08818600,0.47397820,0.04073407,1.08818600,0.47397820,0.04073407,1.08818600,0.47397820,0.05999016,1.10148400,0.48009880,0.08271652,1.10744800,0.48274170,0.10920460,1.12044000,0.49203450,0.12643980,1.14585700,0.50154940,0.10335300,1.15739500,0.46055500,0.11671080,1.18513900,0.47936520,0.11094080,1.17044000,0.49625450,0.08432841,1.16643600,0.45769530,0.09812562,1.19400100,0.48448510,0.09364542,1.17532700,0.50232230,0.06594804,1.17004500,0.46406930,0.07832570,1.19432200,0.48924400,0.07891886,1.17524200,0.50581880,0.03793625,1.12803700,0.47771570,0.04770576,1.17019300,0.47402740,0.05976517,1.18601100,0.49544090,0.06365076,1.17028200,0.50597130,0.12557600,1.16785300,0.50955590,0.10230960,1.15224200,0.48932350,0.08757737,1.15314600,0.49627680,0.07408635,1.15464800,0.49630430,0.06172721,1.15187100,0.49629160,11,5
0.04105079,1.08351600,0.47379830,0.04105079,1.08351600,0.47379830,0.04105079,1.08351600,0.47379830,0.06020958,1.09692500,0.47998220,0.08298307,1.10279700,0.48241780,0.10960180,1.11561000,0.49158600,0.12712540,1.14081200,0.50114480,0.10318890,1.15321600,0.46068360,0.11647890,1.18168100,0.47843530,0.11134870,1.16772000,0.49613860,0.08410268,1.16213500,0.45784860,0.09801179,1.19075500,0.48344630,0.09415320,1.17306300,0.50239450,0.06569394,1.16558800,0.46422630,0.07788496,1.19145300,0.48786540,0.07923873,1.17342100,0.50553360,0.03797081,1.12333100,0.47769120,0.04744567,1.16557000,0.47417450,0.05902395,1.18265000,0.49487250,0.06360614,1.16761700,0.50611610,0.12651590,1.16274000,0.50935930,0.10281890,1.14908500,0.49033800,0.08822324,1.15047500,0.49792250,0.07480359,1.15209800,0.49755450,0.06238832,1.14868700,0.49736670,11,5
0.04136284,1.07889700,0.47361730,0.04136284,1.07889700,0.47361730,0.04136284,1.07889700,0.47361730,0.06042663,1.09241400,0.47985970,0.08323731,1.09821500,0.48210790,0.10994060,1.11083600,0.49129660,0.12759760,1.13587600,0.50103310,0.10303390,1.14906200,0.46078440,0.11608000,1.17825200,0.47750910,0.11164680,1.16503900,0.49595830,0.08388929,1.15786100,0.45796940,0.09778237,1.18749700,0.48239360,0.09462640,1.17088100,0.50241630,0.06545389,1.16116700,0.46434820,0.07736909,1.18848300,0.48644460,0.07948638,1.17163500,0.50517420,0.03801049,1.11867600,0.47764810,0.04720047,1.16099000,0.47428530,0.05811876,1.17977400,0.49383310,0.06351403,1.16582900,0.50607370,0.12708340,1.15772600,0.50946090,0.10335030,1.14599100,0.49126380,0.08896078,1.14797500,0.49948550,0.07551391,1.14970400,0.49875230,0.06316996,1.14630200,0.49866020,11,5
0.04014169,1.07546700,0.47396180,0.04014169,1.07546700,0.47396180,0.04014169,1.07546700,0.47396180,0.05935188,1.08884400,0.48005440,0.08229136,1.09427000,0.48189100,0.10933030,1.10635700,0.49081260,0.12756190,1.13100700,0.50048530,0.10218740,1.14521600,0.46067300,0.11550670,1.17494100,0.47619800,0.11174200,1.16259900,0.49538440,0.08308102,1.15415000,0.45803140,0.09755135,1.18459500,0.48108830,0.09504940,1.16916800,0.50212880,0.06472442,1.15757800,0.46457150,0.07687822,1.18609900,0.48494850,0.07967487,1.17048200,0.50463120,0.03710093,1.11526400,0.47806230,0.04655602,1.15751600,0.47466460,0.05719221,1.17766300,0.49297270,0.06322613,1.16475900,0.50602970,0.12753360,1.15280200,0.50906910,0.10341440,1.14330700,0.49189520,0.08935249,1.14612100,0.50080560,0.07585323,1.14811300,0.49983230,0.06342223,1.14478900,0.49990220,11,5
0.03904651,1.07197000,0.47426110,0.03904651,1.07197000,0.47426110,0.03904651,1.07197000,0.47426110,0.05838165,1.08522800,0.48021810,0.08142921,1.09030500,0.48165940,0.10877190,1.10188500,0.49032320,0.12754490,1.12615300,0.49992660,0.10139740,1.14136700,0.46056080,0.11490800,1.17159800,0.47489820,0.11181460,1.16014200,0.49474310,0.08232416,1.15041600,0.45807570,0.09728567,1.18162100,0.47976120,0.09546135,1.16740500,0.50170480,0.06403913,1.15394500,0.46476080,0.07632596,1.18357500,0.48340170,0.07980779,1.16922700,0.50392330,0.03627195,1.11178100,0.47842370,0.04594920,1.15398000,0.47499400,0.05621777,1.17534500,0.49209030,0.06284109,1.16350100,0.50584690,0.12798200,1.14788600,0.50865410,0.10352440,1.14065700,0.49244050,0.08981518,1.14430900,0.50195760,0.07621990,1.14653400,0.50073340,0.06361935,1.14320900,0.50094610,11,5
0.03805069,1.06842300,0.47452490,0.03805069,1.06842300,0.47452490,0.03805069,1.06842300,0.47452490,0.05749415,1.08157700,0.48035720,0.08064389,1.08627900,0.48136830,0.10831360,1.09733400,0.48967160,0.12752430,1.12129900,0.49917100,0.10065300,1.13751700,0.46044810,0.11425020,1.16809700,0.47393700,0.11177080,1.15744500,0.49430860,0.08160866,1.14666500,0.45810620,0.09687799,1.17876900,0.47820650,0.09594898,1.16605600,0.50110750,0.06338937,1.15028000,0.46492370,0.07577784,1.18097200,0.48168280,0.08005406,1.16832300,0.50314970,0.03550675,1.10824300,0.47874360,0.04537259,1.15039600,0.47528460,0.05541855,1.17273700,0.49122740,0.06253840,1.16216200,0.50574920,0.12830890,1.14297100,0.50802570,0.10357420,1.13782500,0.49306820,0.09058353,1.14299400,0.50328110,0.07681313,1.14538700,0.50193110,0.06390443,1.14158700,0.50240170,11,5
0.03664147,1.06428700,0.47390400,0.03664147,1.06428700,0.47390400,0.03664147,1.06428700,0.47390400,0.05614571,1.07737300,0.47968690,0.07937016,1.08175800,0.48034690,0.10729920,1.09234500,0.48838780,0.12687290,1.11602400,0.49786320,0.09938090,1.13323700,0.45972970,0.11294310,1.16418300,0.47239290,0.11105130,1.15434100,0.49322960,0.08035306,1.14244400,0.45748670,0.09575550,1.17536300,0.47611290,0.09566142,1.16411800,0.49978780,0.06217205,1.14609400,0.46438690,0.07448554,1.17773800,0.47933440,0.07950605,1.16679000,0.50156230,0.03422737,1.10410400,0.47822440,0.04419813,1.14623700,0.47482160,0.05386262,1.16950200,0.48963920,0.06143285,1.16023900,0.50481470,0.12794460,1.13762100,0.50686990,0.10302870,1.13461100,0.49301670,0.09067537,1.14120700,0.50373730,0.07672615,1.14377200,0.50222270,0.06348154,1.13953300,0.50296150,11,5
0.03533322,1.06015300,0.47333380,0.03533322,1.06015300,0.47333380,0.03533322,1.06015300,0.47333380,0.05489214,1.07317800,0.47906810,0.07817872,1.07726200,0.47938250,0.10634810,1.08739700,0.48716300,0.12627710,1.11079100,0.49660580,0.09818634,1.12897800,0.45906100,0.11168330,1.16029200,0.47086200,0.11037920,1.15129100,0.49211980,0.07917261,1.13823700,0.45691230,0.09465542,1.17190600,0.47407390,0.09537360,1.16213800,0.49838470,0.06102782,1.14191700,0.46389150,0.07319956,1.17441300,0.47701410,0.07893921,1.16518900,0.49984170,0.03303418,1.09996600,0.47774880,0.04309532,1.14208200,0.47439700,0.05231597,1.16621500,0.48806260,0.06029532,1.15830000,0.50378140,0.12763480,1.13231100,0.50575540,0.10256780,1.13149200,0.49293830,0.09081838,1.13949300,0.50402900,0.07667552,1.14223900,0.50232510,0.06305484,1.13759700,0.50338180,11,5
0.03410409,1.05601800,0.47280350,0.03410409,1.05601800,0.47280350,0.03410409,1.05601800,0.47280350,0.05371294,1.06899000,0.47848990,0.07705620,1.07274800,0.47842320,0.10548930,1.08242500,0.48581840,0.12586290,1.10549400,0.49511280,0.09705265,1.12473600,0.45843160,0.11068150,1.15623400,0.46957330,0.10980140,1.14796600,0.49114840,0.07805115,1.13404000,0.45637380,0.09362166,1.16798300,0.47290510,0.09477263,1.15893100,0.49747510,0.05994099,1.13774600,0.46342920,0.07205160,1.17049500,0.47596760,0.07818736,1.16211600,0.49901720,0.03190861,1.09582800,0.47730760,0.04204881,1.13792800,0.47400280,0.05088874,1.16269000,0.48676710,0.05921879,1.15625800,0.50297370,0.12762690,1.12693100,0.50438590,0.10205850,1.12819600,0.49284190,0.09045501,1.13649400,0.50405470,0.07626656,1.13925500,0.50243530,0.06278986,1.13571200,0.50418540,11,5
0.03285634,1.05206600,0.47218130,0.03285634,1.05206600,0.47218130,0.03285634,1.05206600,0.47218130,0.05246541,1.06495500,0.47805300,0.07585258,1.06842100,0.47779630,0.10447350,1.07761500,0.48508210,0.12519200,1.10030300,0.49454810,0.09593801,1.12083700,0.45867260,0.10956310,1.15246900,0.46943380,0.10899740,1.14480200,0.49124000,0.07695501,1.13018700,0.45665040,0.09246800,1.16436800,0.47273890,0.09395650,1.15599500,0.49753070,0.05882896,1.13384700,0.46368860,0.07071363,1.16689200,0.47565380,0.07715876,1.15940400,0.49892450,0.03070020,1.09183200,0.47707080,0.04090581,1.13395000,0.47421070,0.04920388,1.15925900,0.48624240,0.05772589,1.15422400,0.50283830,0.12726890,1.12158200,0.50411810,0.10136770,1.12505900,0.49362970,0.08990323,1.13377600,0.50496230,0.07564555,1.13667000,0.50327310,0.06211124,1.13397100,0.50548300,11,5
