RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.03980115,0.92587190,0.44091530,0.03980115,0.92587190,0.44091530,0.03980115,0.92587190,0.44091530,0.03045134,0.94714410,0.43419370,0.01227268,0.96225670,0.43376270,-0.00661692,0.98655530,0.43067480,-0.00231731,1.01716400,0.42182980,0.02270434,1.01794000,0.45197560,0.02785819,1.04415300,0.42772000,0.02332460,1.02641100,0.41360300,0.04361446,1.01572300,0.45509060,0.04597014,1.03898800,0.42160870,0.03846688,1.01623700,0.41097710,0.06121354,1.00899900,0.44904480,0.06227019,1.03036900,0.41873610,0.05073879,1.01009300,0.40898680,0.06313609,0.95822890,0.43662710,0.07691361,0.99931830,0.43946620,0.07484588,1.01596500,0.41553330,0.06222297,1.00208000,0.41092240,0.00420051,1.03783300,0.41294310,0.01930238,1.00635800,0.41955420,0.03224497,0.99841830,0.42543920,0.04484782,0.99308430,0.42361590,0.05420634,0.98798740,0.42409490,11,7
0.03980477,0.92622000,0.44269960,0.03980477,0.92622000,0.44269960,0.03980477,0.92622000,0.44269960,0.03047413,0.94741480,0.43571200,0.01219255,0.96240560,0.43539930,-0.00683381,0.98664250,0.43268930,-0.00270059,1.01719800,0.42358620,0.02300784,1.01848900,0.45247780,0.02807447,1.04478700,0.42829690,0.02361896,1.02745600,0.41365430,0.04392866,1.01626200,0.45551310,0.04644018,1.03974400,0.42219450,0.03878478,1.01721000,0.41121420,0.06147719,1.00940200,0.44947370,0.06271976,1.03072500,0.41913970,0.05096845,1.01077600,0.40898670,0.06320031,0.95844690,0.43780410,0.07709990,0.99953680,0.43995630,0.07516250,1.01631200,0.41610180,0.06253380,1.00263900,0.41090890,0.00352671,1.03785000,0.41445300,0.01957498,1.00712600,0.41855540,0.03237005,0.99910560,0.42523010,0.04461079,0.99345550,0.42304280,0.05411055,0.98825590,0.42350120,11,7
0.03976605,0.92644160,0.44437270,0.03976605,0.92644160,0.44437270,0.03976605,0.92644160,0.44437270,0.03045237,0.94758280,0.43720270,0.01220924,0.96261890,0.43682740,-0.00672111,0.98693780,0.43417910,-0.00262787,1.01744400,0.42489210,0.02327195,1.01885900,0.45321850,0.02831354,1.04502900,0.42889400,0.02384257,1.02819400,0.41368790,0.04420371,1.01660800,0.45615960,0.04677585,1.04000900,0.42278770,0.03890748,1.01761400,0.41167260,0.06169908,1.00963400,0.45009740,0.06289688,1.03050700,0.41945010,0.05090357,1.01081500,0.40908120,0.06321934,0.95854790,0.43898600,0.07724080,0.99962100,0.44060180,0.07516214,1.01610400,0.41655610,0.06245595,1.00264700,0.41099830,0.00337615,1.03809700,0.41561370,0.01966913,1.00759800,0.41716210,0.03232715,0.99936810,0.42542510,0.04409915,0.99326660,0.42263700,0.05352417,0.98807770,0.42301200,11,7
0.03961057,0.92685150,0.44731820,0.03961057,0.92685150,0.44731820,0.03961057,0.92685150,0.44731820,0.03036638,0.94790620,0.43981170,0.01217069,0.96299310,0.43922960,-0.00664338,0.98738470,0.43642610,-0.00253348,1.01778100,0.42679350,0.02347963,1.01946500,0.45465320,0.02863665,1.04544000,0.43014510,0.02420290,1.02902700,0.41447480,0.04440707,1.01718400,0.45760150,0.04724133,1.04042200,0.42413790,0.03919506,1.01814700,0.41291140,0.06186690,1.01004300,0.45163100,0.06326312,1.03047600,0.42069650,0.05105928,1.01105200,0.41007030,0.06317724,0.95877440,0.44136640,0.07735650,0.99981500,0.44228070,0.07536422,1.01597700,0.41801150,0.06257280,1.00276400,0.41207920,0.00328338,1.03838000,0.41727860,0.01988652,1.00828600,0.41668740,0.03235862,0.99981700,0.42642550,0.04371225,0.99334810,0.42313190,0.05307367,0.98812450,0.42356090,11,7
0.03943516,0.92716120,0.45009180,0.03943516,0.92716120,0.45009180,0.03943516,0.92716120,0.45009180,0.03025495,0.94814680,0.44231790,0.01209900,0.96327550,0.44159600,-0.00661273,0.98773780,0.43872540,-0.00250804,1.01805200,0.42883400,0.02366660,1.01992600,0.45619880,0.02893355,1.04584100,0.43164980,0.02454506,1.02993200,0.41545540,0.04459122,1.01760600,0.45913680,0.04770511,1.04087400,0.42571840,0.03948560,1.01878500,0.41425260,0.06201210,1.01031900,0.45322970,0.06365795,1.03051600,0.42215340,0.05124780,1.01144100,0.41114160,0.06310941,0.95891100,0.44366040,0.07744436,0.99990630,0.44398900,0.07559815,1.01588700,0.41958850,0.06271620,1.00297300,0.41321020,0.00308454,1.03863100,0.41914370,0.02011107,1.00911700,0.41633200,0.03238510,1.00030400,0.42742130,0.04333648,0.99353560,0.42358370,0.05264781,0.98825540,0.42409090,11,7
0.03924433,0.92739190,0.45272920,0.03924433,0.92739190,0.45272920,0.03924433,0.92739190,0.45272920,0.03012363,0.94832310,0.44474150,0.01210530,0.96359960,0.44373880,-0.00638672,0.98817220,0.44042090,-0.00206182,1.01833200,0.43016050,0.02383674,1.02027800,0.45782920,0.02935642,1.04672000,0.43390610,0.02517675,1.03230500,0.41631780,0.04475963,1.01791300,0.46074330,0.04863484,1.04271200,0.42852790,0.04041510,1.02196200,0.41478740,0.06213881,1.01049400,0.45487700,0.06461348,1.03169200,0.42453040,0.05218223,1.01409200,0.41130820,0.06302118,0.95897820,0.44588440,0.07750969,0.99992050,0.44571740,0.07643671,1.01634600,0.42156680,0.06340177,1.00451900,0.41359030,0.00360002,1.03878500,0.42024510,0.02060047,1.01158100,0.41451600,0.03262449,1.00242500,0.42587640,0.04277901,0.99502520,0.42058490,0.05185720,0.98949890,0.42239310,11,7
0.03940469,0.92737190,0.45482830,0.03940469,0.92737190,0.45482830,0.03940469,0.92737190,0.45482830,0.03024397,0.94819810,0.44661520,0.01232336,0.96357750,0.44544690,-0.00602926,0.98820380,0.44177210,-0.00164837,1.01816700,0.43097450,0.02428925,1.02036800,0.45862970,0.02980486,1.04716000,0.43509810,0.02569087,1.03409900,0.41646750,0.04523864,1.01799400,0.46133830,0.04949108,1.04390900,0.43006260,0.04122477,1.02447400,0.41454120,0.06252988,1.01043600,0.45538980,0.06547571,1.03231100,0.42557050,0.05301912,1.01612000,0.41067760,0.06317908,0.95878190,0.44720740,0.07776676,0.99967740,0.44622180,0.07718273,1.01634200,0.42221910,0.06406007,1.00553300,0.41303390,0.00391996,1.03846500,0.42069380,0.02103065,1.01372300,0.41237190,0.03293430,1.00420600,0.42380540,0.04245649,0.99647700,0.41705000,0.05133624,0.99050610,0.42000970,11,7
0.03952704,0.92731780,0.45687720,0.03952704,0.92731780,0.45687720,0.03952704,0.92731780,0.45687720,0.03032973,0.94805310,0.44847700,0.01250318,0.96353010,0.44716770,-0.00571542,0.98820820,0.44318630,-0.00129081,1.01799300,0.43192060,0.02469706,1.02039900,0.45955070,0.03024558,1.04761000,0.43651240,0.02623503,1.03607500,0.41687870,0.04566905,1.01800500,0.46205960,0.05036126,1.04507700,0.43184460,0.04210852,1.02717500,0.41457110,0.06287326,1.01031800,0.45602540,0.06635990,1.03291600,0.42681010,0.05397905,1.01832200,0.41029160,0.06329682,0.95855320,0.44855630,0.07797909,0.99939060,0.44683960,0.07794427,1.01633600,0.42302730,0.06484753,1.00665700,0.41262580,0.00414993,1.03816300,0.42132620,0.02152136,1.01634100,0.41039470,0.03330173,1.00632000,0.42184280,0.04234634,0.99852060,0.41354430,0.05100279,0.99182840,0.41760650,11,7
0.03961947,0.92723680,0.45888600,0.03961947,0.92723680,0.45888600,0.03961947,0.92723680,0.45888600,0.03038836,0.94789260,0.45032860,0.01275657,0.96356140,0.44870140,-0.00525686,0.98822280,0.44379160,-0.00065236,1.01769900,0.43180950,0.02506979,1.02038600,0.46056520,0.03027105,1.04797000,0.43789250,0.02655583,1.03809100,0.41732020,0.04606099,1.01796300,0.46287890,0.05084670,1.04550500,0.43310620,0.04279504,1.02958200,0.41390790,0.06317864,1.01015400,0.45675650,0.06728888,1.03391100,0.42855910,0.05513529,1.02078900,0.41069140,0.06338257,0.95829970,0.44992500,0.07815547,0.99907120,0.44754560,0.07899536,1.01710800,0.42456370,0.06631735,1.00886000,0.41253700,0.00491924,1.03758800,0.42076180,0.02203327,1.01901900,0.40898380,0.03343304,1.00813400,0.41811860,0.04285215,1.00112000,0.41119260,0.05168358,0.99416790,0.41506430,11,7
0.03936270,0.92725590,0.45967890,0.03936270,0.92725590,0.45967890,0.03936270,0.92725590,0.45967890,0.03021756,0.94793390,0.45108290,0.01285180,0.96387160,0.44922380,-0.00483358,0.98861000,0.44356570,0.00009663,1.01782700,0.43109000,0.02554928,1.02052300,0.46094720,0.03060410,1.04858400,0.43883400,0.02712783,1.04046800,0.41746430,0.04654045,1.01795100,0.46309300,0.05166360,1.04617200,0.43402110,0.04382799,1.03244600,0.41311250,0.06354325,1.00997300,0.45686780,0.06839677,1.03484500,0.42977140,0.05647506,1.02337900,0.41065240,0.06328654,0.95808120,0.45033370,0.07835317,0.99872230,0.44759160,0.08009215,1.01776800,0.42549110,0.06788108,1.01108300,0.41208930,0.00588009,1.03748600,0.41974270,0.02270901,1.02229100,0.40727910,0.03389882,1.01087100,0.41423230,0.04357863,1.00423000,0.40841950,0.05257448,0.99686850,0.41226090,11,7
