RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.09044409,0.83868830,0.38662770,-0.09044409,0.83868830,0.38662770,-0.09044409,0.83868830,0.38662770,-0.10259310,0.85760680,0.37770610,-0.11275780,0.87114880,0.36120370,-0.12800680,0.89284960,0.34528770,-0.14851150,0.91759650,0.34441780,-0.16902050,0.88669500,0.36632140,-0.17083710,0.92220690,0.37245140,-0.14854450,0.91646190,0.37029420,-0.17099120,0.88112450,0.38674050,-0.16674440,0.92141800,0.39186520,-0.14179210,0.91551140,0.38643830,-0.16361460,0.88040320,0.40508580,-0.15676060,0.91681240,0.40702940,-0.13430100,0.90955850,0.39796950,-0.11584780,0.85958360,0.40960430,-0.15160260,0.88087080,0.42204040,-0.14576530,0.90936020,0.41913020,-0.12973820,0.90615200,0.40882270,-0.16026490,0.93436070,0.35579760,-0.14017820,0.89715980,0.36695910,-0.13401470,0.89422300,0.37924950,-0.12999070,0.88770770,0.39149110,-0.12677610,0.88676510,0.40162860,11,6
-0.08916635,0.83988080,0.38739550,-0.08916635,0.83988080,0.38739550,-0.08916635,0.83988080,0.38739550,-0.10095930,0.85904280,0.37851560,-0.11088080,0.87276450,0.36201370,-0.12577390,0.89470910,0.34609480,-0.14585360,0.91979660,0.34508110,-0.16682790,0.88941850,0.36724730,-0.16851750,0.92492410,0.37345000,-0.14624920,0.91909030,0.37128080,-0.16888350,0.88385580,0.38766010,-0.16443990,0.92410020,0.39299870,-0.13951410,0.91815840,0.38748960,-0.16150260,0.88296500,0.40599620,-0.15469470,0.91936390,0.40826720,-0.13223390,0.91230530,0.39905730,-0.11413970,0.86122510,0.41043120,-0.14946580,0.88317610,0.42293840,-0.14375240,0.91173260,0.42047400,-0.12780890,0.90863180,0.41000540,-0.15732710,0.93681390,0.35637070,-0.13813080,0.89969160,0.36789380,-0.13187660,0.89686750,0.38015960,-0.12796460,0.89051090,0.39236550,-0.12503590,0.88930310,0.40258320,11,6
-0.08798356,0.84103410,0.38810190,-0.08798356,0.84103410,0.38810190,-0.08798356,0.84103410,0.38810190,-0.09942268,0.86042620,0.37925890,-0.10910000,0.87430680,0.36274480,-0.12394230,0.89625760,0.34678700,-0.14385620,0.92146990,0.34561470,-0.16472020,0.89204370,0.36808300,-0.16683130,0.92750160,0.37442790,-0.14447160,0.92203620,0.37223910,-0.16686520,0.88648990,0.38848900,-0.16320430,0.92676790,0.39415760,-0.13815190,0.92132620,0.38870570,-0.15948950,0.88543400,0.40681850,-0.15392460,0.92200190,0.40968410,-0.13115590,0.91598280,0.40049220,-0.11253780,0.86280670,0.41118710,-0.14743920,0.88539500,0.42375230,-0.14240770,0.91412990,0.42196930,-0.12639110,0.91170140,0.41143490,-0.15515580,0.93866680,0.35680710,-0.13624280,0.90270090,0.36875720,-0.13024030,0.90018270,0.38124110,-0.12611310,0.89445410,0.39348570,-0.12319070,0.89261260,0.40357660,11,6
-0.08412009,0.84513560,0.38712180,-0.08412009,0.84513560,0.38712180,-0.08412009,0.84513560,0.38712180,-0.09527290,0.86471870,0.37833400,-0.10473750,0.87874460,0.36181940,-0.11957990,0.90068410,0.34584640,-0.13942150,0.92594680,0.34453870,-0.16010230,0.89730010,0.36720160,-0.16272680,0.93268600,0.37375350,-0.14026760,0.92764030,0.37157600,-0.16234750,0.89170750,0.38758630,-0.15953640,0.93199690,0.39364650,-0.13435230,0.92710350,0.38828270,-0.15500680,0.89048410,0.40591940,-0.15066310,0.92716350,0.40940450,-0.12762330,0.92217120,0.40027320,-0.10838640,0.86717620,0.41025720,-0.14297600,0.89021560,0.42286500,-0.13864870,0.91909990,0.42178830,-0.12255990,0.91734520,0.41123010,-0.15063350,0.94325150,0.35565280,-0.13187630,0.90839640,0.36797730,-0.12611980,0.90613810,0.38066420,-0.12183120,0.90093680,0.39295470,-0.11892710,0.89851510,0.40294710,11,6
-0.08055228,0.84895670,0.38624280,-0.08055228,0.84895670,0.38624280,-0.08055228,0.84895670,0.38624280,-0.09141482,0.86872500,0.37750630,-0.10066320,0.88289110,0.36098880,-0.11549030,0.90482880,0.34499920,-0.13524660,0.93015090,0.34355520,-0.15576050,0.90226300,0.36640850,-0.15884520,0.93757450,0.37315820,-0.13630170,0.93291100,0.37100000,-0.15810850,0.89663730,0.38677240,-0.15606070,0.93691620,0.39319770,-0.13076610,0.93251650,0.38792700,-0.15080690,0.89525030,0.40510950,-0.14755730,0.93198410,0.40916640,-0.12430250,0.92793030,0.40011580,-0.10452840,0.87126630,0.40942280,-0.13880050,0.89475570,0.42206730,-0.13510730,0.92374510,0.42166410,-0.11896630,0.92260050,0.41110180,-0.14636500,0.94756640,0.35458980,-0.12777590,0.91374740,0.36729080,-0.12225540,0.91171470,0.38016710,-0.11784720,0.90698780,0.39251690,-0.11496330,0.90402250,0.40242940,11,6
-0.07721383,0.85256080,0.38544270,-0.07721383,0.85256080,0.38544270,-0.07721383,0.85256080,0.38544270,-0.08778223,0.87250890,0.37675460,-0.09683081,0.88659170,0.36005610,-0.11122320,0.90861460,0.34378880,-0.13051870,0.93427740,0.34214170,-0.15162870,0.90699690,0.36568480,-0.15632510,0.94209530,0.37261460,-0.13357230,0.93851320,0.37059190,-0.15408160,0.90134290,0.38602860,-0.15331830,0.94159470,0.39288990,-0.12786530,0.93801250,0.38776400,-0.14682280,0.89979540,0.40436990,-0.14472690,0.93652900,0.40912750,-0.12135690,0.93333110,0.40003080,-0.10089690,0.87513940,0.40866340,-0.13484530,0.89907720,0.42134010,-0.13175360,0.92813840,0.42162400,-0.11558410,0.92761310,0.41105640,-0.14132040,0.95195080,0.35308050,-0.12442790,0.91965220,0.36680570,-0.11897420,0.91743330,0.37983900,-0.11452770,0.91262410,0.39211950,-0.11124630,0.90930190,0.40198650,11,6
-0.07094794,0.85715910,0.38276210,-0.07094794,0.85715910,0.38276210,-0.07094794,0.85715910,0.38276210,-0.08161393,0.87716700,0.37433430,-0.09084374,0.89113110,0.35763550,-0.10533450,0.91309150,0.34137090,-0.12461110,0.93877610,0.33984860,-0.14559410,0.91166470,0.36409860,-0.15217570,0.94637170,0.37145290,-0.12926160,0.94412350,0.36933120,-0.14786820,0.90583390,0.38441320,-0.14881130,0.94596890,0.39190680,-0.12324430,0.94354800,0.38666990,-0.14045300,0.90413920,0.40267870,-0.13993560,0.94080610,0.40830530,-0.11652990,0.93882560,0.39895720,-0.09446212,0.87950750,0.40637390,-0.12833190,0.90329170,0.41954070,-0.12624480,0.93242310,0.42063470,-0.11016170,0.93278970,0.40992950,-0.13528140,0.95646530,0.35089030,-0.11934550,0.92571440,0.36527320,-0.11379260,0.92336210,0.37839010,-0.10912260,0.91850920,0.39056760,-0.10533300,0.91487080,0.40033890,11,6
-0.06506206,0.86154660,0.38028620,-0.06506206,0.86154660,0.38028620,-0.06506206,0.86154660,0.38028620,-0.07578620,0.88162310,0.37209900,-0.08516169,0.89548140,0.35539310,-0.09972658,0.91738440,0.33911740,-0.11896510,0.94310280,0.33768590,-0.13983300,0.91621380,0.36262120,-0.14812900,0.95045920,0.37039290,-0.12513260,0.94945010,0.36821060,-0.14195550,0.91022150,0.38290520,-0.14447670,0.95016840,0.39101360,-0.11884420,0.94883100,0.38570850,-0.13440330,0.90837970,0.40110020,-0.13536200,0.94489490,0.40758910,-0.11196270,0.94407700,0.39805290,-0.08839203,0.88371050,0.40425210,-0.12215560,0.90739540,0.41786310,-0.12100590,0.93653710,0.41976700,-0.10502660,0.93775110,0.40896930,-0.12950010,0.96082340,0.34880710,-0.11453600,0.93148420,0.36389480,-0.10889310,0.92902760,0.37709670,-0.10402420,0.92415880,0.38920680,-0.09975418,0.92023560,0.39888030,11,6
-0.05947655,0.86576720,0.37797210,-0.05947655,0.86576720,0.37797210,-0.05947655,0.86576720,0.37797210,-0.07022792,0.88591950,0.37000950,-0.07975448,0.89936120,0.35305070,-0.09426531,0.92099180,0.33636760,-0.11328100,0.94688860,0.33519800,-0.13428890,0.92066780,0.36123060,-0.14496240,0.95423310,0.36906790,-0.12193270,0.95522520,0.36726090,-0.13628120,0.91452590,0.38148300,-0.14067240,0.95422180,0.39001630,-0.11495130,0.95445240,0.38498360,-0.12860750,0.91253690,0.39961150,-0.13118870,0.94880690,0.40697470,-0.10779670,0.94946860,0.39740860,-0.08261081,0.88778190,0.40226290,-0.11624700,0.91140980,0.41628230,-0.11612640,0.94050600,0.41903560,-0.10024840,0.94268540,0.40824030,-0.12343680,0.96468110,0.34655440,-0.10983370,0.93822090,0.36299950,-0.10387670,0.93532840,0.37620940,-0.09901126,0.93013720,0.38807490,-0.09436424,0.92569340,0.39760880,11,6
-0.05465146,0.86930930,0.37560180,-0.05465146,0.86930930,0.37560180,-0.05465146,0.86930930,0.37560180,-0.06556483,0.88946620,0.36787520,-0.07542570,0.90242760,0.35073450,-0.09012229,0.92368260,0.33373420,-0.10903220,0.94966970,0.33290170,-0.12982750,0.92409660,0.36016970,-0.14264840,0.95688930,0.36805930,-0.11976670,0.95976940,0.36640020,-0.13150830,0.91787310,0.38042550,-0.13770690,0.95725770,0.38927390,-0.11203560,0.95903350,0.38429520,-0.12356490,0.91583330,0.39843180,-0.12773620,0.95179080,0.40655860,-0.10450620,0.95391080,0.39681150,-0.07747746,0.89117690,0.40031360,-0.11095870,0.91467190,0.41491510,-0.11188820,0.94367410,0.41840770,-0.09623958,0.94679010,0.40750750,-0.11879830,0.96751670,0.34451160,-0.10637820,0.94376080,0.36213840,-0.09996597,0.94060880,0.37533900,-0.09496218,0.93518340,0.38700320,-0.08983368,0.93031850,0.39637070,11,6
