RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.00819129,0.88396300,0.56788560,0.00819129,0.88396300,0.56788560,0.00819129,0.88396300,0.56788560,0.00016078,0.90639800,0.57204340,-0.01484995,0.92244260,0.58077760,-0.02756818,0.94722960,0.59421730,-0.03021717,0.97673010,0.60671970,0.00580511,0.96542800,0.61530920,0.00823508,0.99958210,0.60392640,-0.00123540,0.99228480,0.58413550,0.02640101,0.96174620,0.61155340,0.02494130,0.99890150,0.59466550,0.01275005,0.99034740,0.57309800,0.04100007,0.95741490,0.59892040,0.04080772,0.99226440,0.58619790,0.02512185,0.98689970,0.56711110,0.03354245,0.91503550,0.56918970,0.05253848,0.95171710,0.58259970,0.05345476,0.97909980,0.57242440,0.03784187,0.97844980,0.56105690,-0.02957057,0.99949270,0.61220870,-0.00730677,0.97289780,0.57773430,0.00456227,0.96812000,0.57103380,0.01574890,0.96573500,0.56562340,0.02339621,0.96336350,0.56138210,11,1
0.00875827,0.88388450,0.56854280,0.00875827,0.88388450,0.56854280,0.00875827,0.88388450,0.56854280,0.00071050,0.90631190,0.57270860,-0.01434099,0.92241110,0.58127050,-0.02705831,0.94719150,0.59472320,-0.02909303,0.97683380,0.60700320,0.00591161,0.96512780,0.61632010,0.00866536,0.99949280,0.60566930,-0.00050185,0.99288400,0.58549760,0.02654651,0.96143230,0.61279920,0.02577975,0.99911730,0.59707930,0.01390283,0.99143040,0.57501570,0.04129275,0.95713850,0.60032520,0.04192103,0.99233280,0.58860520,0.02648411,0.98797990,0.56906310,0.03413729,0.91491170,0.57030460,0.05302171,0.95150040,0.58412000,0.05502523,0.97910400,0.57472800,0.03973214,0.97950070,0.56292260,-0.02781484,0.99962160,0.61227270,-0.00661721,0.97376210,0.57838100,0.00549784,0.96939220,0.57201000,0.01663629,0.96712610,0.56658420,0.02465856,0.96505230,0.56228300,11,1
0.00996364,0.88412630,0.56865390,0.00996364,0.88412630,0.56865390,0.00996364,0.88412630,0.56865390,0.00181067,0.90650480,0.57287770,-0.01335618,0.92257790,0.58128360,-0.02621514,0.94727310,0.59475830,-0.02782066,0.97699510,0.60690870,0.00625276,0.96498310,0.61702380,0.00922407,0.99958510,0.60723350,0.00044085,0.99370690,0.58666860,0.02694451,0.96135450,0.61377760,0.02673666,0.99954720,0.59931610,0.01525737,0.99273010,0.57676160,0.04188098,0.95718750,0.60148850,0.04318796,0.99271230,0.59087400,0.02808847,0.98935260,0.57087760,0.03525189,0.91518640,0.57103350,0.05385802,0.95170000,0.58541350,0.05675877,0.97949110,0.57684460,0.04184662,0.98085010,0.56463050,-0.02604607,0.99977980,0.61204590,-0.00561754,0.97487630,0.57876960,0.00674570,0.97089050,0.57276840,0.01789687,0.96881710,0.56735180,0.02628996,0.96700360,0.56300430,11,1
0.01108379,0.88434340,0.56878880,0.01108379,0.88434340,0.56878880,0.01108379,0.88434340,0.56878880,0.00284071,0.90668010,0.57305830,-0.01242491,0.92274140,0.58130660,-0.02541786,0.94737330,0.59476870,-0.02660241,0.97717150,0.60677980,0.00657651,0.96484320,0.61768380,0.00976244,0.99965490,0.60874140,0.00135584,0.99450980,0.58782550,0.02731714,0.96126480,0.61470470,0.02764358,0.99989870,0.60146940,0.01654968,0.99393140,0.57848520,0.04243172,0.95720610,0.60259840,0.04439143,0.99300780,0.59307000,0.02963776,0.99062440,0.57267920,0.03629254,0.91541800,0.57175030,0.05464254,0.95185060,0.58665540,0.05836969,0.97977110,0.57886180,0.04386103,0.98204820,0.56630330,-0.02434255,0.99994330,0.61178250,-0.00464198,0.97599480,0.57917020,0.00794215,0.97232230,0.57355360,0.01913325,0.97044660,0.56814920,0.02788661,0.96883120,0.56375210,11,1
0.01209725,0.88453480,0.56893160,0.01209725,0.88453480,0.56893160,0.01209725,0.88453480,0.56893160,0.00377766,0.90683630,0.57323670,-0.01156329,0.92290740,0.58132460,-0.02466155,0.94750170,0.59475340,-0.02503848,0.97746950,0.60638920,0.00687317,0.96471290,0.61828170,0.01057167,0.99988510,0.61112580,0.00261380,0.99652510,0.58967830,0.02765444,0.96117190,0.61555170,0.02893337,1.00036700,0.60415130,0.01819369,0.99646680,0.58056310,0.04293015,0.95720470,0.60361840,0.04573152,0.99325510,0.59531700,0.03133575,0.99227650,0.57455790,0.03723540,0.91561160,0.57242360,0.05535384,0.95196290,0.58780260,0.06003125,0.97993830,0.58075330,0.04611907,0.98359050,0.56784920,-0.02193422,1.00021900,0.61102860,-0.00351615,0.97889960,0.57940900,0.00899434,0.97569290,0.57355050,0.02030445,0.97271230,0.56876520,0.02948286,0.97154300,0.56404520,11,1
0.01291899,0.88465610,0.56848130,0.01291899,0.88465610,0.56848130,0.01291899,0.88465610,0.56848130,0.00450526,0.90694720,0.57265510,-0.01093276,0.92307380,0.58044210,-0.02418209,0.94771480,0.59363500,-0.02384647,0.97788050,0.60474900,0.00682917,0.96483100,0.61773720,0.01094148,1.00021800,0.61200920,0.00350531,0.99835030,0.59019570,0.02765472,0.96131640,0.61532940,0.02978534,1.00087500,0.60540970,0.01951826,0.99871440,0.58139160,0.04311837,0.95736790,0.60363450,0.04670307,0.99356010,0.59630930,0.03275106,0.99376420,0.57522770,0.03796034,0.91576520,0.57235910,0.05579208,0.95214090,0.58801340,0.06135658,0.98009040,0.58152900,0.04810583,0.98489570,0.56831040,-0.01997206,1.00059900,0.60893510,-0.00262917,0.98156190,0.57861080,0.00990984,0.97880350,0.57263980,0.02130531,0.97479870,0.56834920,0.03099170,0.97396840,0.56340350,11,1
0.01371601,0.88477100,0.56810010,0.01371601,0.88477100,0.56810010,0.01371601,0.88477100,0.56810010,0.00522012,0.90705340,0.57215200,-0.01030210,0.92323480,0.57965280,-0.02369038,0.94792180,0.59261760,-0.02268304,0.97823760,0.60327310,0.00681397,0.96492860,0.61727680,0.01126250,1.00046300,0.61286090,0.00434504,0.99995490,0.59080400,0.02767653,0.96143370,0.61518110,0.03056066,1.00126800,0.60665030,0.02079485,1.00069300,0.58233460,0.04331760,0.95750210,0.60371880,0.04761996,0.99379490,0.59733840,0.03412749,0.99509810,0.57599850,0.03866776,0.91590210,0.57236030,0.05622913,0.95229040,0.58828840,0.06261091,0.98018900,0.58236150,0.05003424,0.98602830,0.56890290,-0.01808524,1.00089000,0.60706690,-0.00172718,0.98399690,0.57806970,0.01090297,0.98167770,0.57204170,0.02234723,0.97673930,0.56811270,0.03258342,0.97618280,0.56299420,11,1
0.01443811,0.88487370,0.56778360,0.01443811,0.88487370,0.56778360,0.01443811,0.88487370,0.56778360,0.00587322,0.90714910,0.57172800,-0.00973639,0.92335310,0.57899480,-0.02327686,0.94805890,0.59176410,-0.02189872,0.97845350,0.60215060,0.00681626,0.96500850,0.61689140,0.01143451,1.00064500,0.61361960,0.00503384,1.00135700,0.59141280,0.02770765,0.96152810,0.61507760,0.03114774,1.00151000,0.60749420,0.02184204,1.00222500,0.58300240,0.04350539,0.95761110,0.60382710,0.04819272,0.99390180,0.59771160,0.03501640,0.99569170,0.57621000,0.03930907,0.91601970,0.57239320,0.05662855,0.95241360,0.58857140,0.06359634,0.98016430,0.58261020,0.05150174,0.98667160,0.56901680,-0.01683412,1.00104400,0.60571520,-0.00088407,0.98621180,0.57765480,0.01175920,0.98407760,0.57141110,0.02306419,0.97767100,0.56781920,0.03376162,0.97772650,0.56256310,11,1
0.01485982,0.88502380,0.56812880,0.01485982,0.88502380,0.56812880,0.01485982,0.88502380,0.56812880,0.00636098,0.90737370,0.57178370,-0.00925216,0.92375370,0.57863680,-0.02282933,0.94865300,0.59098430,-0.02087731,0.97917070,0.60090730,0.00683510,0.96549880,0.61661210,0.01184294,1.00115700,0.61428710,0.00607816,1.00297500,0.59196950,0.02773438,0.96188200,0.61520080,0.03203298,1.00192500,0.60842320,0.02334965,1.00385000,0.58376860,0.04371020,0.95780210,0.60426400,0.04912010,0.99402830,0.59836660,0.03641492,0.99637170,0.57663580,0.03983282,0.91604710,0.57300650,0.05707707,0.95243350,0.58928160,0.06490080,0.97994320,0.58326520,0.05347351,0.98714930,0.56944880,-0.01517815,1.00166200,0.60412280,0.00032388,0.98862980,0.57731400,0.01308295,0.98663190,0.57098220,0.02420531,0.97878810,0.56770580,0.03548500,0.97924300,0.56235770,11,1
0.01529985,0.88516630,0.56844790,0.01529985,0.88516630,0.56844790,0.01529985,0.88516630,0.56844790,0.00686381,0.90758160,0.57183820,-0.00874996,0.92411780,0.57830360,-0.02234304,0.94917120,0.59031740,-0.01897510,0.97982290,0.59941330,0.00687717,0.96593650,0.61636940,0.01227875,1.00158800,0.61505070,0.00712611,1.00448200,0.59269690,0.02777736,0.96219690,0.61534450,0.03279154,1.00220700,0.60887300,0.02464867,1.00494500,0.58411100,0.04391960,0.95797170,0.60471140,0.04993079,0.99412410,0.59894400,0.03767741,0.99688710,0.57700420,0.04035721,0.91607620,0.57360500,0.05751713,0.95245120,0.58999420,0.06555456,0.97989450,0.58395630,0.05463441,0.98739300,0.56988780,-0.01199872,1.00203900,0.60195410,0.00155126,0.99100290,0.57717540,0.01426330,0.98849000,0.57044640,0.02528318,0.97968600,0.56759610,0.03669117,0.97998510,0.56217150,11,1
