RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.35882960,0.90069000,0.34498570,0.35882960,0.90069000,0.34498570,0.35882960,0.90069000,0.34498570,0.35257460,0.92293180,0.35214680,0.34241820,0.93996870,0.36501650,0.32890790,0.96659580,0.37309400,0.33129270,0.99839160,0.36897760,0.37423300,0.98290930,0.38850540,0.37627840,1.01847500,0.38277190,0.36147470,1.02726200,0.36733650,0.39128770,0.97981520,0.37620040,0.39508850,1.02003500,0.37021710,0.37567620,1.02703300,0.35405720,0.39911990,0.97571560,0.35849900,0.40461920,1.01171000,0.35138840,0.38311030,1.01784000,0.33960170,0.38108090,0.93257250,0.33507240,0.40264820,0.97008420,0.33880630,0.40929570,0.99625080,0.32761240,0.39309640,1.00480700,0.32146630,0.33887040,1.01808500,0.35880730,0.34631660,1.01988600,0.35431650,0.35834080,1.01202200,0.34776960,0.36703990,1.00113100,0.33885850,0.37334390,0.99936870,0.32554560,11,7
0.35648270,0.90092100,0.34530210,0.35648270,0.90092100,0.34530210,0.35648270,0.90092100,0.34530210,0.35002590,0.92309220,0.35250290,0.33978390,0.94015670,0.36526780,0.32604130,0.96674690,0.37307020,0.32821630,0.99851050,0.36860390,0.37124040,0.98330440,0.38873510,0.37312410,1.01896000,0.38352840,0.35881510,1.02913100,0.36848100,0.38825360,0.98039900,0.37632700,0.39220260,1.02071300,0.37112390,0.37345750,1.02974700,0.35518800,0.39602340,0.97638640,0.35857840,0.40198530,1.01236900,0.35178980,0.38096430,1.01998700,0.33999020,0.37832040,0.93304740,0.33525740,0.39949470,0.97079460,0.33886420,0.40689190,0.99653400,0.32716180,0.39137200,1.00600500,0.32061730,0.33578410,1.01806000,0.35815280,0.34345590,1.02377700,0.35472870,0.35517600,1.01667500,0.34742570,0.36386730,1.00438500,0.33847470,0.37125440,1.00188300,0.32444690,11,7
0.35414440,0.90113430,0.34558420,0.35414440,0.90113430,0.34558420,0.35414440,0.90113430,0.34558420,0.34749620,0.92323330,0.35283260,0.33717200,0.94031710,0.36550510,0.32332660,0.96688250,0.37320950,0.32516050,0.99867440,0.36879140,0.36828700,0.98365350,0.38896390,0.37008340,1.01938500,0.38427620,0.35567810,1.02965500,0.36938850,0.38525600,0.98093300,0.37645360,0.38874220,1.02133500,0.37161730,0.37033680,1.03141200,0.35591190,0.39296210,0.97700940,0.35865740,0.39815410,1.01308400,0.35172760,0.37710040,1.02073700,0.34000940,0.37558060,0.93349370,0.33542360,0.39637510,0.97146180,0.33892060,0.40288360,0.99759230,0.32756160,0.38744900,1.00714500,0.32093410,0.33263680,1.01821000,0.35824790,0.34030550,1.02444800,0.35559490,0.35147150,1.02004500,0.34695360,0.35975070,1.00545000,0.33819800,0.36723910,1.00306200,0.32429120,11,7
0.35100310,0.90080290,0.34645300,0.35100310,0.90080290,0.34645300,0.35100310,0.90080290,0.34645300,0.34435200,0.92292680,0.35362220,0.33403480,0.94017420,0.36607700,0.32030670,0.96688070,0.37349850,0.32220190,0.99865810,0.36900310,0.36510640,0.98344840,0.38960450,0.36724240,1.01921200,0.38532100,0.35310800,1.02997400,0.37052130,0.38209590,0.98068220,0.37713220,0.38576100,1.02111100,0.37266180,0.36801170,1.03248800,0.35709030,0.38983130,0.97670080,0.35936150,0.39503600,1.01276400,0.35238180,0.37424700,1.02094300,0.34054700,0.37247120,0.93312170,0.33623080,0.39327630,0.97109130,0.33964780,0.39970490,0.99734350,0.32852660,0.38469700,1.00735000,0.32159580,0.32988740,1.01804900,0.35834440,0.33774250,1.02544800,0.35648160,0.34863480,1.02313600,0.34696910,0.35636320,1.00635200,0.33824760,0.36427580,1.00387600,0.32429460,11,7
0.34793560,0.90050370,0.34725020,0.34793560,0.90050370,0.34725020,0.34793560,0.90050370,0.34725020,0.34127170,0.92264440,0.35435580,0.33095800,0.94003180,0.36661720,0.31732650,0.96685600,0.37378810,0.31926940,0.99861930,0.36921360,0.36197240,0.98326120,0.39020850,0.36442110,1.01905400,0.38635110,0.35062240,1.03044500,0.37170680,0.37897670,0.98046710,0.37776260,0.38287350,1.02092100,0.37374170,0.36584970,1.03364600,0.35840510,0.38673320,0.97644230,0.36001090,0.39209220,1.01249300,0.35308360,0.37163700,1.02134600,0.34115210,0.36940860,0.93280120,0.33697070,0.39020170,0.97078370,0.34031530,0.39674410,0.99709300,0.32939700,0.38227050,1.00765200,0.32215660,0.32714740,1.01786800,0.35843900,0.33526830,1.02682300,0.35739510,0.34612640,1.02643300,0.34725530,0.35319000,1.00757500,0.33831010,0.36165540,1.00495700,0.32418980,11,7
0.34492040,0.90022930,0.34799250,0.34492040,0.90022930,0.34799250,0.34492040,0.90022930,0.34799250,0.33823580,0.92238010,0.35504680,0.32788330,0.93969250,0.36738150,0.31412450,0.96643440,0.37461650,0.31576230,0.99824060,0.37022540,0.35886890,0.98308770,0.39078470,0.36155250,1.01895500,0.38790640,0.34831980,1.03143900,0.37363490,0.37588350,0.98027950,0.37835620,0.37979160,1.02078600,0.37491840,0.36370800,1.03513200,0.36000330,0.38365470,0.97622280,0.36061810,0.38965200,1.01234600,0.35465770,0.37017080,1.02305400,0.34261800,0.36637700,0.93252050,0.33765890,0.38714050,0.97052500,0.34093690,0.39410510,0.99714220,0.33107760,0.38047250,1.00857400,0.32353730,0.32334860,1.01769100,0.35960410,0.33310780,1.02933700,0.35887450,0.34383570,1.03130700,0.34752060,0.35041130,1.01182900,0.33797490,0.35965010,1.00706000,0.32425400,11,7
0.34104070,0.89990400,0.34871880,0.34104070,0.89990400,0.34871880,0.34104070,0.89990400,0.34871880,0.33450610,0.92212410,0.35569540,0.32421730,0.93946500,0.36804340,0.31055530,0.96625990,0.37526550,0.31223280,0.99808750,0.37104680,0.35545860,0.98272160,0.39143430,0.35867960,1.01860900,0.38951430,0.34619520,1.03223400,0.37561740,0.37251650,0.97974560,0.37910450,0.37687420,1.02025500,0.37630730,0.36197470,1.03625400,0.36184980,0.38035000,0.97558950,0.36141690,0.38724210,1.01169800,0.35641300,0.36890490,1.02421100,0.34431710,0.36282720,0.93199220,0.33844370,0.38389490,0.96982520,0.34176570,0.39156080,0.99657610,0.33283200,0.37894130,1.00895700,0.32503040,0.31980100,1.01763500,0.36059240,0.33124200,1.03178200,0.36045520,0.34238640,1.03588800,0.34837660,0.34823950,1.01573300,0.33806730,0.35805770,1.00889400,0.32452800,11,7
0.33727210,0.89960030,0.34940790,0.33727210,0.89960030,0.34940790,0.33727210,0.89960030,0.34940790,0.33086790,0.92187900,0.35631820,0.32063340,0.93924250,0.36867950,0.30705200,0.96608100,0.37589140,0.30875010,0.99792830,0.37183250,0.35209530,0.98237920,0.39205970,0.35577990,1.01826000,0.39106090,0.34402070,1.03293400,0.37760760,0.36918910,0.97925820,0.37981570,0.37397140,1.01976000,0.37767530,0.36026420,1.03726100,0.36379090,0.37707540,0.97501610,0.36217200,0.38474390,1.01108400,0.35809000,0.36754340,1.02518700,0.34607420,0.35934200,0.93151130,0.33918530,0.38067080,0.96919410,0.34254700,0.38894280,0.99606560,0.33456700,0.37733760,1.00932300,0.32663150,0.31629920,1.01756200,0.36152570,0.32938560,1.03408600,0.36217450,0.34130420,1.04014700,0.34973560,0.34640130,1.01936600,0.33851570,0.35655280,1.01067300,0.32503640,11,7
0.33359100,0.89931360,0.35006770,0.33359100,0.89931360,0.35006770,0.33359100,0.89931360,0.35006770,0.32730160,0.92164270,0.35692040,0.31709640,0.93893810,0.36940090,0.30366600,0.96575960,0.37695130,0.30551190,0.99763260,0.37316890,0.34876930,0.98205570,0.39266570,0.35283000,1.01790900,0.39291210,0.34187750,1.03375100,0.38011900,0.36589330,0.97880760,0.38049720,0.37070000,1.01932500,0.37872980,0.35673860,1.03641900,0.36459410,0.37382520,0.97449000,0.36289240,0.38143000,1.01061800,0.35923940,0.36381550,1.02405500,0.34706140,0.35590780,0.93106750,0.33989260,0.37746440,0.96861720,0.34329060,0.38599210,0.99574600,0.33654560,0.37430020,1.00904200,0.32880560,0.31293170,1.01745400,0.36313110,0.32767540,1.03664100,0.36450990,0.33776280,1.03851400,0.35042060,0.34292950,1.01738000,0.33949670,0.35353760,1.01015900,0.32679410,11,7
0.33117470,0.89950880,0.35048370,0.33117470,0.89950880,0.35048370,0.33117470,0.89950880,0.35048370,0.32478230,0.92190100,0.35702860,0.31437080,0.93917350,0.36936940,0.30082810,0.96595410,0.37686430,0.30262850,0.99782990,0.37308340,0.34573420,0.98267820,0.39246120,0.34987090,1.01850400,0.39362310,0.33969980,1.03522500,0.38131090,0.36302330,0.97932010,0.38055900,0.36766890,1.01986100,0.37892350,0.35384430,1.03681400,0.36448590,0.37119560,0.97483310,0.36310710,0.37866640,1.01101500,0.35972810,0.36100610,1.02403000,0.34716400,0.35361260,0.93117390,0.34029800,0.37510340,0.96876850,0.34361570,0.38375000,0.99610670,0.33795490,0.37220980,1.00949400,0.33014350,0.30989960,1.01778000,0.36319370,0.32609640,1.03956300,0.36550530,0.33515020,1.03882100,0.34993020,0.34038400,1.01697700,0.33922760,0.35153380,1.01057900,0.32736840,11,7
