RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.03265523,0.88948110,0.53507760,0.03265523,0.88948110,0.53507760,0.03265523,0.88948110,0.53507760,0.05523404,0.89194680,0.54339770,0.07859035,0.89113580,0.54698420,0.10555630,0.88818470,0.56184700,0.12557560,0.89697120,0.58541880,0.11118540,0.93845720,0.55312170,0.13469450,0.94736830,0.57900400,0.12764830,0.92675690,0.58675900,0.09532624,0.95022350,0.56098900,0.12029760,0.95400690,0.59308220,0.11276080,0.92959850,0.59894580,0.07916451,0.95182590,0.57229010,0.10114690,0.95718480,0.60169160,0.09921227,0.93230240,0.60572390,0.04143140,0.91678280,0.56313970,0.06239812,0.94850970,0.58411620,0.08039447,0.95412700,0.60644930,0.08327901,0.93509440,0.60813540,0.12812020,0.90837720,0.60571930,0.11321170,0.91828200,0.57358890,0.09949565,0.91720000,0.58359410,0.08769175,0.92178700,0.58855680,0.07597797,0.92427220,0.59182730,11,0
0.03270917,0.88965270,0.53522380,0.03270917,0.88965270,0.53522380,0.03270917,0.88965270,0.53522380,0.05526828,0.89210490,0.54360110,0.07863365,0.89124980,0.54711760,0.10559240,0.88814660,0.56196250,0.12564790,0.89680680,0.58555040,0.11124910,0.93856390,0.55340150,0.13484320,0.94821470,0.57893880,0.12841890,0.92772440,0.58751120,0.09538276,0.95036200,0.56120650,0.12066960,0.95552590,0.59285730,0.11410170,0.93122240,0.60014840,0.07919236,0.95200220,0.57246120,0.10125580,0.95904050,0.60144490,0.10020580,0.93434460,0.60675060,0.04144205,0.91698950,0.56326530,0.06238998,0.94872530,0.58424710,0.08012649,0.95605710,0.60628910,0.08388054,0.93733480,0.60925380,0.12824130,0.90816750,0.60587010,0.11396030,0.91843820,0.57492520,0.10092660,0.91759600,0.58579220,0.08888587,0.92254830,0.59029730,0.07711399,0.92518430,0.59366670,11,0
0.03261231,0.88964020,0.53529040,0.03261231,0.88964020,0.53529040,0.03261231,0.88964020,0.53529040,0.05515184,0.89202180,0.54374050,0.07852140,0.89106850,0.54720350,0.10545500,0.88774380,0.56204620,0.12555610,0.89621060,0.58566530,0.11125820,0.93829680,0.55369140,0.13492650,0.94857520,0.57891330,0.12904660,0.92824480,0.58822540,0.09540659,0.95015490,0.56143500,0.12095380,0.95650310,0.59265850,0.11524220,0.93239930,0.60122240,0.07918476,0.95185880,0.57263480,0.10128550,0.96041830,0.60117750,0.10102300,0.93598460,0.60766260,0.04134572,0.91696820,0.56334020,0.06233241,0.94864830,0.58436750,0.07976700,0.95753240,0.60607680,0.08428131,0.93920680,0.61022380,0.12821980,0.90750030,0.60601550,0.11458200,0.91825190,0.57620020,0.10217950,0.91772870,0.58782460,0.08992340,0.92304020,0.59193850,0.07805565,0.92589180,0.59538030,11,0
0.03252428,0.88963370,0.53536080,0.03252428,0.88963370,0.53536080,0.03252428,0.88963370,0.53536080,0.05504485,0.89195160,0.54387890,0.07841890,0.89090830,0.54728520,0.10532950,0.88737180,0.56212050,0.12548070,0.89564780,0.58576460,0.11126190,0.93806090,0.55397360,0.13499510,0.94894780,0.57887720,0.12965250,0.92880230,0.58888850,0.09542294,0.94997250,0.56166080,0.12120460,0.95743760,0.59244130,0.11632660,0.93360030,0.60218510,0.07917197,0.95173320,0.57280950,0.10128040,0.96176330,0.60086300,0.10179020,0.93765990,0.60847260,0.04125495,0.91695280,0.56342020,0.06227378,0.94858190,0.58449210,0.07936952,0.95895390,0.60580740,0.08460113,0.94111320,0.61107450,0.12822060,0.90686320,0.60614590,0.11520510,0.91814370,0.57742730,0.10341340,0.91798600,0.58974320,0.09094333,0.92363860,0.59351420,0.07893999,0.92673640,0.59701620,11,0
0.03244601,0.88963100,0.53542970,0.03244601,0.88963100,0.53542970,0.03244601,0.88963100,0.53542970,0.05494896,0.89189280,0.54400920,0.07833172,0.89076420,0.54732740,0.10525380,0.88704410,0.56209700,0.12547730,0.89515700,0.58573580,0.11126180,0.93785590,0.55423600,0.13512070,0.94943610,0.57870280,0.13046970,0.92957230,0.58958450,0.09543366,0.94981420,0.56187280,0.12137240,0.95827750,0.59226050,0.11742570,0.93479090,0.60320380,0.07915654,0.95162480,0.57297520,0.10125660,0.96217700,0.60084310,0.10227330,0.93835930,0.60925820,0.04117218,0.91694160,0.56349880,0.06221747,0.94852520,0.58461240,0.07929373,0.95921530,0.60578580,0.08484311,0.94168550,0.61172830,0.12830990,0.90629830,0.60614490,0.11604240,0.91810610,0.57890410,0.10475580,0.91819210,0.59183210,0.09163337,0.92355850,0.59491480,0.07947250,0.92667010,0.59823480,11,0
0.03210561,0.88972250,0.53563120,0.03210561,0.88972250,0.53563120,0.03210561,0.88972250,0.53563120,0.05459692,0.89188690,0.54426620,0.07798949,0.89065750,0.54747770,0.10492850,0.88668350,0.56214990,0.12524040,0.89451930,0.58580650,0.11101470,0.93765210,0.55479760,0.13499750,0.94977710,0.57887640,0.13101810,0.93017250,0.59047110,0.09520377,0.94962260,0.56245090,0.12130990,0.95892690,0.59244690,0.11827430,0.93580360,0.60440740,0.07890879,0.95143250,0.57352720,0.10102290,0.96257000,0.60115530,0.10261540,0.93906500,0.61032660,0.04084884,0.91689340,0.56383030,0.06193725,0.94833190,0.58511680,0.07894434,0.95951250,0.60609160,0.08489928,0.94236520,0.61271830,0.12818160,0.90548990,0.60629250,0.11663800,0.91801740,0.58051320,0.10587510,0.91836690,0.59403510,0.09220988,0.92351120,0.59662220,0.07988948,0.92670040,0.59983830,11,0
0.03179147,0.88980940,0.53582450,0.03179147,0.88980940,0.53582450,0.03179147,0.88980940,0.53582450,0.05427067,0.89188320,0.54451310,0.07767229,0.89055990,0.54761960,0.10462570,0.88634220,0.56219700,0.12502360,0.89391060,0.58586660,0.11078490,0.93746240,0.55533050,0.13487440,0.95012610,0.57902220,0.13155660,0.93080940,0.59128880,0.09498930,0.94944500,0.56299660,0.12124950,0.95959750,0.59258020,0.11911610,0.93689780,0.60550780,0.07867652,0.95125560,0.57404660,0.10079780,0.96309420,0.60137570,0.10300180,0.93996040,0.61133100,0.04054737,0.91685170,0.56414290,0.06167347,0.94815550,0.58559000,0.07856836,0.95997180,0.60630530,0.08496676,0.94328460,0.61365370,0.12807230,0.90471660,0.60642430,0.11725740,0.91800690,0.58205180,0.10702750,0.91868880,0.59614500,0.09286729,0.92364560,0.59832610,0.08037195,0.92695610,0.60146180,11,0
0.03149807,0.88989270,0.53601130,0.03149807,0.88989270,0.53601130,0.03149807,0.88989270,0.53601130,0.05396475,0.89188120,0.54475200,0.07737348,0.89047100,0.54776530,0.10439660,0.88614250,0.56218030,0.12488640,0.89358090,0.58581170,0.11056850,0.93728380,0.55584060,0.13464870,0.95008330,0.57946880,0.13157000,0.93086650,0.59195300,0.09478690,0.94927850,0.56351670,0.12112220,0.96010830,0.59279170,0.11994170,0.93791450,0.60668400,0.07845640,0.95109080,0.57454010,0.10060050,0.96341460,0.60163530,0.10356030,0.94081210,0.61256700,0.04026315,0.91681520,0.56444080,0.06142263,0.94799240,0.58603870,0.07833404,0.96016760,0.60653160,0.08517954,0.94403370,0.61467030,0.12803050,0.90427390,0.60641410,0.11733240,0.91780320,0.58299030,0.10827650,0.91887610,0.59850940,0.09382330,0.92352610,0.60055070,0.08108388,0.92693040,0.60339740,11,0
0.03093612,0.88980050,0.53586360,0.03093612,0.88980050,0.53586360,0.03093612,0.88980050,0.53586360,0.05340216,0.89169040,0.54462780,0.07682130,0.89018880,0.54751340,0.10392500,0.88571620,0.56173190,0.12453750,0.89297690,0.58531180,0.11011330,0.93689610,0.55596920,0.13423120,0.94987020,0.57946340,0.13147440,0.93077520,0.59220680,0.09435716,0.94889380,0.56369270,0.12080810,0.96039270,0.59260610,0.12058190,0.93874260,0.60737690,0.07802426,0.95069450,0.57471450,0.10022210,0.96355640,0.60151410,0.10394620,0.94152660,0.61334430,0.03975102,0.91656430,0.56442730,0.06097537,0.94758430,0.58618750,0.07789046,0.96020970,0.60640290,0.08520433,0.94468210,0.61528000,0.12780680,0.90352310,0.60597020,0.11730040,0.91741170,0.58359260,0.10937030,0.91897750,0.60037670,0.09462624,0.92336430,0.60233160,0.08162747,0.92688410,0.60494480,11,0
0.03039144,0.88971930,0.53573860,0.03039144,0.88971930,0.53573860,0.03039144,0.88971930,0.53573860,0.05285512,0.89151120,0.54452940,0.07628341,0.88991970,0.54728980,0.10345950,0.88529670,0.56132070,0.12419000,0.89237240,0.58485340,0.10967160,0.93651930,0.55612630,0.13383000,0.94971540,0.57945460,0.13143670,0.93077330,0.59249610,0.09393980,0.94852090,0.56389310,0.12049700,0.96071950,0.59241970,0.12122560,0.93967910,0.60803150,0.07760262,0.95031190,0.57491010,0.09984069,0.96376990,0.60138160,0.10432930,0.94237500,0.61407990,0.03925117,0.91632740,0.56443360,0.06053662,0.94719170,0.58635480,0.07742219,0.96033540,0.60626220,0.08520703,0.94547810,0.61585690,0.12758270,0.90276970,0.60556730,0.11734350,0.91707890,0.58427790,0.11052000,0.91925850,0.60222200,0.09547188,0.92340000,0.60410490,0.08218784,0.92704900,0.60649570,11,0
