RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.08076019,0.83981710,0.37053230,-0.08076019,0.83981710,0.37053230,-0.08076019,0.83981710,0.37053230,-0.06726705,0.85240690,0.38617000,-0.04880048,0.86105190,0.39814030,-0.03188237,0.87103840,0.42203220,-0.03039017,0.89121230,0.44702000,-0.03830079,0.91806420,0.40161010,-0.03684249,0.93640410,0.43265040,-0.04107637,0.91512110,0.44063300,-0.05829250,0.92387780,0.39732210,-0.05814952,0.93714770,0.43594530,-0.05992043,0.91182260,0.44246110,-0.07776709,0.92102900,0.39934950,-0.07769024,0.92905270,0.43557110,-0.07403255,0.90474900,0.44149460,-0.09503150,0.87296470,0.38806660,-0.09677456,0.91360240,0.40329010,-0.09427367,0.92031450,0.43162520,-0.08729246,0.90287420,0.43615330,-0.03971073,0.90598760,0.46262460,-0.04293595,0.90036090,0.42538930,-0.05800097,0.89444640,0.42634450,-0.07054763,0.89108990,0.42307480,-0.08125336,0.89042040,0.42050680,11,7
-0.07675617,0.83900850,0.36973080,-0.07675617,0.83900850,0.36973080,-0.07675617,0.83900850,0.36973080,-0.06323542,0.85161240,0.38533320,-0.04478288,0.86032310,0.39727750,-0.02790135,0.87023990,0.42122420,-0.02650174,0.89028190,0.44632330,-0.03448849,0.91735560,0.40081790,-0.03286190,0.93610190,0.43160600,-0.03690801,0.91503760,0.44023970,-0.05453021,0.92308950,0.39665800,-0.05401498,0.93719680,0.43498000,-0.05574236,0.91213240,0.44244650,-0.07397994,0.92014410,0.39878360,-0.07374336,0.92871270,0.43487940,-0.06997887,0.90454890,0.44128810,-0.09108378,0.87203520,0.38744630,-0.09293085,0.91261720,0.40280540,-0.09036655,0.91952570,0.43108760,-0.08329026,0.90218360,0.43583930,-0.03590124,0.90493240,0.46199790,-0.03888401,0.89979870,0.42548960,-0.05401249,0.89415160,0.42698490,-0.06652763,0.89050740,0.42315170,-0.07720686,0.88956080,0.42034620,11,7
-0.07372954,0.83742980,0.37064340,-0.07372954,0.83742980,0.37064340,-0.07372954,0.83742980,0.37064340,-0.06013206,0.84995190,0.38624510,-0.04165021,0.85862180,0.39817360,-0.02474349,0.86833140,0.42218740,-0.02332764,0.88815460,0.44745880,-0.03136792,0.91563020,0.40197110,-0.02950326,0.93469260,0.43255090,-0.03342225,0.91384890,0.44175960,-0.05143984,0.92136700,0.39796360,-0.05051065,0.93610140,0.43604110,-0.05225381,0.91128770,0.44429920,-0.07087360,0.91838630,0.40018390,-0.07045148,0.92738600,0.43617300,-0.06664522,0.90334130,0.44299180,-0.08799013,0.87032940,0.38864710,-0.08979246,0.91081300,0.40426900,-0.08718504,0.91793800,0.43249350,-0.08005361,0.90068840,0.43749330,-0.03272855,0.90266510,0.46326230,-0.03555845,0.89820140,0.42746690,-0.05075838,0.89281270,0.42940640,-0.06326579,0.88896660,0.42510460,-0.07393000,0.88787060,0.42217720,11,7
-0.07066220,0.83592950,0.37140980,-0.07066220,0.83592950,0.37140980,-0.07066220,0.83592950,0.37140980,-0.05699433,0.84837820,0.38700860,-0.03848150,0.85701240,0.39891510,-0.02154246,0.86652820,0.42298360,-0.02009824,0.88614300,0.44841550,-0.02822610,0.91400100,0.40295740,-0.02614522,0.93337030,0.43332970,-0.02992919,0.91274700,0.44307540,-0.04832707,0.91973530,0.39909430,-0.04701439,0.93501510,0.43694490,-0.04874975,0.91044650,0.44590770,-0.06774449,0.91671660,0.40140460,-0.06715649,0.92612530,0.43728660,-0.06329380,0.90220370,0.44449570,-0.08486425,0.86870560,0.38968320,-0.08663093,0.90909530,0.40555010,-0.08401273,0.91648380,0.43370580,-0.07681471,0.89934410,0.43898080,-0.02949169,0.90052000,0.46434500,-0.03220235,0.89672390,0.42922670,-0.04746125,0.89154400,0.43154130,-0.05996934,0.88751670,0.42685360,-0.07062542,0.88631870,0.42386760,11,7
-0.06771740,0.83454970,0.37204940,-0.06771740,0.83454970,0.37204940,-0.06771740,0.83454970,0.37204940,-0.05398638,0.84693380,0.38764430,-0.03539248,0.85551620,0.39946140,-0.01837683,0.86471610,0.42359870,-0.01686717,0.88404080,0.44924790,-0.02522185,0.91250920,0.40379360,-0.02282356,0.93290700,0.43346100,-0.02638260,0.91298970,0.44465240,-0.04534957,0.91823730,0.40006310,-0.04374578,0.93487300,0.43732630,-0.04530022,0.91121860,0.44850690,-0.06475109,0.91518100,0.40245600,-0.06410153,0.92542380,0.43810780,-0.06012939,0.90186720,0.44638080,-0.08186847,0.86721010,0.39056780,-0.08360637,0.90751310,0.40665700,-0.08109699,0.91550640,0.43465690,-0.07383497,0.89863250,0.44065170,-0.02622742,0.89825300,0.46534390,-0.02888571,0.89599100,0.43206380,-0.04418854,0.89092670,0.43616320,-0.05671367,0.88628860,0.42953900,-0.06740393,0.88502760,0.42616280,11,7
-0.06320807,0.83449970,0.37068680,-0.06320807,0.83449970,0.37068680,-0.06320807,0.83449970,0.37068680,-0.04930913,0.84671070,0.38626940,-0.03056047,0.85515740,0.39793890,-0.01331298,0.86388750,0.42208610,-0.01156049,0.88276110,0.44805380,-0.02040623,0.91211460,0.40286090,-0.01754327,0.93320640,0.43199700,-0.02079775,0.91391860,0.44432600,-0.04057873,0.91787030,0.39942630,-0.03846201,0.93543700,0.43623380,-0.03975269,0.91266470,0.44914530,-0.05994985,0.91477080,0.40200290,-0.05901191,0.92554210,0.43749220,-0.05488570,0.90230070,0.44654450,-0.07716954,0.86692930,0.38974680,-0.07875124,0.90703930,0.40632700,-0.07617535,0.91542140,0.43420690,-0.06881806,0.89877900,0.44071110,-0.02077404,0.89671190,0.46446010,-0.02355587,0.89620150,0.43282860,-0.03884735,0.89139530,0.43855490,-0.05149040,0.88605070,0.43034520,-0.06224828,0.88475200,0.42669480,11,7
-0.05881188,0.83436380,0.36943270,-0.05881188,0.83436380,0.36943270,-0.05881188,0.83436380,0.36943270,-0.04475871,0.84641710,0.38499980,-0.02587108,0.85474440,0.39653020,-0.00842686,0.86300880,0.42070000,-0.00646275,0.88143370,0.44697290,-0.01573487,0.91166310,0.40199710,-0.01243570,0.93351110,0.43052350,-0.01533992,0.91507360,0.44417040,-0.03594725,0.91743710,0.39883900,-0.03347375,0.93541340,0.43542590,-0.03445878,0.91339320,0.44960660,-0.05528750,0.91429180,0.40158640,-0.05419137,0.92589280,0.43680860,-0.04984372,0.90304450,0.44671770,-0.07259715,0.86657080,0.38899200,-0.07403579,0.90649620,0.40602440,-0.07153353,0.91543910,0.43373630,-0.06404826,0.89914030,0.44092810,-0.01553646,0.89512560,0.46367270,-0.01833095,0.89654850,0.43409230,-0.03365495,0.89139060,0.44062890,-0.04637263,0.88610730,0.43125530,-0.05720248,0.88460540,0.42757710,11,7
-0.05406522,0.83519890,0.36793110,-0.05406522,0.83519890,0.36793110,-0.05406522,0.83519890,0.36793110,-0.03972807,0.84710930,0.38334850,-0.02060993,0.85533900,0.39456480,-0.00275420,0.86316620,0.41857900,-0.00034629,0.88114980,0.44511960,-0.01048523,0.91222220,0.40048000,-0.00655884,0.93472920,0.42840840,-0.00893884,0.91712050,0.44320310,-0.03076575,0.91799160,0.39778410,-0.02762516,0.93636470,0.43412180,-0.02813083,0.91509300,0.44942590,-0.05004266,0.91477970,0.40087770,-0.04848360,0.92710360,0.43583600,-0.04379512,0.90464520,0.44645530,-0.06751645,0.86716520,0.38810800,-0.06868646,0.90690050,0.40559940,-0.06600697,0.91634090,0.43312910,-0.05831354,0.90038960,0.44086010,-0.00913272,0.89457500,0.46218550,-0.01215368,0.89795260,0.43448840,-0.02742696,0.89252680,0.44196720,-0.04036137,0.88712310,0.43165020,-0.05130928,0.88543470,0.42806670,11,7
-0.04942524,0.83589730,0.36652390,-0.04942524,0.83589730,0.36652390,-0.04942524,0.83589730,0.36652390,-0.03482704,0.84767590,0.38179690,-0.01550072,0.85581910,0.39271560,0.00273516,0.86323240,0.41657500,0.00556121,0.88079250,0.44335680,-0.00538600,0.91266500,0.39905860,-0.00091496,0.93578610,0.42639710,-0.00275448,0.91901250,0.44220460,-0.02572269,0.91842290,0.39679610,-0.02197552,0.93720470,0.43286640,-0.02199117,0.91670010,0.44919180,-0.04493374,0.91514240,0.40021080,-0.04297104,0.92814360,0.43490230,-0.03794145,0.90608230,0.44617780,-0.06255761,0.86762850,0.38727390,-0.06347375,0.90717940,0.40519320,-0.06065717,0.91709260,0.43254240,-0.05276141,0.90149640,0.44077770,-0.00295158,0.89395970,0.46075900,-0.00609848,0.89931880,0.43481100,-0.02130608,0.89369760,0.44321050,-0.03450334,0.88803610,0.43201730,-0.04557692,0.88617320,0.42853180,11,7
-0.04486573,0.83648820,0.36519060,-0.04486573,0.83648820,0.36519060,-0.04486573,0.83648820,0.36519060,-0.03002437,0.84814380,0.38032300,-0.01048712,0.85620210,0.39092480,0.00819547,0.86332220,0.41452650,0.01158421,0.88054080,0.44146420,-0.00040090,0.91301610,0.39771140,0.00460622,0.93656830,0.42458510,0.00329578,0.92067000,0.44132250,-0.02078396,0.91875700,0.39586010,-0.01644368,0.93772080,0.43176830,-0.01606136,0.91746040,0.44839130,-0.03992685,0.91540600,0.39957590,-0.03772185,0.92965840,0.43375770,-0.03230902,0.90835610,0.44624970,-0.05769021,0.86798810,0.38647860,-0.05836330,0.90735870,0.40480110,-0.05574602,0.91818990,0.43182010,-0.04760272,0.90319030,0.44088110,0.00349319,0.89349060,0.45922710,-0.00015185,0.90051030,0.43537330,-0.01541131,0.89428600,0.44311100,-0.02868605,0.88942480,0.43334670,-0.03998636,0.88739760,0.42952510,11,7
