RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.00202575,0.86669660,0.40774770,0.00202575,0.86669660,0.40774770,0.00202575,0.86669660,0.40774770,0.01693054,0.85840390,0.42489950,0.03046756,0.84423210,0.43812640,0.04494588,0.83162410,0.46237900,0.06198982,0.83942310,0.48849960,0.08649982,0.85560830,0.44815100,0.09132246,0.85858610,0.48378600,0.06887894,0.85418210,0.48039350,0.08483385,0.87644780,0.44430490,0.08071141,0.87531230,0.48491990,0.05599420,0.86924980,0.47865410,0.07468610,0.89337240,0.44574300,0.06987919,0.89002760,0.48237760,0.04780025,0.88008210,0.47511520,0.02523294,0.89176570,0.42879190,0.06028726,0.90809300,0.44856120,0.05856236,0.90201520,0.47709660,0.04356191,0.89080640,0.47232680,0.07068029,0.85313970,0.50538190,0.05771963,0.85149200,0.46245120,0.05244913,0.86517800,0.45549780,0.04838040,0.87852840,0.45197960,0.04333337,0.88871430,0.45154350,11,4
0.00215087,0.86714140,0.40838970,0.00215087,0.86714140,0.40838970,0.00215087,0.86714140,0.40838970,0.01715746,0.85925150,0.42564250,0.03078954,0.84532270,0.43902880,0.04562651,0.83314540,0.46328490,0.06303070,0.84121840,0.48908260,0.08685366,0.85705420,0.44857590,0.09195164,0.86086300,0.48409320,0.06949272,0.85634200,0.48096710,0.08514162,0.87780050,0.44427310,0.08109955,0.87758810,0.48491140,0.05637549,0.87127000,0.47893170,0.07498103,0.89474180,0.44538630,0.07028754,0.89223180,0.48210220,0.04822857,0.88200490,0.47517780,0.02543978,0.89270120,0.42874180,0.06057950,0.90950600,0.44795150,0.05905814,0.90410040,0.47663340,0.04407894,0.89277240,0.47208350,0.07196733,0.85506830,0.50572590,0.05824130,0.85322250,0.46315230,0.05282199,0.86663810,0.45588220,0.04871342,0.87989460,0.45208420,0.04386118,0.89029060,0.45134290,11,4
0.00227586,0.86760560,0.40902080,0.00227586,0.86760560,0.40902080,0.00227586,0.86760560,0.40902080,0.01739421,0.86011150,0.42635230,0.03112946,0.84642390,0.43988100,0.04626542,0.83467020,0.46416130,0.06398403,0.84301170,0.48965790,0.08722723,0.85849710,0.44891500,0.09257607,0.86309950,0.48430120,0.07010368,0.85847710,0.48143040,0.08546273,0.87914260,0.44417100,0.08177216,0.87982290,0.48483770,0.05696472,0.87337150,0.47936710,0.07528674,0.89609220,0.44497470,0.07083807,0.89439250,0.48176750,0.04873513,0.88397300,0.47528450,0.02565093,0.89363070,0.42867240,0.06088130,0.91089180,0.44730270,0.05975793,0.90620680,0.47612930,0.04474451,0.89480010,0.47190000,0.07314823,0.85698740,0.50607070,0.05875200,0.85494920,0.46375590,0.05307106,0.86820110,0.45648770,0.04902525,0.88132950,0.45224260,0.04443520,0.89194200,0.45120910,11,4
0.00286412,0.86863240,0.40945660,0.00286412,0.86863240,0.40945660,0.00286412,0.86863240,0.40945660,0.01809895,0.86146160,0.42682280,0.03192819,0.84795330,0.44043590,0.04737369,0.83652440,0.46467620,0.06544949,0.84502330,0.48986830,0.08808517,0.86024290,0.44893100,0.09372965,0.86552790,0.48417570,0.07123519,0.86085480,0.48157240,0.08629502,0.88079540,0.44380830,0.08297081,0.88225830,0.48448600,0.05807717,0.87573750,0.47951200,0.07613054,0.89776200,0.44436020,0.07195237,0.89677730,0.48121070,0.04978959,0.88622630,0.47515900,0.02638279,0.89501480,0.42844950,0.06174649,0.91260990,0.44650590,0.06102762,0.90856270,0.47544190,0.04596274,0.89711700,0.47151150,0.07488360,0.85905770,0.50607690,0.05976254,0.85698990,0.46404720,0.05384479,0.87010540,0.45680240,0.04986688,0.88311610,0.45217360,0.04554060,0.89393940,0.45086920,11,4
0.00340960,0.86961850,0.40989880,0.00340960,0.86961850,0.40989880,0.00340960,0.86961850,0.40989880,0.01876657,0.86276970,0.42728740,0.03269550,0.84943930,0.44097400,0.04846106,0.83832700,0.46515540,0.06689917,0.84697260,0.49003300,0.08890811,0.86194570,0.44891640,0.09485698,0.86790270,0.48400350,0.07234276,0.86318060,0.48167400,0.08708449,0.88239930,0.44342280,0.08411895,0.88463250,0.48409320,0.05914998,0.87804630,0.47960670,0.07692660,0.89937600,0.44372930,0.07302289,0.89909640,0.48062200,0.05080736,0.88841810,0.47500230,0.02706653,0.89634530,0.42822690,0.06256028,0.91426550,0.44569900,0.06224239,0.91084490,0.47472290,0.04713206,0.89936140,0.47108810,0.07660573,0.86105910,0.50603410,0.06074767,0.85898370,0.46430640,0.05459730,0.87196320,0.45707610,0.05067335,0.88484930,0.45208400,0.04659624,0.89586840,0.45049950,11,4
0.00391307,0.87055440,0.41033600,0.00391307,0.87055440,0.41033600,0.00391307,0.87055440,0.41033600,0.01939336,0.86401970,0.42773610,0.03342099,0.85090820,0.44153290,0.04941142,0.84018160,0.46574090,0.06809529,0.84914400,0.49032120,0.08968705,0.86357830,0.44887690,0.09599610,0.87018790,0.48378370,0.07345597,0.86543210,0.48179860,0.08782447,0.88392920,0.44302680,0.08555168,0.88701780,0.48368580,0.06051641,0.88031930,0.47977180,0.07766910,0.90091000,0.44309790,0.07428029,0.90138290,0.48003950,0.05197083,0.89061680,0.47498840,0.02769996,0.89760560,0.42800810,0.06331724,0.91583460,0.44489970,0.06329028,0.91290420,0.47397890,0.04806742,0.90145850,0.47071330,0.07798532,0.86339700,0.50606040,0.06167312,0.86091320,0.46463950,0.05564825,0.87376370,0.45744050,0.05150902,0.88658200,0.45215180,0.04722260,0.89757280,0.45020560,11,4
0.00428151,0.87248810,0.41091110,0.00428151,0.87248810,0.41091110,0.00428151,0.87248810,0.41091110,0.01967608,0.86616850,0.42846610,0.03356576,0.85317710,0.44251380,0.04948994,0.84273440,0.46688890,0.06830145,0.85186980,0.49130770,0.08993125,0.86552270,0.44972930,0.09635411,0.87279930,0.48448230,0.07376617,0.86821300,0.48264770,0.08826147,0.88576670,0.44346480,0.08632161,0.88980620,0.48405770,0.06120123,0.88322860,0.48049990,0.07825994,0.90283640,0.44317470,0.07505098,0.90416500,0.48011150,0.05260498,0.89350980,0.47544470,0.02828556,0.89967680,0.42807120,0.06404091,0.91792310,0.44464960,0.06403222,0.91555390,0.47377990,0.04863479,0.90427660,0.47075580,0.07837676,0.86621400,0.50684520,0.06191140,0.86344500,0.46560590,0.05615992,0.87620510,0.45835010,0.05198781,0.88896900,0.45270690,0.04764966,0.89997860,0.45033680,11,4
0.00463977,0.87430940,0.41147790,0.00463977,0.87430940,0.41147790,0.00463977,0.87430940,0.41147790,0.01997397,0.86821760,0.42916570,0.03375298,0.85535610,0.44344010,0.04965654,0.84519820,0.46794870,0.06862199,0.85449500,0.49218680,0.09021085,0.86743060,0.45048450,0.09677822,0.87536340,0.48506660,0.07414714,0.87092970,0.48339560,0.08870754,0.88755840,0.44381630,0.08712813,0.89252190,0.48432220,0.06192817,0.88605830,0.48113790,0.07884412,0.90469880,0.44317910,0.07584265,0.90686060,0.48009390,0.05327124,0.89630660,0.47581850,0.02885356,0.90164100,0.42810820,0.06474645,0.91992590,0.44434310,0.06479479,0.91811320,0.47351330,0.04923904,0.90699300,0.47072680,0.07889171,0.86891910,0.50752170,0.06221070,0.86591120,0.46648330,0.05669506,0.87857790,0.45918290,0.05248424,0.89127300,0.45319000,0.04811133,0.90230150,0.45040210,11,4
0.00497457,0.87597510,0.41201170,0.00497457,0.87597510,0.41201170,0.00497457,0.87597510,0.41201170,0.02026720,0.87010780,0.42981100,0.03395559,0.85744290,0.44434600,0.04973535,0.84767930,0.46909370,0.06872733,0.85731400,0.49317860,0.09049909,0.86922360,0.45114250,0.09722534,0.87777270,0.48554660,0.07455704,0.87347380,0.48403540,0.08913762,0.88923280,0.44409770,0.08794118,0.89504190,0.48450420,0.06266603,0.88871540,0.48165870,0.07939576,0.90642770,0.44313870,0.07659223,0.90932130,0.48001900,0.05388469,0.89893290,0.47607140,0.02938314,0.90344170,0.42812680,0.06540640,0.92177340,0.44401650,0.06545262,0.92046460,0.47321370,0.04978586,0.90946550,0.47057260,0.07909326,0.87193060,0.50826450,0.06253181,0.86821700,0.46725880,0.05715623,0.88082550,0.45991580,0.05296066,0.89348910,0.45354330,0.04855748,0.90440120,0.45034330,11,4
0.00532086,0.87851100,0.41171140,0.00532086,0.87851100,0.41171140,0.00532086,0.87851100,0.41171140,0.02045202,0.87274200,0.42968010,0.03394110,0.86016090,0.44447200,0.04945135,0.85060550,0.46947000,0.06835610,0.86037100,0.49357090,0.09053984,0.87153710,0.45146490,0.09722321,0.88048100,0.48577690,0.07452272,0.87636030,0.48425260,0.08939257,0.89146590,0.44415850,0.08832569,0.89787010,0.48447860,0.06298723,0.89173920,0.48177110,0.07980358,0.90872870,0.44292010,0.07696908,0.91213320,0.47975440,0.05414163,0.90196590,0.47592450,0.02986166,0.90597370,0.42763110,0.06594016,0.92420180,0.44351480,0.06581173,0.92322610,0.47272470,0.05003671,0.91238750,0.47006460,0.07876046,0.87504890,0.50857060,0.06250829,0.87098620,0.46750550,0.05733556,0.88358580,0.46016230,0.05321228,0.89624900,0.45346430,0.04882626,0.90707920,0.44989700,11,4
